user_id,role_id,role_name,assigned_at
U0115,R008,Employee,2026-01-01
U0116,R008,Employee,2026-01-01
U0117,R008,Employee,2026-01-01
U0118,R008,Employee,2026-01-01
U0119,R008,Employee,2026-01-01
U0120,R008,Employee,2026-01-01
U0121,R008,Employee,2026-01-01
U0122,R008,Employee,2026-01-01
U0123,R008,Employee,2026-01-01
U0123,R002,Executive,2026-01-01
U0124,R008,Employee,2026-01-01
U0125,R008,Employee,2026-01-01
U0126,R008,Employee,2026-01-01
U0127,R008,Employee,2026-01-01
U0128,R008,Employee,2026-01-01
U0129,R008,Employee,2026-01-01
U0130,R008,Employee,2026-01-01
U0131,R008,Employee,2026-01-01
U0132,R008,Employee,2026-01-01
U0133,R008,Employee,2026-01-01
U0134,R008,Employee,2026-01-01
U0135,R008,Employee,2026-01-01
U0136,R008,Employee,2026-01-01
U0137,R008,Employee,2026-01-01
U0138,R008,Employee,2026-01-01
U0139,R008,Employee,2026-01-01
U0140,R008,Employee,2026-01-01
U0141,R008,Employee,2026-01-01
U0142,R008,Employee,2026-01-01
U0143,R008,Employee,2026-01-01
U0144,R008,Employee,2026-01-01
U0145,R008,Employee,2026-01-01
U0146,R008,Employee,2026-01-01
U0147,R008,Employee,2026-01-01
U0148,R008,Employee,2026-01-01
U0149,R008,Employee,2026-01-01
U0150,R008,Employee,2026-01-01
U0151,R008,Employee,2026-01-01
U0152,R008,Employee,2026-01-01
U0153,R008,Employee,2026-01-01
U0154,R008,Employee,2026-01-01
U0155,R008,Employee,2026-01-01
U0156,R008,Employee,2026-01-01
U0157,R008,Employee,2026-01-01
U0158,R008,Employee,2026-01-01
U0159,R008,Employee,2026-01-01
U0160,R008,Employee,2026-01-01
U0161,R008,Employee,2026-01-01
U0162,R008,Employee,2026-01-01
U0163,R008,Employee,2026-01-01
U0164,R008,Employee,2026-01-01
U0165,R008,Employee,2026-01-01
U0166,R008,Employee,2026-01-01
U0167,R008,Employee,2026-01-01
U0168,R008,Employee,2026-01-01
U0169,R008,Employee,2026-01-01
U0170,R008,Employee,2026-01-01
U0171,R008,Employee,2026-01-01
U0172,R008,Employee,2026-01-01
U0173,R008,Employee,2026-01-01
U0174,R008,Employee,2026-01-01
U0175,R008,Employee,2026-01-01
U0176,R008,Employee,2026-01-01
U0177,R008,Employee,2026-01-01
U0178,R008,Employee,2026-01-01
U0179,R008,Employee,2026-01-01
U0180,R008,Employee,2026-01-01
U0181,R008,Employee,2026-01-01
U0182,R008,Employee,2026-01-01
U0183,R008,Employee,2026-01-01
U0184,R008,Employee,2026-01-01
U0185,R008,Employee,2026-01-01
U0186,R008,Employee,2026-01-01
U0187,R008,Employee,2026-01-01
U0188,R008,Employee,2026-01-01
U0189,R008,Employee,2026-01-01
U0190,R008,Employee,2026-01-01
U0191,R008,Employee,2026-01-01
U0191,R002,Executive,2026-01-01
U0192,R008,Employee,2026-01-01
U0193,R008,Employee,2026-01-01
U0194,R008,Employee,2026-01-01
U0195,R008,Employee,2026-01-01
U0195,R002,Executive,2026-01-01
U0196,R008,Employee,2026-01-01
U0197,R008,Employee,2026-01-01
U0198,R008,Employee,2026-01-01
U0199,R008,Employee,2026-01-01
U0200,R008,Employee,2026-01-01
