task_id,project_id,task_title,task_description,task_phase,priority,status,assigned_to_employee_id,created_by_employee_id,estimated_hours,actual_hours,planned_start_date,due_date,completed_at,progress_percent,blocked_reason,requires_approval_for_reassignment,data_classification,last_updated_at
T00011,PRJ001,Design: Analyze capacity constraints,"Design: Analyze capacity constraints for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0017,E0007,24,28.8,2025-05-13,2025-05-26,2025-05-26T16:00:00,100,,false,Confidential,2026-08-24T15:00:00
T00012,PRJ001,Design: Configure escalation rules,"Design: Configure escalation rules for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Design,High,Completed,E0111,E0007,40,35.0,2025-05-24,2025-06-05,2025-06-05T16:00:00,100,,false,Confidential,2026-08-11T13:00:00
T00013,PRJ001,Design: Validate service-level targets,"Design: Validate service-level targets for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0111,E0007,60,66.3,2025-06-05,2025-06-27,2025-06-27T16:00:00,100,,true,Confidential,2026-08-24T14:00:00
T00014,PRJ001,Design: Prepare operating procedure,"Design: Prepare operating procedure for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0017,E0007,40,46.0,2025-06-16,2025-06-30,2025-06-30T16:00:00,100,,false,Confidential,2026-08-18T10:00:00
T00015,PRJ001,Build: Run process simulation,"Build: Run process simulation for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Build,Medium,Completed,E0099,E0007,8,8.0,2025-06-28,2025-07-07,2025-07-07T16:00:00,100,,false,Confidential,2026-08-10T18:00:00
T00016,PRJ001,Build: Measure cycle-time improvement,"Build: Measure cycle-time improvement for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Build,High,Completed,E0192,E0007,24,22.1,2025-07-09,2025-07-19,2025-07-19T16:00:00,100,,false,Confidential,2026-08-18T16:00:00
T00017,PRJ001,Build: Create operations dashboard,"Build: Create operations dashboard for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Build,Medium,Completed,E0192,E0007,12,13.7,2025-07-21,2025-07-27,2025-07-27T16:00:00,100,,false,Confidential,2026-08-27T09:00:00
T00018,PRJ001,Build: Conduct readiness review,"Build: Conduct readiness review for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Build,Medium,Completed,E0072,E0007,8,7.3,2025-08-01,2025-08-11,2025-08-11T16:00:00,100,,false,Confidential,2026-08-25T09:00:00
T00019,PRJ001,Build: Map operational workflow,"Build: Map operational workflow for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Build,Medium,Completed,E0096,E0007,60,54.7,2025-08-13,2025-09-01,2025-09-01T16:00:00,100,,true,Confidential,2026-08-06T12:00:00
T00020,PRJ001,Build: Analyze capacity constraints,"Build: Analyze capacity constraints for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Build,Low,In Progress,E0072,E0007,32,22.3,2025-08-24,2026-09-26,,70,,false,Confidential,2026-08-25T14:00:00
T00021,PRJ001,Test: Configure escalation rules,"Test: Configure escalation rules for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Test,Low,In Progress,E0099,E0007,12,5.9,2025-09-05,2026-09-27,,40,,false,Confidential,2026-08-06T08:00:00
T00022,PRJ001,Test: Validate service-level targets,"Test: Validate service-level targets for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Test,High,In Progress,E0013,E0007,40,33.9,2025-09-16,2026-09-28,,90,,false,Confidential,2026-08-27T10:00:00
T00023,PRJ001,Test: Prepare operating procedure,"Test: Prepare operating procedure for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,In Progress,E0072,E0007,48,39.7,2025-09-28,2026-09-29,,70,,true,Confidential,2026-08-12T16:00:00
T00024,PRJ001,Test: Run process simulation,"Test: Run process simulation for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,Not Started,E0096,E0007,20,8.3,2025-10-09,2026-09-30,,0,,false,Confidential,2026-08-03T14:00:00
T00025,PRJ001,Test: Measure cycle-time improvement,"Test: Measure cycle-time improvement for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Test,High,Not Started,E0192,E0007,16,0,2025-10-21,2026-10-01,,0,,false,Confidential,2026-08-24T09:00:00
T00026,PRJ001,Test: Create operations dashboard,"Test: Create operations dashboard for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Test,High,Blocked,E0013,E0007,24,0,2025-11-01,2026-08-24,,35,Vendor API credentials are pending security approval.,false,Confidential,2026-08-20T15:00:00
T00027,PRJ001,Test: Conduct readiness review,"Test: Conduct readiness review for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,Blocked,E0017,E0007,32,0,2025-11-13,2026-08-21,,35,Master-data reconciliation failed quality validation.,false,Confidential,2026-08-15T08:00:00
T00028,PRJ001,Deployment: Map operational workflow,"Deployment: Map operational workflow for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Deployment,High,In Progress,E0013,E0007,40,0,2025-11-24,2026-08-18,,55,,true,Confidential,2026-08-04T14:00:00
T00029,PRJ001,Deployment: Analyze capacity constraints,"Deployment: Analyze capacity constraints for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Deployment,High,In Progress,E0017,E0007,40,0,2025-12-06,2026-08-15,,55,,true,Confidential,2026-08-18T13:00:00
T00030,PRJ001,Deployment: Configure escalation rules,"Deployment: Configure escalation rules for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Deployment,High,In Progress,E0013,E0007,20,0,2025-12-17,2026-08-12,,55,,true,Confidential,2026-08-28T12:00:00
T00031,PRJ001,Deployment: Validate service-level targets,"Deployment: Validate service-level targets for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Deployment,Medium,In Progress,E0017,E0007,8,0,2025-12-29,2026-08-09,,55,,true,Confidential,2026-08-07T13:00:00
T00032,PRJ001,Deployment: Prepare operating procedure,"Deployment: Prepare operating procedure for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Deployment,High,Not Started,E0111,E0007,40,0,2026-01-09,2026-10-08,,0,,true,Confidential,2026-08-09T11:00:00
T00033,PRJ001,Deployment: Run process simulation,"Deployment: Run process simulation for Atlas ERP Integration. Deliverable must meet documented security, quality, and audit requirements.",Deployment,Medium,Not Started,E0017,E0007,24,0,2026-01-21,2026-10-09,,0,,true,Confidential,2026-08-08T08:00:00
T00034,PRJ002,Discovery: Customer login,"Discovery: Customer login for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Discovery,Medium,Completed,E0068,E0010,8,8.0,2025-01-25,2025-02-04,2025-02-04T16:00:00,100,,false,Internal,2026-08-25T15:00:00
T00035,PRJ002,Discovery: Case tracking,"Discovery: Case tracking for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Discovery,Low,Completed,E0105,E0010,60,53.4,2025-02-07,2025-02-28,2025-02-28T16:00:00,100,,true,Internal,2026-08-15T14:00:00
T00036,PRJ002,Discovery: Knowledge search,"Discovery: Knowledge search for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Discovery,Critical,Completed,E0140,E0010,48,42.9,2025-02-21,2025-03-12,2025-03-12T16:00:00,100,,true,Internal,2026-08-11T16:00:00
T00037,PRJ002,Discovery: Notification center,"Discovery: Notification center for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Discovery,High,Completed,E0054,E0010,12,11.5,2025-03-07,2025-03-17,2025-03-17T16:00:00,100,,false,Internal,2026-08-12T16:00:00
T00038,PRJ002,Discovery: Accessibility audit,"Discovery: Accessibility audit for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Discovery,High,Completed,E0140,E0010,32,33.3,2025-03-21,2025-04-07,2025-04-07T16:00:00,100,,false,Internal,2026-08-06T12:00:00
T00039,PRJ002,Discovery: Run usability testing,"Discovery: Run usability testing for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Discovery,Medium,Completed,E0060,E0010,80,85.1,2025-04-04,2025-05-01,2025-05-01T16:00:00,100,,true,Internal,2026-08-17T18:00:00
T00040,PRJ002,Discovery: Validate service analytics,"Discovery: Validate service analytics for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Discovery,Critical,Completed,E0060,E0010,60,63.0,2025-04-18,2025-05-09,2025-05-09T16:00:00,100,,true,Internal,2026-08-23T09:00:00
T00041,PRJ002,Design: Prepare support training,"Design: Prepare support training for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Design,High,Completed,E0091,E0010,24,23.4,2025-05-02,2025-05-13,2025-05-13T16:00:00,100,,false,Internal,2026-08-14T11:00:00
T00042,PRJ002,Design: Conduct launch readiness,"Design: Conduct launch readiness for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0068,E0010,8,7.8,2025-05-15,2025-05-24,2025-05-24T16:00:00,100,,false,Internal,2026-08-24T08:00:00
T00043,PRJ002,Design: Map customer journey,"Design: Map customer journey for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0072,E0010,20,23.5,2025-05-29,2025-06-06,2025-06-06T16:00:00,100,,false,Internal,2026-08-13T10:00:00
T00044,PRJ002,Design: Define service scenarios,"Design: Define service scenarios for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Design,High,Completed,E0054,E0010,48,42.6,2025-06-12,2025-06-29,2025-06-29T16:00:00,100,,true,Internal,2026-08-04T08:00:00
T00045,PRJ002,Design: Build case-management view,"Design: Build case-management view for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0105,E0010,48,49.7,2025-06-26,2025-07-17,2025-07-17T16:00:00,100,,true,Internal,2026-08-07T15:00:00
T00046,PRJ002,Design: Integrate notification flow,"Design: Integrate notification flow for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Design,Low,Completed,E0128,E0010,20,21.2,2025-07-10,2025-07-17,2025-07-17T16:00:00,100,,false,Internal,2026-08-03T16:00:00
T00047,PRJ002,Build: Create support knowledge links,"Build: Create support knowledge links for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Build,Medium,Completed,E0128,E0010,32,27.5,2025-07-24,2025-08-06,2025-08-06T16:00:00,100,,false,Internal,2026-08-06T11:00:00
T00048,PRJ002,Build: Run usability testing,"Build: Run usability testing for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Build,Medium,Completed,E0105,E0010,32,33.5,2025-08-07,2025-08-17,2025-08-17T16:00:00,100,,false,Internal,2026-08-12T10:00:00
T00049,PRJ002,Build: Validate service analytics,"Build: Validate service analytics for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Build,High,Completed,E0140,E0010,60,59.8,2025-08-21,2025-09-11,2025-09-11T16:00:00,100,,true,Internal,2026-08-09T16:00:00
T00050,PRJ002,Build: Prepare support training,"Build: Prepare support training for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Build,High,Completed,E0200,E0010,60,62.1,2025-09-03,2025-09-20,2025-09-20T16:00:00,100,,true,Internal,2026-08-05T10:00:00
T00051,PRJ002,Build: Conduct launch readiness,"Build: Conduct launch readiness for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Build,Medium,Completed,E0068,E0010,32,31.2,2025-09-17,2025-10-04,2025-10-04T16:00:00,100,,false,Internal,2026-08-25T12:00:00
T00052,PRJ002,Build: Map customer journey,"Build: Map customer journey for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Build,Critical,Completed,E0200,E0010,48,55.2,2025-10-01,2025-10-15,2025-10-15T16:00:00,100,,true,Internal,2026-08-12T08:00:00
T00053,PRJ002,Test: Define service scenarios,"Test: Define service scenarios for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,Completed,E0080,E0010,60,62.1,2025-10-15,2025-11-05,2025-11-05T16:00:00,100,,true,Internal,2026-08-19T13:00:00
T00054,PRJ002,Test: Build case-management view,"Test: Build case-management view for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,Completed,E0184,E0010,12,11.6,2025-10-29,2025-11-08,2025-11-08T16:00:00,100,,false,Internal,2026-08-22T09:00:00
T00055,PRJ002,Test: Integrate notification flow,"Test: Integrate notification flow for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Test,High,Completed,E0105,E0010,16,13.7,2025-11-12,2025-11-19,2025-11-19T16:00:00,100,,false,Internal,2026-08-05T18:00:00
T00056,PRJ002,Test: Create support knowledge links,"Test: Create support knowledge links for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,Completed,E0128,E0010,12,11.4,2025-11-26,2025-12-06,2025-12-06T16:00:00,100,,false,Internal,2026-08-24T18:00:00
T00057,PRJ002,Test: Run usability testing,"Test: Run usability testing for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,Completed,E0040,E0010,48,43.6,2025-12-09,2025-12-29,2025-12-29T16:00:00,100,,true,Internal,2026-08-08T17:00:00
T00058,PRJ002,Test: Validate service analytics,"Test: Validate service analytics for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,Completed,E0080,E0010,32,28.9,2025-12-23,2026-01-10,2026-01-10T16:00:00,100,,false,Internal,2026-08-11T10:00:00
T00059,PRJ002,Deployment: Prepare support training,"Deployment: Prepare support training for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Deployment,Medium,In Progress,E0060,E0010,32,15.1,2026-01-06,2026-08-25,,85,,true,Internal,2026-08-04T10:00:00
T00060,PRJ002,Deployment: Conduct launch readiness,"Deployment: Conduct launch readiness for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Deployment,Low,In Progress,E0200,E0010,12,4.8,2026-01-20,2026-09-30,,40,,true,Internal,2026-08-21T15:00:00
T00061,PRJ002,Deployment: Map customer journey,"Deployment: Map customer journey for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Deployment,Medium,In Progress,E0068,E0010,16,10.0,2026-02-03,2026-10-01,,60,,true,Internal,2026-08-21T08:00:00
T00062,PRJ002,Deployment: Define service scenarios,"Deployment: Define service scenarios for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Deployment,High,In Progress,E0068,E0010,60,56.1,2026-02-17,2026-10-02,,90,,true,Internal,2026-08-28T17:00:00
T00063,PRJ002,Deployment: Build case-management view,"Deployment: Build case-management view for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Deployment,Medium,In Progress,E0109,E0010,60,61.0,2026-03-03,2026-10-03,,90,,true,Internal,2026-08-06T14:00:00
T00064,PRJ002,Deployment: Integrate notification flow,"Deployment: Integrate notification flow for Nova Customer Portal. Deliverable must meet documented security, quality, and audit requirements.",Deployment,Medium,Not Started,E0128,E0010,80,0,2026-03-17,2026-10-04,,0,,true,Internal,2026-08-21T12:00:00
T00065,PRJ003,Discovery: Forecast baseline,"Discovery: Forecast baseline for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Discovery,Medium,Completed,E0077,E0005,48,42.7,2025-02-13,2025-02-28,2025-02-28T16:00:00,100,,true,Confidential,2026-08-03T12:00:00
T00066,PRJ003,Discovery: Promotion elasticity,"Discovery: Promotion elasticity for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Discovery,Medium,Completed,E0135,E0005,16,15.2,2025-02-27,2025-03-06,2025-03-06T16:00:00,100,,false,Confidential,2026-08-16T13:00:00
T00067,PRJ003,Discovery: Regional feature engineering,"Discovery: Regional feature engineering for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Discovery,Critical,Completed,E0077,E0005,24,28.0,2025-03-13,2025-03-20,2025-03-20T16:00:00,100,,false,Confidential,2026-08-13T17:00:00
T00068,PRJ003,Discovery: Forecast API,"Discovery: Forecast API for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Discovery,High,Completed,E0077,E0005,20,23.7,2025-03-27,2025-04-05,2025-04-05T16:00:00,100,,false,Confidential,2026-08-18T08:00:00
T00069,PRJ003,Discovery: Review channel performance,"Discovery: Review channel performance for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Discovery,Medium,Completed,E0057,E0005,16,16.8,2025-04-10,2025-04-22,2025-04-22T16:00:00,100,,false,Confidential,2026-08-27T11:00:00
T00070,PRJ003,Discovery: Create sales dashboard,"Discovery: Create sales dashboard for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Discovery,Medium,Completed,E0067,E0005,40,35.5,2025-04-25,2025-05-07,2025-05-07T16:00:00,100,,false,Confidential,2026-08-04T18:00:00
T00071,PRJ003,Discovery: Analyze product profitability,"Discovery: Analyze product profitability for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Discovery,High,Completed,E0057,E0005,20,23.5,2025-05-09,2025-05-16,2025-05-16T16:00:00,100,,false,Confidential,2026-08-24T11:00:00
T00072,PRJ003,Design: Document business rules,"Design: Document business rules for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Design,Low,Completed,E0057,E0005,20,18.1,2025-05-23,2025-05-31,2025-05-31T16:00:00,100,,false,Confidential,2026-08-06T08:00:00
T00073,PRJ003,Design: Conduct sales acceptance test,"Design: Conduct sales acceptance test for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0135,E0005,32,36.4,2025-06-06,2025-06-20,2025-06-20T16:00:00,100,,false,Confidential,2026-08-16T13:00:00
T00074,PRJ003,Design: Define sales metrics,"Design: Define sales metrics for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0141,E0005,20,23.6,2025-06-21,2025-07-04,2025-07-04T16:00:00,100,,false,Confidential,2026-08-28T11:00:00
T00075,PRJ003,Design: Prepare regional segmentation,"Design: Prepare regional segmentation for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0058,E0005,48,49.2,2025-07-05,2025-07-21,2025-07-21T16:00:00,100,,true,Confidential,2026-08-07T12:00:00
T00076,PRJ003,Design: Validate promotion analysis,"Design: Validate promotion analysis for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Design,High,Completed,E0176,E0005,24,29.2,2025-07-19,2025-07-26,2025-07-26T16:00:00,100,,false,Confidential,2026-08-25T14:00:00
T00077,PRJ003,Design: Build forecast feature set,"Design: Build forecast feature set for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0176,E0005,16,17.8,2025-08-02,2025-08-12,2025-08-12T16:00:00,100,,false,Confidential,2026-08-26T18:00:00
T00078,PRJ003,Design: Review channel performance,"Design: Review channel performance for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Design,Medium,Completed,E0135,E0005,20,20.9,2025-08-17,2025-08-31,2025-08-31T16:00:00,100,,false,Confidential,2026-08-14T14:00:00
T00079,PRJ003,Build: Create sales dashboard,"Build: Create sales dashboard for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Build,Low,Completed,E0135,E0005,60,58.1,2025-08-31,2025-09-24,2025-09-24T16:00:00,100,,true,Confidential,2026-08-26T13:00:00
T00080,PRJ003,Build: Analyze product profitability,"Build: Analyze product profitability for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Build,Medium,Completed,E0067,E0005,8,8.8,2025-09-14,2025-09-23,2025-09-23T16:00:00,100,,false,Confidential,2026-08-10T14:00:00
T00081,PRJ003,Build: Document business rules,"Build: Document business rules for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Build,Medium,Completed,E0141,E0005,80,69.5,2025-09-28,2025-10-26,2025-10-26T16:00:00,100,,true,Confidential,2026-08-16T08:00:00
T00082,PRJ003,Build: Conduct sales acceptance test,"Build: Conduct sales acceptance test for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Build,Medium,Completed,E0135,E0005,16,14.3,2025-10-13,2025-10-20,2025-10-20T16:00:00,100,,false,Confidential,2026-08-03T13:00:00
T00083,PRJ003,Build: Define sales metrics,"Build: Define sales metrics for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Build,Medium,Completed,E0135,E0005,8,8.3,2025-10-27,2025-11-01,2025-11-01T16:00:00,100,,false,Confidential,2026-08-09T13:00:00
T00084,PRJ003,Build: Prepare regional segmentation,"Build: Prepare regional segmentation for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Build,Medium,Completed,E0141,E0005,16,19.5,2025-11-10,2025-11-17,2025-11-17T16:00:00,100,,false,Confidential,2026-08-07T13:00:00
T00085,PRJ003,Build: Validate promotion analysis,"Build: Validate promotion analysis for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Build,Critical,Completed,E0135,E0005,8,7.2,2025-11-24,2025-12-03,2025-12-03T16:00:00,100,,false,Confidential,2026-08-15T13:00:00
T00086,PRJ003,Test: Build forecast feature set,"Test: Build forecast feature set for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,In Progress,E0025,E0005,8,4.9,2025-12-09,2025-12-15,,60,,false,Confidential,2026-08-15T15:00:00
T00087,PRJ003,Test: Review channel performance,"Test: Review channel performance for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,In Progress,E0058,E0005,40,37.7,2025-12-23,2026-01-06,,90,,false,Confidential,2026-08-21T16:00:00
T00088,PRJ003,Test: Create sales dashboard,"Test: Create sales dashboard for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Test,High,In Progress,E0057,E0005,20,11.2,2026-01-06,2026-01-14,,50,,false,Confidential,2026-08-20T16:00:00
T00089,PRJ003,Test: Analyze product profitability,"Test: Analyze product profitability for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Test,High,In Progress,E0176,E0005,8,4.7,2026-01-20,2026-01-30,,50,,false,Confidential,2026-08-26T10:00:00
T00090,PRJ003,Test: Document business rules,"Test: Document business rules for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,In Progress,E0067,E0005,16,7.2,2026-02-04,2026-02-16,,40,,false,Confidential,2026-08-26T10:00:00
T00091,PRJ003,Test: Conduct sales acceptance test,"Test: Conduct sales acceptance test for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,In Progress,E0176,E0005,24,20.9,2026-02-18,2026-03-06,,70,,false,Confidential,2026-08-11T18:00:00
T00092,PRJ003,Test: Define sales metrics,"Test: Define sales metrics for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Test,Medium,Not Started,E0025,E0005,12,0,2026-03-04,2026-03-10,,0,,false,Confidential,2026-08-10T18:00:00
T00093,PRJ003,Deployment: Prepare regional segmentation,"Deployment: Prepare regional segmentation for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Deployment,Medium,Not Started,E0077,E0005,20,0,2026-03-18,2026-03-30,,0,,true,Confidential,2026-08-23T15:00:00
T00094,PRJ003,Deployment: Validate promotion analysis,"Deployment: Validate promotion analysis for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Deployment,High,Not Started,E0058,E0005,20,0,2026-04-02,2026-04-10,,0,,true,Confidential,2026-08-18T11:00:00
T00095,PRJ003,Deployment: Build forecast feature set,"Deployment: Build forecast feature set for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Deployment,High,Not Started,E0025,E0005,40,0,2026-04-16,2026-05-04,,0,,true,Confidential,2026-08-12T16:00:00
T00096,PRJ003,Deployment: Review channel performance,"Deployment: Review channel performance for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Deployment,Low,Not Started,E0135,E0005,40,0,2026-04-30,2026-05-11,,0,,true,Confidential,2026-08-06T13:00:00
T00097,PRJ003,Deployment: Create sales dashboard,"Deployment: Create sales dashboard for Helios AI Sales Forecasting. Deliverable must meet documented security, quality, and audit requirements.",Deployment,Medium,Not Started,E0057,E0005,32,0,2026-05-14,2026-05-31,,0,,true,Confidential,2026-08-25T11:00:00
