dependency_id,project_id,predecessor_task_id,successor_task_id,dependency_type
TD00063,PRJ004,T00120,T00123,Finish-to-Finish
TD00064,PRJ004,T00123,T00124,Start-to-Start
TD00065,PRJ004,T00122,T00125,Finish-to-Finish
TD00066,PRJ004,T00124,T00127,Start-to-Start
TD00067,PRJ004,T00129,T00130,Finish-to-Finish
TD00068,PRJ004,T00129,T00131,Start-to-Start
TD00069,PRJ005,T00132,T00133,Finish-to-Start
TD00070,PRJ005,T00132,T00134,Finish-to-Start
TD00071,PRJ005,T00134,T00135,Start-to-Start
TD00072,PRJ005,T00139,T00140,Finish-to-Finish
TD00073,PRJ005,T00140,T00142,Finish-to-Finish
TD00074,PRJ005,T00142,T00143,Start-to-Start
TD00075,PRJ005,T00142,T00145,Finish-to-Start
TD00076,PRJ005,T00143,T00146,Finish-to-Finish
TD00077,PRJ005,T00144,T00147,Finish-to-Start
TD00078,PRJ005,T00148,T00149,Finish-to-Finish
TD00079,PRJ005,T00150,T00153,Finish-to-Finish
TD00080,PRJ005,T00154,T00155,Start-to-Start
TD00081,PRJ005,T00155,T00157,Start-to-Start
TD00082,PRJ005,T00157,T00158,Start-to-Start
TD00083,PRJ005,T00158,T00159,Finish-to-Finish
TD00084,PRJ006,T00161,T00162,Finish-to-Start
TD00085,PRJ006,T00162,T00163,Finish-to-Start
TD00086,PRJ006,T00162,T00164,Finish-to-Start
TD00087,PRJ006,T00165,T00166,Start-to-Start
TD00088,PRJ006,T00173,T00175,Finish-to-Start
TD00089,PRJ006,T00174,T00176,Finish-to-Finish
TD00090,PRJ006,T00175,T00177,Start-to-Start
TD00091,PRJ006,T00176,T00178,Finish-to-Start
TD00092,PRJ006,T00179,T00181,Finish-to-Finish
TD00093,PRJ006,T00182,T00184,Finish-to-Finish
TD00094,PRJ006,T00182,T00185,Finish-to-Start
TD00095,PRJ006,T00184,T00186,Start-to-Start
TD00096,PRJ007,T00187,T00190,Start-to-Start
TD00097,PRJ007,T00190,T00191,Start-to-Start
TD00098,PRJ007,T00191,T00192,Finish-to-Finish
TD00099,PRJ007,T00195,T00196,Finish-to-Finish
TD00100,PRJ007,T00197,T00198,Finish-to-Start
TD00101,PRJ007,T00197,T00200,Start-to-Start
TD00102,PRJ007,T00200,T00201,Finish-to-Start
TD00103,PRJ007,T00201,T00202,Finish-to-Start
TD00104,PRJ007,T00201,T00204,Finish-to-Finish
TD00105,PRJ007,T00203,T00206,Start-to-Start
TD00106,PRJ007,T00207,T00208,Finish-to-Start
TD00107,PRJ007,T00209,T00210,Finish-to-Start
TD00108,PRJ007,T00209,T00211,Finish-to-Finish
TD00109,PRJ007,T00210,T00212,Start-to-Start
TD00110,PRJ007,T00214,T00216,Finish-to-Finish
TD00111,PRJ007,T00216,T00219,Finish-to-Start
TD00112,PRJ008,T00222,T00223,Start-to-Start
TD00113,PRJ008,T00225,T00226,Start-to-Start
TD00114,PRJ008,T00226,T00227,Finish-to-Start
TD00115,PRJ008,T00229,T00231,Finish-to-Finish
TD00116,PRJ008,T00229,T00232,Finish-to-Finish
TD00117,PRJ008,T00231,T00234,Finish-to-Start
TD00118,PRJ008,T00233,T00236,Finish-to-Start
TD00119,PRJ008,T00236,T00238,Finish-to-Finish
TD00120,PRJ008,T00237,T00239,Finish-to-Start
TD00121,PRJ008,T00239,T00240,Finish-to-Start
TD00122,PRJ008,T00238,T00241,Finish-to-Start
TD00123,PRJ008,T00240,T00242,Start-to-Start
TD00124,PRJ008,T00241,T00243,Finish-to-Finish
TD00125,PRJ008,T00242,T00244,Finish-to-Finish
TD00126,PRJ008,T00246,T00247,Finish-to-Finish
TD00127,PRJ008,T00249,T00251,Start-to-Start
TD00128,PRJ009,T00254,T00255,Finish-to-Start
TD00129,PRJ009,T00255,T00256,Finish-to-Start
TD00130,PRJ009,T00258,T00259,Finish-to-Start
TD00131,PRJ009,T00260,T00261,Finish-to-Start
TD00132,PRJ009,T00261,T00263,Start-to-Start
TD00133,PRJ009,T00269,T00270,Finish-to-Finish
TD00134,PRJ009,T00268,T00271,Finish-to-Finish
TD00135,PRJ009,T00270,T00272,Finish-to-Start
TD00136,PRJ009,T00272,T00273,Finish-to-Start
TD00137,PRJ009,T00271,T00274,Finish-to-Finish
TD00138,PRJ009,T00274,T00275,Finish-to-Start
TD00139,PRJ009,T00276,T00277,Finish-to-Start
TD00140,PRJ009,T00275,T00278,Finish-to-Finish
TD00141,PRJ009,T00279,T00280,Finish-to-Start
TD00142,PRJ009,T00280,T00282,Finish-to-Start
TD00143,PRJ010,T00288,T00291,Finish-to-Start
TD00144,PRJ010,T00292,T00293,Finish-to-Finish
TD00145,PRJ010,T00296,T00299,Finish-to-Start
TD00146,PRJ010,T00299,T00300,Finish-to-Finish
TD00147,PRJ010,T00300,T00302,Finish-to-Finish
TD00148,PRJ010,T00301,T00303,Finish-to-Finish
TD00149,PRJ010,T00304,T00306,Finish-to-Finish
TD00150,PRJ010,T00308,T00309,Finish-to-Start
TD00151,PRJ010,T00307,T00310,Start-to-Start
TD00152,PRJ011,T00313,T00315,Finish-to-Finish
TD00153,PRJ011,T00314,T00316,Finish-to-Finish
TD00154,PRJ011,T00317,T00318,Start-to-Start
TD00155,PRJ011,T00317,T00319,Start-to-Start
TD00156,PRJ011,T00319,T00320,Finish-to-Start
TD00157,PRJ011,T00320,T00323,Start-to-Start
TD00158,PRJ011,T00322,T00324,Finish-to-Start
TD00159,PRJ011,T00323,T00325,Finish-to-Start
TD00160,PRJ011,T00325,T00328,Finish-to-Start
TD00161,PRJ011,T00327,T00330,Finish-to-Finish
TD00162,PRJ011,T00329,T00332,Finish-to-Start
TD00163,PRJ011,T00334,T00336,Finish-to-Finish
TD00164,PRJ011,T00336,T00339,Start-to-Start
TD00165,PRJ011,T00337,T00340,Finish-to-Finish
TD00166,PRJ011,T00338,T00341,Finish-to-Finish
TD00167,PRJ011,T00342,T00343,Finish-to-Finish
TD00168,PRJ011,T00342,T00344,Finish-to-Start
TD00169,PRJ012,T00346,T00347,Finish-to-Start
TD00170,PRJ012,T00347,T00349,Start-to-Start
TD00171,PRJ012,T00350,T00351,Finish-to-Start
TD00172,PRJ012,T00354,T00355,Finish-to-Start
TD00173,PRJ012,T00354,T00356,Finish-to-Finish
TD00174,PRJ012,T00355,T00357,Start-to-Start
TD00175,PRJ012,T00357,T00358,Finish-to-Finish
TD00176,PRJ012,T00359,T00361,Start-to-Start
TD00177,PRJ012,T00360,T00362,Finish-to-Finish
TD00178,PRJ012,T00363,T00364,Finish-to-Finish
TD00179,PRJ012,T00365,T00367,Finish-to-Start
TD00180,PRJ012,T00367,T00369,Finish-to-Start
TD00181,PRJ013,T00373,T00374,Finish-to-Finish
TD00182,PRJ013,T00376,T00377,Finish-to-Finish
TD00183,PRJ013,T00379,T00380,Finish-to-Finish
TD00184,PRJ013,T00380,T00382,Start-to-Start
TD00185,PRJ013,T00386,T00387,Finish-to-Finish
TD00186,PRJ013,T00385,T00388,Finish-to-Start
TD00187,PRJ013,T00388,T00389,Finish-to-Start
TD00188,PRJ013,T00391,T00393,Start-to-Start
TD00189,PRJ013,T00393,T00394,Finish-to-Finish
TD00190,PRJ013,T00393,T00395,Finish-to-Start
TD00191,PRJ013,T00394,T00397,Finish-to-Start
TD00192,PRJ013,T00395,T00398,Start-to-Start
TD00193,PRJ014,T00400,T00401,Finish-to-Finish
TD00194,PRJ014,T00402,T00403,Finish-to-Start
TD00195,PRJ014,T00403,T00405,Finish-to-Finish
TD00196,PRJ014,T00405,T00406,Start-to-Start
TD00197,PRJ014,T00407,T00410,Start-to-Start
TD00198,PRJ014,T00409,T00411,Finish-to-Start
TD00199,PRJ014,T00409,T00412,Finish-to-Start
TD00200,PRJ014,T00412,T00414,Finish-to-Start
TD00201,PRJ014,T00414,T00416,Finish-to-Finish
TD00202,PRJ014,T00416,T00419,Finish-to-Start
TD00203,PRJ014,T00419,T00420,Finish-to-Finish
TD00204,PRJ014,T00420,T00421,Finish-to-Finish
TD00205,PRJ014,T00422,T00423,Start-to-Start
TD00206,PRJ014,T00422,T00425,Finish-to-Start
TD00207,PRJ014,T00424,T00427,Start-to-Start
TD00208,PRJ015,T00429,T00431,Start-to-Start
TD00209,PRJ015,T00432,T00433,Finish-to-Finish
TD00210,PRJ015,T00435,T00436,Start-to-Start
TD00211,PRJ015,T00436,T00437,Start-to-Start
TD00212,PRJ015,T00435,T00438,Finish-to-Finish
TD00213,PRJ015,T00438,T00441,Finish-to-Start
TD00214,PRJ015,T00440,T00442,Finish-to-Finish
TD00215,PRJ015,T00445,T00446,Finish-to-Start
TD00216,PRJ015,T00445,T00447,Finish-to-Start
TD00217,PRJ015,T00445,T00448,Start-to-Start
TD00218,PRJ015,T00446,T00449,Finish-to-Start
TD00219,PRJ015,T00448,T00451,Finish-to-Start
TD00220,PRJ015,T00449,T00452,Finish-to-Start
TD00221,PRJ015,T00454,T00455,Finish-to-Start
TD00222,PRJ015,T00455,T00457,Finish-to-Start
TD00223,PRJ016,T00458,T00461,Finish-to-Start
TD00224,PRJ016,T00461,T00462,Finish-to-Start
TD00225,PRJ016,T00462,T00463,Start-to-Start
TD00226,PRJ016,T00463,T00464,Start-to-Start
TD00227,PRJ016,T00462,T00465,Finish-to-Finish
TD00228,PRJ016,T00463,T00466,Finish-to-Finish
TD00229,PRJ016,T00467,T00468,Start-to-Start
TD00230,PRJ016,T00466,T00469,Start-to-Start
TD00231,PRJ016,T00468,T00470,Finish-to-Start
TD00232,PRJ016,T00471,T00473,Finish-to-Finish
TD00233,PRJ016,T00471,T00474,Finish-to-Finish
TD00234,PRJ016,T00474,T00476,Start-to-Start
TD00235,PRJ016,T00474,T00477,Finish-to-Finish
TD00236,PRJ016,T00475,T00478,Finish-to-Start
TD00237,PRJ016,T00478,T00479,Finish-to-Finish
TD00238,PRJ016,T00481,T00483,Start-to-Start
TD00239,PRJ016,T00483,T00484,Finish-to-Finish
TD00240,PRJ017,T00485,T00486,Finish-to-Start
TD00241,PRJ017,T00486,T00487,Finish-to-Start
TD00242,PRJ017,T00488,T00489,Finish-to-Finish
TD00243,PRJ017,T00488,T00490,Finish-to-Start
TD00244,PRJ017,T00491,T00494,Finish-to-Finish
TD00245,PRJ017,T00495,T00498,Start-to-Start
TD00246,PRJ017,T00498,T00499,Finish-to-Finish
TD00247,PRJ017,T00497,T00500,Start-to-Start
TD00248,PRJ017,T00502,T00503,Start-to-Start
TD00249,PRJ017,T00502,T00504,Finish-to-Start
TD00250,PRJ017,T00504,T00505,Finish-to-Start
TD00251,PRJ017,T00504,T00506,Finish-to-Finish
TD00252,PRJ017,T00507,T00508,Start-to-Start
TD00253,PRJ017,T00508,T00509,Start-to-Start
TD00254,PRJ017,T00509,T00510,Finish-to-Finish
TD00255,PRJ018,T00511,T00513,Finish-to-Start
TD00256,PRJ018,T00513,T00514,Finish-to-Finish
TD00257,PRJ018,T00515,T00517,Start-to-Start
TD00258,PRJ018,T00516,T00518,Start-to-Start
TD00259,PRJ018,T00518,T00519,Finish-to-Start
TD00260,PRJ018,T00520,T00521,Finish-to-Finish
TD00261,PRJ018,T00521,T00523,Finish-to-Finish
TD00262,PRJ018,T00523,T00525,Finish-to-Start
TD00263,PRJ018,T00524,T00526,Finish-to-Finish
TD00264,PRJ018,T00524,T00527,Finish-to-Start
TD00265,PRJ018,T00526,T00529,Finish-to-Finish
TD00266,PRJ018,T00529,T00530,Finish-to-Finish
TD00267,PRJ018,T00529,T00531,Finish-to-Finish
TD00268,PRJ018,T00531,T00532,Finish-to-Finish
TD00269,PRJ018,T00533,T00535,Finish-to-Start
TD00270,PRJ018,T00534,T00537,Finish-to-Start
TD00271,PRJ018,T00535,T00538,Finish-to-Finish
TD00272,PRJ018,T00537,T00539,Finish-to-Start
