project_member_id,project_id,employee_id,project_role,allocation_percent,joined_on,left_on,active
PM00030,PRJ003,E0057,Sales SME,35,2025-03-26,,true
PM00031,PRJ003,E0141,Engineer,25,2025-03-23,,true
PM00032,PRJ003,E0135,Finance SME,60,2025-02-26,,true
PM00033,PRJ003,E0006,Finance SME,30,2025-03-22,,true
PM00034,PRJ003,E0067,Marketing SME,20,2025-03-25,,true
PM00035,PRJ003,E0176,Finance SME,20,2025-02-15,,true
PM00036,PRJ004,E0002,Project Manager,45,2025-03-13,,true
PM00037,PRJ004,E0022,Security Specialist,60,2025-04-14,,true
PM00038,PRJ004,E0114,Engineer,60,2025-03-20,,true
PM00039,PRJ004,E0050,Engineer,30,2025-04-01,,true
PM00040,PRJ004,E0079,Engineer,50,2025-04-16,,true
PM00041,PRJ004,E0156,Engineer,50,2025-03-21,,true
PM00042,PRJ004,E0036,QA Specialist,60,2025-03-18,,true
PM00043,PRJ004,E0077,Engineer,50,2025-03-31,,true
PM00044,PRJ004,E0105,QA Specialist,35,2025-04-03,,true
PM00045,PRJ004,E0126,HR SME,35,2025-03-10,,true
PM00046,PRJ004,E0161,Security Specialist,60,2025-03-29,,true
PM00047,PRJ005,E0008,Project Manager,45,2025-05-07,,true
PM00048,PRJ005,E0077,Engineer,25,2025-05-09,,true
PM00049,PRJ005,E0083,QA Specialist,50,2025-04-22,,true
PM00050,PRJ005,E0017,QA Specialist,60,2025-05-01,,true
PM00051,PRJ005,E0026,Engineer,60,2025-04-17,,true
PM00052,PRJ005,E0049,QA Specialist,25,2025-04-14,,true
PM00053,PRJ005,E0101,Engineer,25,2025-04-05,,true
PM00054,PRJ005,E0038,Engineer,60,2025-03-31,,true
PM00055,PRJ005,E0133,Operations Analyst,30,2025-05-06,,true
PM00056,PRJ005,E0200,Operations Analyst,25,2025-04-03,,true
PM00057,PRJ006,E0007,Project Manager,45,2025-05-01,,true
PM00058,PRJ006,E0088,Engineer,25,2025-05-13,,true
PM00059,PRJ006,E0061,Operations Analyst,60,2025-05-03,,true
PM00060,PRJ006,E0062,Operations Analyst,35,2025-05-05,,true
PM00061,PRJ006,E0200,Operations Analyst,40,2025-04-28,,true
PM00062,PRJ006,E0056,Security Specialist,25,2025-04-29,,true
PM00063,PRJ006,E0083,QA Specialist,50,2025-05-11,,true
PM00064,PRJ006,E0169,Engineer,60,2025-04-23,,true
PM00065,PRJ006,E0028,Operations Analyst,30,2025-05-22,,true
PM00066,PRJ006,E0105,QA Specialist,30,2025-05-20,,true
PM00067,PRJ006,E0043,Operations Analyst,30,2025-04-23,,true
PM00068,PRJ006,E0099,QA Specialist,50,2025-04-09,,true
PM00069,PRJ007,E0010,Project Manager,45,2025-04-28,,true
PM00070,PRJ007,E0054,Engineer,40,2025-05-03,,true
PM00071,PRJ007,E0139,Customer Experience SME,50,2025-06-04,,true
PM00072,PRJ007,E0077,Engineer,60,2025-05-09,,true
PM00073,PRJ007,E0151,Engineer,40,2025-05-25,,true
PM00074,PRJ007,E0173,Customer Experience SME,40,2025-06-01,,true
PM00075,PRJ007,E0094,Operations Analyst,40,2025-05-14,,true
PM00076,PRJ007,E0050,Engineer,20,2025-05-17,,true
PM00077,PRJ007,E0078,Engineer,30,2025-05-20,,true
PM00078,PRJ007,E0128,Engineer,25,2025-06-03,,true
PM00079,PRJ008,E0009,Project Manager,45,2025-05-10,,true
PM00080,PRJ008,E0077,Engineer,20,2025-06-04,,true
PM00081,PRJ008,E0164,QA Specialist,25,2025-06-15,,true
PM00082,PRJ008,E0090,Security Specialist,50,2025-05-08,,true
PM00083,PRJ008,E0083,QA Specialist,25,2025-05-28,,true
PM00084,PRJ008,E0197,Engineer,25,2025-06-09,,true
PM00085,PRJ008,E0015,AI/Data Specialist,30,2025-06-14,,true
PM00086,PRJ008,E0182,QA Specialist,60,2025-05-31,,true
PM00087,PRJ008,E0198,AI/Data Specialist,25,2025-05-07,,true
PM00088,PRJ009,E0006,Project Manager,45,2025-07-01,,true
PM00089,PRJ009,E0038,Engineer,60,2025-06-04,,true
PM00090,PRJ009,E0091,Operations Analyst,60,2025-06-26,,true
PM00091,PRJ009,E0092,Operations Analyst,20,2025-05-29,,true
PM00092,PRJ009,E0030,Operations Analyst,60,2025-06-26,,true
PM00093,PRJ009,E0026,Engineer,35,2025-06-14,,true
PM00094,PRJ009,E0131,Finance SME,25,2025-06-08,,true
PM00095,PRJ009,E0053,Security Specialist,20,2025-06-17,,true
PM00096,PRJ009,E0129,Security Specialist,40,2025-06-06,,true
PM00097,PRJ009,E0033,Security Specialist,60,2025-06-30,,true
PM00098,PRJ009,E0062,Operations Analyst,30,2025-06-18,,true
PM00099,PRJ009,E0135,Finance SME,20,2025-07-08,,true
PM00100,PRJ009,E0142,Finance SME,50,2025-06-21,,true
PM00101,PRJ010,E0009,Project Manager,45,2025-07-24,,true
PM00102,PRJ010,E0093,AI/Data Specialist,40,2025-07-29,,true
PM00103,PRJ010,E0047,Sales SME,60,2025-08-01,,true
PM00104,PRJ010,E0077,Engineer,40,2025-07-30,,true
PM00105,PRJ010,E0048,Engineer,40,2025-07-14,,true
PM00106,PRJ010,E0029,AI/Data Specialist,30,2025-07-07,,true
PM00107,PRJ010,E0199,QA Specialist,60,2025-07-16,,true
PM00108,PRJ010,E0158,AI/Data Specialist,50,2025-07-05,,true
PM00109,PRJ010,E0197,Engineer,60,2025-08-08,,true
PM00110,PRJ011,E0004,Project Manager,45,2025-07-30,,true
PM00111,PRJ011,E0088,Engineer,50,2025-08-05,,true
PM00112,PRJ011,E0053,Security Specialist,20,2025-08-13,,true
PM00113,PRJ011,E0031,Security Specialist,30,2025-08-10,,true
PM00114,PRJ011,E0095,Security Specialist,40,2025-07-22,,true
PM00115,PRJ011,E0071,Engineer,20,2025-08-11,,true
PM00116,PRJ011,E0149,Engineer,20,2025-08-11,,true
PM00117,PRJ011,E0058,Engineer,30,2025-07-23,,true
PM00118,PRJ011,E0174,Security Specialist,50,2025-08-12,,true
PM00119,PRJ011,E0021,QA Specialist,20,2025-07-19,,true
PM00120,PRJ012,E0002,Project Manager,45,2025-08-26,,true
PM00121,PRJ012,E0114,Engineer,50,2025-07-22,,true
PM00122,PRJ012,E0041,Training Specialist,35,2025-08-08,,true
PM00123,PRJ012,E0096,QA Specialist,35,2025-08-25,,true
PM00124,PRJ012,E0076,QA Specialist,20,2025-07-19,,true
PM00125,PRJ012,E0079,Engineer,60,2025-07-18,,true
PM00126,PRJ012,E0054,Engineer,50,2025-07-20,,true
PM00127,PRJ012,E0162,Engineer,40,2025-07-25,,true
PM00128,PRJ012,E0053,Security Specialist,35,2025-07-19,,true
PM00129,PRJ012,E0036,QA Specialist,20,2025-08-14,,true
PM00130,PRJ012,E0182,QA Specialist,60,2025-07-30,,true
PM00131,PRJ013,E0005,Project Manager,45,2025-09-02,,true
PM00132,PRJ013,E0110,Finance SME,25,2025-08-24,,true
PM00133,PRJ013,E0197,Engineer,20,2025-08-15,,true
PM00134,PRJ013,E0147,Sales SME,50,2025-09-19,,true
PM00135,PRJ013,E0079,Engineer,35,2025-09-10,,true
PM00136,PRJ013,E0134,Marketing SME,35,2025-08-28,,true
PM00137,PRJ013,E0048,Engineer,20,2025-09-13,,true
PM00138,PRJ013,E0119,Engineer,40,2025-09-17,,true
PM00139,PRJ013,E0103,Engineer,30,2025-08-15,,true
PM00140,PRJ013,E0171,Engineer,60,2025-09-26,,true
PM00141,PRJ013,E0078,Engineer,25,2025-09-08,,true
PM00142,PRJ013,E0073,AI/Data Specialist,30,2025-09-17,,true
PM00143,PRJ013,E0178,Engineer,25,2025-08-18,,true
PM00144,PRJ014,E0008,Project Manager,45,2025-09-26,,true
PM00145,PRJ014,E0017,QA Specialist,40,2025-08-25,,true
PM00146,PRJ014,E0034,Security Specialist,20,2025-08-28,,true
PM00147,PRJ014,E0160,Security Specialist,30,2025-09-21,,true
PM00148,PRJ014,E0164,QA Specialist,60,2025-09-22,,true
PM00149,PRJ014,E0020,Engineer,60,2025-09-01,,true
PM00150,PRJ014,E0069,Operations Analyst,35,2025-09-18,,true
PM00151,PRJ014,E0003,Engineer,60,2025-08-26,,true
PM00152,PRJ014,E0122,QA Specialist,25,2025-08-25,,true
PM00153,PRJ015,E0009,Project Manager,45,2025-10-09,,true
PM00154,PRJ015,E0003,Engineer,50,2025-09-28,,true
PM00155,PRJ015,E0022,Security Specialist,25,2025-09-10,,true
PM00156,PRJ015,E0017,QA Specialist,30,2025-09-10,,true
PM00157,PRJ015,E0107,Engineer,35,2025-10-04,,true
PM00158,PRJ015,E0087,AI/Data Specialist,20,2025-09-28,,true
PM00159,PRJ015,E0136,QA Specialist,35,2025-09-22,,true
PM00160,PRJ015,E0074,Sales SME,40,2025-09-16,,true
PM00161,PRJ015,E0054,Engineer,25,2025-09-25,,true
PM00162,PRJ015,E0015,AI/Data Specialist,30,2025-09-12,,true
PM00163,PRJ015,E0038,Engineer,35,2025-10-02,,true
PM00164,PRJ016,E0006,Project Manager,45,2025-10-10,,true
PM00165,PRJ016,E0200,Operations Analyst,35,2025-10-22,,true
PM00166,PRJ016,E0113,Engineer,50,2025-10-16,,true
PM00167,PRJ016,E0111,Engineer,35,2025-10-09,,true
PM00168,PRJ016,E0058,Engineer,35,2025-11-14,,true
PM00169,PRJ016,E0135,Finance SME,40,2025-11-07,,true
PM00170,PRJ016,E0171,Engineer,30,2025-11-13,,true
PM00171,PRJ016,E0095,Security Specialist,20,2025-10-01,,true
PM00172,PRJ016,E0183,Operations Analyst,50,2025-11-11,,true
PM00173,PRJ016,E0013,Engineer,60,2025-10-15,,true
PM00174,PRJ016,E0062,Operations Analyst,50,2025-10-08,,true
PM00175,PRJ016,E0032,Finance SME,40,2025-10-29,,true
PM00176,PRJ016,E0034,Security Specialist,40,2025-10-31,,true
PM00177,PRJ017,E0011,Project Manager,45,2025-11-17,,true
PM00178,PRJ017,E0078,Engineer,35,2025-11-20,,true
PM00179,PRJ017,E0149,Engineer,60,2025-12-03,,true
PM00180,PRJ017,E0100,Engineer,30,2025-11-01,,true
PM00181,PRJ017,E0168,Sales SME,50,2025-11-28,,true
PM00182,PRJ017,E0079,Engineer,60,2025-11-02,,true
PM00183,PRJ017,E0121,Marketing SME,50,2025-11-10,,true
PM00184,PRJ017,E0169,Engineer,50,2025-11-14,,true
PM00185,PRJ017,E0153,Engineer,60,2025-11-25,,true
PM00186,PRJ018,E0012,Project Manager,45,2025-11-28,,true
PM00187,PRJ018,E0171,Engineer,50,2025-11-17,,true
PM00188,PRJ018,E0107,Engineer,50,2025-12-01,,true
PM00189,PRJ018,E0078,Engineer,35,2025-12-07,,true
PM00190,PRJ018,E0128,Engineer,50,2025-12-08,,true
PM00191,PRJ018,E0115,HR SME,30,2025-11-03,,true
PM00192,PRJ018,E0198,AI/Data Specialist,40,2025-11-01,,true
PM00193,PRJ018,E0104,HR SME,50,2025-12-08,,true
PM00194,PRJ018,E0020,Engineer,20,2025-11-14,,true
PM00195,PRJ018,E0172,AI/Data Specialist,25,2025-10-31,,true
PM00196,PRJ018,E0192,Engineer,30,2025-11-30,,true
PM00197,PRJ018,E0102,Training Specialist,50,2025-11-23,,true
