"judge_result_id","eval_item_id","eval_run_id","judge_type","judge_label","error_type","overall_score","correctness_score","grounding_score","safety_score"
"61","38643","4283","rule_engine","needs_human_review","grounding_gap","0.8193","0.1082","0.1572","0.6908"
"62","21635","20617","pairwise_ranker","pass","format","0.805","0.2118","0.1521","0.5537"
"63","46923","17550","model_judge","pass","format","0.7528","0.5271","0.9329","0.2545"
"64","44686","8528","hybrid_judge","pass","tool_failure","0.2873","0.4547","0.6603","0.1277"
"65","45413","3066","pairwise_ranker","borderline","grounding_gap","0.2527","0.2311","0.9508","0.6097"
"66","41315","8522","rule_engine","fail","reasoning","0.9731","0.606","0.0333","0.2046"
"67","29865","20822","rule_engine","borderline","hallucination","0.9998","0.521","0.0371","0.7293"
"68","33238","3989","hybrid_judge","fail","none","0.8669","0.4462","0.9456","0.2842"
"69","1704","17453","rule_engine","fail","grounding_gap","0.0868","0.3021","0.7933","0.1459"
"70","36465","11932","rule_engine","needs_human_review","none","0.3472","0.341","0.3576","0.1883"
"71","38419","19537","pairwise_ranker","borderline","policy","0.6345","0.1134","0.4587","0.7197"
"72","30514","10696","rule_engine","needs_human_review","tool_failure","0.3952","0.6971","0.8145","0.8525"
"73","48784","4778","model_judge","needs_human_review","none","0.2136","0.8559","0.4498","0.243"
"74","32353","22792","pairwise_ranker","needs_human_review","none","0.4943","0.6902","0.7169","0.1495"
"75","41694","4858","hybrid_judge","borderline","policy","0.5071","0.6827","0.9361","0.0487"
"76","32413","2122","rule_engine","pass","none","0.035","0.7987","0.7712","0.0949"
"77","2961","3423","rule_engine","borderline","hallucination","0.4811","0.7819","0.874","0.1453"
"78","13645","15475","pairwise_ranker","needs_human_review","policy","0.8656","0.564","0.5287","0.2974"
"79","13703","1729","hybrid_judge","needs_human_review","tool_failure","0.6513","0.073","0.9639","0.2172"
"80","25085","7066","model_judge","needs_human_review","format","0.0833","0.8916","0.3113","0.6338"
"81","24626","16697","rule_engine","fail","format","0.425","0.1915","0.5711","0.4997"
"82","7749","10088","rule_engine","fail","hallucination","0.7006","0.9307","0.7342","0.9939"
"83","32915","2621","hybrid_judge","pass","policy","0.061","0.8039","0.0635","0.3012"
"84","1324","19860","pairwise_ranker","needs_human_review","policy","0.9338","0.4539","0.5011","0.6683"
"85","13015","15894","hybrid_judge","pass","reasoning","0.7367","0.0252","0.5102","0.6377"
"86","17510","4801","pairwise_ranker","pass","grounding_gap","0.6492","0.9638","0.7857","0.6862"
"87","2924","16403","model_judge","borderline","grounding_gap","0.8444","0.2609","0.542","0.7394"
"88","4638","17682","model_judge","fail","grounding_gap","0.0815","0.9955","0.4112","0.9498"
"89","49279","12126","hybrid_judge","pass","reasoning","0.0967","0.6303","0.7552","0.1638"
"90","45600","10826","pairwise_ranker","borderline","reasoning","0.8874","0.1909","0.7734","0.5796"
"91","5788","7154","pairwise_ranker","pass","format","0.5608","0.11","0.481","0.5833"
"92","48059","14998","hybrid_judge","pass","none","0.2959","0.0735","0.0027","0.3929"
"93","42004","3299","hybrid_judge","fail","policy","0.8683","0.0056","0.9998","0.715"
"94","9056","1736","model_judge","needs_human_review","reasoning","0.0059","0.7012","0.633","0.8566"
"95","38302","22716","model_judge","pass","policy","0.296","0.0195","0.1289","0.3336"
"96","32291","8184","pairwise_ranker","fail","policy","0.4064","0.6194","0.6806","0.2202"
"97","25160","18558","pairwise_ranker","pass","reasoning","0.1107","0.0891","0.6398","0.4691"
"98","39956","24395","pairwise_ranker","pass","hallucination","0.4627","0.9503","0.3257","0.0964"
"99","23218","9939","rule_engine","pass","hallucination","0.7989","0.9175","0.9334","0.1049"
"100","27907","22306","model_judge","fail","hallucination","0.2402","0.3359","0.9723","0.2476"
"101","48183","1994","model_judge","needs_human_review","grounding_gap","0.9967","0.0036","0.4048","0.1479"
"102","1426","24288","pairwise_ranker","needs_human_review","hallucination","0.1722","0.4772","0.8796","0.8175"
"103","45394","10716","rule_engine","borderline","none","0.7505","0.3981","0.5533","0.6886"
"104","41121","1592","model_judge","fail","hallucination","0.6319","0.0913","0.5235","0.2386"
"105","4651","24185","model_judge","pass","reasoning","0.1362","0.3942","0.476","0.3019"
"106","8468","11689","pairwise_ranker","needs_human_review","policy","0.9721","0.635","0.8553","0.4113"
"107","46779","7894","hybrid_judge","needs_human_review","reasoning","0.1063","0.0626","0.2619","0.816"
"108","22828","5717","model_judge","fail","hallucination","0.007","0.3868","0.5359","0.5569"
"109","14830","4306","hybrid_judge","borderline","hallucination","0.1876","0.2886","0.7343","0.8388"
"110","49636","1562","rule_engine","needs_human_review","none","0.1062","0.0626","0.5341","0.5813"
"111","13060","8682","rule_engine","borderline","tool_failure","0.3466","0.0466","0.5796","0.0524"
"112","38437","14353","model_judge","borderline","hallucination","0.9205","0.4978","0.8448","0.2488"
"113","14911","13355","pairwise_ranker","needs_human_review","format","0.6231","0.2853","0.4653","0.509"
"114","25766","1327","model_judge","borderline","reasoning","0.1881","0.6239","0.3245","0.2044"
"115","35722","3510","hybrid_judge","borderline","grounding_gap","0.6757","0.6303","0.488","0.1704"
"116","19068","5045","hybrid_judge","needs_human_review","tool_failure","0.1966","0.5904","0.51","0.6486"
"117","26271","7095","rule_engine","needs_human_review","reasoning","0.6478","0.8452","0.2314","0.4195"
"118","31104","10093","rule_engine","borderline","grounding_gap","0.399","0.3893","0.8061","0.6139"
"119","6174","11447","hybrid_judge","fail","policy","0.6601","0.4596","0.6307","0.1922"
"120","34253","4311","hybrid_judge","fail","grounding_gap","0.5951","0.5051","0.8787","0.8328"
"121","20313","12867","hybrid_judge","pass","format","0.3275","0.0345","0.5777","0.5307"
"122","23252","18906","model_judge","fail","none","0.4873","0.0119","0.2212","0.4445"
"123","2578","22752","rule_engine","borderline","none","0.5919","0.7427","0.4536","0.1858"
"124","43266","9343","hybrid_judge","pass","reasoning","0.7258","0.7914","0.5298","0.5154"
"125","38093","22439","hybrid_judge","fail","reasoning","0.2125","0.8932","0.5272","0.7917"
"126","7771","18669","rule_engine","needs_human_review","format","0.9116","0.9059","0.3125","0.5532"
"127","47222","10312","hybrid_judge","fail","none","0.963","0.4219","0.8163","0.5617"
"128","23908","11277","model_judge","needs_human_review","none","0.8044","0.4412","0.4418","0.2883"
"129","9642","20252","rule_engine","borderline","reasoning","0.5858","0.6406","0.6859","0.3745"
"130","17061","24627","model_judge","borderline","grounding_gap","0.4803","0.5561","0.8084","0.2327"
"131","17590","14438","hybrid_judge","pass","none","0.416","0.7987","0.9151","0.8093"
"132","33447","24502","model_judge","borderline","tool_failure","0.2184","0.2436","0.4794","0.994"
"133","21515","19021","hybrid_judge","needs_human_review","grounding_gap","0.4065","0.8601","0.6614","0.2146"
"134","34120","8279","model_judge","borderline","reasoning","0.8752","0.5569","0.4242","0.6841"
"135","8174","9932","pairwise_ranker","borderline","none","0.6307","0.9276","0.866","0.6675"
"136","27401","4537","rule_engine","borderline","tool_failure","0.0758","0.1696","0.4862","0.2676"
"137","40432","19932","hybrid_judge","pass","format","0.2081","0.2498","0.1746","0.4029"
"138","24749","10317","rule_engine","borderline","policy","0.1969","0.878","0.055","0.4716"
"139","33255","21607","rule_engine","pass","reasoning","0.1884","0.3971","0.0509","0.2988"
"140","36168","15992","model_judge","pass","grounding_gap","0.2208","0.3745","0.5556","0.4182"
"141","10840","3290","pairwise_ranker","borderline","format","0.9107","0.3486","0.9225","0.7281"
"142","10987","9701","hybrid_judge","needs_human_review","hallucination","0.8964","0.4144","0.4024","0.7712"
"143","37987","11650","rule_engine","pass","hallucination","0.0303","0.4875","0.6918","0.2384"
"144","44304","12329","model_judge","borderline","format","0.9496","0.8733","0.6585","0.9632"
"145","35699","4066","rule_engine","borderline","format","0.8804","0.0716","0.7159","0.6485"
"146","48282","17679","rule_engine","needs_human_review","hallucination","0.1554","0.3008","0.5639","0.871"
"147","18638","8500","rule_engine","pass","none","0.1565","0.6566","0.0348","0.3069"
"148","46483","17457","hybrid_judge","pass","reasoning","0.7803","0.6111","0.8955","0.019"
"149","12383","18364","hybrid_judge","fail","reasoning","0.7934","0.688","0.4442","0.3927"
"150","33610","2136","hybrid_judge","borderline","grounding_gap","0.6955","0.0808","0.9509","0.5371"
"151","39071","12164","model_judge","needs_human_review","tool_failure","0.7972","0.9378","0.7892","0.2502"
"152","27870","6763","hybrid_judge","borderline","tool_failure","0.2454","0.6444","0.8055","0.1395"
"153","44342","8145","hybrid_judge","needs_human_review","tool_failure","0.7077","0.9864","0.4839","0.0474"
"154","30991","20892","pairwise_ranker","borderline","format","0.836","0.9744","0.7677","0.153"
"155","39408","5589","hybrid_judge","fail","reasoning","0.3525","0.1894","0.6644","0.5391"
"156","443","3804","rule_engine","needs_human_review","tool_failure","0.4125","0.0277","0.9309","0.0402"
"157","16434","24429","model_judge","borderline","policy","0.5468","0.4298","0.5047","0.3471"
"158","15865","6441","model_judge","needs_human_review","hallucination","0.5141","0.6103","0.7481","0.3243"
"159","19947","24254","hybrid_judge","borderline","format","0.0656","0.7664","0.1435","0.6952"
"160","23919","24678","rule_engine","borderline","policy","0.131","0.1967","0.9413","0.4564"
"161","13023","6750","rule_engine","needs_human_review","policy","0.0772","0.7817","0.8129","0.6829"
"162","40689","21834","hybrid_judge","borderline","hallucination","0.596","0.9788","0.347","0.2504"
"163","10150","24950","pairwise_ranker","borderline","tool_failure","0.4213","0.3445","0.6094","0.7985"
"164","44713","10083","pairwise_ranker","borderline","format","0.8998","0.47","0.8927","0.6327"
"165","32629","1688","rule_engine","pass","format","0.0201","0.3769","0.8981","0.03"
"166","37948","7168","hybrid_judge","fail","none","0.0849","0.7677","0.6588","0.9822"
"167","39435","10674","rule_engine","pass","none","0.256","0.5977","0.6903","0.0552"
"168","40302","9546","model_judge","fail","tool_failure","0.647","0.0341","0.1735","0.5342"
"169","39060","3206","hybrid_judge","fail","tool_failure","0.5436","0.1707","0.6931","0.1781"
"170","30039","14066","hybrid_judge","fail","tool_failure","0.8588","0.465","0.1336","0.1535"
"171","1316","16628","pairwise_ranker","borderline","hallucination","0.7827","0.3941","0.2425","0.0557"
"172","19920","17483","rule_engine","pass","policy","0.9023","0.4775","0.9589","0.256"
"173","29933","16877","hybrid_judge","needs_human_review","reasoning","0.7888","0.9378","0.5679","0.9742"
"174","49717","18775","hybrid_judge","borderline","tool_failure","0.3571","0.9335","0.0822","0.0701"
"175","14777","4006","hybrid_judge","needs_human_review","hallucination","0.3154","0.4688","0.1384","0.2713"
"176","11467","4761","rule_engine","fail","format","0.2217","0.3233","0.881","0.5297"
"177","6111","418","hybrid_judge","needs_human_review","grounding_gap","0.9282","0.716","0.5548","0.4027"
"178","46187","18202","rule_engine","borderline","tool_failure","0.2973","0.0748","0.9184","0.0945"
"179","8704","22258","pairwise_ranker","pass","none","0.0719","0.3868","0.6808","0.5548"
"180","29796","10268","rule_engine","needs_human_review","policy","0.248","0.1161","0.8365","0.9568"
"181","31798","6392","hybrid_judge","needs_human_review","reasoning","0.9733","0.9071","0.5044","0.4202"
"182","2481","14409","rule_engine","borderline","grounding_gap","0.7218","0.3419","0.6413","0.1572"
"183","41848","17949","pairwise_ranker","pass","grounding_gap","0.8054","0.0773","0.0064","0.7537"
"184","10044","5401","pairwise_ranker","needs_human_review","grounding_gap","0.8472","0.3258","0.6648","0.3762"
"185","24737","19645","model_judge","borderline","tool_failure","0.3963","0.9002","0.3295","0.7186"
"186","9935","12657","hybrid_judge","borderline","policy","0.6735","0.928","0.8303","0.8515"
"187","16552","3040","pairwise_ranker","fail","format","0.2331","0.5018","0.5526","0.559"
"188","39171","10351","model_judge","pass","grounding_gap","0.7846","0.091","0.9062","0.0765"
"189","13962","22929","rule_engine","fail","none","0.19","0.5251","0.4422","0.5525"
"190","20306","20409","model_judge","pass","reasoning","0.3528","0.5244","0.5854","0.0856"
"191","29886","12365","hybrid_judge","pass","format","0.8016","0.6933","0.9464","0.1544"
"192","40071","2688","model_judge","pass","policy","0.4925","0.1407","0.9432","0.8662"
"193","23604","6617","rule_engine","needs_human_review","reasoning","0.2957","0.0202","0.8093","0.2549"
"194","41652","7399","pairwise_ranker","fail","reasoning","0.1462","0.0261","0.606","0.2298"
"195","12403","16705","model_judge","fail","tool_failure","0.3645","0.0777","0.3955","0.7472"
"196","17648","10259","pairwise_ranker","needs_human_review","reasoning","0.0841","0.1352","0.5547","0.9274"
"197","20427","8713","model_judge","borderline","policy","0.0644","0.9884","0.595","0.6978"
"198","24850","928","model_judge","needs_human_review","grounding_gap","0.53","0.0053","0.3564","0.3409"
"199","31114","20582","model_judge","needs_human_review","none","0.161","0.6333","0.1759","0.277"
"200","5537","11571","pairwise_ranker","fail","policy","0.5925","0.2112","0.0675","0.4546"
"201","21240","16494","model_judge","fail","format","0.403","0.9145","0.6477","0.1673"
"202","17410","9565","hybrid_judge","needs_human_review","tool_failure","0.9655","0.4405","0.9504","0.945"
"203","40655","1550","rule_engine","fail","format","0.1093","0.5865","0.1949","0.6287"
"204","15622","3253","rule_engine","fail","hallucination","0.7692","0.1337","0.1688","0.9829"
"205","47850","2134","pairwise_ranker","fail","policy","0.9193","0.2187","0.1798","0.683"
"206","41801","4691","model_judge","fail","reasoning","0.7755","0.8455","0.7588","0.4926"
"207","39462","15669","pairwise_ranker","needs_human_review","grounding_gap","0.1956","0.8776","0.533","0.7048"
"208","46896","3837","hybrid_judge","borderline","format","0.6503","0.7471","0.9988","0.8601"
"209","24059","9818","model_judge","borderline","grounding_gap","0.3572","0.8233","0.5838","0.9392"
"210","48754","451","pairwise_ranker","borderline","policy","0.2265","0.8236","0.0442","0.0549"
"211","17512","22709","hybrid_judge","pass","reasoning","0.0874","0.6984","0.5466","0.9679"
"212","1688","15104","model_judge","pass","reasoning","0.7785","0.2824","0.7777","0.5983"
"213","8691","13586","model_judge","needs_human_review","hallucination","0.2599","0.7771","0.8411","0.0091"
"214","3564","24792","rule_engine","fail","policy","0.5272","0.0692","0.8783","0.5826"
"215","16781","8290","rule_engine","pass","policy","0.5691","0.9182","0.2869","0.18"
"216","39241","15119","pairwise_ranker","borderline","grounding_gap","0.8105","0.0091","0.072","0.1052"
"217","20177","10500","pairwise_ranker","borderline","format","0.1329","0.3518","0.0028","0.5463"
"218","38416","18498","hybrid_judge","pass","format","0.069","0.0876","0.3722","0.1424"
"219","30259","9683","hybrid_judge","needs_human_review","reasoning","0.375","0.4578","0.3093","0.8972"
"220","49094","17891","hybrid_judge","pass","none","0.936","0.6139","0.0527","0.2621"
"221","26885","20230","rule_engine","pass","none","0.792","0.2806","0.2765","0.9109"
"222","11306","23927","hybrid_judge","needs_human_review","policy","0.9799","0.6492","0.2722","0.983"
"223","2857","22137","rule_engine","fail","format","0.6692","0.2018","0.6644","0.8046"
"224","44442","9435","pairwise_ranker","needs_human_review","none","0.182","0.881","0.8251","0.8391"
"225","42948","12166","hybrid_judge","pass","tool_failure","0.4292","0.4811","0.7308","0.7844"
"226","27501","17089","rule_engine","needs_human_review","hallucination","0.7171","0.1599","0.3025","0.336"
"227","610","9462","hybrid_judge","borderline","hallucination","0.5494","0.5881","0.5599","0.4735"
"228","22340","14809","hybrid_judge","pass","tool_failure","0.5792","0.719","0.4539","0.6335"
"229","10861","24386","rule_engine","fail","policy","0.3642","0.1864","0.2126","0.5408"
"230","360","19504","hybrid_judge","pass","grounding_gap","0.0948","0.2807","0.5808","0.4458"
"231","23632","19679","model_judge","needs_human_review","policy","0.9084","0.2436","0.5456","0.3693"
"232","44639","24408","pairwise_ranker","pass","hallucination","0.5759","0.8912","0.4829","0.042"
"233","21887","12209","model_judge","fail","policy","0.7872","0.0148","0.4805","0.7059"
"234","26596","12396","rule_engine","needs_human_review","grounding_gap","0.8363","0.5385","0.9818","0.1099"
"235","33916","18552","hybrid_judge","pass","grounding_gap","0.4598","0.8786","0.4247","0.4488"
"236","8793","15036","model_judge","fail","none","0.5947","0.9868","0.1208","0.3455"
"237","39538","13591","rule_engine","pass","policy","0.5354","0.7635","0.2986","0.4592"
"238","31957","22242","hybrid_judge","pass","format","0.1814","0.9871","0.2546","0.5661"
"239","37312","23986","rule_engine","fail","policy","0.9768","0.6323","0.5722","0.8189"
"240","3552","4988","hybrid_judge","borderline","policy","0.8749","0.8853","0.0792","0.2333"
"241","15027","9038","hybrid_judge","needs_human_review","format","0.1574","0.0072","0.2123","0.1829"
"242","24639","24357","pairwise_ranker","needs_human_review","hallucination","0.4103","0.4164","0.5754","0.0323"
"243","1721","5772","hybrid_judge","borderline","policy","0.9452","0.164","0.0996","0.7342"
"244","32395","18787","pairwise_ranker","fail","reasoning","0.2962","0.0763","0.6183","0.6878"
"245","37761","13219","rule_engine","fail","hallucination","0.6648","0.6035","0.8966","0.6142"
"246","20457","13717","model_judge","needs_human_review","tool_failure","0.73","0.1433","0.1788","0.6185"
"247","11070","5720","rule_engine","fail","reasoning","0.9189","0.1055","0.0421","0.1461"
"248","7753","516","hybrid_judge","needs_human_review","format","0.1723","0.127","0.4739","0.9028"
"249","14291","21843","hybrid_judge","pass","format","0.0533","0.9577","0.1924","0.9994"
"250","25026","446","pairwise_ranker","needs_human_review","format","0.1226","0.5839","0.5313","0.9565"
"251","31260","12585","pairwise_ranker","fail","hallucination","0.923","0.3863","0.8595","0.0822"
"252","24200","11279","model_judge","borderline","grounding_gap","0.025","0.8272","0.7099","0.9965"
"253","2642","24495","model_judge","borderline","none","0.2646","0.2135","0.7121","0.7962"
"254","21791","17882","model_judge","fail","reasoning","0.8902","0.8518","0.0842","0.5166"
"255","16950","14631","rule_engine","pass","hallucination","0.8323","0.2675","0.1408","0.528"
"256","16438","4247","hybrid_judge","needs_human_review","tool_failure","0.0115","0.8584","0.0429","0.5432"
"257","25264","24150","model_judge","borderline","format","0.6699","0.0777","0.4023","0.542"
"258","44374","17338","rule_engine","borderline","format","0.0954","0.6768","0.4645","0.302"
"259","34264","15721","hybrid_judge","fail","hallucination","0.5562","0.2185","0.9882","0.7154"
"260","8413","9649","hybrid_judge","fail","hallucination","0.5433","0.6129","0.7807","0.2073"
"261","35560","15009","pairwise_ranker","needs_human_review","format","0.1972","0.8148","0.8589","0.7282"
"262","6225","18233","model_judge","fail","hallucination","0.2541","0.8673","0.4821","0.1622"
"263","22816","8235","rule_engine","fail","reasoning","0.0373","0.3186","0.475","0.1374"
"264","380","18747","pairwise_ranker","needs_human_review","hallucination","0.1764","0.1972","0.5741","0.637"
"265","41995","22527","rule_engine","needs_human_review","none","0.7059","0.9183","0.5485","0.0351"
"266","32418","15951","hybrid_judge","needs_human_review","hallucination","0.5065","0.0224","0.4627","0.6451"
"267","23412","16782","pairwise_ranker","borderline","hallucination","0.2136","0.174","0.3032","0.6237"
"268","4791","20459","rule_engine","borderline","policy","0.1924","0.706","0.3015","0.661"
"269","13309","19510","rule_engine","needs_human_review","none","0.1277","0.9599","0.763","0.5181"
"270","23342","12651","rule_engine","fail","none","0.8799","0.6082","0.2893","0.236"
"271","40611","3121","rule_engine","fail","tool_failure","0.4411","0.1208","0.1977","0.2774"
"272","48327","24967","hybrid_judge","pass","none","0.7538","0.9684","0.4755","0.3707"
"273","10962","17999","rule_engine","needs_human_review","tool_failure","0.0944","0.6806","0.4959","0.8398"
"274","48256","9742","model_judge","pass","tool_failure","0.2637","0.9577","0.5552","0.5629"
"275","6921","7026","model_judge","needs_human_review","reasoning","0.1079","0.4738","0.4717","0.5928"
"276","27451","18693","model_judge","pass","hallucination","0.4969","0.1617","0.2459","0.4082"
"277","21105","10047","hybrid_judge","pass","grounding_gap","0.1305","0.653","0.3553","0.7807"
"278","30601","2535","hybrid_judge","pass","reasoning","0.9722","0.754","0.8794","0.8839"
"279","9550","22466","model_judge","pass","tool_failure","0.8884","0.9775","0.7981","0.3506"
"280","27929","22771","pairwise_ranker","fail","policy","0.8508","0.2149","0.8792","0.4957"
"281","11296","16814","rule_engine","borderline","hallucination","0.2835","0.0095","0.5814","0.4905"
"282","48737","11084","rule_engine","needs_human_review","reasoning","0.7173","0.0223","0.5484","0.9514"
"283","11090","559","rule_engine","pass","policy","0.9807","0.1969","0.6397","0.5984"
"284","41545","8126","rule_engine","fail","reasoning","0.9862","0.6935","0.8665","0.964"
"285","21617","22815","hybrid_judge","fail","tool_failure","0.4218","0.345","0.8306","0.2287"
"286","28143","10997","rule_engine","needs_human_review","hallucination","0.1252","0.8504","0.2851","0.2307"
"287","42127","11776","rule_engine","borderline","hallucination","0.5671","0.7227","0.5302","0.3902"
"288","33068","2257","pairwise_ranker","needs_human_review","hallucination","0.4422","0.1033","0.8731","0.4142"
"289","40471","8693","rule_engine","pass","tool_failure","0.6372","0.4084","0.1568","0.3102"
"290","17729","2960","model_judge","pass","tool_failure","0.562","0.7796","0.6246","0.1316"
"291","15026","12220","hybrid_judge","pass","policy","0.2729","0.8747","0.847","0.6813"
"292","9632","11348","rule_engine","fail","hallucination","0.9632","0.0461","0.3995","0.8607"
"293","30507","212","rule_engine","fail","none","0.8727","0.0458","0.0715","0.035"
"294","14835","696","rule_engine","pass","tool_failure","0.7965","0.9044","0.5502","0.5925"
"295","2971","23665","hybrid_judge","needs_human_review","reasoning","0.5582","0.5086","0.1415","0.3887"
"296","23913","18068","rule_engine","fail","policy","0.7209","0.9985","0.1534","0.737"
"297","22713","10997","pairwise_ranker","borderline","policy","0.122","0.9654","0.3852","0.0854"
"298","15453","16923","hybrid_judge","pass","hallucination","0.2336","0.4726","0.3079","0.3416"
"299","40868","10163","hybrid_judge","needs_human_review","policy","0.4861","0.7235","0.3027","0.5006"
"300","8756","20635","hybrid_judge","borderline","hallucination","0.7662","0.0488","0.9584","0.4423"
"301","26514","22749","pairwise_ranker","needs_human_review","policy","0.4896","0.8741","0.2882","0.6787"
"302","32423","3499","hybrid_judge","fail","hallucination","0.9314","0.0985","0.5497","0.9452"
"303","10399","6252","pairwise_ranker","needs_human_review","format","0.1246","0.8475","0.0372","0.0555"
"304","37493","8417","model_judge","pass","grounding_gap","0.0581","0.5105","0.4239","0.2542"
"305","24065","23100","hybrid_judge","pass","grounding_gap","0.1766","0.7368","0.837","0.7112"
"306","12182","1678","model_judge","pass","policy","0.579","0.5916","0.8825","0.7399"
"307","20619","22722","pairwise_ranker","needs_human_review","format","0.7059","0.4388","0.5363","0.8346"
"308","18709","21043","pairwise_ranker","borderline","reasoning","0.3255","0.0763","0.6925","0.2433"
