"eval_run_id","program_id","candidate_variant","dataset_split","items_total","avg_judge_score","pass_rate","cost_usd","eval_batch_name","run_started_at"
"23","46","candidate_a","test","584","0.7135","0.6068","205.1868","batch_23","2025-10-02"
"24","356","prompt_refresh","test","428","0.9219","0.9091","157.6658","batch_24","2025-02-21"
"25","550","candidate_b","validation","127","0.4931","0.7753","86.3617","batch_25","2025-06-04"
"26","273","candidate_a","test","76","0.6131","0.9652","137.0743","batch_26","2025-12-08"
"27","389","candidate_a","test","386","0.6697","0.5087","106.0548","batch_27","2025-06-15"
"28","550","candidate_a","validation","230","0.8419","0.5274","123.5375","batch_28","2025-02-01"
"29","343","prompt_refresh","validation","576","0.8107","0.5553","0.9698","batch_29","2025-04-01"
"30","423","prompt_refresh","validation","148","0.9168","0.5747","60.4561","batch_30","2025-10-19"
"31","30","prompt_refresh","test","510","0.8101","0.4039","107.5144","batch_31","2025-08-21"
"32","133","tool_router_patch","test","197","0.8587","0.6712","78.0043","batch_32","2025-11-30"
"33","88","candidate_c","train","315","0.5145","0.9645","177.5591","batch_33","2025-03-18"
"34","308","candidate_a","train","185","0.6702","0.5801","239.0591","batch_34","2025-03-03"
"35","184","candidate_a","test","108","0.8789","0.4456","118.6175","batch_35","2025-11-25"
"36","170","candidate_c","validation","288","0.8163","0.9858","75.2134","batch_36","2025-06-19"
"37","320","prompt_refresh","train","97","0.8364","0.8364","13.3952","batch_37","2025-06-13"
"38","123","candidate_b","test","350","0.6922","0.4502","180.2013","batch_38","2025-03-24"
"39","461","candidate_b","validation","39","0.5606","0.5004","213.7173","batch_39","2025-02-19"
"40","489","prompt_refresh","test","293","0.5633","0.6466","160.6476","batch_40","2025-12-18"
"41","23","prompt_refresh","test","556","0.6523","0.7041","112.323","batch_41","2025-09-01"
"42","598","candidate_c","validation","140","0.8244","0.4278","45.8112","batch_42","2025-05-01"
"43","302","candidate_b","validation","263","0.6032","0.4326","188.7089","batch_43","2025-05-10"
"44","448","candidate_a","train","461","0.9584","0.9466","39.8286","batch_44","2025-05-04"
"45","32","prompt_refresh","validation","397","0.6322","0.8802","16.9236","batch_45","2025-02-22"
"46","541","prompt_refresh","validation","515","0.8805","0.6126","144.6933","batch_46","2025-05-16"
"47","222","tool_router_patch","test","48","0.8265","0.7797","197.0699","batch_47","2025-03-10"
"48","611","candidate_b","validation","374","0.6363","0.7754","97.8768","batch_48","2025-09-03"
"49","22","candidate_a","test","199","0.8713","0.5726","111.9256","batch_49","2025-05-27"
"50","527","candidate_a","train","195","0.9466","0.9182","110.2667","batch_50","2025-04-17"
"51","470","candidate_c","test","217","0.8913","0.4387","237.5567","batch_51","2025-10-08"
"52","489","tool_router_patch","validation","457","0.4691","0.5553","161.9002","batch_52","2025-07-31"
"53","565","tool_router_patch","train","324","0.6339","0.9785","15.9616","batch_53","2025-10-10"
"54","542","candidate_b","train","594","0.868","0.9567","15.1247","batch_54","2025-09-05"
"55","580","prompt_refresh","validation","300","0.467","0.9634","184.8045","batch_55","2025-08-16"
"56","494","candidate_a","test","419","0.7287","0.5897","173.2111","batch_56","2025-08-15"
"57","310","tool_router_patch","train","184","0.718","0.5334","216.6093","batch_57","2025-01-06"
"58","361","tool_router_patch","train","430","0.9335","0.4084","6.1774","batch_58","2025-11-13"
"59","518","tool_router_patch","validation","472","0.8123","0.7434","123.1639","batch_59","2025-05-03"
"60","76","tool_router_patch","test","259","0.4995","0.4874","230.1588","batch_60","2025-07-24"
"61","341","candidate_b","validation","367","0.4833","0.5115","82.4381","batch_61","2025-02-20"
"62","22","candidate_a","train","313","0.6758","0.8167","108.7051","batch_62","2025-12-30"
"63","51","tool_router_patch","test","167","0.7246","0.9571","99.9206","batch_63","2025-10-18"
"64","556","tool_router_patch","test","384","0.6895","0.6562","5.23","batch_64","2025-10-16"
"65","146","prompt_refresh","test","462","0.5867","0.8594","25.4457","batch_65","2025-02-06"
"66","324","tool_router_patch","test","406","0.6507","0.4584","115.6452","batch_66","2025-11-27"
"67","563","candidate_b","validation","357","0.9435","0.6088","48.8593","batch_67","2025-08-09"
"68","446","candidate_b","train","256","0.8099","0.5348","229.5253","batch_68","2025-04-04"
"69","585","candidate_c","validation","474","0.9872","0.9386","100.1621","batch_69","2025-08-24"
"70","364","candidate_b","validation","90","0.5193","0.5352","133.527","batch_70","2025-02-09"
"71","545","candidate_c","train","277","0.6224","0.7252","57.2667","batch_71","2025-12-27"
"72","486","candidate_a","validation","538","0.8317","0.5717","120.3789","batch_72","2025-07-04"
"73","19","prompt_refresh","validation","481","0.9687","0.6293","74.2861","batch_73","2025-11-14"
"74","233","tool_router_patch","validation","399","0.6351","0.9947","201.3465","batch_74","2025-06-02"
"75","239","candidate_b","train","383","0.8","0.9486","208.137","batch_75","2025-09-15"
"76","305","prompt_refresh","validation","204","0.6855","0.4779","97.2512","batch_76","2025-05-13"
"77","204","candidate_a","test","519","0.7275","0.5084","5.3302","batch_77","2025-08-30"
"78","479","candidate_c","train","588","0.5912","0.6469","145.6554","batch_78","2025-05-30"
"79","552","prompt_refresh","test","426","0.6088","0.8434","226.574","batch_79","2025-09-09"
"80","516","candidate_a","test","358","0.77","0.6551","14.9633","batch_80","2025-07-08"
"81","383","tool_router_patch","train","289","0.6296","0.8782","68.2799","batch_81","2025-06-10"
"82","17","candidate_c","test","337","0.9254","0.8185","222.2608","batch_82","2025-09-22"
"83","576","prompt_refresh","validation","447","0.4831","0.8041","102.6905","batch_83","2025-08-04"
"84","589","tool_router_patch","validation","578","0.8541","0.5476","18.0187","batch_84","2025-03-29"
"85","114","candidate_a","train","389","0.9094","0.5161","135.1743","batch_85","2025-03-25"
"86","114","candidate_a","train","219","0.6909","0.5815","4.3965","batch_86","2025-11-06"
"87","226","candidate_b","validation","374","0.63","0.7547","237.1577","batch_87","2025-03-24"
"88","561","candidate_b","validation","244","0.635","0.5671","132.6139","batch_88","2025-02-06"
"89","388","candidate_c","validation","108","0.9421","0.8714","230.0327","batch_89","2025-09-20"
"90","399","candidate_b","validation","418","0.5662","0.9733","219.1145","batch_90","2025-02-28"
"91","203","candidate_b","test","326","0.671","0.6117","62.0355","batch_91","2025-06-06"
"92","513","tool_router_patch","validation","567","0.5772","0.5505","173.3295","batch_92","2025-02-08"
"93","361","candidate_a","test","448","0.6584","0.5984","108.5563","batch_93","2025-03-25"
"94","408","prompt_refresh","train","277","0.6748","0.9076","145.7099","batch_94","2025-01-23"
"95","38","candidate_b","test","75","0.6908","0.9646","19.3174","batch_95","2025-11-23"
"96","71","candidate_b","test","183","0.8616","0.65","61.5903","batch_96","2025-07-18"
"97","63","candidate_b","validation","265","0.784","0.7653","28.5929","batch_97","2025-08-28"
"98","428","prompt_refresh","test","516","0.5276","0.941","228.0779","batch_98","2025-07-13"
"99","36","candidate_a","test","54","0.8611","0.9153","23.8761","batch_99","2025-10-29"
"100","225","candidate_c","train","461","0.8877","0.844","130.0323","batch_100","2025-11-01"
"101","298","candidate_a","test","553","0.9187","0.7271","206.3741","batch_101","2025-07-31"
"102","19","candidate_a","test","137","0.7838","0.4168","213.6256","batch_102","2025-09-13"
"103","7","tool_router_patch","train","227","0.5115","0.4953","173.2514","batch_103","2025-03-27"
"104","249","prompt_refresh","validation","292","0.5144","0.7491","198.9799","batch_104","2025-11-08"
"105","577","tool_router_patch","test","347","0.8908","0.6131","15.1636","batch_105","2025-08-15"
"106","265","prompt_refresh","train","510","0.6065","0.5839","1.4301","batch_106","2025-01-29"
"107","399","candidate_c","validation","59","0.9266","0.5164","96.6053","batch_107","2025-07-17"
"108","480","candidate_a","validation","252","0.9683","0.7158","211.8","batch_108","2025-07-01"
"109","486","prompt_refresh","validation","83","0.8479","0.4554","224.8238","batch_109","2025-10-10"
"110","510","candidate_a","test","114","0.5282","0.9508","7.8609","batch_110","2025-04-18"
"111","457","candidate_a","train","459","0.7601","0.6851","97.574","batch_111","2025-04-18"
"112","267","candidate_c","train","80","0.6396","0.5485","26.3775","batch_112","2025-03-29"
"113","78","candidate_a","validation","286","0.8521","0.4242","224.281","batch_113","2025-07-08"
"114","131","tool_router_patch","validation","539","0.7891","0.5468","113.0448","batch_114","2025-06-19"
"115","419","candidate_c","train","423","0.9027","0.5185","22.919","batch_115","2025-03-07"
"116","417","tool_router_patch","test","385","0.9571","0.924","88.2846","batch_116","2025-01-23"
"117","391","candidate_c","test","230","0.4589","0.9803","49.8675","batch_117","2025-04-06"
"118","541","tool_router_patch","validation","309","0.7688","0.5006","149.6923","batch_118","2025-08-08"
"119","295","candidate_a","validation","339","0.5112","0.4525","89.5495","batch_119","2025-12-14"
"120","219","candidate_a","test","122","0.8483","0.7544","130.5827","batch_120","2025-02-02"
"121","311","candidate_b","test","158","0.6472","0.6575","22.7762","batch_121","2025-03-09"
"122","291","candidate_a","test","201","0.8559","0.8662","44.1846","batch_122","2025-09-28"
"123","527","candidate_a","train","84","0.602","0.9469","200.3033","batch_123","2025-06-07"
"124","446","candidate_a","validation","315","0.9477","0.7228","201.8843","batch_124","2025-03-26"
"125","111","candidate_b","test","287","0.9886","0.8175","3.927","batch_125","2025-09-03"
"126","601","candidate_c","test","202","0.7366","0.5336","115.9814","batch_126","2025-05-28"
"127","129","tool_router_patch","test","156","0.488","0.57","18.9995","batch_127","2025-09-03"
"128","484","prompt_refresh","test","497","0.8688","0.8667","161.9353","batch_128","2025-04-29"
"129","292","candidate_b","validation","88","0.6803","0.9573","65.9176","batch_129","2025-07-28"
"130","546","candidate_c","train","479","0.7222","0.4363","191.9869","batch_130","2025-07-19"
"131","125","candidate_b","test","298","0.7338","0.8094","115.6132","batch_131","2025-01-13"
"132","300","candidate_b","test","63","0.9516","0.4537","97.2558","batch_132","2025-07-04"
"133","54","candidate_b","test","163","0.7533","0.9111","5.0778","batch_133","2025-01-08"
"134","267","candidate_a","validation","108","0.7607","0.4349","80.052","batch_134","2025-09-18"
"135","572","tool_router_patch","test","436","0.8638","0.9815","14.6611","batch_135","2025-02-16"
"136","351","candidate_a","test","371","0.8336","0.9106","174.0963","batch_136","2025-05-21"
"137","227","candidate_b","train","434","0.4894","0.7191","100.2888","batch_137","2025-05-13"
"138","442","tool_router_patch","validation","580","0.7074","0.5879","126.4946","batch_138","2025-08-16"
"139","249","tool_router_patch","validation","296","0.8535","0.7659","195.7413","batch_139","2025-06-23"
"140","473","tool_router_patch","test","37","0.6205","0.4969","50.6805","batch_140","2025-07-22"
"141","210","candidate_b","validation","285","0.9359","0.5768","14.8459","batch_141","2025-08-21"
"142","216","prompt_refresh","test","404","0.5949","0.4333","100.7914","batch_142","2025-02-13"
"143","134","candidate_b","train","104","0.8181","0.8374","184.8877","batch_143","2025-10-12"
"144","252","tool_router_patch","train","332","0.9275","0.4616","217.3983","batch_144","2025-05-20"
"145","264","prompt_refresh","train","306","0.865","0.9506","182.7008","batch_145","2025-12-05"
"146","181","candidate_a","test","323","0.4954","0.9754","5.9632","batch_146","2025-06-18"
"147","160","candidate_a","test","130","0.636","0.4606","141.3117","batch_147","2025-06-08"
"148","2","candidate_c","train","197","0.5437","0.9698","111.5563","batch_148","2025-04-20"
"149","544","tool_router_patch","test","351","0.558","0.4927","124.0119","batch_149","2025-10-30"
"150","333","candidate_b","train","172","0.818","0.4366","132.9759","batch_150","2025-10-03"
"151","161","candidate_a","test","475","0.5466","0.7358","12.9243","batch_151","2025-02-04"
"152","498","candidate_b","validation","503","0.8676","0.6305","179.0316","batch_152","2025-01-18"
"153","423","candidate_c","validation","554","0.6237","0.4618","133.8418","batch_153","2025-07-26"
"154","382","candidate_a","train","192","0.617","0.6404","193.3552","batch_154","2025-02-01"
"155","473","prompt_refresh","test","538","0.4535","0.5956","4.0105","batch_155","2025-08-14"
"156","51","tool_router_patch","validation","464","0.5781","0.8874","192.0667","batch_156","2025-05-01"
"157","576","candidate_c","test","524","0.8067","0.6828","181.8668","batch_157","2025-04-26"
"158","197","prompt_refresh","test","555","0.808","0.4768","96.3589","batch_158","2025-01-27"
"159","581","tool_router_patch","train","471","0.9458","0.5079","126.9108","batch_159","2025-04-04"
"160","187","candidate_c","validation","424","0.9451","0.788","169.2176","batch_160","2025-07-02"
"161","433","candidate_b","train","538","0.8556","0.7192","98.4561","batch_161","2025-01-21"
"162","236","candidate_b","test","507","0.8488","0.7849","139.6746","batch_162","2025-04-27"
"163","601","prompt_refresh","train","504","0.9692","0.5406","231.1487","batch_163","2025-12-17"
"164","584","candidate_c","train","340","0.7158","0.6544","58.9403","batch_164","2025-03-18"
"165","77","prompt_refresh","validation","559","0.5723","0.4426","165.9978","batch_165","2025-01-31"
"166","469","candidate_a","test","243","0.4927","0.551","143.111","batch_166","2025-04-14"
"167","392","tool_router_patch","train","454","0.4773","0.748","175.1377","batch_167","2025-08-11"
"168","68","prompt_refresh","test","566","0.6347","0.8101","181.9408","batch_168","2025-08-28"
"169","298","prompt_refresh","train","187","0.5012","0.893","86.0291","batch_169","2025-01-15"
"170","355","candidate_a","validation","295","0.4739","0.9019","191.0976","batch_170","2025-05-10"
"171","496","candidate_c","validation","401","0.8618","0.4074","177.5392","batch_171","2025-06-09"
"172","23","prompt_refresh","train","304","0.585","0.7613","184.1473","batch_172","2025-09-16"
"173","457","candidate_b","test","284","0.963","0.8807","88.5746","batch_173","2025-10-18"
"174","428","candidate_c","test","541","0.5824","0.7793","80.119","batch_174","2025-07-14"
"175","367","tool_router_patch","test","114","0.7902","0.4662","18.388","batch_175","2025-04-03"
"176","606","tool_router_patch","train","327","0.9042","0.7487","40.279","batch_176","2025-02-28"
"177","306","prompt_refresh","test","215","0.8168","0.6479","217.987","batch_177","2025-01-27"
"178","227","prompt_refresh","validation","103","0.6664","0.8326","172.5445","batch_178","2025-01-16"
"179","31","candidate_c","train","160","0.8872","0.6386","214.6625","batch_179","2025-09-09"
"180","422","candidate_a","validation","292","0.6036","0.5586","202.3836","batch_180","2025-12-31"
"181","24","prompt_refresh","test","586","0.9066","0.6059","42.3263","batch_181","2025-08-14"
"182","223","candidate_c","validation","289","0.9342","0.5508","213.8485","batch_182","2025-02-07"
"183","553","prompt_refresh","train","212","0.6898","0.8379","26.7074","batch_183","2025-12-25"
"184","16","tool_router_patch","test","578","0.9046","0.9449","185.8778","batch_184","2025-11-13"
"185","446","tool_router_patch","test","537","0.707","0.5856","18.7336","batch_185","2025-04-08"
"186","187","prompt_refresh","test","361","0.6512","0.4414","122.3023","batch_186","2025-10-26"
"187","169","prompt_refresh","validation","535","0.8701","0.4872","169.7307","batch_187","2025-08-02"
"188","439","tool_router_patch","train","266","0.9193","0.7354","115.8046","batch_188","2025-01-27"
"189","520","candidate_a","validation","200","0.9082","0.8646","65.2276","batch_189","2025-07-23"
"190","617","tool_router_patch","test","583","0.7009","0.9669","186.7312","batch_190","2025-11-26"
"191","66","tool_router_patch","validation","418","0.5067","0.4915","138.5753","batch_191","2025-10-20"
"192","288","candidate_b","test","219","0.7056","0.9575","147.3572","batch_192","2025-11-11"
"193","464","tool_router_patch","test","208","0.6253","0.5757","25.1509","batch_193","2025-12-09"
"194","490","candidate_b","test","53","0.9308","0.5417","198.7895","batch_194","2025-07-04"
"195","316","candidate_a","train","79","0.5636","0.4792","144.7828","batch_195","2025-05-28"
"196","542","tool_router_patch","test","597","0.7348","0.8835","188.3802","batch_196","2025-02-20"
"197","320","tool_router_patch","test","574","0.6046","0.5888","119.9934","batch_197","2025-11-08"
"198","280","candidate_c","train","515","0.4676","0.6392","18.5775","batch_198","2025-11-01"
"199","551","prompt_refresh","test","565","0.8674","0.4382","157.3711","batch_199","2025-11-22"
"200","81","prompt_refresh","test","487","0.5613","0.9345","68.0126","batch_200","2025-12-21"
"201","326","prompt_refresh","validation","67","0.6182","0.4193","175.1441","batch_201","2025-03-23"
"202","192","prompt_refresh","validation","339","0.6331","0.9626","197.8156","batch_202","2025-08-13"
"203","267","tool_router_patch","train","329","0.7148","0.5156","98.5419","batch_203","2025-10-31"
"204","422","tool_router_patch","test","488","0.7306","0.6513","117.3711","batch_204","2025-03-30"
"205","429","candidate_c","validation","567","0.6271","0.7216","167.6157","batch_205","2025-05-24"
"206","265","prompt_refresh","validation","243","0.484","0.4599","233.4796","batch_206","2025-05-16"
"207","412","candidate_a","validation","493","0.8808","0.8887","141.1197","batch_207","2025-02-19"
"208","74","prompt_refresh","test","590","0.5751","0.802","11.6298","batch_208","2025-12-21"
"209","506","tool_router_patch","test","79","0.8429","0.6577","181.7109","batch_209","2025-01-07"
"210","71","candidate_c","test","319","0.5407","0.5949","74.7316","batch_210","2025-12-25"
"211","21","prompt_refresh","validation","429","0.8342","0.5804","78.9306","batch_211","2025-04-15"
"212","198","candidate_b","test","75","0.489","0.6572","24.4192","batch_212","2025-04-21"
"213","393","prompt_refresh","validation","335","0.6374","0.852","34.7245","batch_213","2025-12-15"
"214","546","candidate_c","validation","537","0.8037","0.8225","182.6974","batch_214","2025-07-12"
"215","570","candidate_a","test","133","0.6807","0.9046","36.4401","batch_215","2025-01-29"
"216","9","prompt_refresh","test","254","0.7314","0.7955","55.4269","batch_216","2025-09-15"
"217","495","candidate_b","train","231","0.6237","0.5214","0.9212","batch_217","2025-11-11"
"218","290","prompt_refresh","validation","97","0.5729","0.8231","81.6704","batch_218","2025-09-03"
"219","532","tool_router_patch","test","352","0.976","0.5476","119.2238","batch_219","2025-10-15"
"220","91","candidate_c","test","463","0.7398","0.6519","172.1167","batch_220","2025-04-21"
"221","69","candidate_b","test","295","0.7245","0.6442","36.3544","batch_221","2025-10-06"
"222","340","candidate_a","test","96","0.6709","0.8502","66.7827","batch_222","2025-07-21"
"223","551","tool_router_patch","validation","66","0.9344","0.725","165.5399","batch_223","2025-04-06"
"224","596","candidate_c","train","209","0.5917","0.6725","21.9904","batch_224","2025-05-31"
"225","453","tool_router_patch","validation","344","0.4555","0.6055","205.7802","batch_225","2025-05-03"
"226","52","candidate_a","test","177","0.7769","0.5994","25.0925","batch_226","2025-01-03"
"227","277","tool_router_patch","validation","425","0.5639","0.4307","106.2609","batch_227","2025-02-19"
"228","624","candidate_a","test","373","0.5745","0.9217","144.0656","batch_228","2025-06-24"
"229","222","tool_router_patch","validation","476","0.7994","0.469","232.8778","batch_229","2025-09-30"
"230","559","prompt_refresh","train","140","0.5573","0.6016","85.6882","batch_230","2025-11-17"
"231","147","prompt_refresh","test","420","0.9872","0.8763","168.9429","batch_231","2025-10-19"
"232","477","candidate_b","train","505","0.7775","0.643","161.0722","batch_232","2025-11-11"
"233","579","candidate_c","validation","55","0.7188","0.6006","78.1157","batch_233","2025-06-10"
"234","175","candidate_a","validation","505","0.8071","0.5756","117.3401","batch_234","2025-03-23"
"235","146","prompt_refresh","test","80","0.9638","0.4904","55.7799","batch_235","2025-10-27"
"236","271","prompt_refresh","train","288","0.7825","0.5633","182.1132","batch_236","2025-02-28"
"237","550","candidate_c","train","477","0.5508","0.858","4.8893","batch_237","2025-12-30"
"238","139","tool_router_patch","test","479","0.8468","0.6934","208.8776","batch_238","2025-07-28"
"239","40","candidate_a","test","560","0.7758","0.8842","110.5928","batch_239","2025-08-26"
"240","67","candidate_a","train","27","0.4542","0.5526","4.3873","batch_240","2025-02-04"
"241","476","prompt_refresh","test","446","0.5945","0.8897","188.0971","batch_241","2025-11-14"
"242","587","candidate_b","train","131","0.6107","0.4291","61.3404","batch_242","2025-09-14"
"243","72","prompt_refresh","validation","537","0.4834","0.4235","136.6538","batch_243","2025-07-24"
"244","602","candidate_c","validation","71","0.8355","0.7534","14.3192","batch_244","2025-08-13"
"245","138","candidate_b","test","48","0.4669","0.9593","194.2911","batch_245","2025-03-26"
"246","359","candidate_a","validation","276","0.933","0.9731","22.3544","batch_246","2025-08-22"
"247","234","tool_router_patch","test","249","0.6158","0.591","30.8356","batch_247","2025-07-15"
"248","431","candidate_a","test","52","0.8816","0.7892","198.2138","batch_248","2025-02-27"
"249","127","candidate_c","validation","589","0.6193","0.425","34.1197","batch_249","2025-03-14"
"250","347","candidate_b","train","108","0.8134","0.6895","191.9798","batch_250","2025-01-23"
"251","205","prompt_refresh","test","483","0.4725","0.715","30.1288","batch_251","2025-11-28"
"252","532","tool_router_patch","test","74","0.4807","0.9069","169.5844","batch_252","2025-12-11"
"253","247","candidate_c","validation","356","0.9247","0.471","207.4845","batch_253","2025-09-11"
"254","500","candidate_c","validation","499","0.7325","0.493","147.9343","batch_254","2025-04-30"
"255","378","candidate_b","validation","421","0.8875","0.9058","10.0511","batch_255","2025-06-03"
"256","424","candidate_b","train","383","0.8947","0.5808","9.4868","batch_256","2025-12-25"
"257","40","candidate_b","train","111","0.5149","0.9004","27.7804","batch_257","2025-04-26"
"258","431","tool_router_patch","test","442","0.8121","0.6556","35.9671","batch_258","2025-11-21"
"259","592","candidate_c","test","199","0.9724","0.5138","53.3047","batch_259","2025-06-23"
"260","447","prompt_refresh","train","156","0.8978","0.9553","79.6904","batch_260","2025-06-11"
"261","549","candidate_a","train","220","0.7774","0.8814","28.4721","batch_261","2025-07-09"
"262","59","tool_router_patch","train","522","0.5587","0.6443","53.8201","batch_262","2025-12-18"
"263","338","prompt_refresh","test","335","0.7941","0.7656","113.7759","batch_263","2025-05-19"
"264","432","candidate_b","validation","246","0.5791","0.6357","152.4523","batch_264","2025-02-09"
"265","556","candidate_a","train","497","0.6464","0.7345","200.0419","batch_265","2025-01-01"
"266","375","tool_router_patch","train","581","0.6712","0.5913","217.6815","batch_266","2025-03-19"
"267","251","tool_router_patch","train","162","0.8111","0.6414","207.0294","batch_267","2025-05-02"
"268","143","tool_router_patch","test","235","0.8214","0.4737","150.5708","batch_268","2025-07-30"
"269","229","candidate_a","train","325","0.804","0.735","108.9737","batch_269","2025-01-24"
"270","224","tool_router_patch","validation","125","0.7906","0.5437","105.9318","batch_270","2025-04-26"
"271","378","prompt_refresh","validation","401","0.89","0.5162","175.2423","batch_271","2025-05-01"
"272","490","tool_router_patch","test","114","0.6531","0.863","174.8782","batch_272","2025-04-05"
"273","251","candidate_b","validation","467","0.929","0.4311","12.2388","batch_273","2025-07-12"
"274","45","candidate_a","validation","392","0.7043","0.8331","51.2619","batch_274","2025-02-27"
"275","119","tool_router_patch","validation","28","0.9672","0.7179","2.6439","batch_275","2025-07-23"
"276","6","candidate_a","train","161","0.9029","0.6183","166.8631","batch_276","2025-11-20"
"277","355","candidate_a","test","315","0.7811","0.6713","181.936","batch_277","2025-05-25"
"278","92","candidate_a","test","68","0.5347","0.5125","7.5014","batch_278","2025-12-19"
"279","321","candidate_b","validation","304","0.9553","0.6414","92.0204","batch_279","2025-01-31"
"280","273","tool_router_patch","train","363","0.4759","0.9748","85.9625","batch_280","2025-07-02"
"281","616","candidate_c","validation","182","0.7653","0.83","22.7366","batch_281","2025-05-29"
"282","159","candidate_b","test","477","0.482","0.5488","226.1483","batch_282","2025-09-24"
"283","510","tool_router_patch","test","409","0.9888","0.8456","182.8287","batch_283","2025-02-09"
"284","131","candidate_c","train","136","0.6815","0.4823","200.5784","batch_284","2025-02-26"
"285","273","candidate_b","train","250","0.8336","0.4503","70.9182","batch_285","2025-07-04"
"286","466","candidate_a","test","351","0.5021","0.7464","87.4459","batch_286","2025-02-19"
"287","181","candidate_b","validation","541","0.8602","0.7473","55.0596","batch_287","2025-09-02"
"288","354","candidate_a","train","519","0.9599","0.4197","209.8058","batch_288","2025-09-07"
"289","194","candidate_b","test","443","0.7807","0.7179","37.6257","batch_289","2025-01-26"
"290","480","candidate_c","test","168","0.6078","0.8288","203.5524","batch_290","2025-12-09"
"291","65","prompt_refresh","test","517","0.6248","0.6949","48.9063","batch_291","2025-03-15"
"292","213","candidate_a","validation","564","0.6456","0.8685","76.3862","batch_292","2025-03-20"
"293","420","candidate_b","validation","552","0.5843","0.5674","72.0975","batch_293","2025-03-22"
"294","564","prompt_refresh","test","327","0.5764","0.5764","232.0709","batch_294","2025-08-02"
"295","243","candidate_a","train","63","0.5935","0.6869","27.7752","batch_295","2025-06-04"
"296","533","tool_router_patch","test","540","0.8081","0.585","212.8982","batch_296","2025-11-24"
"297","601","candidate_b","validation","77","0.5958","0.8776","95.5489","batch_297","2025-12-12"
"298","517","candidate_c","test","265","0.4533","0.8924","184.1734","batch_298","2025-12-05"
"299","406","candidate_c","train","340","0.7299","0.5256","196.8183","batch_299","2025-08-30"
"300","254","prompt_refresh","train","81","0.924","0.7659","83.6028","batch_300","2025-02-06"
"301","129","candidate_a","test","148","0.6508","0.5814","226.8742","batch_301","2025-07-25"
"302","90","candidate_b","test","405","0.5132","0.5259","119.1261","batch_302","2025-03-19"
"303","399","candidate_a","validation","154","0.6189","0.7628","222.5603","batch_303","2025-01-23"
"304","324","candidate_a","train","533","0.9762","0.9145","142.2392","batch_304","2025-08-27"
"305","45","tool_router_patch","validation","234","0.4687","0.5304","207.3855","batch_305","2025-06-02"
"306","334","candidate_c","test","482","0.6794","0.4456","113.5925","batch_306","2025-11-17"
"307","423","candidate_a","train","484","0.456","0.947","199.7437","batch_307","2025-02-22"
"308","145","tool_router_patch","train","372","0.4651","0.9657","167.4594","batch_308","2025-03-18"
"309","586","candidate_c","train","592","0.8436","0.6233","120.295","batch_309","2025-07-20"
"310","484","tool_router_patch","train","273","0.8108","0.9294","22.5657","batch_310","2025-03-09"
"311","332","candidate_c","validation","488","0.8635","0.8315","17.4788","batch_311","2025-08-25"
"312","425","prompt_refresh","test","327","0.4619","0.9379","84.3789","batch_312","2025-07-07"
"313","608","prompt_refresh","train","253","0.8199","0.7233","123.3175","batch_313","2025-10-04"
"314","141","prompt_refresh","test","519","0.988","0.8067","223.2508","batch_314","2025-03-14"
"315","72","tool_router_patch","validation","157","0.8125","0.6723","20.1169","batch_315","2025-11-09"
