"metric_id","program_id","metric_date","eval_runs_total","items_total","pass_rate","review_rate","regression_rate","judge_human_disagreement_rate","hallucination_rate"
"152","464","2025-04-23","34","716","0.5268","0.1945","0.2247","0.0542","0.1448"
"153","200","2025-08-29","34","498","0.6659","0.0673","0.0178","0.176","0.0009"
"154","593","2025-02-01","14","227","0.5111","0.2912","0.2391","0.0909","0.0404"
"155","238","2025-05-02","11","686","0.9063","0.3352","0.2257","0.0046","0.0053"
"156","245","2025-04-06","20","752","0.8503","0.2237","0.1927","0.178","0.0476"
"157","59","2025-03-25","10","1192","0.9908","0.0474","0.0972","0.1527","0.0983"
"158","214","2025-08-14","22","313","0.4518","0.4025","0.2503","0.1232","0.0183"
"159","513","2025-08-26","30","376","0.5258","0.1855","0.0708","0.2181","0.112"
"160","459","2025-06-27","37","212","0.538","0.2686","0.0583","0.0982","0.0801"
"161","181","2025-01-19","23","793","0.8991","0.3649","0.2736","0.2023","0.0659"
"162","110","2025-07-23","15","118","0.4528","0.2022","0.245","0.2031","0.1088"
"163","543","2025-01-15","13","738","0.4524","0.3118","0.0249","0.1302","0.1677"
"164","472","2025-11-14","2","274","0.8616","0.1015","0.1356","0.0923","0.0782"
"165","398","2025-10-12","7","746","0.9193","0.0416","0.2578","0.1151","0.0977"
"166","446","2025-03-27","22","214","0.8155","0.0221","0.0691","0.1175","0.0628"
"167","332","2025-10-07","8","1050","0.5177","0.1888","0.0299","0.2001","0.0133"
"168","420","2025-08-07","34","537","0.8025","0.1692","0.2035","0.1302","0.0191"
"169","251","2025-08-11","4","624","0.5054","0.1789","0.0286","0.0161","0.1739"
"170","501","2025-11-03","20","196","0.9436","0.0899","0.1278","0.1921","0.1719"
"171","392","2025-04-04","14","70","0.4584","0.0322","0.1476","0.0765","0.1598"
"172","293","2025-06-26","3","1091","0.7242","0.2995","0.1251","0.0908","0.1585"
"173","428","2025-09-07","20","1071","0.8776","0.2461","0.0332","0.0405","0.1421"
"174","162","2025-03-11","37","251","0.5253","0.1005","0.132","0.1001","0.1129"
"175","1","2025-04-09","28","765","0.9193","0.2753","0.0436","0.1598","0.156"
"176","22","2025-03-18","33","264","0.655","0.3314","0.0607","0.0253","0.0946"
"177","293","2025-05-13","36","1129","0.4534","0.0772","0.1755","0.1095","0.0644"
"178","479","2025-07-08","29","838","0.9598","0.2149","0.2645","0.1367","0.0353"
"179","42","2025-10-28","27","886","0.5285","0.0817","0.2587","0.2102","0.1662"
"180","507","2025-03-03","18","203","0.8402","0.1381","0.1475","0.038","0.1322"
"181","66","2025-02-27","31","380","0.8897","0.3048","0.087","0.0132","0.0834"
"182","342","2025-03-19","14","957","0.9218","0.1193","0.028","0.1832","0.1582"
"183","427","2025-12-26","2","559","0.8672","0.2115","0.0338","0.068","0.1543"
"184","294","2025-06-02","29","136","0.7297","0.2733","0.2681","0.1723","0.0703"
"185","474","2025-12-02","13","661","0.6714","0.3994","0.0412","0.1636","0.0628"
"186","370","2025-06-24","5","629","0.72","0.2625","0.0766","0.0097","0.0756"
"187","272","2025-09-20","21","201","0.4674","0.3706","0.1798","0.1881","0.0216"
"188","527","2025-06-20","35","926","0.8838","0.1608","0.0108","0.0162","0.0768"
"189","356","2025-05-24","8","1109","0.6102","0.1492","0.2743","0.0273","0.1694"
"190","609","2025-12-02","25","1101","0.8322","0.4466","0.2331","0.1552","0.019"
"191","540","2025-01-31","31","682","0.459","0.2027","0.2615","0.1069","0.0852"
"192","74","2025-07-10","17","900","0.807","0.3125","0.1128","0.2175","0.0566"
"193","4","2025-12-16","30","122","0.9064","0.0528","0.0166","0.085","0.034"
"194","548","2025-03-15","22","782","0.9496","0.282","0.168","0.0843","0.0443"
"195","162","2025-02-21","38","1180","0.6371","0.0855","0.2133","0.1461","0.0441"
"196","606","2025-08-23","16","626","0.8107","0.1037","0.039","0.0242","0.0142"
"197","140","2025-09-11","13","405","0.8983","0.0982","0.2225","0.0214","0.0494"
"198","253","2025-11-22","10","834","0.6697","0.0381","0.023","0.0938","0.0098"
"199","563","2025-01-18","37","922","0.7204","0.1595","0.1842","0.0629","0.1259"
"200","308","2025-02-23","13","452","0.7229","0.06","0.017","0.1717","0.0926"
"201","140","2025-04-01","31","708","0.9709","0.1087","0.162","0.1779","0.1451"
"202","368","2025-02-28","11","919","0.5769","0.0187","0.1857","0.1426","0.1732"
"203","222","2025-05-12","9","251","0.5776","0.0918","0.1255","0.187","0.0379"
"204","279","2025-03-08","23","119","0.548","0.4407","0.0827","0.1206","0.1568"
"205","405","2025-03-12","3","1157","0.4728","0.2253","0.1471","0.1391","0.0414"
"206","299","2025-04-06","38","138","0.8272","0.1686","0.1193","0.0778","0.0678"
"207","119","2025-08-27","26","30","0.5659","0.3986","0.0044","0.1247","0.0605"
"208","70","2025-08-01","37","738","0.5695","0.2685","0.056","0.0881","0.0835"
"209","376","2025-11-08","7","754","0.8905","0.4171","0.2253","0.2126","0.1689"
"210","446","2025-01-16","30","1156","0.8035","0.3242","0.2526","0.1191","0.1594"
"211","241","2025-04-01","1","945","0.7073","0.0353","0.1605","0.0856","0.0819"
"212","280","2025-05-15","26","990","0.7245","0.3435","0.0832","0.1602","0.1488"
"213","89","2025-12-13","31","499","0.981","0.2863","0.1535","0.0009","0.0382"
"214","221","2025-06-06","28","1200","0.8864","0.0409","0.1106","0.1833","0.1212"
"215","520","2025-01-24","38","403","0.972","0.0562","0.0104","0.1955","0.0404"
"216","182","2025-09-02","20","1112","0.7087","0.0438","0.1207","0.166","0.1703"
"217","490","2025-11-24","17","424","0.8997","0.1543","0.2408","0.2078","0.0423"
"218","56","2025-07-03","28","521","0.8675","0.0428","0.0463","0.142","0.1321"
"219","195","2025-04-17","10","84","0.7799","0.1209","0.0501","0.1693","0.1216"
"220","516","2025-05-23","7","785","0.6063","0.3303","0.2544","0.1246","0.1573"
"221","501","2025-08-23","7","970","0.7339","0.3436","0.1838","0.1933","0.1278"
"222","597","2025-02-16","4","91","0.5373","0.422","0.1175","0.0879","0.0683"
"223","601","2025-04-22","13","211","0.5421","0.2887","0.1231","0.0091","0.0453"
"224","35","2025-10-10","4","391","0.9263","0.2945","0.2444","0.0102","0.1028"
"225","97","2025-07-28","15","673","0.4851","0.1452","0.2742","0.1502","0.1542"
"226","138","2025-04-21","17","503","0.956","0.29","0.2438","0.1105","0.12"
"227","309","2025-06-23","12","689","0.5283","0.1035","0.1115","0.0938","0.1237"
"228","135","2025-09-27","22","730","0.8781","0.2535","0.1276","0.1252","0.1326"
"229","584","2025-10-07","28","972","0.8375","0.0605","0.2432","0.0131","0.1628"
"230","458","2025-06-04","27","309","0.6647","0.3791","0.1228","0.0842","0.0714"
"231","48","2025-07-18","35","305","0.6795","0.3842","0.2357","0.1098","0.1108"
"232","191","2025-04-19","21","452","0.4916","0.3032","0.0452","0.1286","0.0791"
"233","319","2025-03-09","4","267","0.5843","0.4497","0.0989","0.1274","0.1654"
"234","519","2025-04-08","1","1061","0.4519","0.273","0.2601","0.1976","0.0489"
"235","322","2025-02-03","39","423","0.9612","0.2688","0.0164","0.1886","0.1209"
"236","222","2025-10-20","34","968","0.9095","0.1914","0.1043","0.182","0.1119"
"237","174","2025-05-05","19","683","0.5414","0.2665","0.0836","0.1862","0.0905"
"238","10","2025-02-11","31","654","0.5284","0.2948","0.0267","0.0332","0.063"
"239","620","2025-07-10","27","645","0.5294","0.2562","0.0547","0.1591","0.0617"
"240","247","2025-02-18","12","96","0.6518","0.0141","0.2317","0.1373","0.1744"
"241","236","2025-01-16","1","481","0.8356","0.3392","0.0493","0.1115","0.031"
"242","349","2025-03-26","6","73","0.7644","0.2283","0.1823","0.0389","0.0867"
"243","35","2025-01-18","12","208","0.7884","0.2713","0.0766","0.1343","0.0858"
"244","101","2025-05-02","35","395","0.7371","0.2255","0.1402","0.1043","0.0857"
"245","275","2025-12-16","15","1122","0.7795","0.4129","0.2051","0.0493","0.1026"
"246","544","2025-01-25","14","776","0.6129","0.1605","0.0027","0.2041","0.0892"
"247","202","2025-12-26","6","219","0.4628","0.4306","0.1921","0.004","0.1255"
"248","203","2025-02-17","34","917","0.9107","0.4004","0.2","0.0797","0.1137"
"249","38","2025-04-18","30","165","0.9498","0.0157","0.1259","0.0092","0.1684"
"250","66","2025-09-18","37","419","0.6191","0.2817","0.1703","0.0007","0.0808"
"251","343","2025-06-22","30","978","0.6126","0.2876","0.2447","0.2129","0.0527"
"252","159","2025-02-28","10","216","0.7686","0.1695","0.1204","0.0332","0.1166"
"253","612","2025-04-14","8","718","0.5126","0.2798","0.025","0.1997","0.0611"
"254","500","2025-07-01","22","358","0.6557","0.3054","0.0361","0.1349","0.0956"
"255","174","2025-04-19","2","1135","0.6693","0.2628","0.0517","0.0342","0.0224"
"256","19","2025-08-24","19","531","0.725","0.3758","0.0606","0.0947","0.1266"
"257","47","2025-10-27","5","93","0.9943","0.2924","0.0776","0.0789","0.0572"
"258","471","2025-03-24","36","410","0.8274","0.1113","0.1766","0.1043","0.0258"
"259","118","2025-04-17","32","841","0.6516","0.1517","0.0244","0.1851","0.0253"
"260","611","2025-05-05","29","381","0.6198","0.2278","0.076","0.1142","0.1217"
"261","566","2025-06-26","26","711","0.6622","0.1176","0.1225","0.1479","0.0402"
"262","57","2025-12-13","32","192","0.6344","0.1625","0.2345","0.1656","0.0433"
"263","532","2025-08-14","2","606","0.6706","0.2401","0.0982","0.0727","0.0504"
"264","440","2025-02-07","31","1054","0.5222","0.0877","0.0703","0.004","0.1439"
"265","494","2025-08-05","7","932","0.506","0.4282","0.1239","0.03","0.1133"
"266","178","2025-01-30","16","397","0.6087","0.1161","0.0338","0.1783","0.1023"
"267","563","2025-02-23","8","297","0.6253","0.4092","0.0201","0.1647","0.0803"
"268","477","2025-09-30","15","190","0.771","0.0937","0.1103","0.1086","0.0858"
"269","149","2025-05-08","22","982","0.8913","0.1119","0.0075","0.1678","0.1089"
"270","278","2025-11-01","11","432","0.6762","0.0621","0.1419","0.0529","0.0598"
"271","64","2025-07-01","40","676","0.5904","0.4122","0.2431","0.0723","0.0952"
"272","188","2025-06-30","17","348","0.7489","0.0333","0.1319","0.0806","0.0344"
"273","163","2025-08-04","36","318","0.7788","0.2242","0.2388","0.0831","0.1675"
"274","256","2025-11-23","6","482","0.8577","0.2654","0.1372","0.1254","0.0541"
"275","148","2025-12-10","24","310","0.6331","0.3808","0.2551","0.0013","0.0101"
"276","561","2025-02-19","35","1047","0.8157","0.0253","0.0642","0.0834","0.0597"
"277","395","2025-08-02","9","718","0.5756","0.3771","0.0514","0.0444","0.0304"
"278","334","2025-10-15","27","678","0.8724","0.3286","0.0089","0.1753","0.027"
"279","377","2025-09-28","9","626","0.7196","0.2329","0.2508","0.1202","0.0159"
"280","541","2025-05-02","25","291","0.4559","0.2718","0.2485","0.0689","0.1183"
"281","86","2025-12-20","21","607","0.4989","0.3414","0.1074","0.2169","0.135"
"282","397","2025-04-17","28","1125","0.6332","0.3314","0.1302","0.201","0.1545"
"283","446","2025-08-30","6","591","0.618","0.4428","0.2072","0.0467","0.1165"
"284","462","2025-07-29","10","509","0.6214","0.4389","0.0467","0.1815","0.1292"
"285","478","2025-05-09","9","946","0.9771","0.1838","0.1547","0.0834","0.0746"
"286","46","2025-06-02","11","271","0.7378","0.0847","0.0077","0.0082","0.1621"
"287","428","2025-11-18","18","855","0.7526","0.358","0.1908","0.0067","0.0555"
"288","563","2025-02-02","12","940","0.8603","0.1617","0.0933","0.1221","0.167"
"289","469","2025-07-07","7","562","0.9438","0.3311","0.0985","0.0977","0.1215"
"290","607","2025-01-28","5","1157","0.4798","0.0357","0.2753","0.1312","0.0944"
"291","79","2025-09-29","3","759","0.6861","0.0819","0.0485","0.1172","0.1532"
"292","255","2025-01-16","6","456","0.5238","0.3733","0.2775","0.0181","0.0168"
"293","443","2025-06-11","24","1190","0.6499","0.0881","0.0514","0.1572","0.0632"
"294","173","2025-05-19","24","133","0.9185","0.0832","0.1218","0.1046","0.1405"
"295","158","2025-11-27","36","843","0.5391","0.2109","0.0357","0.148","0.1727"
"296","139","2025-09-08","31","444","0.7218","0.4003","0.0211","0.0675","0.1293"
"297","344","2025-09-10","15","526","0.7014","0.3553","0.1006","0.0298","0.0693"
"298","83","2025-06-19","22","240","0.6495","0.1276","0.033","0.2157","0.0717"
"299","215","2025-04-26","40","898","0.9274","0.2691","0.0161","0.0839","0.0233"
"300","429","2025-04-16","7","107","0.7086","0.3214","0.141","0.0168","0.0125"
"301","609","2025-08-14","19","671","0.8968","0.224","0.2666","0.1394","0.0412"
"302","26","2025-01-21","35","875","0.6264","0.3378","0.0992","0.0259","0.0571"
"303","354","2025-11-23","3","859","0.9074","0.0591","0.2072","0.1226","0.0312"
"304","83","2025-09-17","2","790","0.8436","0.1245","0.0641","0.0386","0.1703"
"305","434","2025-04-16","37","726","0.5726","0.047","0.0976","0.098","0.0361"
"306","386","2025-06-30","30","248","0.6657","0.0607","0.1747","0.0478","0.002"
"307","581","2025-10-17","23","789","0.5623","0.0301","0.2338","0.1873","0.065"
"308","476","2025-04-30","12","727","0.8181","0.0532","0.2771","0.0581","0.1215"
"309","74","2025-12-05","39","152","0.8016","0.0345","0.061","0.1842","0.1445"
"310","296","2025-03-01","31","449","0.649","0.4377","0.2337","0.1012","0.0403"
"311","540","2025-10-31","17","117","0.6734","0.4235","0.1248","0.0078","0.0264"
"312","499","2025-08-11","7","217","0.9179","0.0875","0.0626","0.1325","0.1117"
"313","289","2025-12-31","4","604","0.5478","0.2211","0.0066","0.0663","0.1601"
"314","173","2025-05-07","27","1143","0.6844","0.1942","0.219","0.0167","0.1324"
"315","289","2025-07-30","12","858","0.5303","0.1202","0.2262","0.1599","0.0204"
"316","317","2025-07-28","6","227","0.8814","0.3875","0.0807","0.1481","0.1383"
"317","87","2025-04-30","9","92","0.9593","0.3349","0.0653","0.0443","0.0592"
"318","444","2025-11-03","29","1185","0.9046","0.1269","0.1506","0.0023","0.0205"
"319","192","2025-02-25","8","1106","0.6384","0.4274","0.2039","0.1124","0.1571"
"320","344","2025-12-06","8","910","0.9648","0.3615","0.2327","0.0202","0.1697"
"321","322","2025-05-26","32","444","0.9355","0.2975","0.0893","0.117","0.1481"
"322","70","2025-06-16","36","33","0.5375","0.0227","0.0473","0.1562","0.1573"
"323","478","2025-01-04","31","289","0.8981","0.0113","0.0682","0.0159","0.0483"
"324","113","2025-11-25","17","1156","0.814","0.0738","0.0976","0.2084","0.0035"
"325","580","2025-08-19","40","375","0.8346","0.3122","0.2607","0.1081","0.1647"
"326","71","2025-02-11","7","734","0.9454","0.2771","0.1761","0.1487","0.1647"
"327","140","2025-10-19","16","172","0.6314","0.1516","0.1734","0.1759","0.1414"
"328","103","2025-12-10","27","1099","0.7314","0.0576","0.014","0.1177","0.0362"
"329","341","2025-04-29","29","459","0.6638","0.1273","0.1671","0.1649","0.0107"
"330","190","2025-01-04","15","298","0.7393","0.2329","0.1377","0.0219","0.0708"
"331","379","2025-08-28","11","1071","0.7168","0.3016","0.2594","0.0589","0.0166"
"332","137","2025-07-21","20","618","0.702","0.3382","0.0951","0.1717","0.1713"
