"review_id","eval_item_id","eval_run_id","resolution_time_min","human_label","root_cause_category","resolution_status","human_score","reviewer_role","review_queue"
"52","49307","11860","2171","acceptable_with_note","model_reasoning","in_progress","0.9005","safety_reviewer","regression_queue"
"53","15667","14924","895","fail","tooling","in_progress","0.5847","product_manager","regression_queue"
"54","47425","15604","2866","fail","policy_config","in_progress","0.8414","safety_reviewer","safety_queue"
"55","43897","8149","1184","pass","tooling","resolved","0.9302","eval_ops_lead","safety_queue"
"56","34626","19276","1652","acceptable_with_note","tooling","resolved","0.6224","eval_ops_lead","safety_queue"
"57","25005","23215","68","needs_fix","policy_config","open","0.8906","product_manager","release_gate"
"58","24451","18688","525","acceptable_with_note","prompting","in_progress","0.0609","product_manager","customer_impact_queue"
"59","21961","23177","1297","acceptable_with_note","policy_config","resolved","0.0355","eval_ops_lead","tool_use_queue"
"60","38923","12126","2243","fail","prompting","open","0.7451","safety_reviewer","release_gate"
"61","5823","17202","1163","needs_fix","retrieval","open","0.3257","safety_reviewer","regression_queue"
"62","25886","21298","1982","pass","model_reasoning","resolved","0.7753","qa_analyst","customer_impact_queue"
"63","47794","20974","459","acceptable_with_note","policy_config","resolved","0.0505","eval_ops_lead","tool_use_queue"
"64","26625","15978","2441","acceptable_with_note","retrieval","resolved","0.1758","qa_analyst","release_gate"
"65","21210","2949","749","acceptable_with_note","prompting","resolved","0.161","safety_reviewer","safety_queue"
"66","1796","5211","446","needs_fix","prompting","resolved","0.6369","safety_reviewer","release_gate"
"67","42269","881","2378","fail","retrieval","open","0.8931","eval_ops_lead","customer_impact_queue"
"68","18590","8444","1484","fail","tooling","accepted_risk","0.0432","research_scientist","customer_impact_queue"
"69","28022","17263","102","fail","policy_config","open","0.5776","qa_analyst","regression_queue"
"70","24605","21026","1483","needs_fix","prompting","open","0.4068","safety_reviewer","regression_queue"
"71","33330","23733","1870","acceptable_with_note","model_reasoning","accepted_risk","0.9133","safety_reviewer","customer_impact_queue"
"72","46540","8582","2800","needs_fix","dataset_issue","in_progress","0.9227","research_scientist","tool_use_queue"
"73","4352","7402","2422","fail","prompting","accepted_risk","0.6525","eval_ops_lead","release_gate"
"74","13582","16982","2822","needs_fix","retrieval","open","0.9849","research_scientist","tool_use_queue"
"75","23393","3925","313","needs_fix","policy_config","open","0.387","qa_analyst","regression_queue"
"76","28381","21240","287","needs_fix","tooling","in_progress","0.1966","eval_ops_lead","release_gate"
"77","49382","20305","289","pass","prompting","open","0.9605","research_scientist","tool_use_queue"
"78","3575","22578","969","acceptable_with_note","retrieval","resolved","0.6404","research_scientist","regression_queue"
"79","35160","10444","498","fail","dataset_issue","in_progress","0.7363","qa_analyst","customer_impact_queue"
"80","40234","13950","1652","pass","tooling","in_progress","0.022","eval_ops_lead","customer_impact_queue"
"81","24258","10763","1044","pass","dataset_issue","resolved","0.2302","qa_analyst","customer_impact_queue"
"82","6839","21482","2865","pass","policy_config","in_progress","0.2435","research_scientist","customer_impact_queue"
"83","21966","23642","2514","fail","policy_config","open","0.6546","research_scientist","tool_use_queue"
"84","28317","9434","1202","fail","policy_config","in_progress","0.6553","qa_analyst","customer_impact_queue"
"85","30006","20977","1034","pass","dataset_issue","in_progress","0.2611","product_manager","customer_impact_queue"
"86","7479","18939","2687","pass","dataset_issue","accepted_risk","0.3247","eval_ops_lead","regression_queue"
"87","42830","9406","2046","pass","model_reasoning","resolved","0.3804","research_scientist","safety_queue"
"88","29523","21390","2445","pass","prompting","in_progress","0.2025","research_scientist","regression_queue"
"89","39868","22567","2616","pass","retrieval","accepted_risk","0.2906","qa_analyst","tool_use_queue"
"90","33164","21779","1537","acceptable_with_note","tooling","open","0.7151","product_manager","tool_use_queue"
"91","35787","18032","843","needs_fix","tooling","accepted_risk","0.66","safety_reviewer","tool_use_queue"
"92","28285","8473","78","needs_fix","prompting","resolved","0.184","qa_analyst","customer_impact_queue"
"93","7544","15614","1400","fail","policy_config","resolved","0.9529","eval_ops_lead","customer_impact_queue"
"94","7665","20886","2288","needs_fix","prompting","accepted_risk","0.2823","eval_ops_lead","tool_use_queue"
"95","10204","8907","2735","needs_fix","retrieval","accepted_risk","0.0024","research_scientist","regression_queue"
"96","34296","17626","356","fail","policy_config","resolved","0.3233","product_manager","regression_queue"
"97","40408","16684","411","pass","prompting","in_progress","0.6923","qa_analyst","customer_impact_queue"
"98","40916","17528","2671","pass","policy_config","open","0.177","safety_reviewer","release_gate"
"99","20407","14599","48","acceptable_with_note","policy_config","in_progress","0.3698","research_scientist","regression_queue"
"100","26779","16575","220","needs_fix","policy_config","resolved","0.2532","research_scientist","customer_impact_queue"
"101","27270","24341","655","pass","prompting","open","0.8009","qa_analyst","safety_queue"
"102","28188","602","1211","fail","prompting","accepted_risk","0.5866","qa_analyst","tool_use_queue"
"103","49894","2403","571","needs_fix","prompting","in_progress","0.4224","research_scientist","safety_queue"
"104","48843","24662","462","fail","tooling","in_progress","0.3438","eval_ops_lead","safety_queue"
"105","9857","864","2341","acceptable_with_note","model_reasoning","accepted_risk","0.0988","product_manager","tool_use_queue"
"106","8395","2793","1177","pass","dataset_issue","resolved","0.9716","qa_analyst","release_gate"
"107","32872","23894","2824","fail","tooling","in_progress","0.5696","eval_ops_lead","safety_queue"
"108","11759","17305","1709","fail","retrieval","open","0.365","product_manager","tool_use_queue"
"109","8643","21339","1124","fail","retrieval","accepted_risk","0.869","qa_analyst","release_gate"
"110","3165","19165","2181","pass","dataset_issue","resolved","0.9776","product_manager","customer_impact_queue"
"111","17782","2366","974","fail","dataset_issue","open","0.7411","eval_ops_lead","tool_use_queue"
"112","27041","5249","228","acceptable_with_note","retrieval","open","0.7838","safety_reviewer","release_gate"
"113","31512","3085","181","needs_fix","tooling","resolved","0.6523","product_manager","safety_queue"
"114","32873","4369","475","fail","retrieval","accepted_risk","0.8846","product_manager","customer_impact_queue"
"115","9203","15678","916","needs_fix","prompting","in_progress","0.4367","product_manager","customer_impact_queue"
"116","20896","15252","2813","needs_fix","dataset_issue","open","0.7715","eval_ops_lead","customer_impact_queue"
"117","17148","24010","2025","pass","dataset_issue","in_progress","0.9112","qa_analyst","tool_use_queue"
"118","43937","7086","991","needs_fix","model_reasoning","resolved","0.7988","eval_ops_lead","customer_impact_queue"
"119","33024","19659","216","pass","model_reasoning","open","0.8068","research_scientist","tool_use_queue"
"120","16169","19347","2737","fail","retrieval","resolved","0.3656","eval_ops_lead","tool_use_queue"
"121","2349","17942","2116","acceptable_with_note","prompting","resolved","0.9987","product_manager","tool_use_queue"
"122","18454","15573","643","fail","retrieval","in_progress","0.5309","research_scientist","customer_impact_queue"
"123","14456","17881","763","needs_fix","dataset_issue","accepted_risk","0.234","eval_ops_lead","release_gate"
"124","15729","10284","571","needs_fix","model_reasoning","open","0.4768","research_scientist","safety_queue"
"125","15651","11658","2610","needs_fix","retrieval","open","0.9181","eval_ops_lead","customer_impact_queue"
"126","6490","14217","2720","acceptable_with_note","model_reasoning","resolved","0.7677","qa_analyst","tool_use_queue"
"127","34973","13081","555","acceptable_with_note","dataset_issue","accepted_risk","0.1074","qa_analyst","regression_queue"
"128","22488","15315","997","fail","retrieval","accepted_risk","0.8222","research_scientist","regression_queue"
"129","48952","21909","1096","needs_fix","tooling","in_progress","0.4301","safety_reviewer","regression_queue"
"130","29917","11365","326","acceptable_with_note","prompting","open","0.585","eval_ops_lead","release_gate"
"131","18449","13348","18","pass","policy_config","accepted_risk","0.7866","safety_reviewer","safety_queue"
"132","14335","3431","1198","acceptable_with_note","prompting","resolved","0.4345","safety_reviewer","release_gate"
"133","22032","18358","571","needs_fix","policy_config","open","0.735","product_manager","customer_impact_queue"
"134","49025","3363","2687","pass","dataset_issue","open","0.5757","safety_reviewer","release_gate"
"135","41638","6306","1573","acceptable_with_note","prompting","accepted_risk","0.7488","qa_analyst","release_gate"
"136","12661","6327","2500","fail","model_reasoning","open","0.8366","product_manager","tool_use_queue"
"137","3457","8026","2723","pass","tooling","open","0.2794","product_manager","customer_impact_queue"
"138","44310","831","2705","needs_fix","policy_config","open","0.6354","product_manager","customer_impact_queue"
"139","7840","22735","876","needs_fix","prompting","resolved","0.8827","research_scientist","regression_queue"
"140","7863","4570","2640","acceptable_with_note","dataset_issue","resolved","0.4518","product_manager","release_gate"
"141","44846","20269","1771","needs_fix","policy_config","open","0.6401","qa_analyst","customer_impact_queue"
"142","28917","9379","2560","needs_fix","retrieval","in_progress","0.3422","research_scientist","tool_use_queue"
"143","5302","9239","1089","fail","retrieval","open","0.7279","eval_ops_lead","release_gate"
"144","17487","14890","1630","acceptable_with_note","model_reasoning","resolved","0.3052","product_manager","customer_impact_queue"
"145","32693","6335","2662","fail","model_reasoning","resolved","0.0476","qa_analyst","regression_queue"
"146","13977","19351","757","acceptable_with_note","dataset_issue","accepted_risk","0.1986","eval_ops_lead","tool_use_queue"
"147","30068","592","565","pass","dataset_issue","resolved","0.6418","eval_ops_lead","release_gate"
"148","1320","2859","832","acceptable_with_note","dataset_issue","open","0.7655","safety_reviewer","safety_queue"
"149","34546","4209","1319","pass","dataset_issue","accepted_risk","0.856","eval_ops_lead","release_gate"
"150","26305","5490","1363","fail","model_reasoning","open","0.6607","qa_analyst","tool_use_queue"
"151","28771","23986","872","fail","dataset_issue","in_progress","0.8197","product_manager","regression_queue"
"152","24896","11192","2395","fail","retrieval","accepted_risk","0.8869","research_scientist","customer_impact_queue"
"153","18698","21940","50","pass","prompting","resolved","0.2527","research_scientist","regression_queue"
"154","21772","21378","2026","acceptable_with_note","dataset_issue","accepted_risk","0.1043","eval_ops_lead","customer_impact_queue"
"155","49924","23081","738","fail","dataset_issue","accepted_risk","0.9107","eval_ops_lead","release_gate"
"156","16766","17972","1405","needs_fix","dataset_issue","accepted_risk","0.1399","research_scientist","safety_queue"
"157","8571","21224","171","pass","dataset_issue","in_progress","0.5742","qa_analyst","release_gate"
"158","33664","15104","1706","needs_fix","prompting","in_progress","0.0229","qa_analyst","release_gate"
"159","32448","24669","606","fail","retrieval","resolved","0.6862","research_scientist","safety_queue"
"160","37194","22796","1563","pass","tooling","in_progress","0.739","product_manager","release_gate"
"161","23950","24193","859","needs_fix","retrieval","in_progress","0.5369","product_manager","customer_impact_queue"
"162","44296","18603","2137","needs_fix","model_reasoning","in_progress","0.5666","qa_analyst","regression_queue"
"163","3232","1280","56","pass","retrieval","resolved","0.1393","product_manager","safety_queue"
"164","19316","21333","1582","fail","model_reasoning","accepted_risk","0.2985","safety_reviewer","regression_queue"
"165","30533","20533","749","pass","model_reasoning","resolved","0.0924","research_scientist","regression_queue"
"166","46737","9151","1788","fail","dataset_issue","resolved","0.842","qa_analyst","regression_queue"
"167","36211","3608","2497","fail","prompting","open","0.3555","qa_analyst","safety_queue"
"168","10123","1506","604","pass","retrieval","accepted_risk","0.2283","eval_ops_lead","tool_use_queue"
"169","22188","24324","735","acceptable_with_note","prompting","resolved","0.1301","research_scientist","tool_use_queue"
"170","32695","10393","883","needs_fix","policy_config","open","0.6415","product_manager","safety_queue"
"171","17345","1393","2483","fail","tooling","resolved","0.1899","eval_ops_lead","release_gate"
"172","27548","8868","1318","pass","retrieval","open","0.534","product_manager","safety_queue"
"173","25550","24100","82","needs_fix","model_reasoning","open","0.0841","research_scientist","release_gate"
"174","26630","2168","971","needs_fix","tooling","accepted_risk","0.0515","eval_ops_lead","tool_use_queue"
"175","44011","9469","492","pass","retrieval","in_progress","0.74","eval_ops_lead","regression_queue"
"176","12638","18584","472","pass","dataset_issue","resolved","0.5404","qa_analyst","safety_queue"
"177","37946","11938","689","needs_fix","policy_config","accepted_risk","0.9436","research_scientist","tool_use_queue"
"178","43445","22503","137","pass","model_reasoning","resolved","0.1381","safety_reviewer","safety_queue"
"179","36803","8811","1658","pass","retrieval","accepted_risk","0.8417","qa_analyst","tool_use_queue"
"180","15117","16567","248","needs_fix","policy_config","resolved","0.4341","eval_ops_lead","regression_queue"
"181","23289","23107","1568","fail","dataset_issue","in_progress","0.6886","qa_analyst","safety_queue"
"182","49334","5664","1249","acceptable_with_note","retrieval","open","0.8448","safety_reviewer","safety_queue"
"183","6217","1615","542","acceptable_with_note","tooling","in_progress","0.1632","eval_ops_lead","release_gate"
"184","23778","9122","919","fail","prompting","in_progress","0.8155","safety_reviewer","customer_impact_queue"
"185","45832","9660","285","fail","dataset_issue","accepted_risk","0.4163","qa_analyst","release_gate"
"186","47902","9110","1060","acceptable_with_note","prompting","open","0.4794","eval_ops_lead","customer_impact_queue"
"187","6874","23811","2348","needs_fix","model_reasoning","open","0.7037","eval_ops_lead","regression_queue"
"188","34334","23959","957","pass","tooling","accepted_risk","0.8718","research_scientist","safety_queue"
"189","35918","20384","2040","acceptable_with_note","tooling","accepted_risk","0.4778","product_manager","regression_queue"
"190","784","9617","679","pass","dataset_issue","resolved","0.7362","qa_analyst","tool_use_queue"
"191","16579","3675","2086","pass","tooling","in_progress","0.8794","safety_reviewer","safety_queue"
"192","8302","10193","2170","acceptable_with_note","prompting","resolved","0.5948","safety_reviewer","customer_impact_queue"
"193","33444","8736","541","pass","prompting","resolved","0.8794","research_scientist","tool_use_queue"
"194","26155","22873","703","acceptable_with_note","dataset_issue","in_progress","0.9418","product_manager","regression_queue"
"195","29927","7110","789","acceptable_with_note","policy_config","in_progress","0.0797","research_scientist","release_gate"
"196","22039","10438","221","pass","model_reasoning","accepted_risk","0.5099","qa_analyst","safety_queue"
"197","30619","17992","2717","pass","retrieval","in_progress","0.8419","research_scientist","release_gate"
"198","9121","17274","1148","pass","prompting","open","0.7168","safety_reviewer","customer_impact_queue"
"199","22615","13220","632","pass","prompting","accepted_risk","0.753","eval_ops_lead","regression_queue"
"200","39956","24395","1701","needs_fix","tooling","open","0.6874","research_scientist","customer_impact_queue"
"201","46069","22105","545","needs_fix","policy_config","resolved","0.6473","product_manager","customer_impact_queue"
"202","4110","5133","937","needs_fix","dataset_issue","in_progress","0.0397","eval_ops_lead","release_gate"
"203","31324","1297","2508","pass","dataset_issue","open","0.1073","safety_reviewer","customer_impact_queue"
"204","7604","8965","2371","pass","model_reasoning","accepted_risk","0.4184","research_scientist","release_gate"
"205","41592","8717","2393","pass","model_reasoning","accepted_risk","0.8741","product_manager","regression_queue"
"206","36216","24531","1098","pass","policy_config","in_progress","0.2182","product_manager","safety_queue"
"207","4270","263","1500","pass","prompting","accepted_risk","0.0894","research_scientist","regression_queue"
"208","31984","7928","2233","needs_fix","prompting","resolved","0.6853","product_manager","regression_queue"
"209","47674","23482","657","pass","retrieval","open","0.2163","eval_ops_lead","tool_use_queue"
"210","47736","3423","2795","pass","prompting","in_progress","0.7831","safety_reviewer","release_gate"
"211","20854","1319","773","acceptable_with_note","prompting","open","0.6277","safety_reviewer","tool_use_queue"
"212","26056","18531","1486","acceptable_with_note","dataset_issue","in_progress","0.4728","product_manager","customer_impact_queue"
"213","46676","15261","821","needs_fix","dataset_issue","accepted_risk","0.9547","research_scientist","safety_queue"
"214","22731","9185","1436","fail","dataset_issue","in_progress","0.8354","product_manager","release_gate"
"215","35601","17926","1405","acceptable_with_note","tooling","resolved","0.8067","product_manager","release_gate"
"216","32833","21170","324","acceptable_with_note","model_reasoning","accepted_risk","0.2561","eval_ops_lead","regression_queue"
"217","12928","10904","1617","fail","model_reasoning","resolved","0.7146","research_scientist","release_gate"
"218","27368","12176","311","acceptable_with_note","model_reasoning","in_progress","0.3391","research_scientist","customer_impact_queue"
"219","17943","78","2491","acceptable_with_note","dataset_issue","in_progress","0.8575","safety_reviewer","tool_use_queue"
"220","16240","7219","1014","fail","dataset_issue","in_progress","0.446","eval_ops_lead","release_gate"
"221","43851","15257","1253","needs_fix","model_reasoning","in_progress","0.8748","product_manager","regression_queue"
"222","46681","8868","2594","acceptable_with_note","prompting","open","0.4946","qa_analyst","customer_impact_queue"
"223","26879","20158","1876","fail","model_reasoning","in_progress","0.189","eval_ops_lead","tool_use_queue"
"224","30028","8562","762","needs_fix","tooling","open","0.9413","safety_reviewer","regression_queue"
"225","1117","13608","239","acceptable_with_note","model_reasoning","resolved","0.8778","eval_ops_lead","customer_impact_queue"
"226","19957","22672","732","pass","dataset_issue","open","0.181","eval_ops_lead","release_gate"
"227","27138","20735","715","pass","retrieval","resolved","0.5375","research_scientist","regression_queue"
"228","45690","7653","2188","needs_fix","retrieval","in_progress","0.9704","safety_reviewer","regression_queue"
"229","43286","10797","896","needs_fix","retrieval","in_progress","0.8441","eval_ops_lead","release_gate"
"230","3817","16322","1225","pass","model_reasoning","accepted_risk","0.4405","product_manager","tool_use_queue"
"231","47728","14579","1488","fail","policy_config","accepted_risk","0.0998","eval_ops_lead","safety_queue"
"232","3420","15545","1407","acceptable_with_note","tooling","accepted_risk","0.2608","qa_analyst","safety_queue"
"233","15276","15351","2629","needs_fix","policy_config","open","0.9371","qa_analyst","release_gate"
"234","5707","10912","144","fail","prompting","resolved","0.7134","product_manager","regression_queue"
"235","4031","17268","1497","needs_fix","policy_config","accepted_risk","0.5489","eval_ops_lead","release_gate"
"236","39437","8368","1110","fail","prompting","open","0.3497","qa_analyst","regression_queue"
"237","24236","16467","2793","acceptable_with_note","tooling","open","0.3587","eval_ops_lead","customer_impact_queue"
"238","20181","4296","101","needs_fix","retrieval","accepted_risk","0.9801","product_manager","tool_use_queue"
"239","21198","13888","2221","pass","prompting","resolved","0.4476","safety_reviewer","regression_queue"
"240","11035","2434","1871","fail","model_reasoning","resolved","0.7559","product_manager","customer_impact_queue"
"241","18161","19819","2599","acceptable_with_note","retrieval","in_progress","0.2212","safety_reviewer","customer_impact_queue"
"242","29451","14781","1109","acceptable_with_note","tooling","open","0.337","safety_reviewer","safety_queue"
"243","41319","6286","725","needs_fix","dataset_issue","in_progress","0.5826","qa_analyst","regression_queue"
"244","33016","15315","2876","fail","model_reasoning","in_progress","0.626","research_scientist","release_gate"
"245","18021","17448","961","needs_fix","retrieval","open","0.1755","qa_analyst","release_gate"
"246","41386","18868","2129","needs_fix","retrieval","accepted_risk","0.7016","qa_analyst","release_gate"
"247","27521","12438","2405","fail","tooling","open","0.1965","safety_reviewer","tool_use_queue"
"248","4835","13888","628","acceptable_with_note","policy_config","accepted_risk","0.5224","qa_analyst","customer_impact_queue"
"249","4123","24973","2254","pass","model_reasoning","resolved","0.1127","eval_ops_lead","release_gate"
"250","451","17864","1308","acceptable_with_note","policy_config","accepted_risk","0.9565","eval_ops_lead","release_gate"
"251","26861","208","1939","pass","dataset_issue","resolved","0.8535","qa_analyst","regression_queue"
"252","1101","8193","630","acceptable_with_note","model_reasoning","in_progress","0.3394","research_scientist","tool_use_queue"
"253","24395","23060","2561","acceptable_with_note","dataset_issue","accepted_risk","0.4114","safety_reviewer","customer_impact_queue"
"254","20656","4976","722","pass","model_reasoning","open","0.3014","research_scientist","tool_use_queue"
"255","6375","4733","1613","acceptable_with_note","policy_config","accepted_risk","0.0585","product_manager","regression_queue"
"256","8589","8578","1136","fail","model_reasoning","open","0.5287","qa_analyst","tool_use_queue"
"257","23359","2635","193","pass","model_reasoning","resolved","0.5977","research_scientist","regression_queue"
"258","23350","7829","2818","acceptable_with_note","prompting","accepted_risk","0.747","eval_ops_lead","regression_queue"
"259","42863","17839","2550","pass","dataset_issue","in_progress","0.6101","safety_reviewer","tool_use_queue"
"260","36319","8453","2369","acceptable_with_note","dataset_issue","resolved","0.93","safety_reviewer","release_gate"
"261","40207","13231","2632","fail","tooling","resolved","0.224","research_scientist","tool_use_queue"
"262","29338","824","1754","needs_fix","model_reasoning","open","0.3565","eval_ops_lead","customer_impact_queue"
"263","44872","22180","2265","needs_fix","model_reasoning","in_progress","0.1489","product_manager","safety_queue"
"264","811","14557","1541","pass","model_reasoning","in_progress","0.6551","safety_reviewer","regression_queue"
"265","9699","16974","293","pass","tooling","in_progress","0.7435","eval_ops_lead","regression_queue"
"266","27431","20421","2631","pass","dataset_issue","resolved","0.9325","eval_ops_lead","tool_use_queue"
"267","8828","12186","2161","pass","tooling","accepted_risk","0.2837","qa_analyst","safety_queue"
"268","34936","22717","2482","fail","policy_config","open","0.7471","product_manager","safety_queue"
"269","49340","14256","153","acceptable_with_note","policy_config","resolved","0.8757","eval_ops_lead","tool_use_queue"
"270","48688","18472","1370","needs_fix","retrieval","resolved","0.7433","product_manager","customer_impact_queue"
"271","726","4771","2504","needs_fix","dataset_issue","in_progress","0.8394","product_manager","tool_use_queue"
"272","41658","71","2833","fail","dataset_issue","open","0.1611","qa_analyst","tool_use_queue"
"273","35988","12941","506","acceptable_with_note","retrieval","open","0.8713","safety_reviewer","tool_use_queue"
"274","5024","22156","1892","pass","tooling","open","0.643","safety_reviewer","customer_impact_queue"
"275","3102","15444","22","pass","prompting","accepted_risk","0.2255","product_manager","safety_queue"
"276","15705","17312","1576","acceptable_with_note","model_reasoning","resolved","0.3167","qa_analyst","customer_impact_queue"
"277","30504","14119","2259","fail","model_reasoning","accepted_risk","0.0319","eval_ops_lead","tool_use_queue"
"278","44972","7429","2453","needs_fix","prompting","open","0.7115","eval_ops_lead","release_gate"
"279","12645","16395","14","needs_fix","dataset_issue","resolved","0.0815","research_scientist","customer_impact_queue"
"280","44451","8132","2619","pass","model_reasoning","in_progress","0.1435","research_scientist","safety_queue"
"281","15424","17400","57","fail","retrieval","accepted_risk","0.5026","eval_ops_lead","safety_queue"
"282","22644","17527","2443","pass","prompting","in_progress","0.7876","eval_ops_lead","safety_queue"
"283","16892","22907","366","pass","dataset_issue","in_progress","0.4573","safety_reviewer","customer_impact_queue"
"284","1465","21939","1023","pass","model_reasoning","accepted_risk","0.5454","qa_analyst","regression_queue"
"285","4865","3890","353","needs_fix","prompting","resolved","0.7974","safety_reviewer","customer_impact_queue"
"286","38212","19557","637","needs_fix","dataset_issue","accepted_risk","0.9422","qa_analyst","regression_queue"
"287","48347","1113","2255","needs_fix","tooling","accepted_risk","0.6484","safety_reviewer","tool_use_queue"
"288","22087","24023","316","needs_fix","model_reasoning","in_progress","0.9462","qa_analyst","customer_impact_queue"
"289","17688","9168","2168","fail","tooling","open","0.974","product_manager","customer_impact_queue"
"290","18753","12895","1888","fail","policy_config","resolved","0.7713","qa_analyst","release_gate"
"291","46018","16413","1027","needs_fix","policy_config","accepted_risk","0.5468","product_manager","regression_queue"
"292","31788","2558","2210","acceptable_with_note","retrieval","in_progress","0.9146","product_manager","release_gate"
"293","18074","14530","1711","needs_fix","model_reasoning","in_progress","0.7171","research_scientist","tool_use_queue"
"294","42366","3438","2777","pass","retrieval","accepted_risk","0.655","qa_analyst","release_gate"
"295","10738","2317","1733","pass","model_reasoning","resolved","0.2653","research_scientist","release_gate"
"296","9781","3661","1231","needs_fix","retrieval","open","0.3424","product_manager","safety_queue"
"297","39659","12288","19","pass","tooling","open","0.3552","research_scientist","tool_use_queue"
"298","32886","2604","62","acceptable_with_note","dataset_issue","resolved","0.1094","product_manager","customer_impact_queue"
