"eval_item_id","eval_run_id","program_id","scenario_id","task_category","difficulty_tier","input_modality","requires_tool_use","requires_grounding","policy_sensitivity"
"32","18756","86","scenario_32","tool_use","expert","multistep_trace","1","0","low"
"33","6804","533","scenario_33","tool_use","standard","text_json","1","1","moderate"
"34","22479","428","scenario_34","policy_handling","expert","text","1","1","sensitive"
"35","13340","347","scenario_35","qa","hard","text_table","1","1","restricted"
"36","11738","217","scenario_36","tool_use","easy","text_json","0","1","sensitive"
"37","2902","203","scenario_37","summarization","hard","text_json","1","0","restricted"
"38","12609","116","scenario_38","tool_use","easy","text_table","0","1","low"
"39","10739","121","scenario_39","policy_handling","expert","text_table","1","1","low"
"40","14314","327","scenario_40","classification","standard","text_json","1","1","moderate"
"41","21487","467","scenario_41","policy_handling","easy","text_json","0","1","restricted"
"42","14595","141","scenario_42","planning","easy","text_json","0","1","low"
"43","11723","11","scenario_43","tool_use","standard","text_json","0","1","moderate"
"44","5694","279","scenario_44","tool_use","easy","text","0","0","low"
"45","3625","190","scenario_45","planning","expert","text","0","1","low"
"46","2122","365","scenario_46","qa","hard","text_table","0","0","sensitive"
"47","2341","541","scenario_47","summarization","easy","text_json","0","1","sensitive"
"48","5023","58","scenario_48","tool_use","standard","text","1","1","moderate"
"49","24758","92","scenario_49","qa","hard","text_table","0","1","restricted"
"50","12856","213","scenario_50","classification","expert","text_json","1","1","low"
"51","21975","69","scenario_51","policy_handling","easy","text_json","1","0","moderate"
"52","20212","530","scenario_52","classification","standard","text_table","1","1","restricted"
"53","1819","117","scenario_53","summarization","easy","text","1","1","sensitive"
"54","13997","519","scenario_54","policy_handling","easy","text_table","1","1","low"
"55","4916","484","scenario_55","classification","standard","multistep_trace","0","1","moderate"
"56","18668","496","scenario_56","tool_use","expert","text_table","1","0","low"
"57","11175","194","scenario_57","classification","hard","multistep_trace","1","1","low"
"58","2949","500","scenario_58","tool_use","hard","text","1","1","low"
"59","10072","427","scenario_59","qa","hard","text","1","1","low"
"60","2052","194","scenario_60","qa","easy","multistep_trace","0","0","moderate"
"61","16249","336","scenario_61","classification","hard","text_json","0","0","restricted"
"62","17896","473","scenario_62","classification","easy","text_json","1","1","restricted"
"63","2532","288","scenario_63","tool_use","expert","text","0","1","restricted"
"64","14465","550","scenario_64","policy_handling","hard","text_table","0","0","moderate"
"65","11522","7","scenario_65","tool_use","easy","multistep_trace","1","1","moderate"
"66","17436","55","scenario_66","policy_handling","expert","text_json","1","1","restricted"
"67","12367","190","scenario_67","classification","hard","multistep_trace","0","1","restricted"
"68","14801","555","scenario_68","policy_handling","standard","text","1","0","sensitive"
"69","3411","325","scenario_69","tool_use","hard","text_table","1","1","sensitive"
"70","12731","220","scenario_70","tool_use","easy","text_table","1","1","restricted"
"71","20447","56","scenario_71","planning","easy","text","1","1","sensitive"
"72","12030","607","scenario_72","planning","standard","multistep_trace","1","1","low"
"73","10741","104","scenario_73","planning","standard","text_json","0","0","moderate"
"74","20347","374","scenario_74","tool_use","hard","text_table","0","0","sensitive"
"75","12750","309","scenario_75","planning","easy","multistep_trace","1","1","moderate"
"76","10775","594","scenario_76","policy_handling","expert","text","1","0","sensitive"
"77","8904","613","scenario_77","tool_use","hard","text_json","1","1","low"
"78","5069","571","scenario_78","policy_handling","easy","text_table","0","1","sensitive"
"79","11643","395","scenario_79","classification","standard","multistep_trace","1","1","moderate"
"80","8148","206","scenario_80","policy_handling","expert","multistep_trace","1","1","moderate"
"81","9242","175","scenario_81","planning","standard","text_json","0","1","low"
"82","2538","545","scenario_82","summarization","hard","text_table","1","1","restricted"
"83","21018","509","scenario_83","summarization","hard","text","1","1","low"
"84","21285","246","scenario_84","planning","expert","text","0","0","moderate"
"85","1325","218","scenario_85","classification","hard","text_json","0","1","moderate"
"86","22142","5","scenario_86","classification","expert","text","1","0","low"
"87","14012","359","scenario_87","policy_handling","easy","text_table","1","0","restricted"
"88","24450","459","scenario_88","tool_use","expert","multistep_trace","0","1","sensitive"
"89","13548","33","scenario_89","qa","expert","text_json","0","1","moderate"
"90","21555","5","scenario_90","policy_handling","standard","text_table","1","1","moderate"
"91","3978","323","scenario_91","tool_use","hard","multistep_trace","0","1","sensitive"
"92","21231","404","scenario_92","tool_use","easy","text_table","0","1","moderate"
"93","47","222","scenario_93","tool_use","standard","text_json","0","0","moderate"
"94","4817","485","scenario_94","classification","easy","text","1","0","moderate"
"95","15126","280","scenario_95","classification","hard","text_table","1","0","moderate"
"96","16001","377","scenario_96","qa","standard","multistep_trace","0","1","sensitive"
"97","3234","286","scenario_97","policy_handling","hard","text_table","1","1","low"
"98","15721","531","scenario_98","classification","standard","text_json","0","1","sensitive"
"99","6544","443","scenario_99","summarization","expert","text","1","1","sensitive"
"100","21121","422","scenario_100","planning","standard","text_table","0","1","moderate"
"101","16850","573","scenario_101","qa","expert","text","0","1","sensitive"
"102","14178","575","scenario_102","tool_use","expert","multistep_trace","1","1","sensitive"
"103","9970","457","scenario_103","planning","easy","text","1","1","moderate"
"104","13311","598","scenario_104","classification","expert","multistep_trace","0","0","moderate"
"105","20124","63","scenario_105","tool_use","standard","text_json","0","1","low"
"106","3839","138","scenario_106","qa","standard","multistep_trace","1","0","sensitive"
"107","15893","597","scenario_107","classification","easy","text","1","0","low"
"108","13379","614","scenario_108","tool_use","expert","text_json","1","1","low"
"109","16521","400","scenario_109","qa","easy","text","1","1","moderate"
"110","22896","620","scenario_110","summarization","easy","text_json","0","0","restricted"
"111","16820","123","scenario_111","classification","expert","text_json","1","0","restricted"
"112","7962","180","scenario_112","tool_use","easy","multistep_trace","1","0","restricted"
"113","8200","134","scenario_113","classification","easy","text_table","0","0","restricted"
"114","13953","415","scenario_114","qa","standard","text_json","1","1","sensitive"
"115","3501","131","scenario_115","policy_handling","standard","text_json","0","1","restricted"
"116","23951","111","scenario_116","planning","easy","text_json","1","1","restricted"
"117","20366","307","scenario_117","classification","standard","text_json","1","1","moderate"
"118","21002","62","scenario_118","summarization","expert","text_json","1","1","restricted"
"119","18011","91","scenario_119","tool_use","hard","text_table","0","1","low"
"120","14148","55","scenario_120","planning","expert","text","0","0","sensitive"
"121","878","352","scenario_121","tool_use","expert","text_json","1","1","sensitive"
"122","22043","520","scenario_122","tool_use","easy","text_table","0","1","sensitive"
"123","17701","240","scenario_123","qa","standard","text_table","1","0","low"
"124","9367","548","scenario_124","planning","hard","multistep_trace","0","0","moderate"
"125","16574","143","scenario_125","tool_use","easy","text_json","0","1","restricted"
"126","14202","576","scenario_126","policy_handling","expert","multistep_trace","0","1","low"
"127","22411","511","scenario_127","summarization","easy","text_json","1","1","moderate"
"128","16886","241","scenario_128","qa","hard","multistep_trace","0","1","moderate"
"129","20623","19","scenario_129","planning","expert","text_json","1","0","sensitive"
"130","1862","288","scenario_130","qa","standard","text_json","0","1","restricted"
"131","7062","89","scenario_131","qa","easy","multistep_trace","0","1","low"
"132","16824","168","scenario_132","qa","hard","text_json","0","0","sensitive"
"133","13350","9","scenario_133","tool_use","easy","text_table","0","1","restricted"
"134","7352","523","scenario_134","planning","easy","text_table","0","1","sensitive"
"135","22424","427","scenario_135","tool_use","expert","multistep_trace","0","1","moderate"
"136","5970","432","scenario_136","classification","hard","text_table","0","1","low"
"137","18780","579","scenario_137","classification","easy","text_table","1","0","sensitive"
"138","15740","453","scenario_138","tool_use","hard","multistep_trace","1","1","restricted"
"139","1689","496","scenario_139","tool_use","hard","text","0","0","restricted"
"140","17120","537","scenario_140","qa","expert","text_json","1","1","sensitive"
"141","19216","379","scenario_141","summarization","expert","multistep_trace","1","1","sensitive"
"142","13113","150","scenario_142","summarization","standard","multistep_trace","1","1","moderate"
"143","9035","409","scenario_143","summarization","easy","text_json","0","1","low"
"144","24340","597","scenario_144","summarization","hard","text_json","1","1","low"
"145","4385","111","scenario_145","policy_handling","standard","text_json","0","1","moderate"
"146","17452","539","scenario_146","summarization","easy","multistep_trace","1","1","restricted"
"147","14335","289","scenario_147","tool_use","expert","text_json","1","1","low"
"148","13677","324","scenario_148","qa","hard","multistep_trace","1","1","moderate"
"149","8060","65","scenario_149","policy_handling","standard","text_json","1","0","sensitive"
"150","11595","151","scenario_150","planning","easy","text_table","0","0","restricted"
"151","4359","89","scenario_151","tool_use","hard","text","0","1","moderate"
"152","11312","227","scenario_152","qa","hard","text_json","1","1","sensitive"
"153","2008","425","scenario_153","summarization","expert","text_json","1","1","low"
"154","13065","312","scenario_154","qa","easy","text_table","1","1","sensitive"
"155","547","596","scenario_155","planning","expert","text","0","1","low"
"156","18830","70","scenario_156","qa","standard","text_table","1","1","low"
"157","7736","309","scenario_157","qa","standard","multistep_trace","1","1","sensitive"
"158","24106","413","scenario_158","tool_use","standard","text_table","1","1","restricted"
"159","19222","164","scenario_159","policy_handling","easy","text","1","1","sensitive"
"160","1289","522","scenario_160","policy_handling","expert","text_json","1","0","moderate"
"161","16438","142","scenario_161","policy_handling","hard","text_table","0","1","sensitive"
"162","1452","138","scenario_162","qa","easy","text_table","1","0","sensitive"
"163","23685","97","scenario_163","planning","expert","multistep_trace","1","0","moderate"
"164","16521","400","scenario_164","qa","easy","text","0","1","sensitive"
"165","18598","229","scenario_165","tool_use","easy","text_table","0","1","low"
"166","22359","489","scenario_166","qa","easy","text_table","1","0","restricted"
"167","11775","245","scenario_167","qa","easy","text_json","1","0","moderate"
"168","12336","520","scenario_168","policy_handling","standard","text","1","1","moderate"
"169","22357","36","scenario_169","classification","hard","text_json","1","1","low"
"170","5756","624","scenario_170","summarization","easy","text_table","1","1","restricted"
"171","7926","198","scenario_171","qa","expert","multistep_trace","1","1","restricted"
"172","14583","405","scenario_172","summarization","standard","text","1","0","low"
"173","9267","208","scenario_173","planning","expert","multistep_trace","0","1","low"
"174","19450","515","scenario_174","planning","standard","text","0","1","low"
"175","863","361","scenario_175","tool_use","easy","text_table","0","1","moderate"
"176","10554","25","scenario_176","policy_handling","standard","text_json","0","0","sensitive"
"177","17951","467","scenario_177","classification","expert","text_table","1","0","sensitive"
"178","14547","523","scenario_178","qa","hard","text_table","0","1","moderate"
"179","1231","183","scenario_179","tool_use","easy","text_table","1","1","sensitive"
"180","18727","194","scenario_180","summarization","expert","text_json","1","0","low"
"181","20592","268","scenario_181","summarization","expert","multistep_trace","1","0","moderate"
"182","12390","523","scenario_182","classification","easy","multistep_trace","0","0","low"
"183","3226","97","scenario_183","policy_handling","standard","multistep_trace","1","1","restricted"
"184","14856","305","scenario_184","summarization","hard","text_json","1","0","low"
"185","6263","86","scenario_185","qa","standard","multistep_trace","1","0","restricted"
"186","712","527","scenario_186","policy_handling","expert","text_json","1","0","restricted"
"187","7567","147","scenario_187","qa","easy","text_table","1","0","sensitive"
"188","11754","124","scenario_188","classification","easy","text","0","1","sensitive"
"189","14349","177","scenario_189","tool_use","hard","text_json","0","1","moderate"
"190","11020","613","scenario_190","summarization","hard","text_json","1","1","low"
"191","9192","58","scenario_191","planning","standard","text","1","0","moderate"
"192","13406","190","scenario_192","planning","expert","text_json","1","0","moderate"
"193","15080","161","scenario_193","summarization","hard","text_json","1","1","moderate"
"194","22277","338","scenario_194","planning","easy","text_json","1","0","restricted"
"195","15924","528","scenario_195","planning","hard","text_json","0","1","moderate"
"196","19065","117","scenario_196","classification","easy","text_json","0","1","restricted"
"197","10960","359","scenario_197","classification","expert","text_table","1","1","moderate"
"198","7880","217","scenario_198","summarization","easy","text_json","1","1","moderate"
"199","5001","238","scenario_199","summarization","expert","text_table","1","0","low"
"200","20959","563","scenario_200","planning","easy","text_json","1","1","low"
"201","7079","31","scenario_201","summarization","expert","text","1","0","moderate"
"202","12805","14","scenario_202","policy_handling","standard","text","1","1","sensitive"
"203","4500","94","scenario_203","summarization","standard","multistep_trace","1","1","sensitive"
"204","24697","502","scenario_204","planning","hard","multistep_trace","1","1","moderate"
"205","21492","250","scenario_205","tool_use","standard","text_json","1","0","sensitive"
"206","22642","210","scenario_206","summarization","hard","text_json","1","1","sensitive"
"207","8538","394","scenario_207","classification","hard","text","1","1","moderate"
"208","4659","236","scenario_208","planning","standard","text_table","0","1","moderate"
"209","377","348","scenario_209","classification","hard","text_json","1","0","restricted"
"210","17153","227","scenario_210","summarization","expert","text","1","1","low"
"211","10137","88","scenario_211","policy_handling","standard","multistep_trace","1","1","sensitive"
"212","7149","407","scenario_212","qa","expert","text","1","0","moderate"
"213","18340","304","scenario_213","classification","standard","text_table","1","0","moderate"
"214","9146","216","scenario_214","summarization","easy","multistep_trace","0","0","restricted"
"215","13273","552","scenario_215","tool_use","hard","text","0","0","low"
"216","12053","442","scenario_216","summarization","expert","multistep_trace","1","1","restricted"
"217","23855","451","scenario_217","planning","easy","text_json","1","1","moderate"
"218","893","237","scenario_218","qa","standard","text_json","1","1","low"
"219","11390","213","scenario_219","policy_handling","standard","multistep_trace","0","1","sensitive"
"220","10508","325","scenario_220","planning","hard","text_table","0","1","low"
"221","19807","140","scenario_221","policy_handling","hard","text_json","0","0","restricted"
"222","24004","12","scenario_222","planning","easy","text","0","1","sensitive"
"223","24167","187","scenario_223","summarization","hard","text_table","1","1","low"
"224","642","67","scenario_224","policy_handling","expert","text_json","0","1","moderate"
"225","16129","219","scenario_225","planning","standard","text","0","1","low"
"226","22215","54","scenario_226","policy_handling","expert","text_json","1","0","moderate"
"227","11911","318","scenario_227","qa","expert","text_json","1","0","restricted"
"228","330","213","scenario_228","planning","hard","text","1","0","sensitive"
"229","15375","91","scenario_229","policy_handling","hard","text","0","0","sensitive"
"230","4167","602","scenario_230","summarization","hard","multistep_trace","1","1","restricted"
"231","1724","569","scenario_231","summarization","easy","text_table","0","1","sensitive"
"232","16683","591","scenario_232","tool_use","standard","text_json","0","1","low"
"233","5693","214","scenario_233","qa","expert","text","1","1","sensitive"
"234","8447","571","scenario_234","classification","standard","text_table","0","1","restricted"
"235","2597","81","scenario_235","qa","hard","text_json","1","1","moderate"
"236","22281","498","scenario_236","planning","hard","text","0","0","low"
"237","3408","168","scenario_237","tool_use","expert","multistep_trace","1","1","sensitive"
"238","11609","259","scenario_238","tool_use","easy","text_table","1","0","sensitive"
"239","211","21","scenario_239","qa","expert","text_table","1","0","restricted"
"240","11048","420","scenario_240","tool_use","hard","text_table","0","1","moderate"
"241","4934","176","scenario_241","summarization","expert","text","1","0","sensitive"
"242","2751","450","scenario_242","qa","easy","multistep_trace","1","1","low"
"243","9591","301","scenario_243","summarization","hard","text_table","0","0","sensitive"
"244","1840","112","scenario_244","summarization","hard","text_table","0","0","moderate"
"245","19777","471","scenario_245","qa","standard","text_table","1","1","sensitive"
"246","24820","514","scenario_246","summarization","easy","text_json","1","0","restricted"
"247","23477","506","scenario_247","tool_use","easy","text_json","1","0","moderate"
"248","24196","530","scenario_248","qa","standard","text_json","1","1","low"
"249","13313","150","scenario_249","tool_use","hard","text","1","0","sensitive"
"250","4423","115","scenario_250","tool_use","easy","text","1","1","restricted"
"251","3184","9","scenario_251","policy_handling","easy","text_json","1","1","low"
"252","21485","253","scenario_252","tool_use","standard","text_json","0","0","low"
"253","6822","92","scenario_253","tool_use","standard","text","1","1","restricted"
"254","17262","211","scenario_254","planning","hard","text_json","0","1","low"
"255","4251","417","scenario_255","classification","hard","multistep_trace","1","1","moderate"
"256","20605","561","scenario_256","classification","hard","text","1","0","moderate"
"257","4062","182","scenario_257","tool_use","standard","text_table","1","1","low"
"258","7702","133","scenario_258","classification","hard","multistep_trace","1","0","sensitive"
"259","17260","18","scenario_259","policy_handling","expert","text_table","0","0","moderate"
"260","20600","165","scenario_260","qa","standard","multistep_trace","1","1","low"
"261","13890","477","scenario_261","planning","hard","multistep_trace","0","0","sensitive"
"262","16272","171","scenario_262","qa","standard","text","0","1","moderate"
"263","9511","91","scenario_263","classification","hard","text_json","1","1","sensitive"
"264","22892","237","scenario_264","tool_use","easy","text_json","1","1","moderate"
"265","14578","128","scenario_265","planning","hard","text_table","0","0","restricted"
"266","4950","363","scenario_266","tool_use","easy","text_json","0","1","restricted"
"267","6434","229","scenario_267","planning","hard","text_table","0","1","moderate"
"268","24718","258","scenario_268","policy_handling","expert","text_table","0","1","sensitive"
"269","10857","195","scenario_269","qa","hard","text_table","0","0","sensitive"
"270","3145","481","scenario_270","qa","standard","text_table","1","0","low"
"271","21563","468","scenario_271","qa","easy","text","1","0","low"
"272","12561","24","scenario_272","qa","standard","text_table","1","1","low"
"273","15484","574","scenario_273","qa","expert","text_table","1","1","restricted"
"274","17579","123","scenario_274","classification","expert","multistep_trace","1","0","sensitive"
"275","23311","520","scenario_275","classification","easy","multistep_trace","0","0","sensitive"
"276","7499","21","scenario_276","summarization","standard","multistep_trace","1","0","restricted"
"277","7322","454","scenario_277","qa","standard","text","1","1","moderate"
"278","18040","93","scenario_278","policy_handling","hard","text_json","0","0","moderate"
"279","22239","575","scenario_279","qa","easy","text_json","0","1","restricted"
"280","9221","333","scenario_280","tool_use","expert","multistep_trace","0","1","moderate"
"281","22509","560","scenario_281","planning","hard","text_table","1","0","low"
"282","18633","514","scenario_282","qa","standard","text_table","1","1","sensitive"
"283","749","46","scenario_283","policy_handling","easy","text_json","1","1","restricted"
"284","15675","161","scenario_284","classification","standard","text_table","1","1","restricted"
"285","23890","33","scenario_285","qa","standard","text","1","1","low"
"286","15317","600","scenario_286","classification","easy","text_json","0","0","sensitive"
"287","134","267","scenario_287","classification","expert","text","0","1","low"
"288","19252","389","scenario_288","classification","easy","text_json","1","1","low"
"289","17928","158","scenario_289","tool_use","easy","multistep_trace","1","1","low"
"290","20635","441","scenario_290","qa","hard","multistep_trace","1","1","low"
"291","2529","270","scenario_291","policy_handling","hard","text","0","0","sensitive"
"292","20387","21","scenario_292","tool_use","easy","multistep_trace","0","1","restricted"
"293","19586","584","scenario_293","planning","standard","text_table","0","1","moderate"
"294","22003","486","scenario_294","qa","hard","text","1","0","sensitive"
"295","25000","239","scenario_295","qa","standard","text_table","0","0","restricted"
"296","10412","600","scenario_296","qa","hard","text_json","0","1","sensitive"
"297","19841","56","scenario_297","tool_use","hard","text_json","1","1","moderate"
"298","16350","100","scenario_298","qa","expert","text_table","1","1","restricted"
"299","12947","500","scenario_299","tool_use","hard","multistep_trace","1","1","sensitive"
"300","19464","366","scenario_300","tool_use","standard","text_table","0","0","restricted"
"301","9642","262","scenario_301","summarization","expert","text_json","0","1","moderate"
"302","15544","260","scenario_302","classification","standard","text_table","0","1","moderate"
"303","12943","12","scenario_303","classification","hard","multistep_trace","1","1","moderate"
"304","7932","225","scenario_304","policy_handling","expert","multistep_trace","0","0","sensitive"
"305","22093","606","scenario_305","policy_handling","standard","text","0","1","sensitive"
"306","11871","579","scenario_306","planning","standard","text_json","0","1","sensitive"
"307","14689","3","scenario_307","summarization","standard","multistep_trace","1","0","restricted"
"308","4236","268","scenario_308","summarization","hard","text_table","0","1","sensitive"
"309","14622","171","scenario_309","policy_handling","hard","multistep_trace","0","0","sensitive"
"310","17474","442","scenario_310","classification","easy","text_json","0","1","moderate"
"311","24669","42","scenario_311","tool_use","hard","multistep_trace","1","1","sensitive"
"312","5753","622","scenario_312","summarization","expert","text","0","1","restricted"
"313","20466","161","scenario_313","qa","hard","text_json","1","1","low"
"314","2464","499","scenario_314","planning","standard","text_table","0","0","low"
"315","2","415","scenario_315","policy_handling","expert","multistep_trace","1","1","moderate"
"316","22458","177","scenario_316","classification","standard","text_table","0","0","sensitive"
"317","8121","137","scenario_317","classification","easy","multistep_trace","0","0","moderate"
"318","11468","567","scenario_318","tool_use","standard","multistep_trace","0","1","sensitive"
"319","10340","111","scenario_319","tool_use","standard","multistep_trace","1","1","restricted"
"320","21126","135","scenario_320","planning","expert","text_table","0","1","moderate"
"321","410","570","scenario_321","classification","standard","multistep_trace","1","1","low"
"322","3612","97","scenario_322","policy_handling","expert","text_json","0","1","moderate"
"323","5161","398","scenario_323","policy_handling","expert","text_table","1","1","moderate"
"324","23092","580","scenario_324","tool_use","expert","text","0","1","sensitive"
"325","5914","241","scenario_325","tool_use","standard","text_json","0","1","low"
"326","24596","20","scenario_326","qa","hard","text","1","1","low"
"327","22871","167","scenario_327","qa","hard","text","0","1","low"
"328","20151","525","scenario_328","tool_use","hard","text","0","0","sensitive"
"329","11795","377","scenario_329","tool_use","hard","text","0","1","restricted"
"330","8543","437","scenario_330","qa","hard","multistep_trace","0","1","restricted"
"331","11807","60","scenario_331","classification","standard","text_json","0","1","moderate"
"332","22237","238","scenario_332","tool_use","expert","text_table","0","1","moderate"
"333","24709","532","scenario_333","summarization","easy","text_json","1","1","low"
"334","19267","489","scenario_334","summarization","easy","text_table","0","1","low"
"335","5104","73","scenario_335","tool_use","standard","text_json","1","0","restricted"
"336","11063","244","scenario_336","summarization","hard","text","0","1","restricted"
"337","1370","214","scenario_337","classification","easy","text","0","1","sensitive"
"338","4949","297","scenario_338","policy_handling","hard","text_json","0","1","sensitive"
"339","5354","242","scenario_339","tool_use","easy","text","0","1","moderate"
"340","4882","17","scenario_340","tool_use","easy","text_table","1","1","low"
"341","18318","408","scenario_341","classification","hard","text","1","1","restricted"
"342","10285","491","scenario_342","classification","expert","text","1","1","moderate"
"343","19633","120","scenario_343","planning","standard","text","1","1","restricted"
"344","16258","222","scenario_344","policy_handling","hard","text","1","0","moderate"
"345","24519","436","scenario_345","classification","easy","text","1","0","restricted"
"346","14349","177","scenario_346","policy_handling","expert","text","0","1","restricted"
"347","3566","614","scenario_347","summarization","expert","text_table","1","0","moderate"
"348","11319","1","scenario_348","tool_use","standard","multistep_trace","0","1","restricted"
"349","23034","63","scenario_349","policy_handling","hard","text_json","0","0","restricted"
"350","12700","366","scenario_350","planning","easy","text_json","1","1","restricted"
"351","3922","372","scenario_351","qa","standard","multistep_trace","0","1","sensitive"
"352","20252","263","scenario_352","tool_use","standard","text","1","1","sensitive"
"353","8102","293","scenario_353","classification","easy","text_json","0","0","moderate"
"354","269","229","scenario_354","planning","expert","text","0","1","moderate"
"355","18358","77","scenario_355","classification","standard","text_json","1","0","sensitive"
"356","13275","244","scenario_356","qa","hard","multistep_trace","0","0","low"
"357","18456","155","scenario_357","policy_handling","easy","text_table","0","1","sensitive"
"358","15528","449","scenario_358","tool_use","easy","text","0","0","moderate"
"359","14538","166","scenario_359","planning","standard","text","0","0","sensitive"
"360","19504","226","scenario_360","qa","hard","multistep_trace","1","1","sensitive"
"361","4267","333","scenario_361","classification","hard","text","0","0","low"
"362","7502","309","scenario_362","tool_use","standard","text_json","1","0","moderate"
"363","8069","139","scenario_363","planning","hard","text_table","1","1","low"
"364","6935","537","scenario_364","qa","hard","text_table","1","1","low"
"365","23046","345","scenario_365","classification","hard","text_table","0","1","sensitive"
"366","8335","102","scenario_366","classification","hard","text_table","0","1","sensitive"
"367","7300","126","scenario_367","qa","standard","text_table","0","0","low"
"368","12151","542","scenario_368","policy_handling","hard","text_json","0","0","restricted"
"369","6818","469","scenario_369","qa","easy","multistep_trace","0","0","sensitive"
"370","1432","208","scenario_370","summarization","hard","text_json","0","0","sensitive"
"371","13230","507","scenario_371","planning","standard","text_json","1","0","restricted"
"372","17740","167","scenario_372","summarization","hard","text","0","1","sensitive"
"373","22911","424","scenario_373","policy_handling","hard","text_json","1","0","sensitive"
"374","9149","505","scenario_374","summarization","standard","multistep_trace","0","0","moderate"
"375","14127","356","scenario_375","summarization","easy","multistep_trace","0","1","moderate"
"376","4771","264","scenario_376","classification","standard","text","0","1","sensitive"
"377","17852","576","scenario_377","qa","expert","multistep_trace","0","1","sensitive"
"378","21000","439","scenario_378","policy_handling","hard","text_table","0","1","sensitive"
"379","24544","419","scenario_379","planning","expert","text","0","0","low"
"380","18747","354","scenario_380","tool_use","easy","text_json","0","1","restricted"
"381","7548","49","scenario_381","classification","expert","text","1","1","sensitive"
"382","2231","149","scenario_382","classification","easy","text","0","1","sensitive"
"383","1491","544","scenario_383","classification","expert","text","0","0","sensitive"
"384","13117","592","scenario_384","tool_use","hard","text_json","1","1","sensitive"
"385","20206","394","scenario_385","planning","standard","multistep_trace","1","1","sensitive"
"386","11152","73","scenario_386","classification","hard","text_table","0","1","low"
"387","12931","441","scenario_387","tool_use","standard","text","0","0","low"
"388","4332","292","scenario_388","classification","hard","multistep_trace","1","1","moderate"
"389","16977","618","scenario_389","planning","hard","text_json","1","1","low"
"390","13846","353","scenario_390","policy_handling","standard","multistep_trace","1","1","restricted"
"391","6023","530","scenario_391","planning","easy","multistep_trace","1","1","moderate"
"392","20289","6","scenario_392","summarization","standard","multistep_trace","0","0","restricted"
"393","20937","17","scenario_393","summarization","expert","text_json","1","1","moderate"
"394","13124","156","scenario_394","tool_use","easy","text_json","1","1","low"
"395","9930","504","scenario_395","planning","hard","multistep_trace","1","1","moderate"
"396","15208","423","scenario_396","policy_handling","expert","text_table","0","1","restricted"
"397","5059","304","scenario_397","planning","easy","multistep_trace","0","1","moderate"
"398","4847","525","scenario_398","policy_handling","standard","text","1","0","sensitive"
"399","9030","100","scenario_399","qa","expert","text","0","0","low"
"400","1291","285","scenario_400","summarization","easy","text_table","0","0","low"
"401","16283","336","scenario_401","tool_use","hard","text_table","1","0","low"
"402","16613","301","scenario_402","tool_use","hard","text","0","1","moderate"
"403","4056","58","scenario_403","classification","easy","text_table","0","1","low"
"404","88","561","scenario_404","tool_use","easy","multistep_trace","1","1","low"
"405","10618","376","scenario_405","summarization","hard","text_json","0","1","moderate"
"406","9504","184","scenario_406","policy_handling","hard","text_table","0","1","low"
"407","2358","211","scenario_407","qa","easy","text_table","0","0","sensitive"
"408","1513","278","scenario_408","tool_use","easy","text_table","0","0","low"
