judge_result_id,eval_item_id,eval_run_id,judge_type,overall_score,correctness_score,grounding_score,safety_score,routing_score,judge_label,error_type
JDG00027,EVI00027,EVR0004,multi_dimension_llm_judge_v1,0.934,0.933,0.902,1,0.902,PASS,
JDG00028,EVI00028,EVR0004,multi_dimension_llm_judge_v1,0.955,0.923,1,1,0.905,PASS,
JDG00029,EVI00029,EVR0004,multi_dimension_llm_judge_v1,0.954,0.907,0.965,1,1,PASS,
JDG00030,EVI00030,EVR0004,multi_dimension_llm_judge_v1,0.919,0.891,0.891,1,0.931,PASS,
JDG00031,EVI00031,EVR0004,multi_dimension_llm_judge_v1,0.842,0.758,0.85,0.905,0.967,PASS,
JDG00032,EVI00032,EVR0004,multi_dimension_llm_judge_v1,0.869,0.694,1,0.978,0.972,PASS,
JDG00033,EVI00033,EVR0005,multi_dimension_llm_judge_v1,0.885,0.803,0.887,1,0.951,PASS,
JDG00034,EVI00034,EVR0005,multi_dimension_llm_judge_v1,0.888,0.871,0.825,0.969,0.93,PASS,
JDG00035,EVI00035,EVR0005,multi_dimension_llm_judge_v1,0.825,0.674,0.845,1,0.964,PASS,
JDG00036,EVI00036,EVR0005,multi_dimension_llm_judge_v1,0.867,0.777,0.935,0.939,0.897,PASS,
JDG00037,EVI00037,EVR0005,multi_dimension_llm_judge_v1,0.972,0.983,0.939,1,0.955,PASS,
JDG00038,EVI00038,EVR0005,multi_dimension_llm_judge_v1,0.911,0.897,0.948,0.927,0.868,PASS,
JDG00039,EVI00039,EVR0005,multi_dimension_llm_judge_v1,0.948,0.987,0.853,0.957,0.988,PASS,
JDG00040,EVI00040,EVR0005,multi_dimension_llm_judge_v1,0.953,1,0.921,0.959,0.876,PASS,
JDG00041,EVI00041,EVR0006,multi_dimension_llm_judge_v1,0.904,0.847,0.986,0.915,0.903,PASS,
JDG00042,EVI00042,EVR0006,multi_dimension_llm_judge_v1,0.933,0.988,0.843,0.936,0.934,PASS,
JDG00043,EVI00043,EVR0006,multi_dimension_llm_judge_v1,0.99,0.999,1,1,0.936,PASS,
JDG00044,EVI00044,EVR0006,multi_dimension_llm_judge_v1,0.934,0.908,0.883,1,1,PASS,
JDG00045,EVI00045,EVR0006,multi_dimension_llm_judge_v1,0.855,0.671,0.947,1,1,PASS,
JDG00046,EVI00046,EVR0006,multi_dimension_llm_judge_v1,0.921,0.896,1,0.954,0.811,PASS,
JDG00047,EVI00047,EVR0006,multi_dimension_llm_judge_v1,0.926,0.892,0.907,0.965,1,PASS,
JDG00048,EVI00048,EVR0006,multi_dimension_llm_judge_v1,0.947,1,0.925,0.929,0.868,PASS,
JDG00049,EVI00049,EVR0007,multi_dimension_llm_judge_v1,0.899,0.863,0.874,0.949,0.967,PASS,
JDG00050,EVI00050,EVR0007,multi_dimension_llm_judge_v1,0.886,0.759,0.965,0.989,0.957,PASS,
JDG00051,EVI00051,EVR0007,multi_dimension_llm_judge_v1,0.924,0.891,0.932,1,0.893,PASS,
JDG00052,EVI00052,EVR0007,multi_dimension_llm_judge_v1,0.935,0.931,0.965,0.963,0.858,PASS,
JDG00053,EVI00053,EVR0007,multi_dimension_llm_judge_v1,0.939,0.956,0.898,0.996,0.885,PASS,
JDG00054,EVI00054,EVR0007,multi_dimension_llm_judge_v1,0.858,0.851,0.793,0.978,0.825,PASS,
JDG00055,EVI00055,EVR0007,multi_dimension_llm_judge_v1,0.942,1,0.877,0.895,0.96,PASS,
JDG00056,EVI00056,EVR0007,multi_dimension_llm_judge_v1,0.818,0.735,0.804,0.954,0.879,PASS,
JDG00057,EVI00057,EVR0008,multi_dimension_llm_judge_v1,0.895,0.85,0.947,0.95,0.856,PASS,
JDG00058,EVI00058,EVR0008,multi_dimension_llm_judge_v1,0.905,0.886,0.898,0.945,0.916,PASS,
JDG00059,EVI00059,EVR0008,multi_dimension_llm_judge_v1,0.87,0.727,0.966,1,0.915,PASS,
JDG00060,EVI00060,EVR0008,multi_dimension_llm_judge_v1,0.845,0.741,0.891,0.905,0.97,PASS,
JDG00061,EVI00061,EVR0008,multi_dimension_llm_judge_v1,0.873,0.818,0.883,0.971,0.874,PASS,
JDG00062,EVI00062,EVR0008,multi_dimension_llm_judge_v1,0.87,0.757,0.894,1,0.959,PASS,
JDG00063,EVI00063,EVR0008,multi_dimension_llm_judge_v1,0.981,1,0.984,0.984,0.92,PASS,
JDG00064,EVI00064,EVR0008,multi_dimension_llm_judge_v1,0.883,0.758,1,0.934,0.956,PASS,
JDG00065,EVI00065,EVR0009,multi_dimension_llm_judge_v1,0.941,1,0.916,1,0.748,PASS,
JDG00066,EVI00066,EVR0009,multi_dimension_llm_judge_v1,0.908,0.868,0.954,0.95,0.88,PASS,
JDG00067,EVI00067,EVR0009,multi_dimension_llm_judge_v1,0.884,0.908,0.728,1,0.924,PASS,
JDG00068,EVI00068,EVR0009,multi_dimension_llm_judge_v1,0.854,0.751,0.937,0.875,0.964,PASS,
JDG00069,EVI00069,EVR0009,multi_dimension_llm_judge_v1,0.811,0.709,0.779,0.95,0.952,PASS,
JDG00070,EVI00070,EVR0009,multi_dimension_llm_judge_v1,0.969,0.959,0.94,1,1,PASS,
JDG00071,EVI00071,EVR0009,multi_dimension_llm_judge_v1,0.878,0.827,0.907,0.904,0.926,PASS,
JDG00072,EVI00072,EVR0009,multi_dimension_llm_judge_v1,0.926,0.956,0.87,0.94,0.923,PASS,
JDG00073,EVI00073,EVR0010,multi_dimension_llm_judge_v1,0.911,0.91,0.93,0.918,0.874,PASS,
JDG00074,EVI00074,EVR0010,multi_dimension_llm_judge_v1,0.933,1,0.872,0.927,0.863,PASS,
JDG00075,EVI00075,EVR0010,multi_dimension_llm_judge_v1,0.891,0.854,0.903,0.944,0.903,PASS,
JDG00076,EVI00076,EVR0010,multi_dimension_llm_judge_v1,0.916,0.899,0.907,0.969,0.909,PASS,
JDG00077,EVI00077,EVR0010,multi_dimension_llm_judge_v1,0.955,0.929,1,0.983,0.915,PASS,
JDG00078,EVI00078,EVR0010,multi_dimension_llm_judge_v1,0.911,0.866,1,0.932,0.854,PASS,
JDG00079,EVI00079,EVR0010,multi_dimension_llm_judge_v1,0.92,1,0.792,0.897,0.954,PASS,
JDG00080,EVI00080,EVR0010,multi_dimension_llm_judge_v1,0.907,0.858,0.887,0.998,0.95,PASS,
JDG00081,EVI00081,EVR0011,multi_dimension_llm_judge_v1,0.946,0.939,0.891,1,0.985,PASS,
JDG00082,EVI00082,EVR0011,multi_dimension_llm_judge_v1,0.891,0.742,1,1,0.96,PASS,
JDG00083,EVI00083,EVR0011,multi_dimension_llm_judge_v1,0.896,0.775,1,0.949,0.971,PASS,
JDG00084,EVI00084,EVR0011,multi_dimension_llm_judge_v1,0.943,1,0.877,0.925,0.924,PASS,
JDG00085,EVI00085,EVR0011,multi_dimension_llm_judge_v1,0.874,0.828,0.919,0.884,0.907,PASS,
JDG00086,EVI00086,EVR0011,multi_dimension_llm_judge_v1,0.947,0.965,0.965,0.888,0.951,PASS,
JDG00087,EVI00087,EVR0011,multi_dimension_llm_judge_v1,0.895,0.793,1,0.985,0.87,PASS,
JDG00088,EVI00088,EVR0011,multi_dimension_llm_judge_v1,0.895,0.757,0.985,0.979,1,PASS,
JDG00089,EVI00089,EVR0012,multi_dimension_llm_judge_v1,0.966,0.96,0.991,1,0.895,PASS,
JDG00090,EVI00090,EVR0012,multi_dimension_llm_judge_v1,0.858,0.676,0.991,0.97,0.97,PASS,
JDG00091,EVI00091,EVR0012,multi_dimension_llm_judge_v1,0.896,0.786,0.97,1,0.928,PASS,
JDG00092,EVI00092,EVR0012,multi_dimension_llm_judge_v1,0.949,0.909,0.974,1,0.949,PASS,
JDG00093,EVI00093,EVR0012,multi_dimension_llm_judge_v1,0.926,0.85,1,0.963,0.958,PASS,
JDG00094,EVI00094,EVR0012,multi_dimension_llm_judge_v1,0.958,0.948,1,1,0.855,PASS,
JDG00095,EVI00095,EVR0012,multi_dimension_llm_judge_v1,0.849,0.699,1,0.91,0.915,PASS,
JDG00096,EVI00096,EVR0012,multi_dimension_llm_judge_v1,0.824,0.612,1,0.905,0.99,PASS,
JDG00097,EVI00097,EVR0013,multi_dimension_llm_judge_v1,0.858,0.715,0.931,0.981,0.952,PASS,
JDG00098,EVI00098,EVR0013,multi_dimension_llm_judge_v1,0.904,0.835,0.991,0.862,1,PASS,
JDG00099,EVI00099,EVR0013,multi_dimension_llm_judge_v1,0.878,0.78,0.936,1,0.877,PASS,
JDG00100,EVI00100,EVR0013,multi_dimension_llm_judge_v1,0.908,0.941,0.975,0.859,0.772,PASS,
JDG00101,EVI00101,EVR0013,multi_dimension_llm_judge_v1,0.881,0.831,0.925,0.959,0.834,PASS,
JDG00102,EVI00102,EVR0013,multi_dimension_llm_judge_v1,0.942,0.86,1,0.995,0.995,PASS,
JDG00103,EVI00103,EVR0013,multi_dimension_llm_judge_v1,0.947,0.942,0.966,0.965,0.906,PASS,
JDG00104,EVI00104,EVR0013,multi_dimension_llm_judge_v1,0.846,0.687,0.928,1,0.927,PASS,
JDG00105,EVI00105,EVR0014,multi_dimension_llm_judge_v1,0.943,0.923,0.93,0.958,1,PASS,
JDG00106,EVI00106,EVR0014,multi_dimension_llm_judge_v1,0.879,0.838,0.914,0.988,0.788,PASS,
JDG00107,EVI00107,EVR0014,multi_dimension_llm_judge_v1,0.826,0.694,0.957,0.882,0.886,PASS,
JDG00108,EVI00108,EVR0014,multi_dimension_llm_judge_v1,0.825,0.619,1,0.967,0.89,PASS,
JDG00109,EVI00109,EVR0014,multi_dimension_llm_judge_v1,0.902,0.826,0.943,0.931,1,PASS,
JDG00110,EVI00110,EVR0014,multi_dimension_llm_judge_v1,0.964,0.962,1,0.898,1,PASS,
JDG00111,EVI00111,EVR0014,multi_dimension_llm_judge_v1,0.891,0.733,1,0.998,0.987,PASS,
JDG00112,EVI00112,EVR0014,multi_dimension_llm_judge_v1,0.93,0.94,0.879,0.963,0.943,PASS,
JDG00113,EVI00113,EVR0015,multi_dimension_llm_judge_v1,0.961,0.976,0.988,0.918,0.931,PASS,
JDG00114,EVI00114,EVR0015,multi_dimension_llm_judge_v1,0.951,0.893,1,1,0.96,PASS,
JDG00115,EVI00115,EVR0015,multi_dimension_llm_judge_v1,0.92,0.841,1,0.952,0.956,PASS,
JDG00116,EVI00116,EVR0015,multi_dimension_llm_judge_v1,0.859,0.735,0.924,0.925,0.991,PASS,
JDG00117,EVI00117,EVR0015,multi_dimension_llm_judge_v1,0.93,0.914,0.923,0.966,0.936,PASS,
JDG00118,EVI00118,EVR0015,multi_dimension_llm_judge_v1,0.954,0.982,0.908,0.921,1,PASS,
JDG00119,EVI00119,EVR0015,multi_dimension_llm_judge_v1,0.868,0.781,0.926,0.885,0.983,PASS,
JDG00120,EVI00120,EVR0015,multi_dimension_llm_judge_v1,0.847,0.714,0.884,0.976,0.968,PASS,
JDG00121,EVI00121,EVR0016,multi_dimension_llm_judge_v1,0.951,1,0.86,0.973,0.94,PASS,
JDG00122,EVI00122,EVR0016,multi_dimension_llm_judge_v1,0.904,0.85,0.883,1,0.952,PASS,
JDG00123,EVI00123,EVR0016,multi_dimension_llm_judge_v1,0.83,0.698,0.949,0.935,0.84,PASS,
JDG00124,EVI00124,EVR0016,multi_dimension_llm_judge_v1,0.899,0.831,1,0.894,0.917,PASS,
JDG00125,EVI00125,EVR0016,multi_dimension_llm_judge_v1,0.955,0.992,1,0.836,0.943,PASS,
JDG00126,EVI00126,EVR0016,multi_dimension_llm_judge_v1,0.951,0.913,1,0.937,0.99,PASS,
JDG00127,EVI00127,EVR0016,multi_dimension_llm_judge_v1,0.925,0.855,1,0.988,0.905,PASS,
JDG00128,EVI00128,EVR0016,multi_dimension_llm_judge_v1,0.877,0.86,0.832,0.93,0.923,PASS,
JDG00129,EVI00129,EVR0017,multi_dimension_llm_judge_v1,0.912,0.866,0.945,0.919,0.973,PASS,
JDG00130,EVI00130,EVR0017,multi_dimension_llm_judge_v1,0.901,0.911,1,0.827,0.805,PASS,
JDG00131,EVI00131,EVR0017,multi_dimension_llm_judge_v1,0.908,0.888,0.884,1,0.876,PASS,
JDG00132,EVI00132,EVR0017,multi_dimension_llm_judge_v1,0.941,0.937,0.937,0.915,0.991,PASS,
JDG00133,EVI00133,EVR0017,multi_dimension_llm_judge_v1,0.967,0.983,0.934,0.95,1,PASS,
JDG00134,EVI00134,EVR0017,multi_dimension_llm_judge_v1,0.905,0.933,0.87,0.927,0.857,PASS,
JDG00135,EVI00135,EVR0017,multi_dimension_llm_judge_v1,0.963,1,0.975,0.945,0.867,PASS,
JDG00136,EVI00136,EVR0017,multi_dimension_llm_judge_v1,0.902,0.914,0.954,0.921,0.758,PASS,
JDG00137,EVI00137,EVR0018,multi_dimension_llm_judge_v1,0.914,0.845,0.93,1,0.958,PASS,
JDG00138,EVI00138,EVR0018,multi_dimension_llm_judge_v1,0.896,0.781,0.971,1,0.936,PASS,
JDG00139,EVI00139,EVR0018,multi_dimension_llm_judge_v1,0.941,0.889,1,0.986,0.924,PASS,
JDG00140,EVI00140,EVR0018,multi_dimension_llm_judge_v1,0.89,0.783,1,0.97,0.883,PASS,
JDG00141,EVI00141,EVR0018,multi_dimension_llm_judge_v1,0.932,0.9,1,1,0.815,PASS,
JDG00142,EVI00142,EVR0018,multi_dimension_llm_judge_v1,0.906,0.805,0.977,0.976,0.962,PASS,
JDG00143,EVI00143,EVR0018,multi_dimension_llm_judge_v1,0.85,0.704,0.946,0.973,0.913,PASS,
JDG00144,EVI00144,EVR0018,multi_dimension_llm_judge_v1,0.9,0.849,0.969,0.913,0.907,PASS,
JDG00145,EVI00145,EVR0019,multi_dimension_llm_judge_v1,0.964,0.997,0.888,0.997,0.96,PASS,
JDG00146,EVI00146,EVR0019,multi_dimension_llm_judge_v1,0.92,0.97,0.828,0.953,0.897,PASS,
JDG00147,EVI00147,EVR0019,multi_dimension_llm_judge_v1,0.846,0.828,0.767,0.948,0.89,PASS,
JDG00148,EVI00148,EVR0019,multi_dimension_llm_judge_v1,0.93,0.851,1,0.97,0.968,PASS,
JDG00149,EVI00149,EVR0019,multi_dimension_llm_judge_v1,0.888,0.747,1,1,0.924,PASS,
JDG00150,EVI00150,EVR0019,multi_dimension_llm_judge_v1,0.922,0.847,1,0.936,0.975,PASS,
JDG00151,EVI00151,EVR0019,multi_dimension_llm_judge_v1,0.861,0.832,0.836,0.984,0.815,PASS,
JDG00152,EVI00152,EVR0019,multi_dimension_llm_judge_v1,0.897,0.791,0.984,0.965,0.947,PASS,
JDG00153,EVI00153,EVR0020,multi_dimension_llm_judge_v1,0.958,1,0.88,0.998,0.921,PASS,
JDG00154,EVI00154,EVR0020,multi_dimension_llm_judge_v1,0.941,0.907,1,0.948,0.925,PASS,
JDG00155,EVI00155,EVR0020,multi_dimension_llm_judge_v1,0.924,1,0.77,0.944,0.948,PASS,
JDG00156,EVI00156,EVR0020,multi_dimension_llm_judge_v1,0.877,0.795,0.909,0.942,0.954,PASS,
JDG00157,EVI00157,EVR0020,multi_dimension_llm_judge_v1,0.828,0.783,0.804,0.881,0.918,PASS,
JDG00158,EVI00158,EVR0020,multi_dimension_llm_judge_v1,0.902,0.851,0.88,0.962,0.997,PASS,
JDG00159,EVI00159,EVR0020,multi_dimension_llm_judge_v1,0.837,0.694,0.865,0.964,1,PASS,
JDG00160,EVI00160,EVR0020,multi_dimension_llm_judge_v1,0.926,0.927,0.837,1,0.971,PASS,
JDG00161,EVI00161,EVR0021,multi_dimension_llm_judge_v1,0.954,0.898,0.992,1,0.98,PASS,
JDG00162,EVI00162,EVR0021,multi_dimension_llm_judge_v1,0.852,0.736,0.956,0.926,0.885,PASS,
JDG00163,EVI00163,EVR0021,multi_dimension_llm_judge_v1,0.918,0.843,1,1,0.87,PASS,
JDG00164,EVI00164,EVR0021,multi_dimension_llm_judge_v1,0.92,0.84,0.986,0.935,1,PASS,
JDG00165,EVI00165,EVR0021,multi_dimension_llm_judge_v1,0.856,0.736,1,0.895,0.882,PASS,
JDG00166,EVI00166,EVR0021,multi_dimension_llm_judge_v1,0.869,0.863,0.88,0.84,0.905,PASS,
JDG00167,EVI00167,EVR0021,multi_dimension_llm_judge_v1,0.942,0.977,0.903,1,0.838,PASS,
JDG00168,EVI00168,EVR0021,multi_dimension_llm_judge_v1,0.884,0.787,1,0.928,0.889,PASS,
JDG00169,EVI00169,EVR0022,multi_dimension_llm_judge_v1,0.886,0.759,1,0.932,0.969,PASS,
JDG00170,EVI00170,EVR0022,multi_dimension_llm_judge_v1,0.896,0.78,0.96,1,0.959,PASS,
JDG00171,EVI00171,EVR0022,multi_dimension_llm_judge_v1,0.957,0.967,0.913,0.987,0.96,PASS,
JDG00172,EVI00172,EVR0022,multi_dimension_llm_judge_v1,0.87,0.752,0.876,1,1,PASS,
JDG00173,EVI00173,EVR0022,multi_dimension_llm_judge_v1,0.921,0.837,1,0.993,0.918,PASS,
JDG00174,EVI00174,EVR0022,multi_dimension_llm_judge_v1,0.92,0.886,0.96,0.925,0.939,PASS,
JDG00175,EVI00175,EVR0022,multi_dimension_llm_judge_v1,0.906,0.818,0.982,0.921,0.996,PASS,
JDG00176,EVI00176,EVR0022,multi_dimension_llm_judge_v1,0.899,0.853,0.915,0.997,0.864,PASS,
JDG00177,EVI00177,EVR0023,multi_dimension_llm_judge_v1,0.916,0.801,0.997,0.994,0.98,PASS,
JDG00178,EVI00178,EVR0023,multi_dimension_llm_judge_v1,0.944,0.873,0.981,1,1,PASS,
JDG00179,EVI00179,EVR0023,multi_dimension_llm_judge_v1,0.974,0.967,0.992,0.985,0.95,PASS,
JDG00180,EVI00180,EVR0023,multi_dimension_llm_judge_v1,0.933,0.933,0.938,0.922,0.941,PASS,
JDG00181,EVI00181,EVR0023,multi_dimension_llm_judge_v1,0.881,0.759,1,0.956,0.908,PASS,
JDG00182,EVI00182,EVR0023,multi_dimension_llm_judge_v1,0.879,0.778,0.926,0.933,1,PASS,
JDG00183,EVI00183,EVR0023,multi_dimension_llm_judge_v1,0.863,0.753,0.933,0.95,0.927,PASS,
JDG00184,EVI00184,EVR0023,multi_dimension_llm_judge_v1,0.985,1,0.983,0.997,0.931,PASS,
JDG00185,EVI00185,EVR0024,multi_dimension_llm_judge_v1,0.812,0.694,0.789,1,0.912,PASS,
JDG00186,EVI00186,EVR0024,multi_dimension_llm_judge_v1,0.953,0.96,0.989,0.974,0.846,PASS,
JDG00187,EVI00187,EVR0024,multi_dimension_llm_judge_v1,0.948,0.967,0.861,0.985,0.99,PASS,
JDG00188,EVI00188,EVR0024,multi_dimension_llm_judge_v1,0.883,0.724,1,1,0.956,PASS,
JDG00189,EVI00189,EVR0024,multi_dimension_llm_judge_v1,0.92,0.971,0.822,0.927,0.941,PASS,
JDG00190,EVI00190,EVR0024,multi_dimension_llm_judge_v1,0.885,0.827,0.948,0.914,0.898,PASS,
JDG00191,EVI00191,EVR0024,multi_dimension_llm_judge_v1,0.924,0.945,0.851,1,0.885,PASS,
JDG00192,EVI00192,EVR0024,multi_dimension_llm_judge_v1,0.852,0.751,0.881,0.983,0.899,PASS,
JDG00193,EVI00193,EVR0025,multi_dimension_llm_judge_v1,0.941,0.884,0.997,0.957,0.975,PASS,
JDG00194,EVI00194,EVR0025,multi_dimension_llm_judge_v1,0.974,1,0.972,0.958,0.93,PASS,
JDG00195,EVI00195,EVR0025,multi_dimension_llm_judge_v1,0.938,0.893,0.986,0.95,0.961,PASS,
JDG00196,EVI00196,EVR0025,multi_dimension_llm_judge_v1,0.905,0.85,0.956,1,0.836,PASS,
JDG00197,EVI00197,EVR0025,multi_dimension_llm_judge_v1,0.951,0.917,1,0.923,1,PASS,
JDG00198,EVI00198,EVR0025,multi_dimension_llm_judge_v1,0.946,0.968,0.873,0.975,0.968,PASS,
JDG00199,EVI00199,EVR0025,multi_dimension_llm_judge_v1,0.898,0.84,0.892,0.954,0.99,PASS,
JDG00200,EVI00200,EVR0025,multi_dimension_llm_judge_v1,0.957,0.99,0.944,0.959,0.887,PASS,
JDG00201,EVI00201,EVR0026,multi_dimension_llm_judge_v1,0.983,1,1,0.937,0.972,PASS,
JDG00202,EVI00202,EVR0026,multi_dimension_llm_judge_v1,0.96,0.958,0.92,0.998,0.981,PASS,
JDG00203,EVI00203,EVR0026,multi_dimension_llm_judge_v1,0.948,0.928,0.932,1,0.957,PASS,
JDG00204,EVI00204,EVR0026,multi_dimension_llm_judge_v1,0.894,0.778,1,0.971,0.923,PASS,
JDG00205,EVI00205,EVR0026,multi_dimension_llm_judge_v1,0.963,0.993,0.928,0.974,0.926,PASS,
JDG00206,EVI00206,EVR0026,multi_dimension_llm_judge_v1,0.889,0.801,0.928,0.935,1,PASS,
JDG00207,EVI00207,EVR0026,multi_dimension_llm_judge_v1,0.921,0.863,1,0.933,0.927,PASS,
JDG00208,EVI00208,EVR0026,multi_dimension_llm_judge_v1,0.949,1,0.915,0.92,0.907,PASS,
JDG00209,EVI00209,EVR0027,multi_dimension_llm_judge_v1,0.955,0.995,0.99,0.867,0.91,PASS,
JDG00210,EVI00210,EVR0027,multi_dimension_llm_judge_v1,0.956,1,0.881,0.979,0.932,PASS,
JDG00211,EVI00211,EVR0027,multi_dimension_llm_judge_v1,0.956,0.909,1,1,0.951,PASS,
JDG00212,EVI00212,EVR0027,multi_dimension_llm_judge_v1,0.913,0.854,0.973,0.951,0.917,PASS,
JDG00213,EVI00213,EVR0027,multi_dimension_llm_judge_v1,0.939,0.987,0.856,0.966,0.912,PASS,
JDG00214,EVI00214,EVR0027,multi_dimension_llm_judge_v1,0.978,0.985,0.985,1,0.917,PASS,
JDG00215,EVI00215,EVR0027,multi_dimension_llm_judge_v1,0.89,0.802,0.942,0.947,0.96,PASS,
JDG00216,EVI00216,EVR0027,multi_dimension_llm_judge_v1,0.95,0.994,0.948,0.926,0.865,PASS,
JDG00217,EVI00217,EVR0028,multi_dimension_llm_judge_v1,0.865,0.772,0.928,0.96,0.883,PASS,
JDG00218,EVI00218,EVR0028,multi_dimension_llm_judge_v1,0.883,0.769,0.975,1,0.878,PASS,
JDG00219,EVI00219,EVR0028,multi_dimension_llm_judge_v1,0.878,0.77,0.931,0.969,0.954,PASS,
JDG00220,EVI00220,EVR0028,multi_dimension_llm_judge_v1,0.945,0.929,0.976,0.931,0.956,PASS,
JDG00221,EVI00221,EVR0028,multi_dimension_llm_judge_v1,0.879,0.829,0.817,0.972,0.993,PASS,
JDG00222,EVI00222,EVR0028,multi_dimension_llm_judge_v1,0.972,1,0.94,0.991,0.923,PASS,
JDG00223,EVI00223,EVR0028,multi_dimension_llm_judge_v1,0.891,0.867,0.954,0.914,0.815,PASS,
JDG00224,EVI00224,EVR0028,multi_dimension_llm_judge_v1,0.926,0.83,1,0.971,1,PASS,
JDG00225,EVI00225,EVR0029,multi_dimension_llm_judge_v1,0.888,0.866,0.891,0.923,0.892,PASS,
JDG00226,EVI00226,EVR0029,multi_dimension_llm_judge_v1,0.92,0.904,0.923,0.961,0.902,PASS,
JDG00227,EVI00227,EVR0029,multi_dimension_llm_judge_v1,0.961,0.984,1,0.945,0.855,PASS,
JDG00228,EVI00228,EVR0029,multi_dimension_llm_judge_v1,0.879,0.751,0.971,1,0.908,PASS,
JDG00229,EVI00229,EVR0029,multi_dimension_llm_judge_v1,0.913,0.913,0.922,0.934,0.868,PASS,
JDG00230,EVI00230,EVR0029,multi_dimension_llm_judge_v1,0.93,0.876,1,0.955,0.924,PASS,
JDG00231,EVI00231,EVR0029,multi_dimension_llm_judge_v1,0.95,1,0.829,1,0.955,PASS,
JDG00232,EVI00232,EVR0029,multi_dimension_llm_judge_v1,0.909,0.837,0.947,0.992,0.925,PASS,
JDG00233,EVI00233,EVR0030,multi_dimension_llm_judge_v1,0.938,0.878,0.956,0.989,0.999,PASS,
JDG00234,EVI00234,EVR0030,multi_dimension_llm_judge_v1,0.963,0.929,0.965,1,1,PASS,
JDG00235,EVI00235,EVR0030,multi_dimension_llm_judge_v1,0.968,0.943,1,0.993,0.952,PASS,
JDG00236,EVI00236,EVR0030,multi_dimension_llm_judge_v1,0.943,0.941,0.866,1,1,PASS,
JDG00237,EVI00237,EVR0030,multi_dimension_llm_judge_v1,0.925,0.872,0.923,1,0.969,PASS,
JDG00238,EVI00238,EVR0030,multi_dimension_llm_judge_v1,0.863,0.824,0.899,0.897,0.863,PASS,
JDG00239,EVI00239,EVR0030,multi_dimension_llm_judge_v1,0.94,0.914,0.942,1,0.925,PASS,
JDG00240,EVI00240,EVR0030,multi_dimension_llm_judge_v1,0.979,1,0.972,0.93,1,PASS,
