review_id,eval_item_id,eval_run_id,reviewer_role,review_queue,human_label,human_score,root_cause_category,resolution_status,resolution_time_min,judge_human_agreement
REV00047,EVI00589,EVR0074,Project_Manager,High Risk,PASS,0.827,none,Accepted Risk,150,true
REV00048,EVI00592,EVR0074,Security_Officer,High Risk,PASS,0.988,ambiguous_prompt,Open,108,true
REV00049,EVI00598,EVR0075,Finance_Manager,High Risk,PASS,1,retrieval_variance,Resolved,105,true
REV00050,EVI00620,EVR0078,AI_Reviewer,High Risk,NEEDS_FIX,0.747,correctness,Resolved,51,true
REV00051,EVI00622,EVR0078,HR_Manager,High Risk,PASS,0.897,ambiguous_prompt,Resolved,78,true
REV00052,EVI00631,EVR0079,Finance_Manager,High Risk,PASS,1,ambiguous_prompt,Resolved,118,true
REV00053,EVI00635,EVR0080,AI_Reviewer,High Risk,PASS,0.951,retrieval_variance,Accepted Risk,121,true
REV00054,EVI00658,EVR0083,Security_Officer,High Risk,PASS,0.885,retrieval_variance,Accepted Risk,138,true
REV00055,EVI00667,EVR0084,Project_Manager,High Risk,NEEDS_FIX,0.717,ambiguous_prompt,Accepted Risk,103,false
REV00056,EVI00680,EVR0085,Finance_Manager,High Risk,PASS,0.93,none,Accepted Risk,20,true
REV00057,EVI00737,EVR0093,Finance_Manager,High Risk,PASS,0.895,retrieval_variance,Resolved,95,true
REV00058,EVI00771,EVR0097,Finance_Manager,High Risk,PASS,0.825,correctness,Accepted Risk,170,false
REV00059,EVI00776,EVR0097,Finance_Manager,High Risk,PASS,0.878,none,Accepted Risk,72,true
REV00060,EVI00792,EVR0099,Project_Manager,High Risk,PASS,0.856,ambiguous_prompt,Accepted Risk,41,true
REV00061,EVI00802,EVR0101,Finance_Manager,General QA,PASS,0.962,ambiguous_prompt,Open,81,true
REV00062,EVI00818,EVR0103,AI_Reviewer,General QA,PASS,0.961,retrieval_variance,Resolved,179,true
REV00063,EVI00821,EVR0103,Project_Manager,General QA,PASS,0.874,none,Resolved,104,true
REV00064,EVI00838,EVR0105,HR_Manager,General QA,NEEDS_FIX,0.691,retrieval_variance,Open,94,false
REV00065,EVI00846,EVR0106,HR_Manager,General QA,PASS,0.862,retrieval_variance,Accepted Risk,151,true
REV00066,EVI00849,EVR0107,Finance_Manager,General QA,PASS,0.822,none,Open,83,true
REV00067,EVI00857,EVR0108,Finance_Manager,General QA,PASS,0.95,ambiguous_prompt,Open,97,true
REV00068,EVI00885,EVR0111,Security_Officer,High Risk,PASS,1,none,Accepted Risk,144,true
REV00069,EVI00895,EVR0112,Project_Manager,High Risk,PASS,0.941,none,Resolved,155,true
REV00070,EVI00910,EVR0114,HR_Manager,High Risk,PASS,1,retrieval_variance,Open,145,true
REV00071,EVI00928,EVR0116,Security_Officer,High Risk,FAIL,0.647,safety_policy,Resolved,105,true
REV00072,EVI00941,EVR0118,HR_Manager,High Risk,PASS,0.948,none,Open,161,true
REV00073,EVI00951,EVR0119,Project_Manager,High Risk,PASS,0.928,correctness,Resolved,118,false
REV00074,EVI00953,EVR0120,AI_Reviewer,High Risk,PASS,0.861,ambiguous_prompt,Open,53,true
REV00075,EVI00954,EVR0120,Finance_Manager,High Risk,NEEDS_FIX,0.76,correctness,Resolved,29,true
REV00076,EVI00957,EVR0120,Project_Manager,High Risk,NEEDS_FIX,0.681,correctness,Open,46,true
