eval_run_id,program_id,run_started_at,eval_batch_name,candidate_variant,items_total,avg_judge_score,pass_rate,review_rate,cost_usd,dataset_split
EVR0038,EVP004,2026-07-09T10:00:00,EVP004-BATCH-08,GPT-4.1-mini,8,0.924,1.0,0.0,2.43,validation
EVR0039,EVP004,2026-07-10T10:00:00,EVP004-BATCH-09,GPT-4.1-mini,8,0.919,1.0,0.0,6.01,test
EVR0040,EVP004,2026-07-11T10:00:00,EVP004-BATCH-10,GPT-4.1-mini,8,0.913,1.0,0.0,7.36,test
EVR0041,EVP005,2026-07-12T10:00:00,EVP005-BATCH-01,Mistral-7B-Instruct,8,0.904,1.0,0.0,4.82,test
EVR0042,EVP005,2026-07-13T10:00:00,EVP005-BATCH-02,Mistral-7B-Instruct,8,0.902,1.0,0.0,8.22,test
EVR0043,EVP005,2026-07-14T10:00:00,EVP005-BATCH-03,Mistral-7B-Instruct,8,0.914,1.0,0.0,8.35,production_shadow
EVR0044,EVP005,2026-07-15T10:00:00,EVP005-BATCH-04,Mistral-7B-Instruct,8,0.917,1.0,0.0,6.05,validation
EVR0045,EVP005,2026-07-16T10:00:00,EVP005-BATCH-05,Mistral-7B-Instruct,8,0.916,1.0,0.0,8.05,test
EVR0046,EVP005,2026-07-17T10:00:00,EVP005-BATCH-06,Mistral-7B-Instruct,8,0.895,0.75,0.25,5.38,test
EVR0047,EVP005,2026-07-18T10:00:00,EVP005-BATCH-07,Mistral-7B-Instruct,8,0.939,1.0,0.0,1.65,production_shadow
EVR0048,EVP005,2026-07-19T10:00:00,EVP005-BATCH-08,Mistral-7B-Instruct,8,0.912,1.0,0.0,6.43,validation
EVR0049,EVP005,2026-07-20T10:00:00,EVP005-BATCH-09,Mistral-7B-Instruct,8,0.89,1.0,0.0,0.82,test
EVR0050,EVP005,2026-07-21T10:00:00,EVP005-BATCH-10,Mistral-7B-Instruct,8,0.907,1.0,0.0,2.98,test
EVR0051,EVP006,2026-07-22T10:00:00,EVP006-BATCH-01,Llama-3.1-8B-Instruct,8,0.902,1.0,0.0,5.75,test
EVR0052,EVP006,2026-07-23T10:00:00,EVP006-BATCH-02,Llama-3.1-8B-Instruct,8,0.934,1.0,0.0,5.9,test
EVR0053,EVP006,2026-07-24T10:00:00,EVP006-BATCH-03,Llama-3.1-8B-Instruct,8,0.901,1.0,0.0,1.26,production_shadow
EVR0054,EVP006,2026-07-25T10:00:00,EVP006-BATCH-04,Llama-3.1-8B-Instruct,8,0.943,1.0,0.0,7.69,validation
EVR0055,EVP006,2026-07-26T10:00:00,EVP006-BATCH-05,Llama-3.1-8B-Instruct,8,0.916,1.0,0.0,4.47,test
EVR0056,EVP006,2026-07-27T10:00:00,EVP006-BATCH-06,Llama-3.1-8B-Instruct,8,0.905,1.0,0.0,7.37,test
EVR0057,EVP006,2026-07-28T10:00:00,EVP006-BATCH-07,Llama-3.1-8B-Instruct,8,0.925,1.0,0.0,0.85,production_shadow
EVR0058,EVP006,2026-07-29T10:00:00,EVP006-BATCH-08,Llama-3.1-8B-Instruct,8,0.905,1.0,0.0,7.8,validation
EVR0059,EVP006,2026-07-30T10:00:00,EVP006-BATCH-09,Llama-3.1-8B-Instruct,8,0.92,1.0,0.0,4.08,test
EVR0060,EVP006,2026-07-31T10:00:00,EVP006-BATCH-10,Llama-3.1-8B-Instruct,8,0.915,1.0,0.0,4.84,test
EVR0061,EVP007,2026-08-01T10:00:00,EVP007-BATCH-01,Mistral-7B-Instruct,8,0.934,1.0,0.0,3.03,test
EVR0062,EVP007,2026-08-02T10:00:00,EVP007-BATCH-02,Mistral-7B-Instruct,8,0.899,1.0,0.0,3.68,test
EVR0063,EVP007,2026-08-03T10:00:00,EVP007-BATCH-03,Mistral-7B-Instruct,8,0.897,0.875,0.125,4.82,production_shadow
EVR0064,EVP007,2026-08-04T10:00:00,EVP007-BATCH-04,Mistral-7B-Instruct,8,0.882,1.0,0.0,5.63,validation
EVR0065,EVP007,2026-08-05T10:00:00,EVP007-BATCH-05,Mistral-7B-Instruct,8,0.878,1.0,0.0,5.02,test
EVR0066,EVP007,2026-08-06T10:00:00,EVP007-BATCH-06,Mistral-7B-Instruct,8,0.867,0.75,0.25,1.97,test
EVR0067,EVP007,2026-08-07T10:00:00,EVP007-BATCH-07,Mistral-7B-Instruct,8,0.913,1.0,0.0,7.95,production_shadow
EVR0068,EVP007,2026-08-08T10:00:00,EVP007-BATCH-08,Mistral-7B-Instruct,8,0.906,1.0,0.0,6.64,validation
EVR0069,EVP007,2026-08-09T10:00:00,EVP007-BATCH-09,Mistral-7B-Instruct,8,0.919,1.0,0.0,5.98,test
EVR0070,EVP007,2026-08-10T10:00:00,EVP007-BATCH-10,Mistral-7B-Instruct,8,0.883,1.0,0.0,5.56,test
EVR0071,EVP008,2026-08-11T10:00:00,EVP008-BATCH-01,Llama-3.1-8B-Instruct,8,0.929,1.0,0.0,8.09,test
EVR0072,EVP008,2026-08-12T10:00:00,EVP008-BATCH-02,Llama-3.1-8B-Instruct,8,0.928,1.0,0.0,6.39,test
EVR0073,EVP008,2026-08-13T10:00:00,EVP008-BATCH-03,Llama-3.1-8B-Instruct,8,0.912,1.0,0.0,5.44,production_shadow
EVR0074,EVP008,2026-08-14T10:00:00,EVP008-BATCH-04,Llama-3.1-8B-Instruct,8,0.903,1.0,0.0,1.48,validation
EVR0075,EVP008,2026-08-15T10:00:00,EVP008-BATCH-05,Llama-3.1-8B-Instruct,8,0.911,1.0,0.0,6.61,test
EVR0076,EVP008,2026-08-16T10:00:00,EVP008-BATCH-06,Llama-3.1-8B-Instruct,8,0.873,1.0,0.0,6.99,test
EVR0077,EVP008,2026-08-17T10:00:00,EVP008-BATCH-07,Llama-3.1-8B-Instruct,8,0.912,1.0,0.0,6.36,production_shadow
EVR0078,EVP008,2026-08-18T10:00:00,EVP008-BATCH-08,Llama-3.1-8B-Instruct,8,0.899,0.875,0.125,1.62,validation
EVR0079,EVP008,2026-08-19T10:00:00,EVP008-BATCH-09,Llama-3.1-8B-Instruct,8,0.91,1.0,0.0,6.46,test
EVR0080,EVP008,2026-08-20T10:00:00,EVP008-BATCH-10,Llama-3.1-8B-Instruct,8,0.919,1.0,0.0,8.2,test
EVR0081,EVP009,2026-08-21T10:00:00,EVP009-BATCH-01,GPT-4.1-mini,8,0.917,1.0,0.0,1.87,test
EVR0082,EVP009,2026-08-22T10:00:00,EVP009-BATCH-02,GPT-4.1-mini,8,0.907,1.0,0.0,8.23,test
EVR0083,EVP009,2026-08-23T10:00:00,EVP009-BATCH-03,GPT-4.1-mini,8,0.906,1.0,0.0,2.68,production_shadow
EVR0084,EVP009,2026-08-24T10:00:00,EVP009-BATCH-04,GPT-4.1-mini,8,0.91,1.0,0.0,5.19,validation
EVR0085,EVP009,2026-08-25T10:00:00,EVP009-BATCH-05,GPT-4.1-mini,8,0.899,1.0,0.0,6.57,test
EVR0086,EVP009,2026-08-26T10:00:00,EVP009-BATCH-06,GPT-4.1-mini,8,0.896,1.0,0.0,2.26,test
EVR0087,EVP009,2026-08-27T10:00:00,EVP009-BATCH-07,GPT-4.1-mini,8,0.916,1.0,0.0,5.21,production_shadow
EVR0088,EVP009,2026-06-01T10:00:00,EVP009-BATCH-08,GPT-4.1-mini,8,0.891,1.0,0.0,5.0,validation
EVR0089,EVP009,2026-06-02T10:00:00,EVP009-BATCH-09,GPT-4.1-mini,8,0.914,1.0,0.0,4.85,test
EVR0090,EVP009,2026-06-03T10:00:00,EVP009-BATCH-10,GPT-4.1-mini,8,0.903,1.0,0.0,1.6,test
EVR0091,EVP010,2026-06-04T10:00:00,EVP010-BATCH-01,GPT-4.1-mini,8,0.892,1.0,0.0,4.79,test
EVR0092,EVP010,2026-06-05T10:00:00,EVP010-BATCH-02,GPT-4.1-mini,8,0.904,1.0,0.0,8.29,test
EVR0093,EVP010,2026-06-06T10:00:00,EVP010-BATCH-03,GPT-4.1-mini,8,0.932,1.0,0.0,2.04,production_shadow
EVR0094,EVP010,2026-06-07T10:00:00,EVP010-BATCH-04,GPT-4.1-mini,8,0.896,1.0,0.0,6.11,validation
EVR0095,EVP010,2026-06-08T10:00:00,EVP010-BATCH-05,GPT-4.1-mini,8,0.906,1.0,0.0,3.87,test
EVR0096,EVP010,2026-06-09T10:00:00,EVP010-BATCH-06,GPT-4.1-mini,8,0.901,1.0,0.0,2.43,test
EVR0097,EVP010,2026-06-10T10:00:00,EVP010-BATCH-07,GPT-4.1-mini,8,0.912,0.875,0.125,8.1,production_shadow
EVR0098,EVP010,2026-06-11T10:00:00,EVP010-BATCH-08,GPT-4.1-mini,8,0.895,1.0,0.0,4.14,validation
EVR0099,EVP010,2026-06-12T10:00:00,EVP010-BATCH-09,GPT-4.1-mini,8,0.906,1.0,0.0,8.06,test
EVR0100,EVP010,2026-06-13T10:00:00,EVP010-BATCH-10,GPT-4.1-mini,8,0.907,1.0,0.0,6.68,test
EVR0101,EVP011,2026-06-14T10:00:00,EVP011-BATCH-01,Llama-3.1-8B-Instruct,8,0.916,1.0,0.0,1.41,test
EVR0102,EVP011,2026-06-15T10:00:00,EVP011-BATCH-02,Llama-3.1-8B-Instruct,8,0.918,1.0,0.0,6.94,test
EVR0103,EVP011,2026-06-16T10:00:00,EVP011-BATCH-03,Llama-3.1-8B-Instruct,8,0.915,1.0,0.0,1.72,production_shadow
EVR0104,EVP011,2026-06-17T10:00:00,EVP011-BATCH-04,Llama-3.1-8B-Instruct,8,0.902,1.0,0.0,6.88,validation
EVR0105,EVP011,2026-06-18T10:00:00,EVP011-BATCH-05,Llama-3.1-8B-Instruct,8,0.886,1.0,0.0,8.19,test
EVR0106,EVP011,2026-06-19T10:00:00,EVP011-BATCH-06,Llama-3.1-8B-Instruct,8,0.923,1.0,0.0,2.96,test
EVR0107,EVP011,2026-06-20T10:00:00,EVP011-BATCH-07,Llama-3.1-8B-Instruct,8,0.925,1.0,0.0,4.6,production_shadow
EVR0108,EVP011,2026-06-21T10:00:00,EVP011-BATCH-08,Llama-3.1-8B-Instruct,8,0.913,1.0,0.0,5.71,validation
EVR0109,EVP011,2026-06-22T10:00:00,EVP011-BATCH-09,Llama-3.1-8B-Instruct,8,0.907,1.0,0.0,7.58,test
EVR0110,EVP011,2026-06-23T10:00:00,EVP011-BATCH-10,Llama-3.1-8B-Instruct,8,0.926,1.0,0.0,6.41,test
EVR0111,EVP012,2026-06-24T10:00:00,EVP012-BATCH-01,GPT-4.1-mini,8,0.92,1.0,0.0,3.6,test
EVR0112,EVP012,2026-06-25T10:00:00,EVP012-BATCH-02,GPT-4.1-mini,8,0.921,1.0,0.0,3.13,test
EVR0113,EVP012,2026-06-26T10:00:00,EVP012-BATCH-03,GPT-4.1-mini,8,0.899,1.0,0.0,1.71,production_shadow
EVR0114,EVP012,2026-06-27T10:00:00,EVP012-BATCH-04,GPT-4.1-mini,8,0.904,1.0,0.0,7.68,validation
EVR0115,EVP012,2026-06-28T10:00:00,EVP012-BATCH-05,GPT-4.1-mini,8,0.898,1.0,0.0,7.62,test
EVR0116,EVP012,2026-06-29T10:00:00,EVP012-BATCH-06,GPT-4.1-mini,8,0.899,0.875,0.125,7.97,test
EVR0117,EVP012,2026-06-30T10:00:00,EVP012-BATCH-07,GPT-4.1-mini,8,0.912,1.0,0.0,3.68,production_shadow
EVR0118,EVP012,2026-07-01T10:00:00,EVP012-BATCH-08,GPT-4.1-mini,8,0.889,1.0,0.0,6.97,validation
EVR0119,EVP012,2026-07-02T10:00:00,EVP012-BATCH-09,GPT-4.1-mini,8,0.888,0.875,0.125,7.58,test
EVR0120,EVP012,2026-07-03T10:00:00,EVP012-BATCH-10,GPT-4.1-mini,8,0.84,0.75,0.25,2.0,test
