eval_item_id,eval_run_id,program_id,scenario_id,task_category,difficulty_tier,input_modality,requires_tool_use,requires_grounding,policy_sensitivity,input_text,expected_workflow_definition_id
EVI00026,EVR0004,EVP001,WFD001-SCN-02,Enterprise Policy Question,Hard,text,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00027,EVR0004,EVP001,WFD001-SCN-03,Enterprise Policy Question,Medium,text+pdf,false,true,Low,How many casual leave days are available?,WFD001
EVI00028,EVR0004,EVP001,WFD001-SCN-04,Enterprise Policy Question,Medium,text+docx,false,true,Low,What is the remote-work policy?,WFD001
EVI00029,EVR0004,EVP001,WFD001-SCN-05,Enterprise Policy Question,Medium,text+docx,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00030,EVR0004,EVP001,WFD001-SCN-06,Enterprise Policy Question,Medium,text+docx,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00031,EVR0004,EVP001,WFD001-SCN-07,Enterprise Policy Question,Medium,text,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00032,EVR0004,EVP001,WFD001-SCN-08,Enterprise Policy Question,Adversarial,text+docx,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00033,EVR0005,EVP001,WFD001-SCN-01,Enterprise Policy Question,Medium,text+pdf,false,true,Low,How many casual leave days are available?,WFD001
EVI00034,EVR0005,EVP001,WFD001-SCN-02,Enterprise Policy Question,Medium,text,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00035,EVR0005,EVP001,WFD001-SCN-03,Enterprise Policy Question,Hard,text,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00036,EVR0005,EVP001,WFD001-SCN-04,Enterprise Policy Question,Easy,text+csv,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00037,EVR0005,EVP001,WFD001-SCN-05,Enterprise Policy Question,Hard,text+pdf,false,true,Low,How many casual leave days are available?,WFD001
EVI00038,EVR0005,EVP001,WFD001-SCN-06,Enterprise Policy Question,Medium,text+pdf,false,true,Low,What is the remote-work policy?,WFD001
EVI00039,EVR0005,EVP001,WFD001-SCN-07,Enterprise Policy Question,Easy,text,false,true,Low,How many casual leave days are available?,WFD001
EVI00040,EVR0005,EVP001,WFD001-SCN-08,Enterprise Policy Question,Easy,text+docx,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00041,EVR0006,EVP001,WFD001-SCN-01,Enterprise Policy Question,Medium,text,false,true,Low,How many casual leave days are available?,WFD001
EVI00042,EVR0006,EVP001,WFD001-SCN-02,Enterprise Policy Question,Easy,text+docx,false,true,Low,How many casual leave days are available?,WFD001
EVI00043,EVR0006,EVP001,WFD001-SCN-03,Enterprise Policy Question,Medium,text+docx,false,true,Low,How many casual leave days are available?,WFD001
EVI00044,EVR0006,EVP001,WFD001-SCN-04,Enterprise Policy Question,Easy,text,false,true,Low,What is the remote-work policy?,WFD001
EVI00045,EVR0006,EVP001,WFD001-SCN-05,Enterprise Policy Question,Medium,text+csv,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00046,EVR0006,EVP001,WFD001-SCN-06,Enterprise Policy Question,Medium,text+csv,false,true,Low,How many casual leave days are available?,WFD001
EVI00047,EVR0006,EVP001,WFD001-SCN-07,Enterprise Policy Question,Medium,text+csv,false,true,Low,What is the remote-work policy?,WFD001
EVI00048,EVR0006,EVP001,WFD001-SCN-08,Enterprise Policy Question,Easy,text+pdf,false,true,Low,How many casual leave days are available?,WFD001
EVI00049,EVR0007,EVP001,WFD001-SCN-01,Enterprise Policy Question,Easy,text+pdf,false,true,Low,What is the remote-work policy?,WFD001
EVI00050,EVR0007,EVP001,WFD001-SCN-02,Enterprise Policy Question,Hard,text+csv,false,true,Low,How many casual leave days are available?,WFD001
EVI00051,EVR0007,EVP001,WFD001-SCN-03,Enterprise Policy Question,Medium,text,false,true,Low,What is the remote-work policy?,WFD001
EVI00052,EVR0007,EVP001,WFD001-SCN-04,Enterprise Policy Question,Medium,text+docx,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00053,EVR0007,EVP001,WFD001-SCN-05,Enterprise Policy Question,Easy,text,false,true,Low,What is the remote-work policy?,WFD001
EVI00054,EVR0007,EVP001,WFD001-SCN-06,Enterprise Policy Question,Medium,text+csv,false,true,Low,What is the remote-work policy?,WFD001
EVI00055,EVR0007,EVP001,WFD001-SCN-07,Enterprise Policy Question,Easy,text+csv,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00056,EVR0007,EVP001,WFD001-SCN-08,Enterprise Policy Question,Hard,text,false,true,Low,What is the remote-work policy?,WFD001
EVI00057,EVR0008,EVP001,WFD001-SCN-01,Enterprise Policy Question,Medium,text+docx,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00058,EVR0008,EVP001,WFD001-SCN-02,Enterprise Policy Question,Medium,text+pdf,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00059,EVR0008,EVP001,WFD001-SCN-03,Enterprise Policy Question,Hard,text+csv,false,true,Low,How many casual leave days are available?,WFD001
EVI00060,EVR0008,EVP001,WFD001-SCN-04,Enterprise Policy Question,Medium,text+csv,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00061,EVR0008,EVP001,WFD001-SCN-05,Enterprise Policy Question,Easy,text,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00062,EVR0008,EVP001,WFD001-SCN-06,Enterprise Policy Question,Hard,text,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00063,EVR0008,EVP001,WFD001-SCN-07,Enterprise Policy Question,Medium,text+pdf,false,true,Low,How many casual leave days are available?,WFD001
EVI00064,EVR0008,EVP001,WFD001-SCN-08,Enterprise Policy Question,Medium,text+docx,false,true,Low,What is the remote-work policy?,WFD001
EVI00065,EVR0009,EVP001,WFD001-SCN-01,Enterprise Policy Question,Medium,text+pdf,false,true,Low,What is the remote-work policy?,WFD001
EVI00066,EVR0009,EVP001,WFD001-SCN-02,Enterprise Policy Question,Medium,text+docx,false,true,Low,What is the remote-work policy?,WFD001
EVI00067,EVR0009,EVP001,WFD001-SCN-03,Enterprise Policy Question,Medium,text+docx,false,true,Low,How many casual leave days are available?,WFD001
EVI00068,EVR0009,EVP001,WFD001-SCN-04,Enterprise Policy Question,Adversarial,text+csv,false,true,Low,How many casual leave days are available?,WFD001
EVI00069,EVR0009,EVP001,WFD001-SCN-05,Enterprise Policy Question,Adversarial,text+docx,false,true,Low,How many casual leave days are available?,WFD001
EVI00070,EVR0009,EVP001,WFD001-SCN-06,Enterprise Policy Question,Medium,text+pdf,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00071,EVR0009,EVP001,WFD001-SCN-07,Enterprise Policy Question,Hard,text+pdf,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00072,EVR0009,EVP001,WFD001-SCN-08,Enterprise Policy Question,Medium,text,false,true,Low,How many casual leave days are available?,WFD001
EVI00073,EVR0010,EVP001,WFD001-SCN-01,Enterprise Policy Question,Hard,text+docx,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00074,EVR0010,EVP001,WFD001-SCN-02,Enterprise Policy Question,Easy,text+csv,false,true,Low,How many casual leave days are available?,WFD001
EVI00075,EVR0010,EVP001,WFD001-SCN-03,Enterprise Policy Question,Easy,text,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00076,EVR0010,EVP001,WFD001-SCN-04,Enterprise Policy Question,Medium,text+docx,false,true,Low,What is the remote-work policy?,WFD001
EVI00077,EVR0010,EVP001,WFD001-SCN-05,Enterprise Policy Question,Medium,text,false,true,Low,What is the remote-work policy?,WFD001
EVI00078,EVR0010,EVP001,WFD001-SCN-06,Enterprise Policy Question,Medium,text+docx,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00079,EVR0010,EVP001,WFD001-SCN-07,Enterprise Policy Question,Medium,text+csv,false,true,Low,What is the remote-work policy?,WFD001
EVI00080,EVR0010,EVP001,WFD001-SCN-08,Enterprise Policy Question,Easy,text+csv,false,true,Low,What is the incident response time for a P1 event?,WFD001
EVI00081,EVR0011,EVP002,WFD002-SCN-01,Project Status Analysis,Medium,text,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00082,EVR0011,EVP002,WFD002-SCN-02,Project Status Analysis,Hard,text,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00083,EVR0011,EVP002,WFD002-SCN-03,Project Status Analysis,Hard,text+docx,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00084,EVR0011,EVP002,WFD002-SCN-04,Project Status Analysis,Easy,text+docx,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00085,EVR0011,EVP002,WFD002-SCN-05,Project Status Analysis,Hard,text+pdf,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00086,EVR0011,EVP002,WFD002-SCN-06,Project Status Analysis,Easy,text+pdf,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00087,EVR0011,EVP002,WFD002-SCN-07,Project Status Analysis,Hard,text+docx,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00088,EVR0011,EVP002,WFD002-SCN-08,Project Status Analysis,Hard,text,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00089,EVR0012,EVP002,WFD002-SCN-01,Project Status Analysis,Easy,text+pdf,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00090,EVR0012,EVP002,WFD002-SCN-02,Project Status Analysis,Hard,text+csv,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00091,EVR0012,EVP002,WFD002-SCN-03,Project Status Analysis,Hard,text+docx,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00092,EVR0012,EVP002,WFD002-SCN-04,Project Status Analysis,Hard,text+pdf,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00093,EVR0012,EVP002,WFD002-SCN-05,Project Status Analysis,Medium,text+pdf,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00094,EVR0012,EVP002,WFD002-SCN-06,Project Status Analysis,Hard,text+docx,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00095,EVR0012,EVP002,WFD002-SCN-07,Project Status Analysis,Hard,text+docx,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00096,EVR0012,EVP002,WFD002-SCN-08,Project Status Analysis,Adversarial,text+docx,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00097,EVR0013,EVP002,WFD002-SCN-01,Project Status Analysis,Adversarial,text+csv,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00098,EVR0013,EVP002,WFD002-SCN-02,Project Status Analysis,Medium,text+csv,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00099,EVR0013,EVP002,WFD002-SCN-03,Project Status Analysis,Medium,text,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00100,EVR0013,EVP002,WFD002-SCN-04,Project Status Analysis,Medium,text+pdf,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00101,EVR0013,EVP002,WFD002-SCN-05,Project Status Analysis,Hard,text+docx,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00102,EVR0013,EVP002,WFD002-SCN-06,Project Status Analysis,Medium,text+pdf,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00103,EVR0013,EVP002,WFD002-SCN-07,Project Status Analysis,Easy,text+csv,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00104,EVR0013,EVP002,WFD002-SCN-08,Project Status Analysis,Medium,text+csv,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00105,EVR0014,EVP002,WFD002-SCN-01,Project Status Analysis,Hard,text+csv,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00106,EVR0014,EVP002,WFD002-SCN-02,Project Status Analysis,Medium,text+pdf,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00107,EVR0014,EVP002,WFD002-SCN-03,Project Status Analysis,Medium,text+pdf,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00108,EVR0014,EVP002,WFD002-SCN-04,Project Status Analysis,Adversarial,text+docx,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00109,EVR0014,EVP002,WFD002-SCN-05,Project Status Analysis,Medium,text+pdf,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00110,EVR0014,EVP002,WFD002-SCN-06,Project Status Analysis,Medium,text,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00111,EVR0014,EVP002,WFD002-SCN-07,Project Status Analysis,Medium,text+docx,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00112,EVR0014,EVP002,WFD002-SCN-08,Project Status Analysis,Medium,text+csv,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00113,EVR0015,EVP002,WFD002-SCN-01,Project Status Analysis,Easy,text+csv,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00114,EVR0015,EVP002,WFD002-SCN-02,Project Status Analysis,Medium,text,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00115,EVR0015,EVP002,WFD002-SCN-03,Project Status Analysis,Easy,text+docx,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00116,EVR0015,EVP002,WFD002-SCN-04,Project Status Analysis,Hard,text+csv,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00117,EVR0015,EVP002,WFD002-SCN-05,Project Status Analysis,Hard,text,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00118,EVR0015,EVP002,WFD002-SCN-06,Project Status Analysis,Medium,text+csv,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00119,EVR0015,EVP002,WFD002-SCN-07,Project Status Analysis,Medium,text+docx,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00120,EVR0015,EVP002,WFD002-SCN-08,Project Status Analysis,Hard,text+pdf,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00121,EVR0016,EVP002,WFD002-SCN-01,Project Status Analysis,Easy,text+pdf,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00122,EVR0016,EVP002,WFD002-SCN-02,Project Status Analysis,Medium,text+csv,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00123,EVR0016,EVP002,WFD002-SCN-03,Project Status Analysis,Hard,text+pdf,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00124,EVR0016,EVP002,WFD002-SCN-04,Project Status Analysis,Hard,text+docx,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00125,EVR0016,EVP002,WFD002-SCN-05,Project Status Analysis,Medium,text+docx,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00126,EVR0016,EVP002,WFD002-SCN-06,Project Status Analysis,Medium,text,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00127,EVR0016,EVP002,WFD002-SCN-07,Project Status Analysis,Medium,text+csv,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00128,EVR0016,EVP002,WFD002-SCN-08,Project Status Analysis,Hard,text+docx,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00129,EVR0017,EVP002,WFD002-SCN-01,Project Status Analysis,Adversarial,text+docx,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00130,EVR0017,EVP002,WFD002-SCN-02,Project Status Analysis,Medium,text+pdf,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00131,EVR0017,EVP002,WFD002-SCN-03,Project Status Analysis,Medium,text+csv,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00132,EVR0017,EVP002,WFD002-SCN-04,Project Status Analysis,Easy,text+csv,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00133,EVR0017,EVP002,WFD002-SCN-05,Project Status Analysis,Easy,text,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00134,EVR0017,EVP002,WFD002-SCN-06,Project Status Analysis,Medium,text,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00135,EVR0017,EVP002,WFD002-SCN-07,Project Status Analysis,Hard,text+pdf,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00136,EVR0017,EVP002,WFD002-SCN-08,Project Status Analysis,Medium,text+docx,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00137,EVR0018,EVP002,WFD002-SCN-01,Project Status Analysis,Medium,text+csv,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00138,EVR0018,EVP002,WFD002-SCN-02,Project Status Analysis,Medium,text,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00139,EVR0018,EVP002,WFD002-SCN-03,Project Status Analysis,Medium,text+csv,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00140,EVR0018,EVP002,WFD002-SCN-04,Project Status Analysis,Hard,text,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00141,EVR0018,EVP002,WFD002-SCN-05,Project Status Analysis,Medium,text+docx,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00142,EVR0018,EVP002,WFD002-SCN-06,Project Status Analysis,Hard,text+pdf,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00143,EVR0018,EVP002,WFD002-SCN-07,Project Status Analysis,Hard,text+csv,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00144,EVR0018,EVP002,WFD002-SCN-08,Project Status Analysis,Hard,text+pdf,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00145,EVR0019,EVP002,WFD002-SCN-01,Project Status Analysis,Easy,text+pdf,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00146,EVR0019,EVP002,WFD002-SCN-02,Project Status Analysis,Easy,text+pdf,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00147,EVR0019,EVP002,WFD002-SCN-03,Project Status Analysis,Hard,text+pdf,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00148,EVR0019,EVP002,WFD002-SCN-04,Project Status Analysis,Medium,text,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00149,EVR0019,EVP002,WFD002-SCN-05,Project Status Analysis,Adversarial,text+csv,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00150,EVR0019,EVP002,WFD002-SCN-06,Project Status Analysis,Medium,text,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00151,EVR0019,EVP002,WFD002-SCN-07,Project Status Analysis,Easy,text+csv,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00152,EVR0019,EVP002,WFD002-SCN-08,Project Status Analysis,Adversarial,text,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00153,EVR0020,EVP002,WFD002-SCN-01,Project Status Analysis,Easy,text+pdf,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00154,EVR0020,EVP002,WFD002-SCN-02,Project Status Analysis,Medium,text+docx,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00155,EVR0020,EVP002,WFD002-SCN-03,Project Status Analysis,Easy,text,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00156,EVR0020,EVP002,WFD002-SCN-04,Project Status Analysis,Medium,text+docx,true,false,Medium,Analyze Project Atlas status.,WFD002
EVI00157,EVR0020,EVP002,WFD002-SCN-05,Project Status Analysis,Adversarial,text,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00158,EVR0020,EVP002,WFD002-SCN-06,Project Status Analysis,Easy,text,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00159,EVR0020,EVP002,WFD002-SCN-07,Project Status Analysis,Hard,text+csv,true,false,Medium,Summarize the risks for Titan Enterprise Data Warehouse.,WFD002
EVI00160,EVR0020,EVP002,WFD002-SCN-08,Project Status Analysis,Easy,text+csv,true,false,Medium,Which tasks are overdue in Project Nova?,WFD002
EVI00161,EVR0021,EVP003,WFD003-SCN-01,Project and Workload Analysis,Medium,text+docx,true,false,Medium,Check Project Atlas and identify overloaded team members.,WFD003
EVI00162,EVR0021,EVP003,WFD003-SCN-02,Project and Workload Analysis,Hard,text,true,false,Medium,Compare project risk with current team capacity.,WFD003
EVI00163,EVR0021,EVP003,WFD003-SCN-03,Project and Workload Analysis,Medium,text+csv,true,false,Medium,Which project teams have workload above 100 percent?,WFD003
EVI00164,EVR0021,EVP003,WFD003-SCN-04,Project and Workload Analysis,Easy,text+docx,true,false,Medium,Which project teams have workload above 100 percent?,WFD003
EVI00165,EVR0021,EVP003,WFD003-SCN-05,Project and Workload Analysis,Hard,text+docx,true,false,Medium,Which project teams have workload above 100 percent?,WFD003
EVI00166,EVR0021,EVP003,WFD003-SCN-06,Project and Workload Analysis,Hard,text,true,false,Medium,Compare project risk with current team capacity.,WFD003
EVI00167,EVR0021,EVP003,WFD003-SCN-07,Project and Workload Analysis,Hard,text+pdf,true,false,Medium,Compare project risk with current team capacity.,WFD003
EVI00168,EVR0021,EVP003,WFD003-SCN-08,Project and Workload Analysis,Hard,text+pdf,true,false,Medium,Which project teams have workload above 100 percent?,WFD003
EVI00169,EVR0022,EVP003,WFD003-SCN-01,Project and Workload Analysis,Easy,text+csv,true,false,Medium,Check Project Atlas and identify overloaded team members.,WFD003
EVI00170,EVR0022,EVP003,WFD003-SCN-02,Project and Workload Analysis,Easy,text+csv,true,false,Medium,Check Project Atlas and identify overloaded team members.,WFD003
EVI00171,EVR0022,EVP003,WFD003-SCN-03,Project and Workload Analysis,Easy,text+docx,true,false,Medium,Check Project Atlas and identify overloaded team members.,WFD003
EVI00172,EVR0022,EVP003,WFD003-SCN-04,Project and Workload Analysis,Hard,text+pdf,true,false,Medium,Compare project risk with current team capacity.,WFD003
EVI00173,EVR0022,EVP003,WFD003-SCN-05,Project and Workload Analysis,Medium,text+docx,true,false,Medium,Which project teams have workload above 100 percent?,WFD003
EVI00174,EVR0022,EVP003,WFD003-SCN-06,Project and Workload Analysis,Medium,text+docx,true,false,Medium,Which project teams have workload above 100 percent?,WFD003
EVI00175,EVR0022,EVP003,WFD003-SCN-07,Project and Workload Analysis,Medium,text+csv,true,false,Medium,Which project teams have workload above 100 percent?,WFD003
EVI00176,EVR0022,EVP003,WFD003-SCN-08,Project and Workload Analysis,Medium,text+csv,true,false,Medium,Compare project risk with current team capacity.,WFD003
EVI00177,EVR0023,EVP003,WFD003-SCN-01,Project and Workload Analysis,Hard,text+docx,true,false,Medium,Compare project risk with current team capacity.,WFD003
EVI00178,EVR0023,EVP003,WFD003-SCN-02,Project and Workload Analysis,Medium,text+docx,true,false,Medium,Check Project Atlas and identify overloaded team members.,WFD003
EVI00179,EVR0023,EVP003,WFD003-SCN-03,Project and Workload Analysis,Easy,text,true,false,Medium,Compare project risk with current team capacity.,WFD003
EVI00180,EVR0023,EVP003,WFD003-SCN-04,Project and Workload Analysis,Medium,text+csv,true,false,Medium,Check Project Atlas and identify overloaded team members.,WFD003
EVI00181,EVR0023,EVP003,WFD003-SCN-05,Project and Workload Analysis,Hard,text+docx,true,false,Medium,Which project teams have workload above 100 percent?,WFD003
EVI00182,EVR0023,EVP003,WFD003-SCN-06,Project and Workload Analysis,Medium,text+csv,true,false,Medium,Which project teams have workload above 100 percent?,WFD003
EVI00183,EVR0023,EVP003,WFD003-SCN-07,Project and Workload Analysis,Hard,text,true,false,Medium,Compare project risk with current team capacity.,WFD003
EVI00184,EVR0023,EVP003,WFD003-SCN-08,Project and Workload Analysis,Medium,text+pdf,true,false,Medium,Compare project risk with current team capacity.,WFD003
