attendance_id,employee_id,period_month,scheduled_workdays,present_days,remote_work_days,sick_leave_days,unpaid_leave_days,overtime_hours,attendance_rate
AT000128,E0011,2026-04-01,22,21,2,1,0,4.2,0.9545
AT000129,E0011,2026-05-01,23,23,5,0,0,4.9,1.0
AT000130,E0011,2026-06-01,21,21,3,0,0,2.1,1.0
AT000131,E0011,2026-07-01,21,21,1,0,0,5.9,1.0
AT000132,E0011,2026-08-01,21,20,0,1,0,4.3,0.9524
AT000133,E0012,2025-09-01,23,23,5,0,0,0,1.0
AT000134,E0012,2025-10-01,22,22,5,0,0,0,1.0
AT000135,E0012,2025-11-01,22,22,2,0,0,0,1.0
AT000136,E0012,2025-12-01,21,21,3,0,0,3.9,1.0
AT000137,E0012,2026-01-01,20,20,3,0,0,0,1.0
AT000138,E0012,2026-02-01,22,22,4,0,0,0,1.0
AT000139,E0012,2026-03-01,21,20,0,1,0,2.8,0.9524
AT000140,E0012,2026-04-01,23,23,2,0,0,0,1.0
AT000141,E0012,2026-05-01,22,22,6,0,0,0,1.0
AT000142,E0012,2026-06-01,23,23,1,0,0,0,1.0
AT000143,E0012,2026-07-01,23,23,2,0,0,0,1.0
AT000144,E0012,2026-08-01,20,20,8,0,0,1.7,1.0
AT000145,E0013,2025-09-01,23,23,6,0,0,0,1.0
AT000146,E0013,2025-10-01,21,21,7,0,0,0,1.0
AT000147,E0013,2025-11-01,22,22,0,0,0,0.7,1.0
AT000148,E0013,2025-12-01,22,22,5,0,0,0,1.0
AT000149,E0013,2026-01-01,20,20,5,0,0,5.1,1.0
AT000150,E0013,2026-02-01,20,20,1,0,0,0,1.0
AT000151,E0013,2026-03-01,23,22,0,1,0,0,0.9565
AT000152,E0013,2026-04-01,23,23,1,0,0,0,1.0
AT000153,E0013,2026-05-01,20,20,5,0,0,0,1.0
AT000154,E0013,2026-06-01,23,23,4,0,0,0,1.0
AT000155,E0013,2026-07-01,21,21,4,0,0,3.3,1.0
AT000156,E0013,2026-08-01,21,21,0,0,0,2.1,1.0
AT000157,E0014,2025-09-01,23,23,6,0,0,0,1.0
AT000158,E0014,2025-10-01,22,22,7,0,0,5.1,1.0
AT000159,E0014,2025-11-01,20,20,3,0,0,0,1.0
AT000160,E0014,2025-12-01,21,21,0,0,0,0,1.0
AT000161,E0014,2026-01-01,22,22,2,0,0,1.3,1.0
AT000162,E0014,2026-02-01,21,21,1,0,0,2.5,1.0
AT000163,E0014,2026-03-01,21,20,7,1,0,0.1,0.9524
AT000164,E0014,2026-04-01,20,20,2,0,0,0,1.0
AT000165,E0014,2026-05-01,21,20,6,1,0,0,0.9524
AT000166,E0014,2026-06-01,22,22,3,0,0,3.6,1.0
AT000167,E0014,2026-07-01,23,23,2,0,0,0,1.0
AT000168,E0014,2026-08-01,22,22,2,0,0,4.3,1.0
AT000169,E0015,2025-09-01,21,21,3,0,0,5.1,1.0
AT000170,E0015,2025-10-01,21,21,8,0,0,0,1.0
AT000171,E0015,2025-11-01,20,20,5,0,0,3.3,1.0
AT000172,E0015,2025-12-01,23,23,2,0,0,2.8,1.0
AT000173,E0015,2026-01-01,23,23,3,0,0,3.4,1.0
AT000174,E0015,2026-02-01,22,21,3,0,1,3.8,0.9545
AT000175,E0015,2026-03-01,23,23,5,0,0,3.7,1.0
AT000176,E0015,2026-04-01,23,23,8,0,0,1.4,1.0
AT000177,E0015,2026-05-01,21,21,2,0,0,0,1.0
AT000178,E0015,2026-06-01,22,21,2,1,0,5.2,0.9545
AT000179,E0015,2026-07-01,21,21,8,0,0,2.3,1.0
AT000180,E0015,2026-08-01,21,21,5,0,0,2.7,1.0
AT000181,E0016,2025-09-01,21,21,6,0,0,0,1.0
AT000182,E0016,2025-10-01,20,20,3,0,0,0,1.0
AT000183,E0016,2025-11-01,23,22,7,1,0,3.8,0.9565
AT000184,E0016,2025-12-01,21,20,3,1,0,0,0.9524
AT000185,E0016,2026-01-01,22,22,4,0,0,2.8,1.0
AT000186,E0016,2026-02-01,20,20,7,0,0,3.0,1.0
AT000187,E0016,2026-03-01,21,21,6,0,0,0.2,1.0
AT000188,E0016,2026-04-01,21,21,8,0,0,2.9,1.0
AT000189,E0016,2026-05-01,20,19,6,1,0,3.9,0.95
AT000190,E0016,2026-06-01,20,20,7,0,0,5.1,1.0
AT000191,E0016,2026-07-01,23,23,5,0,0,0.8,1.0
AT000192,E0016,2026-08-01,23,22,7,1,0,0,0.9565
AT000193,E0017,2025-09-01,23,22,6,0,1,0,0.9565
AT000194,E0017,2025-10-01,21,21,6,0,0,0,1.0
AT000195,E0017,2025-11-01,23,23,0,0,0,0,1.0
AT000196,E0017,2025-12-01,21,21,4,0,0,3.8,1.0
AT000197,E0017,2026-01-01,21,20,0,1,0,0,0.9524
AT000198,E0017,2026-02-01,23,23,3,0,0,5.4,1.0
AT000199,E0017,2026-03-01,23,23,0,0,0,0,1.0
AT000200,E0017,2026-04-01,22,22,4,0,0,0,1.0
AT000201,E0017,2026-05-01,21,21,0,0,0,5.1,1.0
AT000202,E0017,2026-06-01,23,22,1,1,0,0.7,0.9565
AT000203,E0017,2026-07-01,23,23,0,0,0,1.0,1.0
AT000204,E0017,2026-08-01,21,21,1,0,0,0,1.0
AT000205,E0018,2025-09-01,22,22,5,0,0,5.2,1.0
AT000206,E0018,2025-10-01,21,21,0,0,0,4.4,1.0
AT000207,E0018,2025-11-01,23,23,5,0,0,2.8,1.0
AT000208,E0018,2025-12-01,22,22,7,0,0,9.9,1.0
AT000209,E0018,2026-01-01,20,20,5,0,0,10.4,1.0
AT000210,E0018,2026-02-01,21,21,7,0,0,8.4,1.0
AT000211,E0018,2026-03-01,23,23,8,0,0,8.6,1.0
AT000212,E0018,2026-04-01,20,20,8,0,0,4.7,1.0
AT000213,E0018,2026-05-01,23,22,6,1,0,2.0,0.9565
AT000214,E0018,2026-06-01,21,20,1,1,0,5.2,0.9524
AT000215,E0018,2026-07-01,22,22,3,0,0,4.8,1.0
AT000216,E0018,2026-08-01,23,22,3,1,0,5.3,0.9565
AT000217,E0019,2025-09-01,21,21,5,0,0,0.6,1.0
AT000218,E0019,2025-10-01,22,22,2,0,0,0,1.0
AT000219,E0019,2025-11-01,21,21,4,0,0,0,1.0
AT000220,E0019,2025-12-01,22,22,0,0,0,0,1.0
AT000221,E0019,2026-01-01,22,22,5,0,0,0,1.0
AT000222,E0019,2026-02-01,23,23,3,0,0,0,1.0
AT000223,E0019,2026-03-01,20,20,5,0,0,1.5,1.0
AT000224,E0019,2026-04-01,21,21,2,0,0,0,1.0
AT000225,E0019,2026-05-01,23,23,1,0,0,0,1.0
AT000226,E0019,2026-06-01,20,20,7,0,0,0,1.0
AT000227,E0019,2026-07-01,22,22,0,0,0,4.3,1.0
AT000228,E0019,2026-08-01,21,21,7,0,0,4.0,1.0
AT000229,E0020,2025-09-01,22,22,3,0,0,0.7,1.0
AT000230,E0020,2025-10-01,21,21,8,0,0,0,1.0
AT000231,E0020,2025-11-01,22,22,0,0,0,0,1.0
AT000232,E0020,2025-12-01,21,21,7,0,0,3.8,1.0
AT000233,E0020,2026-01-01,21,20,3,1,0,0,0.9524
AT000234,E0020,2026-02-01,20,20,3,0,0,0.8,1.0
AT000235,E0020,2026-03-01,20,20,7,0,0,2.9,1.0
AT000236,E0020,2026-04-01,23,23,5,0,0,1.6,1.0
AT000237,E0020,2026-05-01,22,21,2,1,0,0.2,0.9545
AT000238,E0020,2026-06-01,23,23,7,0,0,0,1.0
AT000239,E0020,2026-07-01,23,22,3,1,0,4.8,0.9565
AT000240,E0020,2026-08-01,20,20,3,0,0,0,1.0
AT000241,E0021,2025-09-01,20,20,3,0,0,0,1.0
AT000242,E0021,2025-10-01,21,21,7,0,0,0,1.0
AT000243,E0021,2025-11-01,21,21,2,0,0,1.0,1.0
AT000244,E0021,2025-12-01,20,20,7,0,0,5.3,1.0
AT000245,E0021,2026-01-01,22,22,1,0,0,2.3,1.0
AT000246,E0021,2026-02-01,23,22,3,0,1,0,0.9565
AT000247,E0021,2026-03-01,22,22,2,0,0,2.8,1.0
AT000248,E0021,2026-04-01,21,21,5,0,0,2.9,1.0
AT000249,E0021,2026-05-01,21,20,5,0,1,3.9,0.9524
AT000250,E0021,2026-06-01,21,21,0,0,0,0,1.0
AT000251,E0021,2026-07-01,21,21,1,0,0,4.2,1.0
AT000252,E0021,2026-08-01,21,21,3,0,0,2.1,1.0
AT000253,E0022,2025-09-01,21,21,4,0,0,0,1.0
AT000254,E0022,2025-10-01,20,20,1,0,0,4.2,1.0
AT000255,E0022,2025-11-01,20,20,2,0,0,2.2,1.0
AT000256,E0022,2025-12-01,21,21,0,0,0,4.6,1.0
AT000257,E0022,2026-01-01,21,21,0,0,0,2.6,1.0
AT000258,E0022,2026-02-01,22,22,5,0,0,1.4,1.0
AT000259,E0022,2026-03-01,22,22,8,0,0,0.2,1.0
AT000260,E0022,2026-04-01,20,20,6,0,0,1.8,1.0
AT000261,E0022,2026-05-01,21,21,0,0,0,0,1.0
AT000262,E0022,2026-06-01,23,23,0,0,0,1.6,1.0
AT000263,E0022,2026-07-01,22,22,1,0,0,0,1.0
AT000264,E0022,2026-08-01,21,21,4,0,0,0,1.0
AT000265,E0023,2025-09-01,22,21,3,1,0,1.7,0.9545
AT000266,E0023,2025-10-01,21,20,0,1,0,0,0.9524
AT000267,E0023,2025-11-01,20,20,4,0,0,5.1,1.0
AT000268,E0023,2025-12-01,22,22,0,0,0,0,1.0
AT000269,E0023,2026-01-01,22,21,8,1,0,0,0.9545
AT000270,E0023,2026-02-01,20,20,7,0,0,1.8,1.0
AT000271,E0023,2026-03-01,21,20,6,0,1,3.3,0.9524
AT000272,E0023,2026-04-01,20,19,2,0,1,3.0,0.95
AT000273,E0023,2026-05-01,21,20,3,1,0,3.0,0.9524
AT000274,E0023,2026-06-01,20,20,8,0,0,0,1.0
AT000275,E0023,2026-07-01,20,19,2,1,0,0,0.95
AT000276,E0023,2026-08-01,20,20,6,0,0,5.2,1.0
AT000277,E0024,2025-09-01,22,21,6,1,0,0.4,0.9545
AT000278,E0024,2025-10-01,20,20,4,0,0,3.7,1.0
AT000279,E0024,2025-11-01,20,20,5,0,0,6.3,1.0
AT000280,E0024,2025-12-01,22,21,0,1,0,8.1,0.9545
AT000281,E0024,2026-01-01,23,22,5,1,0,6.0,0.9565
AT000282,E0024,2026-02-01,21,21,4,0,0,6.3,1.0
AT000283,E0024,2026-03-01,22,22,8,0,0,4.3,1.0
AT000284,E0024,2026-04-01,22,22,0,0,0,5.6,1.0
AT000285,E0024,2026-05-01,22,21,8,1,0,0,0.9545
AT000286,E0024,2026-06-01,23,23,2,0,0,1.8,1.0
AT000287,E0024,2026-07-01,22,22,1,0,0,6.5,1.0
AT000288,E0024,2026-08-01,21,21,4,0,0,0,1.0
AT000289,E0025,2025-09-01,22,22,7,0,0,0,1.0
AT000290,E0025,2025-10-01,22,21,6,1,0,0,0.9545
AT000291,E0025,2025-11-01,21,20,4,1,0,0,0.9524
AT000292,E0025,2025-12-01,20,20,8,0,0,2.4,1.0
AT000293,E0025,2026-01-01,23,23,0,0,0,1.2,1.0
AT000294,E0025,2026-02-01,20,20,4,0,0,4.9,1.0
AT000295,E0025,2026-03-01,23,22,3,1,0,5.3,0.9565
AT000296,E0025,2026-04-01,20,19,6,1,0,0,0.95
AT000297,E0025,2026-05-01,20,20,3,0,0,2.6,1.0
AT000298,E0025,2026-06-01,20,20,1,0,0,5.6,1.0
AT000299,E0025,2026-07-01,23,23,3,0,0,3.9,1.0
AT000300,E0025,2026-08-01,21,21,6,0,0,0,1.0
AT000301,E0026,2025-09-01,21,21,0,0,0,0,1.0
AT000302,E0026,2025-10-01,20,20,6,0,0,0,1.0
AT000303,E0026,2025-11-01,21,20,8,1,0,0,0.9524
AT000304,E0026,2025-12-01,23,21,2,1,1,3.7,0.913
AT000305,E0026,2026-01-01,21,21,4,0,0,0,1.0
AT000306,E0026,2026-02-01,23,22,6,1,0,0,0.9565
AT000307,E0026,2026-03-01,22,22,7,0,0,0,1.0
AT000308,E0026,2026-04-01,23,23,6,0,0,3.9,1.0
AT000309,E0026,2026-05-01,22,22,7,0,0,0,1.0
AT000310,E0026,2026-06-01,23,23,7,0,0,0,1.0
AT000311,E0026,2026-07-01,20,20,3,0,0,2.8,1.0
AT000312,E0026,2026-08-01,20,19,8,1,0,0,0.95
AT000313,E0027,2025-09-01,20,20,7,0,0,0,1.0
AT000314,E0027,2025-10-01,21,21,1,0,0,3.2,1.0
AT000315,E0027,2025-11-01,22,22,6,0,0,0,1.0
AT000316,E0027,2025-12-01,21,20,4,1,0,0,0.9524
AT000317,E0027,2026-01-01,23,23,2,0,0,4.7,1.0
AT000318,E0027,2026-02-01,21,21,7,0,0,2.9,1.0
AT000319,E0027,2026-03-01,23,23,7,0,0,2.5,1.0
AT000320,E0027,2026-04-01,21,20,0,1,0,0.2,0.9524
AT000321,E0027,2026-05-01,21,20,3,1,0,1.1,0.9524
AT000322,E0027,2026-06-01,22,21,7,1,0,0,0.9545
AT000323,E0027,2026-07-01,23,23,2,0,0,0,1.0
AT000324,E0027,2026-08-01,23,22,4,1,0,0,0.9565
AT000325,E0028,2025-09-01,23,22,3,1,0,3.9,0.9565
AT000326,E0028,2025-10-01,21,21,4,0,0,4.2,1.0
AT000327,E0028,2025-11-01,22,22,7,0,0,4.0,1.0
AT000328,E0028,2025-12-01,20,19,8,0,1,0,0.95
AT000329,E0028,2026-01-01,20,19,7,1,0,4.2,0.95
AT000330,E0028,2026-02-01,21,20,6,0,1,5.9,0.9524
AT000331,E0028,2026-03-01,21,21,6,0,0,3.4,1.0
AT000332,E0028,2026-04-01,21,21,3,0,0,3.5,1.0
AT000333,E0028,2026-05-01,23,23,8,0,0,4.9,1.0
AT000334,E0028,2026-06-01,20,20,2,0,0,0.2,1.0
AT000335,E0028,2026-07-01,21,20,8,1,0,8.8,0.9524
AT000336,E0028,2026-08-01,22,22,8,0,0,0,1.0
AT000337,E0029,2025-09-01,22,22,5,0,0,0,1.0
AT000338,E0029,2025-10-01,23,23,8,0,0,1.7,1.0
AT000339,E0029,2025-11-01,23,23,2,0,0,1.0,1.0
AT000340,E0029,2025-12-01,20,20,5,0,0,0,1.0
AT000341,E0029,2026-01-01,23,23,4,0,0,0,1.0
AT000342,E0029,2026-02-01,21,20,2,1,0,0,0.9524
AT000343,E0029,2026-03-01,23,23,4,0,0,2.8,1.0
AT000344,E0029,2026-04-01,22,22,8,0,0,0,1.0
AT000345,E0029,2026-05-01,23,23,8,0,0,0,1.0
AT000346,E0029,2026-06-01,23,23,2,0,0,0,1.0
AT000347,E0029,2026-07-01,21,21,7,0,0,0.8,1.0
AT000348,E0029,2026-08-01,21,21,0,0,0,2.9,1.0
AT000349,E0030,2025-09-01,21,21,2,0,0,0,1.0
AT000350,E0030,2025-10-01,22,22,7,0,0,4.8,1.0
AT000351,E0030,2025-11-01,22,22,6,0,0,0,1.0
AT000352,E0030,2025-12-01,21,21,7,0,0,2.5,1.0
AT000353,E0030,2026-01-01,22,22,4,0,0,5.4,1.0
AT000354,E0030,2026-02-01,21,21,7,0,0,0,1.0
AT000355,E0030,2026-03-01,23,23,3,0,0,0,1.0
AT000356,E0030,2026-04-01,21,21,2,0,0,5.2,1.0
AT000357,E0030,2026-05-01,21,21,7,0,0,0,1.0
AT000358,E0030,2026-06-01,22,22,0,0,0,0,1.0
AT000359,E0030,2026-07-01,21,21,5,0,0,0,1.0
AT000360,E0030,2026-08-01,22,22,3,0,0,0.4,1.0
AT000361,E0031,2025-09-01,23,23,7,0,0,10.4,1.0
AT000362,E0031,2025-10-01,22,22,6,0,0,10.7,1.0
AT000363,E0031,2025-11-01,22,21,6,1,0,13.0,0.9545
AT000364,E0031,2025-12-01,23,23,6,0,0,7.8,1.0
AT000365,E0031,2026-01-01,21,21,0,0,0,11.9,1.0
AT000366,E0031,2026-02-01,21,21,2,0,0,8.0,1.0
AT000367,E0031,2026-03-01,21,21,2,0,0,11.0,1.0
AT000368,E0031,2026-04-01,20,19,4,1,0,12.2,0.95
AT000369,E0031,2026-05-01,21,21,7,0,0,7.9,1.0
AT000370,E0031,2026-06-01,23,23,0,0,0,13.5,1.0
AT000371,E0031,2026-07-01,23,23,2,0,0,7.2,1.0
AT000372,E0031,2026-08-01,23,22,6,1,0,12.1,0.9565
AT000373,E0032,2025-09-01,20,20,1,0,0,0.1,1.0
AT000374,E0032,2025-10-01,20,19,8,1,0,0,0.95
AT000375,E0032,2025-11-01,23,23,8,0,0,0,1.0
AT000376,E0032,2025-12-01,20,20,4,0,0,2.3,1.0
AT000377,E0032,2026-01-01,22,22,5,0,0,0,1.0
AT000378,E0032,2026-02-01,20,20,5,0,0,4.9,1.0
AT000379,E0032,2026-03-01,20,20,7,0,0,1.3,1.0
AT000380,E0032,2026-04-01,22,22,2,0,0,0,1.0
AT000381,E0032,2026-05-01,21,21,8,0,0,2.4,1.0
AT000382,E0032,2026-06-01,21,21,4,0,0,0,1.0
AT000383,E0032,2026-07-01,21,21,5,0,0,0,1.0
AT000384,E0032,2026-08-01,22,22,6,0,0,0.8,1.0
AT000385,E0033,2025-09-01,23,22,4,1,0,1.4,0.9565
AT000386,E0033,2025-10-01,20,20,3,0,0,0,1.0
AT000387,E0033,2025-11-01,23,22,7,1,0,4.8,0.9565
AT000388,E0033,2025-12-01,20,19,8,1,0,0,0.95
AT000389,E0033,2026-01-01,20,20,7,0,0,0,1.0
AT000390,E0033,2026-02-01,23,23,0,0,0,0.5,1.0
AT000391,E0033,2026-03-01,23,22,6,1,0,5.2,0.9565
AT000392,E0033,2026-04-01,23,23,6,0,0,0,1.0
AT000393,E0033,2026-05-01,21,21,5,0,0,0,1.0
AT000394,E0033,2026-06-01,23,22,5,1,0,2.1,0.9565
AT000395,E0033,2026-07-01,23,23,1,0,0,4.7,1.0
AT000396,E0033,2026-08-01,22,22,2,0,0,5.2,1.0
AT000397,E0034,2025-09-01,21,20,7,1,0,0,0.9524
AT000398,E0034,2025-10-01,23,22,4,1,0,0,0.9565
AT000399,E0034,2025-11-01,21,21,5,0,0,0.7,1.0
AT000400,E0034,2025-12-01,21,21,8,0,0,3.2,1.0
AT000401,E0034,2026-01-01,20,20,4,0,0,0,1.0
AT000402,E0034,2026-02-01,23,22,0,1,0,0,0.9565
AT000403,E0034,2026-03-01,22,22,0,0,0,0,1.0
AT000404,E0034,2026-04-01,21,20,3,1,0,0,0.9524
AT000405,E0034,2026-05-01,21,21,2,0,0,0,1.0
AT000406,E0034,2026-06-01,22,22,4,0,0,0,1.0
AT000407,E0034,2026-07-01,20,20,6,0,0,0,1.0
AT000408,E0034,2026-08-01,22,22,5,0,0,1.2,1.0
AT000409,E0035,2025-09-01,22,22,6,0,0,3.0,1.0
AT000410,E0035,2025-10-01,23,22,4,1,0,4.8,0.9565
AT000411,E0035,2025-11-01,23,23,3,0,0,0.9,1.0
AT000412,E0035,2025-12-01,20,20,3,0,0,3.7,1.0
AT000413,E0035,2026-01-01,22,22,4,0,0,0,1.0
AT000414,E0035,2026-02-01,20,19,7,0,1,3.1,0.95
AT000415,E0035,2026-03-01,22,22,0,0,0,0,1.0
