order_id,order_date,customer_id,product_id,account_manager_employee_id,order_quantity,unit_cost_usd,unit_price_usd,discount_percent,cost_of_sales_usd,sales_usd,profit_usd,sales_channel,promotion_name,manufacturer,product_subcategory,product_category,region,city,country,requires_discount_approval,required_approval_level,order_status,data_classification
SO000021,2025-12-23,CUST0126,PROD060,E0097,34,839.03,1162.82,1.07,28527.02,39535.88,11008.86,Direct Sales,No Promotion,NexaCore,Digital Media,"Music, Movies and Audio Books",North America,Chicago,United States,false,None,Shipped,Confidential
SO000022,2026-01-16,CUST0143,PROD035,E0075,5,274.92,311.94,15.17,1374.6,1559.7,185.1,Partner,Year-End Campaign,NexaCore,Streaming Devices,TV and Video,Europe,Berlin,Germany,true,Finance Manager,Completed,Confidential
SO000023,2026-01-08,CUST0070,PROD018,E0097,6,484.22,738.32,11.75,2905.32,4429.92,1524.6,Online,New Customer Incentive,Proseware,Lenses,Cameras and Camcorders,North America,New York,United States,true,Finance Manager,Processing,Confidential
SO000024,2025-03-01,CUST0242,PROD022,E0163,41,819.44,1332.07,22.46,33597.04,54614.87,21017.83,Retail,Executive Exception,Litware,Feature Phones,Cell Phones,Middle East & Africa,Riyadh,Saudi Arabia,true,Finance Manager + Executive,Completed,Confidential
SO000025,2025-07-14,CUST0021,PROD037,E0039,13,462.91,638.36,0,6017.83,8298.68,2280.85,Online,No Promotion,Litware,Televisions,TV and Video,Europe,London,United Kingdom,false,None,Completed,Confidential
SO000026,2025-04-27,CUST0001,PROD007,E0168,6,1200.35,1628.49,7.22,7202.1,9770.94,2568.84,Partner,Enterprise Upgrade,Litware,Monitors,Computers,North America,San Francisco,United States,false,None,Completed,Confidential
SO000027,2026-05-21,CUST0152,PROD034,E0018,6,454.99,618.04,4.22,2729.94,3708.24,978.3,Partner,Quarterly Bundle,Woodgrove,Televisions,TV and Video,North America,New York,United States,false,None,Completed,Confidential
SO000028,2026-01-25,CUST0096,PROD018,E0005,12,464.87,827.04,1.15,5578.44,9924.48,4346.04,Direct Sales,No Promotion,Proseware,Lenses,Cameras and Camcorders,Asia Pacific,Delhi,India,false,None,Completed,Confidential
SO000029,2026-04-18,CUST0049,PROD002,E0168,12,494.63,907.54,5.25,5935.56,10890.48,4954.92,Online,Quarterly Bundle,Litware,Desktops,Computers,Europe,London,United Kingdom,false,None,Completed,Confidential
SO000030,2026-02-25,CUST0043,PROD004,E0117,4,160.39,216.86,9.08,641.56,867.44,225.88,Direct Sales,Enterprise Upgrade,Woodgrove,Accessories,Computers,Middle East & Africa,Dubai,United Arab Emirates,false,None,Completed,Confidential
SO000031,2026-07-21,CUST0002,PROD006,E0097,8,51.44,63.11,0.81,411.52,504.88,93.36,Direct Sales,No Promotion,Fabrikam,Desktops,Computers,Latin America,Buenos Aires,Argentina,false,None,Shipped,Confidential
SO000032,2025-05-25,CUST0230,PROD049,E0063,6,1011.39,1482.37,9.53,6068.34,8894.22,2825.88,Online,Channel Partner Offer,Woodgrove,Home Audio,Audio,North America,Toronto,Canada,false,None,Processing,Confidential
SO000033,2026-07-19,CUST0125,PROD035,E0159,42,246.95,364.4,0.91,10371.9,15304.8,4932.9,Online,No Promotion,NexaCore,Streaming Devices,TV and Video,Europe,London,United Kingdom,false,None,Completed,Confidential
SO000034,2026-04-28,CUST0117,PROD037,E0150,54,484.95,636.6,0.28,26187.3,34376.4,8189.1,Online,No Promotion,Litware,Televisions,TV and Video,Europe,Milan,Italy,false,None,Completed,Confidential
SO000035,2025-06-02,CUST0223,PROD054,E0159,70,213.8,299.17,0.32,14966.0,20941.9,5975.9,Direct Sales,No Promotion,Woodgrove,Digital Media,"Music, Movies and Audio Books",Asia Pacific,Mumbai,India,false,None,Completed,Confidential
SO000036,2025-08-04,CUST0209,PROD054,E0186,16,215.89,273.53,8.86,3454.24,4376.48,922.24,Direct Sales,Enterprise Upgrade,Woodgrove,Digital Media,"Music, Movies and Audio Books",Asia Pacific,Sydney,Australia,false,None,Shipped,Confidential
SO000037,2026-08-22,CUST0114,PROD031,E0097,2,371.06,611.96,16.81,742.12,1223.92,481.8,Direct Sales,Strategic Account Discount,Fabrikam,Televisions,TV and Video,Latin America,Mexico City,Mexico,true,Finance Manager,Completed,Confidential
SO000038,2026-06-04,CUST0023,PROD028,E0075,60,1190.04,2135.99,0,71402.4,128159.4,56757.0,Direct Sales,No Promotion,Proseware,Feature Phones,Cell Phones,North America,Toronto,Canada,false,None,Completed,Confidential
SO000039,2025-02-15,CUST0025,PROD020,E0047,20,812.87,1090.52,11.16,16257.4,21810.4,5553.0,Direct Sales,Channel Partner Offer,NexaCore,Action Cameras,Cameras and Camcorders,Middle East & Africa,Dubai,United Arab Emirates,true,Finance Manager,Completed,Confidential
SO000040,2025-03-04,CUST0103,PROD004,E0188,63,168.37,212.64,10.85,10607.31,13396.32,2789.01,Partner,Channel Partner Offer,Woodgrove,Accessories,Computers,Latin America,Mexico City,Mexico,true,Finance Manager,Cancelled,Confidential
SO000041,2025-07-08,CUST0136,PROD039,E0039,14,1005.59,2020.13,3.74,14078.26,28281.82,14203.56,Direct Sales,Quarterly Bundle,Woodgrove,Projectors,TV and Video,Middle East & Africa,Riyadh,Saudi Arabia,false,None,Cancelled,Confidential
SO000042,2026-02-02,CUST0016,PROD044,E0025,4,228.39,273.46,5.52,913.56,1093.84,180.28,Direct Sales,Quarterly Bundle,Woodgrove,Headphones,Audio,North America,Toronto,Canada,false,None,Completed,Confidential
SO000043,2025-02-26,CUST0088,PROD013,E0163,1,784.17,901.01,7.83,784.17,901.01,116.84,Online,Enterprise Upgrade,Proseware,Camcorders,Cameras and Camcorders,Europe,Madrid,Spain,false,None,Completed,Confidential
SO000044,2025-10-15,CUST0118,PROD025,E0147,4,361.0,500.04,10.98,1444.0,2000.16,556.16,Online,New Customer Incentive,NexaCore,Feature Phones,Cell Phones,Middle East & Africa,Riyadh,Saudi Arabia,true,Finance Manager,Completed,Confidential
SO000045,2026-08-09,CUST0089,PROD058,E0047,6,68.63,112.88,8.86,411.78,677.28,265.5,Direct Sales,Enterprise Upgrade,Proseware,Audio Books,"Music, Movies and Audio Books",Europe,Berlin,Germany,false,None,Completed,Confidential
SO000046,2025-05-14,CUST0064,PROD047,E0051,23,94.36,163.35,1.49,2170.28,3757.05,1586.77,Partner,No Promotion,Litware,Headphones,Audio,Europe,Berlin,Germany,false,None,Completed,Confidential
SO000047,2025-07-24,CUST0058,PROD014,E0097,24,234.46,311.12,6.61,5627.04,7466.88,1839.84,Retail,Enterprise Upgrade,Woodgrove,Lenses,Cameras and Camcorders,Asia Pacific,Delhi,India,false,None,Cancelled,Confidential
SO000048,2026-05-22,CUST0146,PROD039,E0150,20,909.79,2098.57,0,18195.8,41971.4,23775.6,Retail,No Promotion,Woodgrove,Projectors,TV and Video,North America,New York,United States,false,None,Shipped,Confidential
SO000049,2026-05-14,CUST0214,PROD048,E0025,7,828.51,1277.72,0,5799.57,8944.04,3144.47,Direct Sales,No Promotion,Proseware,Speakers,Audio,Asia Pacific,Sydney,Australia,false,None,Completed,Confidential
SO000050,2026-07-12,CUST0214,PROD045,E0025,7,75.9,101.54,7.84,531.3,710.78,179.48,Online,Enterprise Upgrade,NexaCore,Speakers,Audio,Asia Pacific,Sydney,Australia,false,None,Completed,Confidential
SO000051,2025-07-08,CUST0073,PROD059,E0005,4,652.54,1012.1,22.89,2610.16,4048.4,1438.24,Partner,Executive Exception,Woodgrove,Movies,"Music, Movies and Audio Books",North America,Chicago,United States,true,Finance Manager + Executive,Shipped,Confidential
SO000052,2025-07-29,CUST0157,PROD008,E0025,60,1165.55,1402.43,4.78,69933.0,84145.8,14212.8,Direct Sales,Quarterly Bundle,Proseware,Accessories,Computers,Middle East & Africa,Johannesburg,South Africa,false,None,Completed,Confidential
SO000053,2025-03-02,CUST0190,PROD022,E0186,5,831.56,1582.01,7.91,4157.8,7910.05,3752.25,Partner,Enterprise Upgrade,Litware,Feature Phones,Cell Phones,Europe,Berlin,Germany,false,None,Completed,Confidential
SO000054,2025-08-12,CUST0133,PROD044,E0047,5,221.8,286.73,0.94,1109.0,1433.65,324.65,Retail,No Promotion,Woodgrove,Headphones,Audio,Middle East & Africa,Johannesburg,South Africa,false,None,Shipped,Confidential
SO000055,2026-01-31,CUST0049,PROD040,E0168,49,161.47,223.43,0,7912.03,10948.07,3036.04,Direct Sales,No Promotion,NexaCore,Televisions,TV and Video,Europe,London,United Kingdom,false,None,Completed,Confidential
SO000056,2026-08-21,CUST0006,PROD012,E0147,8,683.69,977.99,19.35,5469.52,7823.92,2354.4,Direct Sales,Strategic Account Discount,Litware,Action Cameras,Cameras and Camcorders,North America,Toronto,Canada,true,Finance Manager,Completed,Confidential
SO000057,2026-02-14,CUST0047,PROD028,E0005,23,1215.13,2135.99,0,27947.99,49127.77,21179.78,Retail,No Promotion,Proseware,Feature Phones,Cell Phones,Asia Pacific,Tokyo,Japan,false,None,Completed,Confidential
SO000058,2026-04-20,CUST0058,PROD037,E0097,19,445.06,638.36,0,8456.14,12128.84,3672.7,Direct Sales,No Promotion,Litware,Televisions,TV and Video,Asia Pacific,Delhi,India,false,None,Completed,Confidential
SO000059,2025-07-10,CUST0032,PROD024,E0118,8,1170.92,2530.75,1.18,9367.36,20246.0,10878.64,Direct Sales,No Promotion,Woodgrove,Smartphones,Cell Phones,Asia Pacific,Tokyo,Japan,false,None,Completed,Confidential
SO000060,2025-05-21,CUST0082,PROD016,E0118,16,892.43,930.1,17.71,14278.88,14881.6,602.72,Online,Strategic Account Discount,Fabrikam,Action Cameras,Cameras and Camcorders,Asia Pacific,Sydney,Australia,true,Finance Manager,Completed,Confidential
SO000061,2026-08-05,CUST0019,PROD058,E0118,11,72.25,123.66,0.16,794.75,1360.26,565.51,Direct Sales,No Promotion,Proseware,Audio Books,"Music, Movies and Audio Books",Latin America,Buenos Aires,Argentina,false,None,Completed,Confidential
SO000062,2026-01-20,CUST0222,PROD029,E0046,15,477.92,696.94,4.3,7168.8,10454.1,3285.3,Partner,Quarterly Bundle,Woodgrove,Phone Accessories,Cell Phones,Latin America,Buenos Aires,Argentina,false,None,Completed,Confidential
SO000063,2025-11-11,CUST0212,PROD045,E0046,18,70.06,108.56,1.47,1261.08,1954.08,693.0,Retail,No Promotion,NexaCore,Speakers,Audio,Europe,Berlin,Germany,false,None,Completed,Confidential
SO000064,2026-02-26,CUST0115,PROD049,E0132,10,1038.05,1638.45,0,10380.5,16384.5,6004.0,Direct Sales,No Promotion,Woodgrove,Home Audio,Audio,Asia Pacific,Delhi,India,false,None,Completed,Confidential
SO000065,2025-08-04,CUST0142,PROD035,E0005,9,249.76,341.03,7.26,2247.84,3069.27,821.43,Partner,Enterprise Upgrade,NexaCore,Streaming Devices,TV and Video,Asia Pacific,Tokyo,Japan,false,None,Processing,Confidential
SO000066,2026-07-11,CUST0127,PROD001,E0075,22,700.69,1007.65,10.5,15415.18,22168.3,6753.12,Online,Channel Partner Offer,Fabrikam,Laptops,Computers,Asia Pacific,Tokyo,Japan,true,Finance Manager,Processing,Confidential
SO000067,2025-04-24,CUST0085,PROD059,E0118,10,681.62,1217.77,7.22,6816.2,12177.7,5361.5,Direct Sales,Enterprise Upgrade,Woodgrove,Movies,"Music, Movies and Audio Books",Europe,Berlin,Germany,false,None,Completed,Confidential
SO000068,2026-01-01,CUST0063,PROD005,E0051,20,1154.2,1487.04,7.1,23084.0,29740.8,6656.8,Online,Enterprise Upgrade,NexaCore,Laptops,Computers,Europe,Milan,Italy,false,None,Completed,Confidential
SO000069,2025-11-16,CUST0004,PROD005,E0063,25,1274.97,1328.72,16.99,31874.25,33218.0,1343.75,Online,Strategic Account Discount,NexaCore,Laptops,Computers,Asia Pacific,Delhi,India,true,Finance Manager,Cancelled,Confidential
SO000070,2026-03-12,CUST0063,PROD027,E0051,11,189.88,301.08,9.14,2088.68,3311.88,1223.2,Partner,Enterprise Upgrade,Litware,Smartphones,Cell Phones,Europe,Milan,Italy,false,None,Completed,Confidential
SO000071,2025-07-20,CUST0137,PROD041,E0039,14,65.26,79.5,14.97,913.64,1113.0,199.36,Direct Sales,Year-End Campaign,Fabrikam,Headphones,Audio,Middle East & Africa,Johannesburg,South Africa,true,Finance Manager,Completed,Confidential
SO000072,2026-02-12,CUST0196,PROD052,E0168,24,1018.0,1404.26,7.24,24432.0,33702.24,9270.24,Partner,Enterprise Upgrade,Litware,Audio Books,"Music, Movies and Audio Books",Europe,Amsterdam,Netherlands,false,None,Processing,Confidential
SO000073,2026-04-11,CUST0195,PROD006,E0046,8,51.78,63.18,0.7,414.24,505.44,91.2,Direct Sales,No Promotion,Fabrikam,Desktops,Computers,Europe,Madrid,Spain,false,None,Processing,Confidential
SO000074,2025-01-29,CUST0242,PROD047,E0163,1,101.72,146.32,11.77,101.72,146.32,44.6,Retail,New Customer Incentive,Litware,Headphones,Audio,Middle East & Africa,Riyadh,Saudi Arabia,true,Finance Manager,Completed,Confidential
SO000075,2026-03-23,CUST0054,PROD048,E0046,4,842.02,1089.02,14.77,3368.08,4356.08,988.0,Direct Sales,Year-End Campaign,Proseware,Speakers,Audio,Asia Pacific,Singapore,Singapore,true,Finance Manager,Completed,Confidential
SO000076,2025-07-02,CUST0214,PROD037,E0025,66,469.16,604.19,5.35,30964.56,39876.54,8911.98,Direct Sales,Quarterly Bundle,Litware,Televisions,TV and Video,Asia Pacific,Sydney,Australia,false,None,Shipped,Confidential
SO000077,2026-02-24,CUST0249,PROD033,E0046,8,1039.63,1135.56,10.19,8317.04,9084.48,767.44,Partner,Channel Partner Offer,Proseware,Projectors,TV and Video,Middle East & Africa,Riyadh,Saudi Arabia,true,Finance Manager,Completed,Confidential
SO000078,2026-07-19,CUST0022,PROD026,E0163,29,343.01,604.17,17.17,9947.29,17520.93,7573.64,Online,Strategic Account Discount,Fabrikam,Phone Accessories,Cell Phones,North America,Vancouver,Canada,true,Finance Manager,Completed,Confidential
SO000079,2026-07-03,CUST0149,PROD050,E0039,12,1084.93,1290.1,13.06,13019.16,15481.2,2462.04,Retail,New Customer Incentive,NexaCore,Headphones,Audio,Asia Pacific,Mumbai,India,true,Finance Manager,Completed,Confidential
SO000080,2025-07-19,CUST0196,PROD001,E0168,22,702.6,1031.04,8.42,15457.2,22682.88,7225.68,Retail,Enterprise Upgrade,Fabrikam,Laptops,Computers,Europe,Amsterdam,Netherlands,false,None,Completed,Confidential
SO000081,2026-07-22,CUST0230,PROD042,E0063,19,1160.79,2198.98,13.37,22055.01,41780.62,19725.61,Online,New Customer Incentive,Litware,Speakers,Audio,North America,Toronto,Canada,true,Finance Manager,Completed,Confidential
SO000082,2025-08-20,CUST0118,PROD005,E0147,11,1179.03,1471.47,8.07,12969.33,16186.17,3216.84,Retail,Enterprise Upgrade,NexaCore,Laptops,Computers,Middle East & Africa,Riyadh,Saudi Arabia,false,None,Completed,Confidential
SO000083,2026-01-29,CUST0070,PROD056,E0097,17,1248.3,1359.05,7.75,21221.1,23103.85,1882.75,Retail,Enterprise Upgrade,Fabrikam,Movies,"Music, Movies and Audio Books",North America,New York,United States,false,None,Completed,Confidential
SO000084,2026-01-15,CUST0055,PROD026,E0150,6,318.01,678.79,6.94,1908.06,4072.74,2164.68,Partner,Enterprise Upgrade,Fabrikam,Phone Accessories,Cell Phones,Asia Pacific,Sydney,Australia,false,None,Completed,Confidential
SO000085,2025-07-15,CUST0019,PROD060,E0118,25,844.67,1158.19,1.46,21116.75,28954.75,7838.0,Partner,No Promotion,NexaCore,Digital Media,"Music, Movies and Audio Books",Latin America,Buenos Aires,Argentina,false,None,Completed,Confidential
SO000086,2025-04-12,CUST0129,PROD049,E0168,24,1066.13,1453.07,11.31,25587.12,34873.68,9286.56,Direct Sales,Channel Partner Offer,Woodgrove,Home Audio,Audio,Asia Pacific,Delhi,India,true,Finance Manager,Completed,Confidential
SO000087,2025-07-24,CUST0005,PROD050,E0046,8,1171.46,1289.39,13.11,9371.68,10315.12,943.44,Direct Sales,New Customer Incentive,NexaCore,Headphones,Audio,Latin America,Buenos Aires,Argentina,true,Finance Manager,Completed,Confidential
SO000088,2025-12-27,CUST0096,PROD056,E0005,8,1241.99,1321.15,10.33,9935.92,10569.2,633.28,Online,Channel Partner Offer,Fabrikam,Movies,"Music, Movies and Audio Books",Asia Pacific,Delhi,India,true,Finance Manager,Completed,Confidential
SO000089,2025-10-31,CUST0117,PROD052,E0150,2,1062.92,1396.24,7.77,2125.84,2792.48,666.64,Online,Enterprise Upgrade,Litware,Audio Books,"Music, Movies and Audio Books",Europe,Milan,Italy,false,None,Shipped,Confidential
SO000090,2025-03-12,CUST0001,PROD059,E0168,5,701.09,1063.17,19.0,3505.45,5315.85,1810.4,Direct Sales,Strategic Account Discount,Woodgrove,Movies,"Music, Movies and Audio Books",North America,San Francisco,United States,true,Finance Manager,Completed,Confidential
SO000091,2025-01-20,CUST0096,PROD052,E0005,5,1052.97,1382.75,8.66,5264.85,6913.75,1648.9,Online,Enterprise Upgrade,Litware,Audio Books,"Music, Movies and Audio Books",Asia Pacific,Delhi,India,false,None,Completed,Confidential
SO000092,2025-12-09,CUST0016,PROD014,E0025,6,257.83,318.86,4.28,1546.98,1913.16,366.18,Direct Sales,Quarterly Bundle,Woodgrove,Lenses,Cameras and Camcorders,North America,Toronto,Canada,false,None,Completed,Confidential
SO000093,2026-08-18,CUST0126,PROD026,E0097,50,334.33,675.64,7.37,16716.5,33782.0,17065.5,Direct Sales,Enterprise Upgrade,Fabrikam,Phone Accessories,Cell Phones,North America,Chicago,United States,false,None,Completed,Confidential
SO000094,2026-07-07,CUST0008,PROD014,E0018,18,235.88,272.2,18.29,4245.84,4899.6,653.76,Partner,Strategic Account Discount,Woodgrove,Lenses,Cameras and Camcorders,Asia Pacific,Singapore,Singapore,true,Finance Manager,Completed,Confidential
SO000095,2026-03-27,CUST0019,PROD060,E0118,10,926.45,1085.33,7.66,9264.5,10853.3,1588.8,Online,Enterprise Upgrade,NexaCore,Digital Media,"Music, Movies and Audio Books",Latin America,Buenos Aires,Argentina,false,None,Shipped,Confidential
SO000096,2025-03-11,CUST0013,PROD039,E0074,52,1045.81,1820.35,13.26,54382.12,94658.2,40276.08,Retail,New Customer Incentive,Woodgrove,Projectors,TV and Video,North America,Chicago,United States,true,Finance Manager,Completed,Confidential
SO000097,2025-01-27,CUST0065,PROD002,E0168,9,565.61,957.87,0,5090.49,8620.83,3530.34,Direct Sales,No Promotion,Litware,Desktops,Computers,Middle East & Africa,Riyadh,Saudi Arabia,false,None,Completed,Confidential
SO000098,2026-06-01,CUST0083,PROD037,E0097,25,484.26,537.52,15.8,12106.5,13438.0,1331.5,Partner,Year-End Campaign,Litware,Televisions,TV and Video,Europe,Berlin,Germany,true,Finance Manager,Completed,Confidential
SO000099,2025-03-12,CUST0027,PROD022,E0150,3,795.67,1563.36,9.0,2387.01,4690.08,2303.07,Direct Sales,Enterprise Upgrade,Litware,Feature Phones,Cell Phones,Europe,London,United Kingdom,false,None,Completed,Confidential
SO000100,2025-02-04,CUST0221,PROD056,E0018,6,1201.46,1468.12,0.35,7208.76,8808.72,1599.96,Online,No Promotion,Fabrikam,Movies,"Music, Movies and Audio Books",Europe,Berlin,Germany,false,None,Shipped,Confidential
SO000101,2026-02-20,CUST0191,PROD022,E0051,13,720.36,1713.74,0.24,9364.68,22278.62,12913.94,Direct Sales,No Promotion,Litware,Feature Phones,Cell Phones,North America,San Francisco,United States,false,None,Completed,Confidential
SO000102,2025-11-06,CUST0208,PROD018,E0168,58,543.16,761.01,9.04,31503.28,44138.58,12635.3,Direct Sales,Channel Partner Offer,Proseware,Lenses,Cameras and Camcorders,Europe,Amsterdam,Netherlands,false,None,Shipped,Confidential
SO000103,2026-01-04,CUST0098,PROD060,E0159,25,865.85,1175.38,0,21646.25,29384.5,7738.25,Partner,No Promotion,NexaCore,Digital Media,"Music, Movies and Audio Books",Middle East & Africa,Dubai,United Arab Emirates,false,None,Completed,Confidential
SO000104,2026-02-18,CUST0100,PROD030,E0132,12,1058.88,1052.99,17.95,12706.56,12635.88,-70.68,Retail,Strategic Account Discount,NexaCore,Smartphones,Cell Phones,Middle East & Africa,Riyadh,Saudi Arabia,true,Finance Manager,Completed,Confidential
SO000105,2026-01-19,CUST0075,PROD034,E0047,18,518.68,617.05,4.37,9336.24,11106.9,1770.66,Direct Sales,Quarterly Bundle,Woodgrove,Televisions,TV and Video,Middle East & Africa,Johannesburg,South Africa,false,None,Completed,Confidential
SO000106,2025-09-18,CUST0027,PROD001,E0150,14,684.95,1022.29,9.2,9589.3,14312.06,4722.76,Online,Channel Partner Offer,Fabrikam,Laptops,Computers,Europe,London,United Kingdom,false,None,Shipped,Confidential
SO000107,2026-02-22,CUST0025,PROD032,E0047,12,1034.65,1972.94,9.57,12415.8,23675.28,11259.48,Direct Sales,Channel Partner Offer,Litware,Streaming Devices,TV and Video,Middle East & Africa,Dubai,United Arab Emirates,false,None,Completed,Confidential
SO000108,2026-01-24,CUST0086,PROD021,E0057,17,1312.79,1471.41,7.7,22317.43,25013.97,2696.54,Direct Sales,Enterprise Upgrade,Fabrikam,Smartphones,Cell Phones,Asia Pacific,Sydney,Australia,false,None,Completed,Confidential
SO000109,2026-02-08,CUST0078,PROD031,E0046,15,395.99,679.87,7.58,5939.85,10198.05,4258.2,Online,Enterprise Upgrade,Fabrikam,Televisions,TV and Video,North America,Vancouver,Canada,false,None,Completed,Confidential
SO000110,2026-04-14,CUST0166,PROD032,E0046,25,980.16,2181.65,0,24504.0,54541.25,30037.25,Partner,No Promotion,Litware,Streaming Devices,TV and Video,Europe,Paris,France,false,None,Completed,Confidential
SO000111,2025-05-28,CUST0073,PROD060,E0005,6,882.11,1175.38,0,5292.66,7052.28,1759.62,Partner,No Promotion,NexaCore,Digital Media,"Music, Movies and Audio Books",North America,Chicago,United States,false,None,Processing,Confidential
SO000112,2025-12-23,CUST0171,PROD059,E0097,7,726.87,1312.5,0,5088.09,9187.5,4099.41,Direct Sales,No Promotion,Woodgrove,Movies,"Music, Movies and Audio Books",North America,New York,United States,false,None,Completed,Confidential
SO000113,2025-03-22,CUST0078,PROD033,E0046,19,976.1,1264.36,0,18545.9,24022.84,5476.94,Retail,No Promotion,Proseware,Projectors,TV and Video,North America,Vancouver,Canada,false,None,Completed,Confidential
SO000114,2026-07-03,CUST0230,PROD057,E0063,16,692.5,857.43,5.64,11080.0,13718.88,2638.88,Online,Quarterly Bundle,Litware,Digital Media,"Music, Movies and Audio Books",North America,Toronto,Canada,false,None,Completed,Confidential
SO000115,2026-05-22,CUST0108,PROD014,E0039,5,233.37,313.23,5.97,1166.85,1566.15,399.3,Online,Quarterly Bundle,Woodgrove,Lenses,Cameras and Camcorders,Asia Pacific,Singapore,Singapore,false,None,Completed,Confidential
