purchase_request_id,requester_employee_id,department_id,supplier_id,request_title,business_justification,amount_usd,currency,required_approval_level,status,current_approver_employee_id,submitted_at,decided_at,human_approval_required,policy_version,data_classification
PUR0024,E0029,D009,SUP025,Software subscription,Required to support an approved operational or project objective.,447.87,USD,Line Manager,Approved,E0003,2026-04-02T10:00:00,2026-04-07T03:00:00,true,FIN-PUR-3.0,Confidential
PUR0025,E0124,D010,SUP067,Security assessment,Required to support an approved operational or project objective.,2885.25,USD,Finance Manager,Pending,E0006,2025-11-21T15:00:00,,true,FIN-PUR-3.0,Confidential
PUR0026,E0034,D008,SUP048,Data platform license,Required to support an approved operational or project objective.,14430.6,USD,Finance Manager + Executive,Approved,E0006,2026-05-15T08:00:00,2026-05-16T10:00:00,true,FIN-PUR-3.0,Confidential
PUR0027,E0038,D003,SUP032,Software subscription,Required to support an approved operational or project objective.,338.41,USD,Line Manager,Pending,E0011,2025-05-17T09:00:00,,true,FIN-PUR-3.0,Confidential
PUR0028,E0194,D009,SUP031,Security assessment,Required to support an approved operational or project objective.,674.78,USD,Line Manager,Approved,E0010,2026-05-02T11:00:00,2026-05-03T18:00:00,true,FIN-PUR-3.0,Confidential
PUR0029,E0154,D002,SUP077,Marketing campaign services,Required to support an approved operational or project objective.,75161.05,USD,Finance Manager + Executive + Second Approver,Rejected,E0006,2025-08-03T16:00:00,2025-08-07T16:00:00,true,FIN-PUR-3.0,Confidential
PUR0030,E0081,D003,SUP041,Training program,Required to support an approved operational or project objective.,14094.15,USD,Finance Manager + Executive,Approved,E0006,2026-02-25T16:00:00,2026-02-26T19:00:00,true,FIN-PUR-3.0,Confidential
PUR0031,E0143,D009,SUP002,Professional service engagement,Required to support an approved operational or project objective.,285.51,USD,Line Manager,Approved,E0008,2026-03-07T11:00:00,2026-03-08T14:00:00,true,FIN-PUR-3.0,Confidential
PUR0032,E0192,D003,SUP015,Software subscription,Required to support an approved operational or project objective.,4695.91,USD,Finance Manager,Approved,E0006,2025-10-14T10:00:00,2025-10-18T14:00:00,true,FIN-PUR-3.0,Confidential
PUR0033,E0130,D010,SUP028,Data platform license,Required to support an approved operational or project objective.,1493.45,USD,Finance Manager,Approved,E0006,2025-08-24T16:00:00,2025-08-27T15:00:00,true,FIN-PUR-3.0,Confidential
PUR0034,E0180,D010,SUP010,Security assessment,Required to support an approved operational or project objective.,66018.89,USD,Finance Manager + Executive + Second Approver,Approved,E0006,2025-11-16T10:00:00,2025-11-18T03:00:00,true,FIN-PUR-3.0,Confidential
PUR0035,E0152,D009,SUP067,Office equipment,Required to support an approved operational or project objective.,29976.15,USD,Finance Manager + Executive + Second Approver,Approved,E0006,2026-08-08T15:00:00,2026-08-11T03:00:00,true,FIN-PUR-3.0,Confidential
PUR0036,E0031,D008,SUP006,Security assessment,Required to support an approved operational or project objective.,3459.4,USD,Finance Manager,Rejected,E0006,2025-09-16T14:00:00,2025-09-21T06:00:00,true,FIN-PUR-3.0,Confidential
PUR0037,E0154,D002,SUP079,Professional service engagement,Required to support an approved operational or project objective.,436.06,USD,Line Manager,Pending,E0004,2025-12-06T10:00:00,,true,FIN-PUR-3.0,Confidential
PUR0038,E0131,D006,SUP056,Cloud infrastructure capacity,Required to support an approved operational or project objective.,4670.59,USD,Finance Manager,Approved,E0006,2026-07-03T14:00:00,2026-07-05T18:00:00,true,FIN-PUR-3.0,Confidential
PUR0039,E0044,D004,SUP016,Data platform license,Required to support an approved operational or project objective.,6884.42,USD,Finance Manager + Executive,Approved,E0006,2025-09-04T12:00:00,2025-09-08T23:00:00,true,FIN-PUR-3.0,Confidential
PUR0040,E0092,D007,SUP004,Marketing campaign services,Required to support an approved operational or project objective.,10901.65,USD,Finance Manager + Executive,Pending,E0006,2025-09-07T11:00:00,,true,FIN-PUR-3.0,Confidential
PUR0041,E0088,D003,SUP064,Office equipment,Required to support an approved operational or project objective.,1295.42,USD,Finance Manager,Pending,E0006,2026-06-23T14:00:00,,true,FIN-PUR-3.0,Confidential
PUR0042,E0075,D005,SUP048,Data platform license,Required to support an approved operational or project objective.,28146.12,USD,Finance Manager + Executive + Second Approver,Rejected,E0006,2025-05-22T13:00:00,2025-05-24T09:00:00,true,FIN-PUR-3.0,Confidential
PUR0043,E0044,D004,SUP042,Training program,Required to support an approved operational or project objective.,5405.5,USD,Finance Manager + Executive,Approved,E0006,2026-05-18T11:00:00,2026-05-20T19:00:00,true,FIN-PUR-3.0,Confidential
PUR0044,E0184,D010,SUP033,Cloud infrastructure capacity,Required to support an approved operational or project objective.,41990.62,USD,Finance Manager + Executive + Second Approver,Approved,E0006,2025-12-11T12:00:00,2025-12-15T07:00:00,true,FIN-PUR-3.0,Confidential
PUR0045,E0157,D010,SUP009,Marketing campaign services,Required to support an approved operational or project objective.,10563.62,USD,Finance Manager + Executive,Approved,E0006,2026-07-06T15:00:00,2026-07-07T00:00:00,true,FIN-PUR-3.0,Confidential
PUR0046,E0107,D003,SUP067,Cloud infrastructure capacity,Required to support an approved operational or project objective.,2112.46,USD,Finance Manager,Approved,E0006,2025-08-06T08:00:00,2025-08-10T20:00:00,true,FIN-PUR-3.0,Confidential
PUR0047,E0020,D003,SUP068,Security assessment,Required to support an approved operational or project objective.,19899.33,USD,Finance Manager + Executive,Rejected,E0006,2026-02-14T13:00:00,2026-02-19T11:00:00,true,FIN-PUR-3.0,Confidential
PUR0048,E0129,D008,SUP008,Professional service engagement,Required to support an approved operational or project objective.,753.89,USD,Line Manager,Approved,E0001,2026-03-10T14:00:00,2026-03-11T22:00:00,true,FIN-PUR-3.0,Confidential
PUR0049,E0105,D004,SUP038,Security assessment,Required to support an approved operational or project objective.,857.6,USD,Line Manager,Pending,E0003,2026-04-21T13:00:00,,true,FIN-PUR-3.0,Confidential
PUR0050,E0183,D007,SUP080,Marketing campaign services,Required to support an approved operational or project objective.,923.33,USD,Line Manager,Pending,E0005,2026-02-07T14:00:00,,true,FIN-PUR-3.0,Confidential
PUR0051,E0018,D005,SUP004,Data platform license,Required to support an approved operational or project objective.,1413.77,USD,Finance Manager,Pending,E0006,2026-06-06T14:00:00,,true,FIN-PUR-3.0,Confidential
PUR0052,E0124,D010,SUP075,Cloud infrastructure capacity,Required to support an approved operational or project objective.,955.46,USD,Line Manager,Pending,E0003,2025-05-22T13:00:00,,true,FIN-PUR-3.0,Confidential
PUR0053,E0175,D007,SUP020,Software subscription,Required to support an approved operational or project objective.,47057.29,USD,Finance Manager + Executive + Second Approver,Pending,E0006,2025-10-31T12:00:00,,true,FIN-PUR-3.0,Confidential
PUR0054,E0008,D008,SUP030,Cloud infrastructure capacity,Required to support an approved operational or project objective.,4216.87,USD,Finance Manager,Approved,E0006,2026-03-29T11:00:00,2026-04-03T11:00:00,true,FIN-PUR-3.0,Confidential
PUR0055,E0029,D009,SUP070,Data platform license,Required to support an approved operational or project objective.,680.24,USD,Line Manager,Approved,E0007,2026-02-06T08:00:00,2026-02-07T16:00:00,true,FIN-PUR-3.0,Confidential
PUR0056,E0038,D003,SUP030,Office equipment,Required to support an approved operational or project objective.,295.25,USD,Line Manager,Approved,E0003,2025-12-18T11:00:00,2025-12-23T04:00:00,true,FIN-PUR-3.0,Confidential
PUR0057,E0161,D008,SUP037,Training program,Required to support an approved operational or project objective.,495.0,USD,Line Manager,Approved,E0007,2026-01-26T11:00:00,2026-01-28T21:00:00,true,FIN-PUR-3.0,Confidential
PUR0058,E0056,D008,SUP049,Software subscription,Required to support an approved operational or project objective.,16690.39,USD,Finance Manager + Executive,Approved,E0006,2026-06-24T14:00:00,2026-06-28T09:00:00,true,FIN-PUR-3.0,Confidential
PUR0059,E0047,D005,SUP037,Marketing campaign services,Required to support an approved operational or project objective.,8226.37,USD,Finance Manager + Executive,Pending,E0006,2026-06-30T11:00:00,,true,FIN-PUR-3.0,Confidential
PUR0060,E0016,D003,SUP021,Cloud infrastructure capacity,Required to support an approved operational or project objective.,42288.9,USD,Finance Manager + Executive + Second Approver,Rejected,E0006,2026-06-16T10:00:00,2026-06-20T10:00:00,true,FIN-PUR-3.0,Confidential
PUR0061,E0126,D002,SUP033,Cloud infrastructure capacity,Required to support an approved operational or project objective.,428.66,USD,Line Manager,Rejected,E0009,2025-09-23T10:00:00,2025-09-24T21:00:00,true,FIN-PUR-3.0,Confidential
PUR0062,E0112,D004,SUP044,Software subscription,Required to support an approved operational or project objective.,2656.29,USD,Finance Manager,Approved,E0006,2026-06-16T16:00:00,2026-06-18T16:00:00,true,FIN-PUR-3.0,Confidential
PUR0063,E0199,D004,SUP046,Security assessment,Required to support an approved operational or project objective.,17740.33,USD,Finance Manager + Executive,Pending,E0006,2026-07-21T11:00:00,,true,FIN-PUR-3.0,Confidential
PUR0064,E0039,D005,SUP002,Training program,Required to support an approved operational or project objective.,19119.82,USD,Finance Manager + Executive,Approved,E0006,2026-03-26T16:00:00,2026-03-28T17:00:00,true,FIN-PUR-3.0,Confidential
PUR0065,E0193,D008,SUP049,Marketing campaign services,Required to support an approved operational or project objective.,17403.68,USD,Finance Manager + Executive,Approved,E0006,2026-06-03T16:00:00,2026-06-07T15:00:00,true,FIN-PUR-3.0,Confidential
PUR0066,E0139,D010,SUP062,Security assessment,Required to support an approved operational or project objective.,2990.67,USD,Finance Manager,Approved,E0006,2025-05-04T08:00:00,2025-05-04T13:00:00,true,FIN-PUR-3.0,Confidential
PUR0067,E0040,D010,SUP061,Office equipment,Required to support an approved operational or project objective.,276.12,USD,Line Manager,Approved,E0007,2025-12-25T13:00:00,2025-12-29T09:00:00,true,FIN-PUR-3.0,Confidential
PUR0068,E0018,D005,SUP014,Software subscription,Required to support an approved operational or project objective.,3600.05,USD,Finance Manager,Rejected,E0006,2026-06-26T12:00:00,2026-06-27T07:00:00,true,FIN-PUR-3.0,Confidential
PUR0069,E0118,D005,SUP020,Marketing campaign services,Required to support an approved operational or project objective.,2462.05,USD,Finance Manager,Rejected,E0006,2025-09-14T10:00:00,2025-09-18T05:00:00,true,FIN-PUR-3.0,Confidential
PUR0070,E0018,D005,SUP032,Training program,Required to support an approved operational or project objective.,365.8,USD,Line Manager,Pending,E0003,2026-08-03T08:00:00,,true,FIN-PUR-3.0,Confidential
PUR0071,E0107,D003,SUP063,Office equipment,Required to support an approved operational or project objective.,721.47,USD,Line Manager,Approved,E0003,2026-01-24T08:00:00,2026-01-26T17:00:00,true,FIN-PUR-3.0,Confidential
PUR0072,E0125,D012,SUP038,Data platform license,Required to support an approved operational or project objective.,2007.89,USD,Finance Manager,Approved,E0006,2025-05-19T15:00:00,2025-05-20T03:00:00,true,FIN-PUR-3.0,Confidential
PUR0073,E0065,D009,SUP060,Training program,Required to support an approved operational or project objective.,458.14,USD,Line Manager,Pending,E0008,2026-02-01T12:00:00,,true,FIN-PUR-3.0,Confidential
PUR0074,E0013,D003,SUP034,Training program,Required to support an approved operational or project objective.,17402.34,USD,Finance Manager + Executive,Approved,E0006,2026-05-26T12:00:00,2026-05-29T17:00:00,true,FIN-PUR-3.0,Confidential
PUR0075,E0104,D002,SUP045,Professional service engagement,Required to support an approved operational or project objective.,479.59,USD,Line Manager,Approved,E0007,2025-12-05T10:00:00,2025-12-06T11:00:00,true,FIN-PUR-3.0,Confidential
PUR0076,E0097,D005,SUP052,Cloud infrastructure capacity,Required to support an approved operational or project objective.,29601.02,USD,Finance Manager + Executive + Second Approver,Pending,E0006,2025-11-20T14:00:00,,true,FIN-PUR-3.0,Confidential
PUR0077,E0067,D011,SUP049,Software subscription,Required to support an approved operational or project objective.,1987.14,USD,Finance Manager,Pending,E0006,2025-12-18T09:00:00,,true,FIN-PUR-3.0,Confidential
PUR0078,E0109,D007,SUP073,Marketing campaign services,Required to support an approved operational or project objective.,1876.6,USD,Finance Manager,Approved,E0006,2025-09-06T15:00:00,2025-09-08T21:00:00,true,FIN-PUR-3.0,Confidential
PUR0079,E0092,D007,SUP015,Data platform license,Required to support an approved operational or project objective.,19609.65,USD,Finance Manager + Executive,Approved,E0006,2026-06-26T09:00:00,2026-06-26T15:00:00,true,FIN-PUR-3.0,Confidential
PUR0080,E0012,D012,SUP076,Data platform license,Required to support an approved operational or project objective.,1525.41,USD,Finance Manager,Pending,E0006,2026-05-29T15:00:00,,true,FIN-PUR-3.0,Confidential
PUR0081,E0190,D002,SUP064,Cloud infrastructure capacity,Required to support an approved operational or project objective.,1351.88,USD,Finance Manager,Approved,E0006,2026-04-22T13:00:00,2026-04-24T11:00:00,true,FIN-PUR-3.0,Confidential
PUR0082,E0061,D007,SUP048,Software subscription,Required to support an approved operational or project objective.,1549.51,USD,Finance Manager,Pending,E0006,2026-02-13T09:00:00,,true,FIN-PUR-3.0,Confidential
PUR0083,E0084,D007,SUP050,Cloud infrastructure capacity,Required to support an approved operational or project objective.,1126.94,USD,Finance Manager,Approved,E0006,2026-06-26T15:00:00,2026-06-28T01:00:00,true,FIN-PUR-3.0,Confidential
PUR0084,E0156,D003,SUP006,Training program,Required to support an approved operational or project objective.,2253.32,USD,Finance Manager,Approved,E0006,2025-05-05T15:00:00,2025-05-08T15:00:00,true,FIN-PUR-3.0,Confidential
PUR0085,E0063,D005,SUP057,Data platform license,Required to support an approved operational or project objective.,11598.91,USD,Finance Manager + Executive,Approved,E0006,2025-09-09T09:00:00,2025-09-11T07:00:00,true,FIN-PUR-3.0,Confidential
PUR0086,E0104,D002,SUP011,Data platform license,Required to support an approved operational or project objective.,19577.86,USD,Finance Manager + Executive,Rejected,E0006,2025-11-09T08:00:00,2025-11-13T12:00:00,true,FIN-PUR-3.0,Confidential
PUR0087,E0052,D007,SUP015,Cloud infrastructure capacity,Required to support an approved operational or project objective.,3867.61,USD,Finance Manager,Approved,E0006,2025-06-26T10:00:00,2025-06-27T05:00:00,true,FIN-PUR-3.0,Confidential
PUR0088,E0157,D010,SUP072,Software subscription,Required to support an approved operational or project objective.,8440.29,USD,Finance Manager + Executive,Rejected,E0006,2025-11-16T08:00:00,2025-11-19T20:00:00,true,FIN-PUR-3.0,Confidential
PUR0089,E0128,D003,SUP007,Security assessment,Required to support an approved operational or project objective.,5862.1,USD,Finance Manager + Executive,Pending,E0006,2025-09-27T10:00:00,,true,FIN-PUR-3.0,Confidential
PUR0090,E0150,D005,SUP010,Data platform license,Required to support an approved operational or project objective.,4582.44,USD,Finance Manager,Pending,E0006,2026-05-10T13:00:00,,true,FIN-PUR-3.0,Confidential
PUR0091,E0103,D003,SUP050,Software subscription,Required to support an approved operational or project objective.,279.04,USD,Line Manager,Approved,E0008,2026-03-04T16:00:00,2026-03-07T20:00:00,true,FIN-PUR-3.0,Confidential
PUR0092,E0135,D006,SUP066,Office equipment,Required to support an approved operational or project objective.,4414.57,USD,Finance Manager,Approved,E0006,2025-08-07T11:00:00,2025-08-08T19:00:00,true,FIN-PUR-3.0,Confidential
PUR0093,E0047,D005,SUP051,Software subscription,Required to support an approved operational or project objective.,78560.01,USD,Finance Manager + Executive + Second Approver,Approved,E0006,2025-11-02T15:00:00,2025-11-05T16:00:00,true,FIN-PUR-3.0,Confidential
PUR0094,E0083,D004,SUP028,Data platform license,Required to support an approved operational or project objective.,18141.58,USD,Finance Manager + Executive,Rejected,E0006,2026-06-12T08:00:00,2026-06-14T16:00:00,true,FIN-PUR-3.0,Confidential
PUR0095,E0004,D004,SUP065,Data platform license,Required to support an approved operational or project objective.,41864.23,USD,Finance Manager + Executive + Second Approver,Approved,E0006,2025-06-12T09:00:00,2025-06-14T03:00:00,true,FIN-PUR-3.0,Confidential
PUR0096,E0182,D004,SUP036,Training program,Required to support an approved operational or project objective.,6555.98,USD,Finance Manager + Executive,Approved,E0006,2025-07-24T16:00:00,2025-07-24T20:00:00,true,FIN-PUR-3.0,Confidential
PUR0097,E0074,D005,SUP006,Professional service engagement,Required to support an approved operational or project objective.,556.33,USD,Line Manager,Approved,E0001,2026-07-24T09:00:00,2026-07-28T00:00:00,true,FIN-PUR-3.0,Confidential
PUR0098,E0128,D003,SUP049,Data platform license,Required to support an approved operational or project objective.,1606.98,USD,Finance Manager,Approved,E0006,2025-11-22T15:00:00,2025-11-27T11:00:00,true,FIN-PUR-3.0,Confidential
PUR0099,E0004,D004,SUP074,Data platform license,Required to support an approved operational or project objective.,2856.63,USD,Finance Manager,Approved,E0006,2026-05-22T11:00:00,2026-05-25T22:00:00,true,FIN-PUR-3.0,Confidential
PUR0100,E0036,D004,SUP042,Office equipment,Required to support an approved operational or project objective.,1813.77,USD,Finance Manager,Rejected,E0006,2026-05-15T08:00:00,2026-05-18T19:00:00,true,FIN-PUR-3.0,Confidential
PUR0101,E0052,D007,SUP044,Software subscription,Required to support an approved operational or project objective.,7841.3,USD,Finance Manager + Executive,Approved,E0006,2025-12-05T15:00:00,2025-12-05T23:00:00,true,FIN-PUR-3.0,Confidential
PUR0102,E0108,D002,SUP077,Cloud infrastructure capacity,Required to support an approved operational or project objective.,2668.95,USD,Finance Manager,Pending,E0006,2025-10-23T15:00:00,,true,FIN-PUR-3.0,Confidential
PUR0103,E0087,D009,SUP031,Training program,Required to support an approved operational or project objective.,18803.89,USD,Finance Manager + Executive,Approved,E0006,2025-07-06T16:00:00,2025-07-07T11:00:00,true,FIN-PUR-3.0,Confidential
PUR0104,E0032,D006,SUP033,Training program,Required to support an approved operational or project objective.,9982.86,USD,Finance Manager + Executive,Approved,E0006,2025-06-21T13:00:00,2025-06-25T12:00:00,true,FIN-PUR-3.0,Confidential
PUR0105,E0063,D005,SUP073,Security assessment,Required to support an approved operational or project objective.,1424.78,USD,Finance Manager,Pending,E0006,2026-08-04T10:00:00,,true,FIN-PUR-3.0,Confidential
PUR0106,E0145,D002,SUP057,Professional service engagement,Required to support an approved operational or project objective.,434.7,USD,Line Manager,Pending,E0003,2026-01-20T08:00:00,,true,FIN-PUR-3.0,Confidential
PUR0107,E0008,D008,SUP019,Training program,Required to support an approved operational or project objective.,26780.53,USD,Finance Manager + Executive + Second Approver,Approved,E0006,2025-06-11T16:00:00,2025-06-12T10:00:00,true,FIN-PUR-3.0,Confidential
PUR0108,E0079,D003,SUP028,Marketing campaign services,Required to support an approved operational or project objective.,1216.72,USD,Finance Manager,Approved,E0006,2026-05-27T16:00:00,2026-05-29T14:00:00,true,FIN-PUR-3.0,Confidential
PUR0109,E0096,D004,SUP010,Cloud infrastructure capacity,Required to support an approved operational or project objective.,1203.77,USD,Finance Manager,Approved,E0006,2026-02-20T10:00:00,2026-02-24T10:00:00,true,FIN-PUR-3.0,Confidential
PUR0110,E0136,D004,SUP055,Security assessment,Required to support an approved operational or project objective.,749.32,USD,Line Manager,Approved,E0004,2026-01-09T08:00:00,2026-01-10T00:00:00,true,FIN-PUR-3.0,Confidential
PUR0111,E0138,D011,SUP054,Software subscription,Required to support an approved operational or project objective.,2150.25,USD,Finance Manager,Pending,E0006,2025-08-12T08:00:00,,true,FIN-PUR-3.0,Confidential
PUR0112,E0142,D006,SUP019,Security assessment,Required to support an approved operational or project objective.,3341.72,USD,Finance Manager,Pending,E0006,2026-02-06T11:00:00,,true,FIN-PUR-3.0,Confidential
PUR0113,E0040,D010,SUP031,Training program,Required to support an approved operational or project objective.,713.84,USD,Line Manager,Approved,E0002,2026-02-22T14:00:00,2026-02-24T12:00:00,true,FIN-PUR-3.0,Confidential
PUR0114,E0120,D010,SUP076,Professional service engagement,Required to support an approved operational or project objective.,62471.43,USD,Finance Manager + Executive + Second Approver,Approved,E0006,2025-09-16T10:00:00,2025-09-17T09:00:00,true,FIN-PUR-3.0,Confidential
PUR0115,E0088,D003,SUP074,Cloud infrastructure capacity,Required to support an approved operational or project objective.,45397.48,USD,Finance Manager + Executive + Second Approver,Pending,E0006,2025-05-11T14:00:00,,true,FIN-PUR-3.0,Confidential
PUR0116,E0016,D003,SUP043,Training program,Required to support an approved operational or project objective.,10449.01,USD,Finance Manager + Executive,Approved,E0006,2026-01-12T14:00:00,2026-01-17T05:00:00,true,FIN-PUR-3.0,Confidential
PUR0117,E0104,D002,SUP065,Data platform license,Required to support an approved operational or project objective.,1516.89,USD,Finance Manager,Rejected,E0006,2025-08-22T08:00:00,2025-08-24T02:00:00,true,FIN-PUR-3.0,Confidential
PUR0118,E0066,D008,SUP048,Professional service engagement,Required to support an approved operational or project objective.,939.63,USD,Line Manager,Approved,E0002,2026-06-09T15:00:00,2026-06-11T07:00:00,true,FIN-PUR-3.0,Confidential
PUR0119,E0090,D008,SUP026,Marketing campaign services,Required to support an approved operational or project objective.,987.18,USD,Line Manager,Approved,E0001,2025-06-16T10:00:00,2025-06-18T17:00:00,true,FIN-PUR-3.0,Confidential
PUR0120,E0173,D010,SUP055,Security assessment,Required to support an approved operational or project objective.,2706.34,USD,Finance Manager,Approved,E0006,2026-04-20T09:00:00,2026-04-23T21:00:00,true,FIN-PUR-3.0,Confidential
PUR0121,E0045,D009,SUP059,Cloud infrastructure capacity,Required to support an approved operational or project objective.,9459.14,USD,Finance Manager + Executive,Rejected,E0006,2025-12-17T15:00:00,2025-12-18T03:00:00,true,FIN-PUR-3.0,Confidential
PUR0122,E0094,D007,SUP010,Software subscription,Required to support an approved operational or project objective.,63972.5,USD,Finance Manager + Executive + Second Approver,Rejected,E0006,2026-01-25T15:00:00,2026-01-27T01:00:00,true,FIN-PUR-3.0,Confidential
PUR0123,E0080,D010,SUP036,Office equipment,Required to support an approved operational or project objective.,1953.62,USD,Finance Manager,Pending,E0006,2025-11-11T12:00:00,,true,FIN-PUR-3.0,Confidential
PUR0124,E0060,D007,SUP029,Training program,Required to support an approved operational or project objective.,3217.16,USD,Finance Manager,Approved,E0006,2025-12-09T08:00:00,2025-12-13T16:00:00,true,FIN-PUR-3.0,Confidential
PUR0125,E0060,D007,SUP076,Security assessment,Required to support an approved operational or project objective.,14834.01,USD,Finance Manager + Executive,Pending,E0006,2025-06-05T08:00:00,,true,FIN-PUR-3.0,Confidential
PUR0126,E0124,D010,SUP071,Data platform license,Required to support an approved operational or project objective.,755.79,USD,Line Manager,Approved,E0009,2026-05-21T16:00:00,2026-05-22T19:00:00,true,FIN-PUR-3.0,Confidential
PUR0127,E0082,D011,SUP030,Security assessment,Required to support an approved operational or project objective.,22881.32,USD,Finance Manager + Executive,Approved,E0006,2026-02-16T11:00:00,2026-02-20T03:00:00,true,FIN-PUR-3.0,Confidential
PUR0128,E0016,D003,SUP045,Office equipment,Required to support an approved operational or project objective.,634.85,USD,Line Manager,Approved,E0006,2025-07-08T08:00:00,2025-07-10T12:00:00,true,FIN-PUR-3.0,Confidential
PUR0129,E0124,D010,SUP034,Cloud infrastructure capacity,Required to support an approved operational or project objective.,15558.44,USD,Finance Manager + Executive,Approved,E0006,2026-05-22T11:00:00,2026-05-25T03:00:00,true,FIN-PUR-3.0,Confidential
