expense_claim_id,employee_id,department_id,expense_date,expense_category,description,amount_usd,receipt_reference,policy_exception,status,approver_employee_id,submitted_at,decided_at,human_approval_required,policy_version,data_classification
EXP00012,E0143,D009,2026-05-24,Meals,Business expense submitted with supporting evidence.,1609.21,RCP-00012.pdf,false,Approved,E0009,2026-06-17T17:00:00,2026-06-18T05:00:00,true,FIN-EXP-2.4,Confidential
EXP00013,E0129,D008,2026-02-06,Software,Business expense submitted with supporting evidence.,3465.39,RCP-00013.pdf,true,Approved,E0008,2026-02-16T15:00:00,2026-02-19T21:00:00,true,FIN-EXP-2.4,Confidential
EXP00014,E0094,D007,2026-02-02,Accommodation,Business expense submitted with supporting evidence.,4091.74,RCP-00014.pdf,true,Approved,E0007,2026-02-17T10:00:00,2026-02-20T15:00:00,true,FIN-EXP-2.4,Confidential
EXP00015,E0157,D010,2026-01-30,Office Supplies,Business expense submitted with supporting evidence.,1573.76,RCP-00015.pdf,true,Approved,E0010,2026-02-05T17:00:00,2026-02-09T08:00:00,true,FIN-EXP-2.4,Confidential
EXP00016,E0078,D003,2026-06-26,Accommodation,Business expense submitted with supporting evidence.,2606.29,RCP-00016.pdf,true,Pending,E0003,2026-07-13T15:00:00,,true,FIN-EXP-2.4,Confidential
EXP00017,E0021,D004,2025-09-16,Training,Business expense submitted with supporting evidence.,2558.13,RCP-00017.pdf,true,Pending,E0004,2025-10-12T08:00:00,,true,FIN-EXP-2.4,Confidential
EXP00018,E0115,D002,2026-06-05,Training,Business expense submitted with supporting evidence.,4030.41,RCP-00018.pdf,true,Pending,E0002,2026-06-15T18:00:00,,true,FIN-EXP-2.4,Confidential
EXP00019,E0111,D003,2025-10-23,Accommodation,Business expense submitted with supporting evidence.,1175.86,RCP-00019.pdf,false,Approved,E0003,2025-11-20T17:00:00,2025-11-21T11:00:00,true,FIN-EXP-2.4,Confidential
EXP00020,E0187,D007,2026-03-04,Meals,Business expense submitted with supporting evidence.,3033.23,RCP-00020.pdf,true,Approved,E0007,2026-03-16T14:00:00,2026-03-19T16:00:00,true,FIN-EXP-2.4,Confidential
EXP00021,E0171,D003,2025-10-30,Client Meeting,Business expense submitted with supporting evidence.,1292.25,RCP-00021.pdf,true,Rejected,E0003,2025-11-13T10:00:00,2025-11-14T17:00:00,true,FIN-EXP-2.4,Confidential
EXP00022,E0163,D005,2025-11-18,Meals,Business expense submitted with supporting evidence.,2910.77,RCP-00022.pdf,true,Approved,E0005,2025-12-07T09:00:00,2025-12-09T17:00:00,true,FIN-EXP-2.4,Confidential
EXP00023,E0135,D006,2025-10-22,Training,Business expense submitted with supporting evidence.,3149.45,RCP-00023.pdf,true,Approved,E0006,2025-11-05T13:00:00,2025-11-08T16:00:00,true,FIN-EXP-2.4,Confidential
EXP00024,E0014,D009,2026-07-26,Accommodation,Business expense submitted with supporting evidence.,4143.64,RCP-00024.pdf,true,Rejected,E0009,2026-07-29T17:00:00,2026-07-31T03:00:00,true,FIN-EXP-2.4,Confidential
EXP00025,E0114,D003,2026-04-16,Client Meeting,Business expense submitted with supporting evidence.,1492.03,RCP-00025.pdf,false,Approved,E0003,2026-05-09T18:00:00,2026-05-12T10:00:00,true,FIN-EXP-2.4,Confidential
EXP00026,E0127,D006,2026-06-12,Travel,Business expense submitted with supporting evidence.,993.53,RCP-00026.pdf,false,Approved,E0006,2026-06-21T13:00:00,2026-06-21T22:00:00,true,FIN-EXP-2.4,Confidential
EXP00027,E0118,D005,2026-01-17,Training,Business expense submitted with supporting evidence.,2905.42,RCP-00027.pdf,true,Approved,E0005,2026-01-31T14:00:00,2026-02-03T01:00:00,true,FIN-EXP-2.4,Confidential
EXP00028,E0111,D003,2026-01-20,Training,Business expense submitted with supporting evidence.,3034.78,RCP-00028.pdf,true,Pending,E0003,2026-02-15T18:00:00,,true,FIN-EXP-2.4,Confidential
EXP00029,E0164,D004,2025-11-16,Office Supplies,Business expense submitted with supporting evidence.,3462.03,RCP-00029.pdf,true,Approved,E0004,2025-11-17T13:00:00,2025-11-21T06:00:00,true,FIN-EXP-2.4,Confidential
EXP00030,E0107,D003,2026-07-20,Training,Business expense submitted with supporting evidence.,3115.9,RCP-00030.pdf,true,Approved,E0003,2026-08-06T16:00:00,2026-08-10T06:00:00,true,FIN-EXP-2.4,Confidential
EXP00031,E0160,D008,2026-05-15,Training,Business expense submitted with supporting evidence.,1533.69,RCP-00031.pdf,false,Needs Clarification,E0008,2026-06-13T11:00:00,,true,FIN-EXP-2.4,Confidential
EXP00032,E0169,D003,2025-10-09,Meals,Business expense submitted with supporting evidence.,944.05,RCP-00032.pdf,false,Approved,E0003,2025-11-02T09:00:00,2025-11-03T07:00:00,true,FIN-EXP-2.4,Confidential
EXP00033,E0141,D003,2026-07-28,Client Meeting,Business expense submitted with supporting evidence.,213.31,RCP-00033.pdf,false,Approved,E0003,2026-08-23T09:00:00,2026-08-27T03:00:00,true,FIN-EXP-2.4,Confidential
EXP00034,E0143,D009,2025-06-25,Software,Business expense submitted with supporting evidence.,2782.68,RCP-00034.pdf,true,Rejected,E0009,2025-07-15T18:00:00,2025-07-16T15:00:00,true,FIN-EXP-2.4,Confidential
EXP00035,E0167,D007,2025-08-05,Accommodation,Business expense submitted with supporting evidence.,122.58,RCP-00035.pdf,true,Approved,E0007,2025-08-11T16:00:00,2025-08-12T15:00:00,true,FIN-EXP-2.4,Confidential
EXP00036,E0194,D009,2026-07-27,Office Supplies,Business expense submitted with supporting evidence.,2472.15,RCP-00036.pdf,false,Approved,E0009,2026-08-11T14:00:00,2026-08-14T20:00:00,true,FIN-EXP-2.4,Confidential
EXP00037,E0057,D005,2025-07-24,Software,Business expense submitted with supporting evidence.,2811.21,RCP-00037.pdf,true,Approved,E0005,2025-07-29T13:00:00,2025-07-30T13:00:00,true,FIN-EXP-2.4,Confidential
EXP00038,E0150,D005,2026-02-01,Meals,Business expense submitted with supporting evidence.,3386.16,RCP-00038.pdf,true,Needs Clarification,E0005,2026-02-17T17:00:00,,true,FIN-EXP-2.4,Confidential
EXP00039,E0095,D008,2026-03-20,Travel,Business expense submitted with supporting evidence.,2068.42,RCP-00039.pdf,false,Approved,E0008,2026-04-16T12:00:00,2026-04-19T16:00:00,true,FIN-EXP-2.4,Confidential
EXP00040,E0003,D003,2025-07-08,Office Supplies,Business expense submitted with supporting evidence.,3723.55,RCP-00040.pdf,true,Rejected,E0001,2025-07-14T17:00:00,2025-07-14T21:00:00,true,FIN-EXP-2.4,Confidential
EXP00041,E0038,D003,2026-03-15,Training,Business expense submitted with supporting evidence.,3567.33,RCP-00041.pdf,true,Approved,E0003,2026-04-09T16:00:00,2026-04-10T22:00:00,true,FIN-EXP-2.4,Confidential
EXP00042,E0023,D011,2026-01-18,Accommodation,Business expense submitted with supporting evidence.,2795.73,RCP-00042.pdf,true,Approved,E0011,2026-01-31T09:00:00,2026-02-01T13:00:00,true,FIN-EXP-2.4,Confidential
EXP00043,E0126,D002,2025-08-27,Accommodation,Business expense submitted with supporting evidence.,491.57,RCP-00043.pdf,true,Rejected,E0002,2025-08-30T16:00:00,2025-09-01T18:00:00,true,FIN-EXP-2.4,Confidential
EXP00044,E0187,D007,2026-03-01,Meals,Business expense submitted with supporting evidence.,1182.27,RCP-00044.pdf,false,Pending,E0007,2026-03-24T17:00:00,,true,FIN-EXP-2.4,Confidential
EXP00045,E0188,D005,2025-06-30,Client Meeting,Business expense submitted with supporting evidence.,2092.2,RCP-00045.pdf,false,Approved,E0005,2025-07-02T10:00:00,2025-07-03T16:00:00,true,FIN-EXP-2.4,Confidential
EXP00046,E0143,D009,2025-12-05,Meals,Business expense submitted with supporting evidence.,3533.5,RCP-00046.pdf,true,Needs Clarification,E0009,2025-12-23T13:00:00,,true,FIN-EXP-2.4,Confidential
EXP00047,E0070,D009,2025-10-25,Accommodation,Business expense submitted with supporting evidence.,707.9,RCP-00047.pdf,false,Rejected,E0009,2025-11-02T17:00:00,2025-11-05T20:00:00,true,FIN-EXP-2.4,Confidential
EXP00048,E0073,D009,2026-01-20,Office Supplies,Business expense submitted with supporting evidence.,2638.12,RCP-00048.pdf,true,Needs Clarification,E0009,2026-02-17T15:00:00,,true,FIN-EXP-2.4,Confidential
EXP00049,E0051,D005,2026-07-01,Training,Business expense submitted with supporting evidence.,3461.59,RCP-00049.pdf,true,Approved,E0005,2026-07-11T15:00:00,2026-07-13T08:00:00,true,FIN-EXP-2.4,Confidential
EXP00050,E0017,D004,2026-08-18,Training,Business expense submitted with supporting evidence.,1809.29,RCP-00050.pdf,false,Approved,E0004,2026-08-24T17:00:00,2026-08-26T05:00:00,true,FIN-EXP-2.4,Confidential
EXP00051,E0111,D003,2026-07-11,Accommodation,Business expense submitted with supporting evidence.,3911.88,RCP-00051.pdf,true,Approved,E0003,2026-07-20T10:00:00,2026-07-24T05:00:00,true,FIN-EXP-2.4,Confidential
EXP00052,E0024,D006,2026-01-11,Office Supplies,Business expense submitted with supporting evidence.,2523.48,RCP-00052.pdf,true,Approved,E0006,2026-02-06T18:00:00,2026-02-08T07:00:00,true,FIN-EXP-2.4,Confidential
EXP00053,E0061,D007,2026-03-28,Meals,Business expense submitted with supporting evidence.,3903.69,RCP-00053.pdf,true,Rejected,E0007,2026-04-21T17:00:00,2026-04-25T17:00:00,true,FIN-EXP-2.4,Confidential
EXP00054,E0112,D004,2025-07-12,Travel,Business expense submitted with supporting evidence.,1375.95,RCP-00054.pdf,false,Approved,E0004,2025-07-30T08:00:00,2025-08-02T00:00:00,true,FIN-EXP-2.4,Confidential
EXP00055,E0150,D005,2025-11-14,Accommodation,Business expense submitted with supporting evidence.,2954.98,RCP-00055.pdf,true,Approved,E0005,2025-11-26T10:00:00,2025-11-27T13:00:00,true,FIN-EXP-2.4,Confidential
EXP00056,E0043,D007,2025-12-02,Office Supplies,Business expense submitted with supporting evidence.,2959.65,RCP-00056.pdf,true,Approved,E0007,2025-12-04T17:00:00,2025-12-05T07:00:00,true,FIN-EXP-2.4,Confidential
EXP00057,E0112,D004,2026-02-15,Client Meeting,Business expense submitted with supporting evidence.,3438.6,RCP-00057.pdf,true,Approved,E0004,2026-02-24T09:00:00,2026-02-25T07:00:00,true,FIN-EXP-2.4,Confidential
EXP00058,E0045,D009,2026-03-05,Travel,Business expense submitted with supporting evidence.,1392.17,RCP-00058.pdf,false,Rejected,E0009,2026-03-10T08:00:00,2026-03-11T07:00:00,true,FIN-EXP-2.4,Confidential
EXP00059,E0071,D003,2025-10-22,Software,Business expense submitted with supporting evidence.,4022.91,RCP-00059.pdf,true,Approved,E0003,2025-10-29T18:00:00,2025-10-30T00:00:00,true,FIN-EXP-2.4,Confidential
EXP00060,E0003,D003,2025-12-18,Training,Business expense submitted with supporting evidence.,1955.92,RCP-00060.pdf,false,Needs Clarification,E0001,2025-12-31T12:00:00,,true,FIN-EXP-2.4,Confidential
EXP00061,E0125,D012,2026-02-02,Meals,Business expense submitted with supporting evidence.,3333.31,RCP-00061.pdf,true,Pending,E0012,2026-02-18T16:00:00,,true,FIN-EXP-2.4,Confidential
EXP00062,E0012,D012,2025-09-08,Office Supplies,Business expense submitted with supporting evidence.,2679.36,RCP-00062.pdf,true,Approved,E0001,2025-09-21T13:00:00,2025-09-24T12:00:00,true,FIN-EXP-2.4,Confidential
EXP00063,E0126,D002,2026-05-09,Meals,Business expense submitted with supporting evidence.,1817.43,RCP-00063.pdf,true,Approved,E0002,2026-06-01T18:00:00,2026-06-04T19:00:00,true,FIN-EXP-2.4,Confidential
EXP00064,E0072,D007,2026-03-24,Client Meeting,Business expense submitted with supporting evidence.,1550.48,RCP-00064.pdf,false,Approved,E0007,2026-04-07T12:00:00,2026-04-10T20:00:00,true,FIN-EXP-2.4,Confidential
EXP00065,E0174,D008,2026-02-09,Office Supplies,Business expense submitted with supporting evidence.,1706.24,RCP-00065.pdf,false,Needs Clarification,E0008,2026-02-12T18:00:00,,true,FIN-EXP-2.4,Confidential
EXP00066,E0153,D003,2026-02-23,Training,Business expense submitted with supporting evidence.,2913.03,RCP-00066.pdf,true,Approved,E0003,2026-03-17T09:00:00,2026-03-21T01:00:00,true,FIN-EXP-2.4,Confidential
EXP00067,E0193,D008,2025-11-09,Software,Business expense submitted with supporting evidence.,3763.45,RCP-00067.pdf,true,Needs Clarification,E0008,2025-12-03T09:00:00,,true,FIN-EXP-2.4,Confidential
EXP00068,E0137,D002,2026-02-26,Meals,Business expense submitted with supporting evidence.,2085.72,RCP-00068.pdf,false,Approved,E0002,2026-03-23T15:00:00,2026-03-27T13:00:00,true,FIN-EXP-2.4,Confidential
EXP00069,E0004,D004,2025-12-28,Meals,Business expense submitted with supporting evidence.,540.99,RCP-00069.pdf,false,Approved,E0001,2026-01-25T15:00:00,2026-01-27T08:00:00,true,FIN-EXP-2.4,Confidential
EXP00070,E0008,D008,2026-08-20,Accommodation,Business expense submitted with supporting evidence.,3404.94,RCP-00070.pdf,true,Approved,E0001,2026-08-22T11:00:00,2026-08-24T09:00:00,true,FIN-EXP-2.4,Confidential
EXP00071,E0025,D005,2025-11-01,Software,Business expense submitted with supporting evidence.,2938.15,RCP-00071.pdf,true,Approved,E0005,2025-11-09T08:00:00,2025-11-11T21:00:00,true,FIN-EXP-2.4,Confidential
EXP00072,E0043,D007,2026-02-19,Travel,Business expense submitted with supporting evidence.,3250.1,RCP-00072.pdf,true,Approved,E0007,2026-03-18T08:00:00,2026-03-19T07:00:00,true,FIN-EXP-2.4,Confidential
EXP00073,E0119,D003,2026-06-06,Accommodation,Business expense submitted with supporting evidence.,1115.11,RCP-00073.pdf,false,Approved,E0003,2026-06-24T12:00:00,2026-06-26T14:00:00,true,FIN-EXP-2.4,Confidential
EXP00074,E0124,D010,2026-07-15,Software,Business expense submitted with supporting evidence.,3149.56,RCP-00074.pdf,true,Approved,E0010,2026-07-25T16:00:00,2026-07-27T01:00:00,true,FIN-EXP-2.4,Confidential
EXP00075,E0082,D011,2026-02-01,Office Supplies,Business expense submitted with supporting evidence.,986.31,RCP-00075.pdf,false,Approved,E0011,2026-02-11T15:00:00,2026-02-12T19:00:00,true,FIN-EXP-2.4,Confidential
EXP00076,E0198,D009,2025-12-14,Software,Business expense submitted with supporting evidence.,85.55,RCP-00076.pdf,false,Approved,E0009,2025-12-29T09:00:00,2025-12-31T19:00:00,true,FIN-EXP-2.4,Confidential
EXP00077,E0044,D004,2026-04-09,Accommodation,Business expense submitted with supporting evidence.,1919.17,RCP-00077.pdf,false,Approved,E0004,2026-04-19T10:00:00,2026-04-21T04:00:00,true,FIN-EXP-2.4,Confidential
EXP00078,E0130,D010,2025-10-27,Travel,Business expense submitted with supporting evidence.,2460.54,RCP-00078.pdf,false,Approved,E0010,2025-11-16T10:00:00,2025-11-19T06:00:00,true,FIN-EXP-2.4,Confidential
EXP00079,E0056,D008,2026-02-03,Software,Business expense submitted with supporting evidence.,282.26,RCP-00079.pdf,false,Approved,E0008,2026-02-06T08:00:00,2026-02-09T17:00:00,true,FIN-EXP-2.4,Confidential
EXP00080,E0120,D010,2026-01-02,Client Meeting,Business expense submitted with supporting evidence.,1753.55,RCP-00080.pdf,false,Approved,E0010,2026-01-11T16:00:00,2026-01-15T05:00:00,true,FIN-EXP-2.4,Confidential
EXP00081,E0145,D002,2025-09-20,Meals,Business expense submitted with supporting evidence.,3372.07,RCP-00081.pdf,true,Approved,E0002,2025-10-13T10:00:00,2025-10-16T08:00:00,true,FIN-EXP-2.4,Confidential
EXP00082,E0097,D005,2026-03-22,Software,Business expense submitted with supporting evidence.,85.92,RCP-00082.pdf,false,Approved,E0005,2026-03-26T09:00:00,2026-03-28T19:00:00,true,FIN-EXP-2.4,Confidential
EXP00083,E0100,D003,2025-11-22,Office Supplies,Business expense submitted with supporting evidence.,547.53,RCP-00083.pdf,false,Needs Clarification,E0003,2025-12-11T09:00:00,,true,FIN-EXP-2.4,Confidential
EXP00084,E0013,D003,2026-02-24,Travel,Business expense submitted with supporting evidence.,2132.24,RCP-00084.pdf,true,Approved,E0003,2026-03-21T14:00:00,2026-03-23T01:00:00,true,FIN-EXP-2.4,Confidential
EXP00085,E0130,D010,2025-09-20,Client Meeting,Business expense submitted with supporting evidence.,3982.15,RCP-00085.pdf,true,Needs Clarification,E0010,2025-10-08T11:00:00,,true,FIN-EXP-2.4,Confidential
EXP00086,E0119,D003,2025-07-17,Accommodation,Business expense submitted with supporting evidence.,445.88,RCP-00086.pdf,false,Pending,E0003,2025-08-15T09:00:00,,true,FIN-EXP-2.4,Confidential
EXP00087,E0120,D010,2025-10-26,Client Meeting,Business expense submitted with supporting evidence.,1233.28,RCP-00087.pdf,false,Pending,E0010,2025-11-10T18:00:00,,true,FIN-EXP-2.4,Confidential
EXP00088,E0052,D007,2025-12-01,Software,Business expense submitted with supporting evidence.,2719.76,RCP-00088.pdf,true,Needs Clarification,E0007,2025-12-26T08:00:00,,true,FIN-EXP-2.4,Confidential
EXP00089,E0029,D009,2026-07-14,Meals,Business expense submitted with supporting evidence.,4065.3,RCP-00089.pdf,true,Approved,E0009,2026-07-31T15:00:00,2026-08-01T14:00:00,true,FIN-EXP-2.4,Confidential
EXP00090,E0058,D003,2026-07-17,Meals,Business expense submitted with supporting evidence.,3319.41,RCP-00090.pdf,true,Pending,E0003,2026-07-18T18:00:00,,true,FIN-EXP-2.4,Confidential
EXP00091,E0145,D002,2025-09-25,Client Meeting,Business expense submitted with supporting evidence.,1657.59,RCP-00091.pdf,false,Approved,E0002,2025-10-22T09:00:00,2025-10-22T22:00:00,true,FIN-EXP-2.4,Confidential
EXP00092,E0173,D010,2026-07-10,Office Supplies,Business expense submitted with supporting evidence.,2142.55,RCP-00092.pdf,false,Rejected,E0010,2026-07-13T10:00:00,2026-07-14T04:00:00,true,FIN-EXP-2.4,Confidential
EXP00093,E0036,D004,2025-07-20,Travel,Business expense submitted with supporting evidence.,731.76,RCP-00093.pdf,false,Approved,E0004,2025-08-09T12:00:00,2025-08-12T23:00:00,true,FIN-EXP-2.4,Confidential
EXP00094,E0084,D007,2025-11-05,Accommodation,Business expense submitted with supporting evidence.,596.62,RCP-00094.pdf,false,Approved,E0007,2025-11-14T17:00:00,2025-11-18T00:00:00,true,FIN-EXP-2.4,Confidential
EXP00095,E0015,D009,2025-10-31,Travel,Business expense submitted with supporting evidence.,3238.81,RCP-00095.pdf,true,Needs Clarification,E0009,2025-11-20T14:00:00,,true,FIN-EXP-2.4,Confidential
EXP00096,E0018,D005,2025-12-07,Training,Business expense submitted with supporting evidence.,2314.75,RCP-00096.pdf,true,Needs Clarification,E0005,2025-12-11T11:00:00,,true,FIN-EXP-2.4,Confidential
EXP00097,E0071,D003,2025-06-30,Meals,Business expense submitted with supporting evidence.,164.27,RCP-00097.pdf,false,Approved,E0003,2025-07-03T17:00:00,2025-07-04T11:00:00,true,FIN-EXP-2.4,Confidential
EXP00098,E0023,D011,2025-06-19,Meals,Business expense submitted with supporting evidence.,2373.43,RCP-00098.pdf,true,Approved,E0011,2025-07-09T11:00:00,2025-07-10T13:00:00,true,FIN-EXP-2.4,Confidential
EXP00099,E0045,D009,2026-08-19,Meals,Business expense submitted with supporting evidence.,1989.06,RCP-00099.pdf,false,Rejected,E0009,2026-08-24T10:00:00,2026-08-28T10:00:00,true,FIN-EXP-2.4,Confidential
EXP00100,E0136,D004,2025-07-23,Training,Business expense submitted with supporting evidence.,1029.25,RCP-00100.pdf,false,Approved,E0004,2025-08-13T13:00:00,2025-08-15T04:00:00,true,FIN-EXP-2.4,Confidential
EXP00101,E0006,D006,2025-06-18,Meals,Business expense submitted with supporting evidence.,166.53,RCP-00101.pdf,false,Needs Clarification,E0001,2025-07-03T18:00:00,,true,FIN-EXP-2.4,Confidential
EXP00102,E0155,D006,2026-04-18,Accommodation,Business expense submitted with supporting evidence.,2761.99,RCP-00102.pdf,true,Rejected,E0006,2026-05-18T13:00:00,2026-05-19T07:00:00,true,FIN-EXP-2.4,Confidential
EXP00103,E0023,D011,2025-11-15,Client Meeting,Business expense submitted with supporting evidence.,3151.83,RCP-00103.pdf,true,Approved,E0011,2025-12-01T08:00:00,2025-12-05T05:00:00,true,FIN-EXP-2.4,Confidential
EXP00104,E0050,D003,2026-05-31,Meals,Business expense submitted with supporting evidence.,2204.97,RCP-00104.pdf,false,Pending,E0003,2026-06-11T15:00:00,,true,FIN-EXP-2.4,Confidential
EXP00105,E0122,D004,2026-01-25,Travel,Business expense submitted with supporting evidence.,4184.53,RCP-00105.pdf,true,Approved,E0004,2026-02-03T11:00:00,2026-02-06T08:00:00,true,FIN-EXP-2.4,Confidential
EXP00106,E0115,D002,2025-07-11,Client Meeting,Business expense submitted with supporting evidence.,2310.01,RCP-00106.pdf,false,Pending,E0002,2025-07-26T09:00:00,,true,FIN-EXP-2.4,Confidential
EXP00107,E0171,D003,2025-09-10,Office Supplies,Business expense submitted with supporting evidence.,3420.54,RCP-00107.pdf,true,Rejected,E0003,2025-10-03T09:00:00,2025-10-04T15:00:00,true,FIN-EXP-2.4,Confidential
EXP00108,E0125,D012,2025-09-14,Software,Business expense submitted with supporting evidence.,2047.67,RCP-00108.pdf,false,Approved,E0012,2025-09-24T10:00:00,2025-09-26T05:00:00,true,FIN-EXP-2.4,Confidential
EXP00109,E0141,D003,2025-07-19,Travel,Business expense submitted with supporting evidence.,3323.46,RCP-00109.pdf,true,Approved,E0003,2025-07-25T08:00:00,2025-07-28T20:00:00,true,FIN-EXP-2.4,Confidential
EXP00110,E0179,D007,2026-02-28,Training,Business expense submitted with supporting evidence.,1224.73,RCP-00110.pdf,true,Approved,E0007,2026-03-07T16:00:00,2026-03-11T04:00:00,true,FIN-EXP-2.4,Confidential
EXP00111,E0064,D004,2026-03-18,Client Meeting,Business expense submitted with supporting evidence.,3499.25,RCP-00111.pdf,true,Pending,E0004,2026-04-12T17:00:00,,true,FIN-EXP-2.4,Confidential
EXP00112,E0002,D002,2025-09-19,Client Meeting,Business expense submitted with supporting evidence.,960.48,RCP-00112.pdf,true,Approved,E0001,2025-10-14T08:00:00,2025-10-17T16:00:00,true,FIN-EXP-2.4,Confidential
EXP00113,E0077,D003,2025-11-08,Training,Business expense submitted with supporting evidence.,2339.22,RCP-00113.pdf,false,Approved,E0003,2025-11-30T10:00:00,2025-12-03T09:00:00,true,FIN-EXP-2.4,Confidential
EXP00114,E0093,D009,2026-06-23,Meals,Business expense submitted with supporting evidence.,3547.63,RCP-00114.pdf,true,Approved,E0009,2026-06-26T09:00:00,2026-06-26T16:00:00,true,FIN-EXP-2.4,Confidential
EXP00115,E0128,D003,2026-03-06,Client Meeting,Business expense submitted with supporting evidence.,1661.38,RCP-00115.pdf,false,Rejected,E0003,2026-04-02T11:00:00,2026-04-05T02:00:00,true,FIN-EXP-2.4,Confidential
EXP00116,E0168,D005,2025-10-22,Accommodation,Business expense submitted with supporting evidence.,2123.91,RCP-00116.pdf,false,Approved,E0005,2025-11-12T15:00:00,2025-11-13T02:00:00,true,FIN-EXP-2.4,Confidential
EXP00117,E0009,D009,2026-06-07,Software,Business expense submitted with supporting evidence.,897.02,RCP-00117.pdf,false,Pending,E0001,2026-06-20T16:00:00,,true,FIN-EXP-2.4,Confidential
EXP00118,E0039,D005,2026-03-31,Office Supplies,Business expense submitted with supporting evidence.,4097.7,RCP-00118.pdf,true,Approved,E0005,2026-04-25T09:00:00,2026-04-27T05:00:00,true,FIN-EXP-2.4,Confidential
EXP00119,E0148,D008,2026-03-14,Client Meeting,Business expense submitted with supporting evidence.,3602.04,RCP-00119.pdf,true,Approved,E0008,2026-04-05T16:00:00,2026-04-08T10:00:00,true,FIN-EXP-2.4,Confidential
EXP00120,E0115,D002,2025-07-14,Meals,Business expense submitted with supporting evidence.,911.66,RCP-00120.pdf,false,Approved,E0002,2025-07-21T10:00:00,2025-07-24T11:00:00,true,FIN-EXP-2.4,Confidential
EXP00121,E0055,D002,2025-09-26,Travel,Business expense submitted with supporting evidence.,2825.46,RCP-00121.pdf,true,Approved,E0002,2025-10-13T15:00:00,2025-10-16T10:00:00,true,FIN-EXP-2.4,Confidential
EXP00122,E0186,D005,2025-10-06,Accommodation,Business expense submitted with supporting evidence.,602.18,RCP-00122.pdf,false,Rejected,E0005,2025-10-08T15:00:00,2025-10-08T19:00:00,true,FIN-EXP-2.4,Confidential
EXP00123,E0059,D010,2025-08-01,Office Supplies,Business expense submitted with supporting evidence.,3883.08,RCP-00123.pdf,true,Pending,E0010,2025-08-05T17:00:00,,true,FIN-EXP-2.4,Confidential
EXP00124,E0002,D002,2026-02-20,Software,Business expense submitted with supporting evidence.,3579.58,RCP-00124.pdf,true,Approved,E0001,2026-03-01T17:00:00,2026-03-02T19:00:00,true,FIN-EXP-2.4,Confidential
EXP00125,E0046,D005,2026-02-25,Travel,Business expense submitted with supporting evidence.,40.62,RCP-00125.pdf,false,Approved,E0005,2026-03-05T17:00:00,2026-03-08T23:00:00,true,FIN-EXP-2.4,Confidential
EXP00126,E0196,D006,2025-09-14,Office Supplies,Business expense submitted with supporting evidence.,885.31,RCP-00126.pdf,false,Approved,E0006,2025-09-21T16:00:00,2025-09-22T00:00:00,true,FIN-EXP-2.4,Confidential
