target_id,year,month,region,sales_target_usd,profit_margin_target_percent
TGT-202506-NORTH.AMERICA,2025,6,North America,562922.31,23.97
TGT-202507-ASIA.PACIFIC,2025,7,Asia Pacific,550704.58,31.93
TGT-202507-EUROPE,2025,7,Europe,664604.65,27.09
TGT-202507-LATIN.AMERICA,2025,7,Latin America,644023.18,24.65
TGT-202507-MIDDLE.EAST.AFRICA,2025,7,Middle East & Africa,934667.87,28.92
TGT-202507-NORTH.AMERICA,2025,7,North America,1051916.82,31.53
TGT-202508-ASIA.PACIFIC,2025,8,Asia Pacific,784296.85,31.05
TGT-202508-EUROPE,2025,8,Europe,611027.57,19.12
TGT-202508-LATIN.AMERICA,2025,8,Latin America,966835.1,20.34
TGT-202508-MIDDLE.EAST.AFRICA,2025,8,Middle East & Africa,649729.07,25.19
TGT-202508-NORTH.AMERICA,2025,8,North America,747597.49,33.31
TGT-202509-ASIA.PACIFIC,2025,9,Asia Pacific,1091996.38,27.45
TGT-202509-EUROPE,2025,9,Europe,729382.68,27.97
TGT-202509-LATIN.AMERICA,2025,9,Latin America,989506.31,25.15
TGT-202509-MIDDLE.EAST.AFRICA,2025,9,Middle East & Africa,564627.65,21.17
TGT-202509-NORTH.AMERICA,2025,9,North America,945991.01,31.98
TGT-202510-ASIA.PACIFIC,2025,10,Asia Pacific,814189.3,18.18
TGT-202510-EUROPE,2025,10,Europe,1097720.55,20.33
TGT-202510-LATIN.AMERICA,2025,10,Latin America,651893.52,19.83
TGT-202510-MIDDLE.EAST.AFRICA,2025,10,Middle East & Africa,573903.21,20.61
TGT-202510-NORTH.AMERICA,2025,10,North America,974429.51,28.85
TGT-202511-ASIA.PACIFIC,2025,11,Asia Pacific,962852.56,19.58
TGT-202511-EUROPE,2025,11,Europe,968529.14,21.2
TGT-202511-LATIN.AMERICA,2025,11,Latin America,455348.31,26.8
TGT-202511-MIDDLE.EAST.AFRICA,2025,11,Middle East & Africa,1002744.11,20.77
TGT-202511-NORTH.AMERICA,2025,11,North America,404609.61,25.16
TGT-202512-ASIA.PACIFIC,2025,12,Asia Pacific,467285.12,28.35
TGT-202512-EUROPE,2025,12,Europe,570442.26,19.92
TGT-202512-LATIN.AMERICA,2025,12,Latin America,363103.84,26.91
TGT-202512-MIDDLE.EAST.AFRICA,2025,12,Middle East & Africa,764308.03,21.07
TGT-202512-NORTH.AMERICA,2025,12,North America,876720.05,31.97
TGT-202601-ASIA.PACIFIC,2026,1,Asia Pacific,918781.72,26.74
TGT-202601-EUROPE,2026,1,Europe,483457.49,18.62
TGT-202601-LATIN.AMERICA,2026,1,Latin America,622849.12,21.7
TGT-202601-MIDDLE.EAST.AFRICA,2026,1,Middle East & Africa,561251.51,25.55
TGT-202601-NORTH.AMERICA,2026,1,North America,752106.1,27.88
TGT-202602-ASIA.PACIFIC,2026,2,Asia Pacific,527644.03,22.88
TGT-202602-EUROPE,2026,2,Europe,501162.72,27.34
TGT-202602-LATIN.AMERICA,2026,2,Latin America,635957.16,20.56
TGT-202602-MIDDLE.EAST.AFRICA,2026,2,Middle East & Africa,896814.19,20.87
TGT-202602-NORTH.AMERICA,2026,2,North America,403551.13,31.27
TGT-202603-ASIA.PACIFIC,2026,3,Asia Pacific,479558.08,24.39
TGT-202603-EUROPE,2026,3,Europe,457397.38,22.76
TGT-202603-LATIN.AMERICA,2026,3,Latin America,682283.88,23.26
TGT-202603-MIDDLE.EAST.AFRICA,2026,3,Middle East & Africa,857960.55,19.17
TGT-202603-NORTH.AMERICA,2026,3,North America,728876.5,24.39
TGT-202604-ASIA.PACIFIC,2026,4,Asia Pacific,470059.23,19.53
TGT-202604-EUROPE,2026,4,Europe,477774.25,18.17
TGT-202604-LATIN.AMERICA,2026,4,Latin America,942499.07,22.23
TGT-202604-MIDDLE.EAST.AFRICA,2026,4,Middle East & Africa,862194.28,21.68
TGT-202604-NORTH.AMERICA,2026,4,North America,381519.65,33.22
TGT-202605-ASIA.PACIFIC,2026,5,Asia Pacific,893573.07,25.49
TGT-202605-EUROPE,2026,5,Europe,391533.17,20.38
TGT-202605-LATIN.AMERICA,2026,5,Latin America,828580.39,26.19
TGT-202605-MIDDLE.EAST.AFRICA,2026,5,Middle East & Africa,993874.96,29.92
TGT-202605-NORTH.AMERICA,2026,5,North America,961272.1,32.1
TGT-202606-ASIA.PACIFIC,2026,6,Asia Pacific,879694.63,33.95
TGT-202606-EUROPE,2026,6,Europe,911738.44,24.04
TGT-202606-LATIN.AMERICA,2026,6,Latin America,707958.33,26.72
TGT-202606-MIDDLE.EAST.AFRICA,2026,6,Middle East & Africa,882542.46,31.73
TGT-202606-NORTH.AMERICA,2026,6,North America,761541.82,18.42
TGT-202607-ASIA.PACIFIC,2026,7,Asia Pacific,746036.88,20.24
TGT-202607-EUROPE,2026,7,Europe,640544.48,24.75
TGT-202607-LATIN.AMERICA,2026,7,Latin America,773126.29,30.94
TGT-202607-MIDDLE.EAST.AFRICA,2026,7,Middle East & Africa,719566.51,22.36
TGT-202607-NORTH.AMERICA,2026,7,North America,528258.36,26.99
TGT-202608-ASIA.PACIFIC,2026,8,Asia Pacific,1098761.08,32.78
TGT-202608-EUROPE,2026,8,Europe,944582.25,19.9
TGT-202608-LATIN.AMERICA,2026,8,Latin America,937592.48,26.46
TGT-202608-MIDDLE.EAST.AFRICA,2026,8,Middle East & Africa,480184.97,19.89
TGT-202608-NORTH.AMERICA,2026,8,North America,637360.34,33.68
