supplier_id,supplier_name,supplier_category,country,risk_rating,approved,contract_expiry_date,data_classification
SUP035,Chicago Marketing Supplier 35,Marketing,United States,Low,true,2027-06-06,Confidential
SUP036,Riyadh Training Supplier 36,Professional Services,Saudi Arabia,Low,true,2027-03-04,Confidential
SUP037,Vancouver Marketing Supplier 37,Technology,Canada,Medium,false,2026-10-02,Confidential
SUP038,Delhi Cloud Services Supplier 38,Marketing,India,Medium,true,2026-12-28,Confidential
SUP039,San Francisco Cloud Services Supplier 39,Cloud Services,United States,Low,true,2027-08-06,Confidential
SUP040,Delhi Technology Supplier 40,Facilities,India,Medium,true,2028-06-21,Confidential
SUP041,Mumbai Training Supplier 41,Marketing,India,Medium,true,2027-03-30,Confidential
SUP042,Dubai Professional Services Supplier 42,Marketing,United Arab Emirates,Low,false,2028-10-09,Confidential
SUP043,Milan Cloud Services Supplier 43,Professional Services,Italy,Medium,true,2027-06-08,Confidential
SUP044,Dubai Technology Supplier 44,Cloud Services,United Arab Emirates,Low,true,2029-02-02,Confidential
SUP045,San Francisco Technology Supplier 45,Professional Services,United States,Medium,true,2026-09-29,Confidential
SUP046,Johannesburg Technology Supplier 46,Training,South Africa,Medium,true,2027-08-08,Confidential
SUP047,Milan Technology Supplier 47,Marketing,Italy,Low,true,2028-05-08,Confidential
SUP048,Mexico City Facilities Supplier 48,Professional Services,Mexico,Low,true,2026-12-25,Confidential
SUP049,Singapore Professional Services Supplier 49,Professional Services,Singapore,Low,true,2028-07-08,Confidential
SUP050,Delhi Technology Supplier 50,Cloud Services,India,Low,true,2027-04-22,Confidential
SUP051,Toronto Professional Services Supplier 51,Facilities,Canada,Medium,true,2026-11-18,Confidential
SUP052,Vancouver Facilities Supplier 52,Marketing,Canada,Medium,true,2027-06-29,Confidential
SUP053,Tokyo Marketing Supplier 53,Marketing,Japan,Low,true,2028-07-07,Confidential
SUP054,Sao Paulo Training Supplier 54,Facilities,Brazil,Medium,true,2028-08-31,Confidential
SUP055,Amsterdam Cloud Services Supplier 55,Facilities,Netherlands,Medium,true,2028-04-25,Confidential
SUP056,Milan Training Supplier 56,Marketing,Italy,Low,true,2027-10-07,Confidential
SUP057,Madrid Facilities Supplier 57,Marketing,Spain,Medium,true,2026-12-20,Confidential
SUP058,Delhi Training Supplier 58,Cloud Services,India,Low,true,2028-09-10,Confidential
SUP059,Mexico City Training Supplier 59,Technology,Mexico,Medium,true,2028-03-05,Confidential
SUP060,Vancouver Technology Supplier 60,Cloud Services,Canada,Medium,true,2028-04-29,Confidential
SUP061,Riyadh Training Supplier 61,Facilities,Saudi Arabia,Medium,true,2026-10-19,Confidential
SUP062,Dubai Marketing Supplier 62,Training,United Arab Emirates,High,true,2028-11-16,Confidential
SUP063,Bengaluru Technology Supplier 63,Technology,India,Low,true,2028-03-02,Confidential
SUP064,Amsterdam Facilities Supplier 64,Technology,Netherlands,Medium,true,2027-12-24,Confidential
SUP065,Buenos Aires Professional Services Supplier 65,Facilities,Argentina,Low,true,2029-01-05,Confidential
SUP066,Toronto Professional Services Supplier 66,Technology,Canada,Low,true,2027-12-15,Confidential
SUP067,San Francisco Cloud Services Supplier 67,Professional Services,United States,Medium,true,2027-09-15,Confidential
SUP068,Sao Paulo Marketing Supplier 68,Facilities,Brazil,Low,true,2026-10-17,Confidential
SUP069,Chicago Facilities Supplier 69,Professional Services,United States,Medium,true,2027-02-14,Confidential
SUP070,Madrid Professional Services Supplier 70,Professional Services,Spain,High,true,2028-11-08,Confidential
SUP071,Chicago Training Supplier 71,Cloud Services,United States,Low,true,2028-05-25,Confidential
SUP072,Buenos Aires Marketing Supplier 72,Cloud Services,Argentina,Low,false,2028-01-03,Confidential
SUP073,New York Cloud Services Supplier 73,Facilities,United States,Low,true,2027-03-31,Confidential
SUP074,New York Professional Services Supplier 74,Facilities,United States,Medium,true,2027-08-06,Confidential
SUP075,Singapore Facilities Supplier 75,Cloud Services,Singapore,High,false,2027-02-20,Confidential
SUP076,Mexico City Facilities Supplier 76,Facilities,Mexico,Medium,true,2028-08-06,Confidential
SUP077,Dubai Marketing Supplier 77,Professional Services,United Arab Emirates,Low,true,2027-12-19,Confidential
SUP078,Dubai Marketing Supplier 78,Cloud Services,United Arab Emirates,High,true,2027-02-27,Confidential
SUP079,Toronto Technology Supplier 79,Facilities,Canada,Low,true,2027-08-31,Confidential
SUP080,Delhi Cloud Services Supplier 80,Technology,India,Medium,true,2028-09-19,Confidential
