product_id,product_name,manufacturer,product_category,product_subcategory,standard_unit_cost_usd,list_price_usd,active,launch_date,data_classification
PROD038,Proseware Streaming Devices 138,Proseware,TV and Video,Streaming Devices,931.38,1301.82,true,2024-10-30,Internal
PROD039,Woodgrove Projectors 139,Woodgrove,TV and Video,Projectors,982.9,2098.57,true,2023-09-29,Internal
PROD040,NexaCore Televisions 140,NexaCore,TV and Video,Televisions,162.81,223.43,true,2025-04-30,Internal
PROD041,Fabrikam Headphones 141,Fabrikam,Audio,Headphones,65.67,93.49,true,2024-11-16,Internal
PROD042,Litware Speakers 142,Litware,Audio,Speakers,1198.14,2538.38,true,2023-05-09,Internal
PROD043,Proseware Home Audio 143,Proseware,Audio,Home Audio,572.43,816.57,true,2023-09-17,Internal
PROD044,Woodgrove Headphones 144,Woodgrove,Audio,Headphones,232.18,289.44,true,2023-02-06,Internal
PROD045,NexaCore Speakers 145,NexaCore,Audio,Speakers,75.18,110.18,true,2023-09-13,Internal
PROD046,Fabrikam Home Audio 146,Fabrikam,Audio,Home Audio,141.63,265.16,true,2023-04-14,Internal
PROD047,Litware Headphones 147,Litware,Audio,Headphones,96.74,165.83,true,2024-10-02,Internal
PROD048,Proseware Speakers 148,Proseware,Audio,Speakers,811.43,1277.72,true,2023-08-16,Internal
PROD049,Woodgrove Home Audio 149,Woodgrove,Audio,Home Audio,1060.44,1638.45,true,2023-11-07,Internal
PROD050,NexaCore Headphones 150,NexaCore,Audio,Headphones,1107.9,1483.93,true,2024-08-08,Internal
PROD051,Fabrikam Digital Media 151,Fabrikam,"Music, Movies and Audio Books",Digital Media,740.82,1591.15,true,2024-06-09,Internal
PROD052,Litware Audio Books 152,Litware,"Music, Movies and Audio Books",Audio Books,1089.98,1513.84,true,2025-04-19,Internal
PROD053,Proseware Movies 153,Proseware,"Music, Movies and Audio Books",Movies,956.49,1180.24,true,2023-02-21,Internal
PROD054,Woodgrove Digital Media 154,Woodgrove,"Music, Movies and Audio Books",Digital Media,218.5,300.12,true,2023-04-05,Internal
PROD055,NexaCore Audio Books 155,NexaCore,"Music, Movies and Audio Books",Audio Books,950.55,1645.73,true,2024-08-10,Internal
PROD056,Fabrikam Movies 156,Fabrikam,"Music, Movies and Audio Books",Movies,1171.3,1473.29,true,2023-10-21,Internal
PROD057,Litware Digital Media 157,Litware,"Music, Movies and Audio Books",Digital Media,664.36,908.66,true,2023-08-26,Internal
PROD058,Proseware Audio Books 158,Proseware,"Music, Movies and Audio Books",Audio Books,73.3,123.86,true,2024-04-22,Internal
PROD059,Woodgrove Movies 159,Woodgrove,"Music, Movies and Audio Books",Movies,709.15,1312.5,true,2024-09-20,Internal
PROD060,NexaCore Digital Media 160,NexaCore,"Music, Movies and Audio Books",Digital Media,892.34,1175.38,true,2024-12-10,Internal
