question_id,fact_id,question,user_role,expected_security_decision,expected_document_id,expected_answer,required_permission,expected_agent_route,difficulty_tier,input_modality,requires_grounding,requires_citation,human_review_expected,scoring_keywords
RQ0030,F008,"According to company policy, what are the four data classifications?",Security_Officer,ALLOW,DOC005,"Public, Internal, Confidential, and Restricted.",document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,Public|Internal|Confidential|and|Restricted.
RQ0031,F008,Please answer with the source: What are the four data classifications?,Security_Officer,ALLOW,DOC005,"Public, Internal, Confidential, and Restricted.",document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,Public|Internal|Confidential|and|Restricted.
RQ0032,F008,I need a concise enterprise answer. What are the four data classifications?,Security_Officer,ALLOW,DOC005,"Public, Internal, Confidential, and Restricted.",document.read_security,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,Public|Internal|Confidential|and|Restricted.
RQ0033,F009,Can a language model override the backend access decision?,Security_Officer,ALLOW,DOC005,No. The backend policy engine is the final authorization authority.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,No.|The|backend|policy|engine|is|the|final|authorization|authority.
RQ0034,F009,"According to company policy, can a language model override the backend access decision?",Security_Officer,ALLOW,DOC005,No. The backend policy engine is the final authorization authority.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,No.|The|backend|policy|engine|is|the|final|authorization|authority.
RQ0035,F009,Please answer with the source: Can a language model override the backend access decision?,Security_Officer,ALLOW,DOC005,No. The backend policy engine is the final authorization authority.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,No.|The|backend|policy|engine|is|the|final|authorization|authority.
RQ0036,F009,I need a concise enterprise answer. Can a language model override the backend access decision?,Security_Officer,ALLOW,DOC005,No. The backend policy engine is the final authorization authority.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,No.|The|backend|policy|engine|is|the|final|authorization|authority.
RQ0037,F010,How should instructions embedded inside an uploaded document be treated?,Security_Officer,ALLOW,DOC005,They are untrusted data and cannot override system policy or authorization.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,They|are|untrusted|data|and|cannot|override|system|policy|or|authorization.
RQ0038,F010,"According to company policy, how should instructions embedded inside an uploaded document be treated?",Security_Officer,ALLOW,DOC005,They are untrusted data and cannot override system policy or authorization.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,They|are|untrusted|data|and|cannot|override|system|policy|or|authorization.
RQ0039,F010,Please answer with the source: How should instructions embedded inside an uploaded document be treated?,Security_Officer,ALLOW,DOC005,They are untrusted data and cannot override system policy or authorization.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,They|are|untrusted|data|and|cannot|override|system|policy|or|authorization.
RQ0040,F010,I need a concise enterprise answer. How should instructions embedded inside an uploaded document be treated?,Security_Officer,ALLOW,DOC005,They are untrusted data and cannot override system policy or authorization.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,They|are|untrusted|data|and|cannot|override|system|policy|or|authorization.
RQ0041,F011,Who approves a purchase below 1000 dollars?,Employee,ALLOW,DOC006,A line or project manager.,document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,A|line|or|project|manager.
RQ0042,F011,"According to company policy, who approves a purchase below 1000 dollars?",Employee,ALLOW,DOC006,A line or project manager.,document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,A|line|or|project|manager.
RQ0043,F011,Please answer with the source: Who approves a purchase below 1000 dollars?,Employee,ALLOW,DOC006,A line or project manager.,document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,A|line|or|project|manager.
RQ0044,F011,I need a concise enterprise answer. Who approves a purchase below 1000 dollars?,Employee,ALLOW,DOC006,A line or project manager.,document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,A|line|or|project|manager.
RQ0045,F012,Who approves a purchase from 1000 through 5000 dollars?,Finance_Manager,ALLOW,DOC006,The Finance Manager.,document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,The|Finance|Manager.
RQ0046,F012,"According to company policy, who approves a purchase from 1000 through 5000 dollars?",Finance_Manager,ALLOW,DOC006,The Finance Manager.,document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,The|Finance|Manager.
RQ0047,F012,Please answer with the source: Who approves a purchase from 1000 through 5000 dollars?,Finance_Manager,ALLOW,DOC006,The Finance Manager.,document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,The|Finance|Manager.
RQ0048,F012,I need a concise enterprise answer. Who approves a purchase from 1000 through 5000 dollars?,Finance_Manager,ALLOW,DOC006,The Finance Manager.,document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,The|Finance|Manager.
RQ0049,F013,Who approves a purchase above 5000 through 25000 dollars?,Finance_Manager,ALLOW,DOC006,The Finance Manager and an Executive.,document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,The|Finance|Manager|and|an|Executive.
RQ0050,F013,"According to company policy, who approves a purchase above 5000 through 25000 dollars?",Finance_Manager,ALLOW,DOC006,The Finance Manager and an Executive.,document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,The|Finance|Manager|and|an|Executive.
RQ0051,F013,Please answer with the source: Who approves a purchase above 5000 through 25000 dollars?,Finance_Manager,ALLOW,DOC006,The Finance Manager and an Executive.,document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,The|Finance|Manager|and|an|Executive.
RQ0052,F013,I need a concise enterprise answer. Who approves a purchase above 5000 through 25000 dollars?,Finance_Manager,ALLOW,DOC006,The Finance Manager and an Executive.,document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,The|Finance|Manager|and|an|Executive.
RQ0053,F014,Who approves a purchase above 25000 dollars?,Executive,ALLOW,DOC006,"The Finance Manager, an Executive, and a second authorized approver.",document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,The|Finance|Manager|an|Executive|and|a|second|authorized|approver.
RQ0054,F014,"According to company policy, who approves a purchase above 25000 dollars?",Executive,ALLOW,DOC006,"The Finance Manager, an Executive, and a second authorized approver.",document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,The|Finance|Manager|an|Executive|and|a|second|authorized|approver.
RQ0055,F014,Please answer with the source: Who approves a purchase above 25000 dollars?,Executive,ALLOW,DOC006,"The Finance Manager, an Executive, and a second authorized approver.",document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,The|Finance|Manager|an|Executive|and|a|second|authorized|approver.
RQ0056,F014,I need a concise enterprise answer. Who approves a purchase above 25000 dollars?,Executive,ALLOW,DOC006,"The Finance Manager, an Executive, and a second authorized approver.",document.read_finance,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,The|Finance|Manager|an|Executive|and|a|second|authorized|approver.
RQ0057,F015,When is a task reassignment required to have human approval?,Project_Manager,ALLOW,DOC007,"For Critical, Deployment, Security, or tasks estimated above 40 hours.",document.read_public,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,For|Critical|Deployment|Security|or|tasks|estimated|above|40|hours.
RQ0058,F015,"According to company policy, when is a task reassignment required to have human approval?",Project_Manager,ALLOW,DOC007,"For Critical, Deployment, Security, or tasks estimated above 40 hours.",document.read_public,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,For|Critical|Deployment|Security|or|tasks|estimated|above|40|hours.
RQ0059,F015,Please answer with the source: When is a task reassignment required to have human approval?,Project_Manager,ALLOW,DOC007,"For Critical, Deployment, Security, or tasks estimated above 40 hours.",document.read_public,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,For|Critical|Deployment|Security|or|tasks|estimated|above|40|hours.
RQ0060,F015,I need a concise enterprise answer. When is a task reassignment required to have human approval?,Project_Manager,ALLOW,DOC007,"For Critical, Deployment, Security, or tasks estimated above 40 hours.",document.read_public,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,For|Critical|Deployment|Security|or|tasks|estimated|above|40|hours.
RQ0061,F016,What workload is classified as overloaded?,Project_Manager,ALLOW,DOC007,A total workload above 100 percent.,document.read_public,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,A|total|workload|above|100|percent.
RQ0062,F016,"According to company policy, what workload is classified as overloaded?",Project_Manager,ALLOW,DOC007,A total workload above 100 percent.,document.read_public,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,A|total|workload|above|100|percent.
RQ0063,F016,Please answer with the source: What workload is classified as overloaded?,Project_Manager,ALLOW,DOC007,A total workload above 100 percent.,document.read_public,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,A|total|workload|above|100|percent.
RQ0064,F016,I need a concise enterprise answer. What workload is classified as overloaded?,Project_Manager,ALLOW,DOC007,A total workload above 100 percent.,document.read_public,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,A|total|workload|above|100|percent.
RQ0065,F017,Who approves discounts up to 10 percent?,Sales_Manager,ALLOW,DOC008,The Sales Manager.,sales.read,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,The|Sales|Manager.
RQ0066,F017,"According to company policy, who approves discounts up to 10 percent?",Sales_Manager,ALLOW,DOC008,The Sales Manager.,sales.read,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,The|Sales|Manager.
RQ0067,F017,Please answer with the source: Who approves discounts up to 10 percent?,Sales_Manager,ALLOW,DOC008,The Sales Manager.,sales.read,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,The|Sales|Manager.
RQ0068,F017,I need a concise enterprise answer. Who approves discounts up to 10 percent?,Sales_Manager,ALLOW,DOC008,The Sales Manager.,sales.read,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,The|Sales|Manager.
RQ0069,F018,Who approves a discount above 10 through 20 percent?,Sales_Manager,ALLOW,DOC008,The Finance Manager.,sales.read,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,The|Finance|Manager.
RQ0070,F018,"According to company policy, who approves a discount above 10 through 20 percent?",Sales_Manager,ALLOW,DOC008,The Finance Manager.,sales.read,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,The|Finance|Manager.
RQ0071,F018,Please answer with the source: Who approves a discount above 10 through 20 percent?,Sales_Manager,ALLOW,DOC008,The Finance Manager.,sales.read,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,The|Finance|Manager.
RQ0072,F018,I need a concise enterprise answer. Who approves a discount above 10 through 20 percent?,Sales_Manager,ALLOW,DOC008,The Finance Manager.,sales.read,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,The|Finance|Manager.
RQ0073,F019,Who approves a discount above 20 percent?,Executive,ALLOW,DOC008,The Finance Manager and an Executive.,sales.read,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,The|Finance|Manager|and|an|Executive.
RQ0074,F019,"According to company policy, who approves a discount above 20 percent?",Executive,ALLOW,DOC008,The Finance Manager and an Executive.,sales.read,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,The|Finance|Manager|and|an|Executive.
RQ0075,F019,Please answer with the source: Who approves a discount above 20 percent?,Executive,ALLOW,DOC008,The Finance Manager and an Executive.,sales.read,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,The|Finance|Manager|and|an|Executive.
RQ0076,F019,I need a concise enterprise answer. Who approves a discount above 20 percent?,Executive,ALLOW,DOC008,The Finance Manager and an Executive.,sales.read,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,The|Finance|Manager|and|an|Executive.
RQ0077,F020,When does low model quality force human review?,AI_Reviewer,ALLOW,DOC009,When confidence is below 0.75 or grounding is below 0.80.,document.read_public,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,When|confidence|is|below|0.75|or|grounding|is|below|0.80.
RQ0078,F020,"According to company policy, when does low model quality force human review?",AI_Reviewer,ALLOW,DOC009,When confidence is below 0.75 or grounding is below 0.80.,document.read_public,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,When|confidence|is|below|0.75|or|grounding|is|below|0.80.
RQ0079,F020,Please answer with the source: When does low model quality force human review?,AI_Reviewer,ALLOW,DOC009,When confidence is below 0.75 or grounding is below 0.80.,document.read_public,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,When|confidence|is|below|0.75|or|grounding|is|below|0.80.
RQ0080,F020,I need a concise enterprise answer. When does low model quality force human review?,AI_Reviewer,ALLOW,DOC009,When confidence is below 0.75 or grounding is below 0.80.,document.read_public,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,When|confidence|is|below|0.75|or|grounding|is|below|0.80.
RQ0081,F021,What must an enterprise factual answer include?,Employee,ALLOW,DOC009,"Relevant evidence or citation, confidence, and material limitations.",document.read_public,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,Relevant|evidence|or|citation|confidence|and|material|limitations.
RQ0082,F021,"According to company policy, what must an enterprise factual answer include?",Employee,ALLOW,DOC009,"Relevant evidence or citation, confidence, and material limitations.",document.read_public,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,Relevant|evidence|or|citation|confidence|and|material|limitations.
RQ0083,F021,Please answer with the source: What must an enterprise factual answer include?,Employee,ALLOW,DOC009,"Relevant evidence or citation, confidence, and material limitations.",document.read_public,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,Relevant|evidence|or|citation|confidence|and|material|limitations.
RQ0084,F021,I need a concise enterprise answer. What must an enterprise factual answer include?,Employee,ALLOW,DOC009,"Relevant evidence or citation, confidence, and material limitations.",document.read_public,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,Relevant|evidence|or|citation|confidence|and|material|limitations.
RQ0085,F022,What is the initial response target for a P1 Critical incident?,Security_Officer,ALLOW,DOC010,15 minutes.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,15|minutes.
RQ0086,F022,"According to company policy, what is the initial response target for a P1 Critical incident?",Security_Officer,ALLOW,DOC010,15 minutes.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,15|minutes.
RQ0087,F022,Please answer with the source: What is the initial response target for a P1 Critical incident?,Security_Officer,ALLOW,DOC010,15 minutes.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,15|minutes.
RQ0088,F022,I need a concise enterprise answer. What is the initial response target for a P1 Critical incident?,Security_Officer,ALLOW,DOC010,15 minutes.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,15|minutes.
RQ0089,F023,What is the initial response target for a P2 High incident?,Security_Officer,ALLOW,DOC010,30 minutes.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,30|minutes.
RQ0090,F023,"According to company policy, what is the initial response target for a P2 High incident?",Security_Officer,ALLOW,DOC010,30 minutes.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,30|minutes.
RQ0091,F023,Please answer with the source: What is the initial response target for a P2 High incident?,Security_Officer,ALLOW,DOC010,30 minutes.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,30|minutes.
RQ0092,F023,I need a concise enterprise answer. What is the initial response target for a P2 High incident?,Security_Officer,ALLOW,DOC010,30 minutes.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,30|minutes.
RQ0093,F024,What is the initial response target for a P3 Medium incident?,Security_Officer,ALLOW,DOC010,4 business hours.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,4|business|hours.
RQ0094,F024,"According to company policy, what is the initial response target for a P3 Medium incident?",Security_Officer,ALLOW,DOC010,4 business hours.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,4|business|hours.
RQ0095,F024,Please answer with the source: What is the initial response target for a P3 Medium incident?,Security_Officer,ALLOW,DOC010,4 business hours.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,4|business|hours.
RQ0096,F024,I need a concise enterprise answer. What is the initial response target for a P3 Medium incident?,Security_Officer,ALLOW,DOC010,4 business hours.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,4|business|hours.
RQ0097,F025,What is the initial response target for a P4 Low incident?,Security_Officer,ALLOW,DOC010,1 business day.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,1|business|day.
RQ0098,F025,"According to company policy, what is the initial response target for a P4 Low incident?",Security_Officer,ALLOW,DOC010,1 business day.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,1|business|day.
RQ0099,F025,Please answer with the source: What is the initial response target for a P4 Low incident?,Security_Officer,ALLOW,DOC010,1 business day.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,1|business|day.
RQ0100,F025,I need a concise enterprise answer. What is the initial response target for a P4 Low incident?,Security_Officer,ALLOW,DOC010,1 business day.,document.read_security,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,1|business|day.
RQ0101,F026,How long are security and approval audit logs retained?,Auditor,ALLOW,DOC011,7 years.,document.read_public,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,7|years.
RQ0102,F026,"According to company policy, how long are security and approval audit logs retained?",Auditor,ALLOW,DOC011,7 years.,document.read_public,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,7|years.
RQ0103,F026,Please answer with the source: How long are security and approval audit logs retained?,Auditor,ALLOW,DOC011,7 years.,document.read_public,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,7|years.
RQ0104,F026,I need a concise enterprise answer. How long are security and approval audit logs retained?,Auditor,ALLOW,DOC011,7 years.,document.read_public,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,7|years.
RQ0105,F027,How long are AI chat transcripts retained by default?,Employee,ALLOW,DOC011,"90 days unless a legal, audit, or incident hold applies.",document.read_public,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,90|days|unless|a|legal|audit|or|incident|hold|applies.
RQ0106,F027,"According to company policy, how long are AI chat transcripts retained by default?",Employee,ALLOW,DOC011,"90 days unless a legal, audit, or incident hold applies.",document.read_public,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,90|days|unless|a|legal|audit|or|incident|hold|applies.
RQ0107,F027,Please answer with the source: How long are AI chat transcripts retained by default?,Employee,ALLOW,DOC011,"90 days unless a legal, audit, or incident hold applies.",document.read_public,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,90|days|unless|a|legal|audit|or|incident|hold|applies.
RQ0108,F027,I need a concise enterprise answer. How long are AI chat transcripts retained by default?,Employee,ALLOW,DOC011,"90 days unless a legal, audit, or incident hold applies.",document.read_public,Coordinator|Security|RAG|Validation|Explanation,Hard,text,true,true,false,90|days|unless|a|legal|audit|or|incident|hold|applies.
RQ0109,F028,What is the current Project Atlas progress and expected progress?,Project_Manager,ALLOW,DOC012,Current progress is 58 percent and expected progress is 78 percent.,project.read,Coordinator|Security|RAG|Validation|Explanation,Easy,text,true,true,false,Current|progress|is|58|percent|and|expected|progress|is|78|percent.
RQ0110,F028,"According to company policy, what is the current Project Atlas progress and expected progress?",Project_Manager,ALLOW,DOC012,Current progress is 58 percent and expected progress is 78 percent.,project.read,Coordinator|Security|RAG|Validation|Explanation,Medium,text,true,true,false,Current|progress|is|58|percent|and|expected|progress|is|78|percent.
