approval_request_id,request_type,business_object_type,business_object_id,requested_by_user_id,requested_action,action_payload_json,risk_tier,required_approver_roles,status,created_at,resolved_at,policy_version,human_in_the_loop
APR00068,Purchase Request,purchase_request,PUR0068,U0018,Approve purchase,"{""amount_usd"":3600.05,""supplier_id"":""SUP014"",""required_level"":""Finance Manager""}",High,Finance_Manager,Rejected,2026-06-26T12:00:00,2026-06-27T07:00:00,FIN-PUR-3.0,true
APR00069,Purchase Request,purchase_request,PUR0069,U0118,Approve purchase,"{""amount_usd"":2462.05,""supplier_id"":""SUP020"",""required_level"":""Finance Manager""}",High,Finance_Manager,Rejected,2025-09-14T10:00:00,2025-09-18T05:00:00,FIN-PUR-3.0,true
APR00070,Purchase Request,purchase_request,PUR0070,U0018,Approve purchase,"{""amount_usd"":365.8,""supplier_id"":""SUP032"",""required_level"":""Line Manager""}",High,Finance_Manager,Pending,2026-08-03T08:00:00,,FIN-PUR-3.0,true
APR00071,Purchase Request,purchase_request,PUR0071,U0107,Approve purchase,"{""amount_usd"":721.47,""supplier_id"":""SUP063"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2026-01-24T08:00:00,2026-01-26T17:00:00,FIN-PUR-3.0,true
APR00072,Purchase Request,purchase_request,PUR0072,U0125,Approve purchase,"{""amount_usd"":2007.89,""supplier_id"":""SUP038"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2025-05-19T15:00:00,2025-05-20T03:00:00,FIN-PUR-3.0,true
APR00073,Purchase Request,purchase_request,PUR0073,U0065,Approve purchase,"{""amount_usd"":458.14,""supplier_id"":""SUP060"",""required_level"":""Line Manager""}",High,Finance_Manager,Pending,2026-02-01T12:00:00,,FIN-PUR-3.0,true
APR00074,Purchase Request,purchase_request,PUR0074,U0013,Approve purchase,"{""amount_usd"":17402.34,""supplier_id"":""SUP034"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2026-05-26T12:00:00,2026-05-29T17:00:00,FIN-PUR-3.0,true
APR00075,Purchase Request,purchase_request,PUR0075,U0104,Approve purchase,"{""amount_usd"":479.59,""supplier_id"":""SUP045"",""required_level"":""Line Manager""}",High,Finance_Manager,Approved,2025-12-05T10:00:00,2025-12-06T11:00:00,FIN-PUR-3.0,true
APR00076,Purchase Request,purchase_request,PUR0076,U0097,Approve purchase,"{""amount_usd"":29601.02,""supplier_id"":""SUP052"",""required_level"":""Finance Manager + Executive + Second Approver""}",High,Finance_Manager|Executive,Pending,2025-11-20T14:00:00,,FIN-PUR-3.0,true
APR00077,Purchase Request,purchase_request,PUR0077,U0067,Approve purchase,"{""amount_usd"":1987.14,""supplier_id"":""SUP049"",""required_level"":""Finance Manager""}",High,Finance_Manager,Pending,2025-12-18T09:00:00,,FIN-PUR-3.0,true
APR00078,Purchase Request,purchase_request,PUR0078,U0109,Approve purchase,"{""amount_usd"":1876.6,""supplier_id"":""SUP073"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2025-09-06T15:00:00,2025-09-08T21:00:00,FIN-PUR-3.0,true
APR00079,Purchase Request,purchase_request,PUR0079,U0092,Approve purchase,"{""amount_usd"":19609.65,""supplier_id"":""SUP015"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2026-06-26T09:00:00,2026-06-26T15:00:00,FIN-PUR-3.0,true
APR00080,Purchase Request,purchase_request,PUR0080,U0012,Approve purchase,"{""amount_usd"":1525.41,""supplier_id"":""SUP076"",""required_level"":""Finance Manager""}",High,Finance_Manager,Pending,2026-05-29T15:00:00,,FIN-PUR-3.0,true
APR00081,Purchase Request,purchase_request,PUR0081,U0190,Approve purchase,"{""amount_usd"":1351.88,""supplier_id"":""SUP064"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2026-04-22T13:00:00,2026-04-24T11:00:00,FIN-PUR-3.0,true
APR00082,Purchase Request,purchase_request,PUR0082,U0061,Approve purchase,"{""amount_usd"":1549.51,""supplier_id"":""SUP048"",""required_level"":""Finance Manager""}",High,Finance_Manager,Pending,2026-02-13T09:00:00,,FIN-PUR-3.0,true
APR00083,Purchase Request,purchase_request,PUR0083,U0084,Approve purchase,"{""amount_usd"":1126.94,""supplier_id"":""SUP050"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2026-06-26T15:00:00,2026-06-28T01:00:00,FIN-PUR-3.0,true
APR00084,Purchase Request,purchase_request,PUR0084,U0156,Approve purchase,"{""amount_usd"":2253.32,""supplier_id"":""SUP006"",""required_level"":""Finance Manager""}",High,Finance_Manager,Approved,2025-05-05T15:00:00,2025-05-08T15:00:00,FIN-PUR-3.0,true
APR00085,Purchase Request,purchase_request,PUR0085,U0063,Approve purchase,"{""amount_usd"":11598.91,""supplier_id"":""SUP057"",""required_level"":""Finance Manager + Executive""}",High,Finance_Manager|Executive,Approved,2025-09-09T09:00:00,2025-09-11T07:00:00,FIN-PUR-3.0,true
APR00086,Leave Request,leave_request,LR0001,U0056,Approve leave,"{""days"":1,""leave_type"":""Unpaid""}",Medium,Project_Manager,Pending,2025-09-26T10:00:00,,LEAVE-2.1,true
APR00087,Leave Request,leave_request,LR0002,U0151,Approve leave,"{""days"":2,""leave_type"":""Sick""}",Medium,Project_Manager,Rejected,2025-09-28T10:00:00,2025-09-29T20:00:00,LEAVE-2.1,true
APR00088,Leave Request,leave_request,LR0003,U0185,Approve leave,"{""days"":2,""leave_type"":""Sick""}",Medium,Project_Manager,Approved,2026-06-20T10:00:00,2026-06-20T23:00:00,LEAVE-2.1,true
APR00089,Leave Request,leave_request,LR0004,U0127,Approve leave,"{""days"":1,""leave_type"":""Casual""}",Medium,Project_Manager,Approved,2026-10-13T10:00:00,2026-10-15T08:00:00,LEAVE-2.1,true
APR00090,Leave Request,leave_request,LR0005,U0111,Approve leave,"{""days"":2,""leave_type"":""Casual""}",Medium,Project_Manager,Approved,2025-12-12T10:00:00,2025-12-14T01:00:00,LEAVE-2.1,true
APR00091,Leave Request,leave_request,LR0006,U0065,Approve leave,"{""days"":1,""leave_type"":""Casual""}",Medium,Project_Manager,Rejected,2026-09-17T10:00:00,2026-09-18T16:00:00,LEAVE-2.1,true
APR00092,Leave Request,leave_request,LR0007,U0114,Approve leave,"{""days"":1,""leave_type"":""Casual""}",Medium,Project_Manager,Approved,2026-02-22T10:00:00,2026-02-22T18:00:00,LEAVE-2.1,true
APR00093,Leave Request,leave_request,LR0008,U0104,Approve leave,"{""days"":1,""leave_type"":""Casual""}",Medium,Project_Manager,Rejected,2026-10-17T10:00:00,2026-10-19T09:00:00,LEAVE-2.1,true
APR00094,Leave Request,leave_request,LR0009,U0154,Approve leave,"{""days"":1,""leave_type"":""Annual""}",Medium,Project_Manager,Approved,2026-07-23T10:00:00,2026-07-25T21:00:00,LEAVE-2.1,true
APR00095,Leave Request,leave_request,LR0010,U0045,Approve leave,"{""days"":1,""leave_type"":""Casual""}",Medium,Project_Manager,Pending,2026-11-04T10:00:00,,LEAVE-2.1,true
APR00096,Leave Request,leave_request,LR0011,U0148,Approve leave,"{""days"":1,""leave_type"":""Annual""}",Medium,Project_Manager,Approved,2026-09-21T10:00:00,2026-09-23T06:00:00,LEAVE-2.1,true
APR00097,Leave Request,leave_request,LR0012,U0050,Approve leave,"{""days"":1,""leave_type"":""Annual""}",Medium,Project_Manager,Approved,2025-10-15T10:00:00,2025-10-15T19:00:00,LEAVE-2.1,true
APR00098,Leave Request,leave_request,LR0013,U0039,Approve leave,"{""days"":1,""leave_type"":""Sick""}",Medium,Project_Manager,Approved,2026-10-01T10:00:00,2026-10-01T22:00:00,LEAVE-2.1,true
APR00099,Leave Request,leave_request,LR0014,U0119,Approve leave,"{""days"":2,""leave_type"":""Sick""}",Medium,Project_Manager,Approved,2025-12-30T10:00:00,2025-12-31T01:00:00,LEAVE-2.1,true
APR00100,Leave Request,leave_request,LR0015,U0159,Approve leave,"{""days"":2,""leave_type"":""Unpaid""}",Medium,Project_Manager,Approved,2026-05-24T10:00:00,2026-05-24T18:00:00,LEAVE-2.1,true
APR00101,Leave Request,leave_request,LR0016,U0042,Approve leave,"{""days"":1,""leave_type"":""Sick""}",Medium,Project_Manager,Approved,2026-03-14T10:00:00,2026-03-15T21:00:00,LEAVE-2.1,true
APR00102,Leave Request,leave_request,LR0017,U0133,Approve leave,"{""days"":1,""leave_type"":""Sick""}",Medium,Project_Manager,Rejected,2026-05-24T10:00:00,2026-05-27T07:00:00,LEAVE-2.1,true
APR00103,Leave Request,leave_request,LR0018,U0171,Approve leave,"{""days"":1,""leave_type"":""Casual""}",Medium,Project_Manager,Approved,2026-01-18T10:00:00,2026-01-20T02:00:00,LEAVE-2.1,true
APR00104,Leave Request,leave_request,LR0019,U0174,Approve leave,"{""days"":3,""leave_type"":""Sick""}",Medium,Project_Manager,Pending,2026-06-16T10:00:00,,LEAVE-2.1,true
APR00105,Leave Request,leave_request,LR0020,U0073,Approve leave,"{""days"":1,""leave_type"":""Unpaid""}",Medium,Project_Manager,Approved,2025-10-25T10:00:00,2025-10-27T14:00:00,LEAVE-2.1,true
APR00106,Leave Request,leave_request,LR0021,U0172,Approve leave,"{""days"":1,""leave_type"":""Sick""}",Medium,Project_Manager,Cancelled,2025-12-15T10:00:00,2025-12-16T06:00:00,LEAVE-2.1,true
APR00107,Leave Request,leave_request,LR0022,U0144,Approve leave,"{""days"":4,""leave_type"":""Casual""}",High,Project_Manager|HR_Manager,Rejected,2026-08-04T10:00:00,2026-08-05T10:00:00,LEAVE-2.1,true
