access_decision_id,decision_time,user_id,assigned_roles,requested_permission,resource_type,resource_id,decision,decision_reason,policy_engine,zero_trust_checks,session_risk_score
ACD00106,2026-01-26T00:59:00,U0154,Employee,ai.execute_high_risk,document,DOC006,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.725
ACD00107,2026-05-24T06:36:00,U0127,Employee,employee.salary.read,document,DOC009,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.634
ACD00108,2026-06-20T19:40:00,U0126,Employee,document.read_security,employee,E0182,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.518
ACD00109,2026-03-02T16:35:00,U0055,Employee,document.read_public,purchase_request,PUR0064,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.237
ACD00110,2026-03-03T10:56:00,U0175,Employee,project.assign,audit_log,AUD002454,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.885
ACD00111,2026-01-20T13:17:00,U0142,Employee,audit.read,task,T00176,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.41
ACD00112,2026-06-23T02:11:00,U0024,Auditor|Employee,leave.read_own,project,PRJ014,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.149
ACD00113,2026-07-08T18:58:00,U0137,Employee,sales.export,task,T00183,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.372
ACD00114,2026-06-08T07:23:00,U0069,Employee,audit.read,document,DOC012,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.552
ACD00115,2026-01-08T18:21:00,U0099,Employee,evaluation.manage,employee,E0155,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.435
ACD00116,2026-07-28T06:58:00,U0077,Employee,user.manage,sales_order,SO003551,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.053
ACD00117,2026-02-09T04:17:00,U0051,Employee,task.update_own,sales_order,SO003473,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.584
ACD00118,2026-05-21T06:57:00,U0056,Employee,project.update,purchase_request,PUR0143,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.529
ACD00119,2026-04-13T21:33:00,U0022,Employee,task.reassign,purchase_request,PUR0059,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.139
ACD00120,2026-04-15T22:09:00,U0093,Employee,evaluation.manage,audit_log,AUD006031,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.822
ACD00121,2026-04-05T02:24:00,U0123,Employee|Executive,project.assign,purchase_request,PUR0151,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.651
ACD00122,2026-07-05T07:52:00,U0111,Employee,sales.export,task,T00354,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.309
ACD00123,2026-04-25T00:23:00,U0189,Employee,leave.approve,task,T00437,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.518
ACD00124,2026-08-15T20:49:00,U0098,Employee,employee.update,sales_order,SO000820,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.913
ACD00125,2026-06-23T17:41:00,U0052,Employee,employee.salary.read,task,T00523,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.76
ACD00126,2026-08-07T06:35:00,U0104,Employee,employee.salary.read,employee,E0187,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.195
ACD00127,2026-08-14T23:15:00,U0121,Employee,document.upload,task,T00328,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.866
ACD00128,2026-06-21T20:17:00,U0115,Employee,project.update,purchase_request,PUR0053,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.389
ACD00129,2026-01-16T09:54:00,U0141,Employee,project.read,task,T00230,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.606
ACD00130,2026-03-01T18:24:00,U0060,Employee,sales.read,employee,E0108,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.592
ACD00131,2026-05-16T10:21:00,U0102,Employee,employee.salary.read,task,T00135,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.155
ACD00132,2026-08-15T18:29:00,U0164,Employee,document.read_public,employee,E0093,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.304
ACD00133,2026-04-16T10:36:00,U0177,Employee,sales.read,purchase_request,PUR0070,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.28
ACD00134,2026-05-18T17:26:00,U0020,Employee,project.read,purchase_request,PUR0020,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.292
ACD00135,2026-04-11T01:01:00,U0077,Employee,ai.execute_high_risk,task,T00071,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.137
ACD00136,2026-06-08T05:56:00,U0021,Employee,task.read,purchase_request,PUR0007,ALLOW,Permission granted by one or more assigned roles.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.429
ACD00137,2026-05-08T22:28:00,U0024,Auditor|Employee,ai.execute_low_risk,sales_order,SO001936,DENY,No assigned role grants the requested permission.,deterministic_rbac_v1,authenticated|active_account|role_verified|resource_scope_checked,0.369
