audit_log_id,event_time,actor_type,actor_id,event_category,action,resource_type,resource_id,result,risk_tier,details_json,correlation_id,immutable
AUD000017,2026-03-30T16:08:00,User,U0054,AI_WORKFLOW,workflow.execute,workflow_run,WFR00017,Completed,Medium,"{""workflow_definition_id"":""WFD002"",""security_decision"":""ALLOW"",""confidence"":0.927}",WFR00017,true
AUD000018,2026-01-17T11:50:00,User,U0056,AI_WORKFLOW,workflow.execute,workflow_run,WFR00018,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00018,true
AUD000019,2026-05-19T13:53:00,User,U0101,AI_WORKFLOW,workflow.execute,workflow_run,WFR00019,Completed,High,"{""workflow_definition_id"":""WFD007"",""security_decision"":""ALLOW"",""confidence"":0.875}",WFR00019,true
AUD000020,2026-07-18T18:12:00,User,U0142,AI_WORKFLOW,workflow.execute,workflow_run,WFR00020,Denied,High,"{""workflow_definition_id"":""WFD012"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00020,true
AUD000021,2026-04-20T16:36:00,User,U0056,AI_WORKFLOW,workflow.execute,workflow_run,WFR00021,Denied,High,"{""workflow_definition_id"":""WFD010"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00021,true
AUD000022,2026-03-04T08:25:00,User,U0162,AI_WORKFLOW,workflow.execute,workflow_run,WFR00022,Denied,High,"{""workflow_definition_id"":""WFD012"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00022,true
AUD000023,2026-02-07T11:31:00,User,U0148,AI_WORKFLOW,workflow.execute,workflow_run,WFR00023,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00023,true
AUD000024,2026-02-04T17:42:00,User,U0130,AI_WORKFLOW,workflow.execute,workflow_run,WFR00024,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00024,true
AUD000025,2026-08-19T10:25:00,User,U0034,AI_WORKFLOW,workflow.execute,workflow_run,WFR00025,Denied,High,"{""workflow_definition_id"":""WFD008"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00025,true
AUD000026,2026-01-17T15:26:00,User,U0051,AI_WORKFLOW,workflow.execute,workflow_run,WFR00026,Completed,Medium,"{""workflow_definition_id"":""WFD006"",""security_decision"":""ALLOW"",""confidence"":0.944}",WFR00026,true
AUD000027,2026-02-11T10:35:00,User,U0111,AI_WORKFLOW,workflow.execute,workflow_run,WFR00027,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00027,true
AUD000028,2026-04-25T16:15:00,User,U0036,AI_WORKFLOW,workflow.execute,workflow_run,WFR00028,Completed,Medium,"{""workflow_definition_id"":""WFD006"",""security_decision"":""ALLOW"",""confidence"":0.918}",WFR00028,true
AUD000029,2026-01-24T08:26:00,User,U0134,AI_WORKFLOW,workflow.execute,workflow_run,WFR00029,Completed,Medium,"{""workflow_definition_id"":""WFD003"",""security_decision"":""ALLOW"",""confidence"":0.78}",WFR00029,true
AUD000030,2026-05-11T18:46:00,User,U0072,AI_WORKFLOW,workflow.execute,workflow_run,WFR00030,Denied,High,"{""workflow_definition_id"":""WFD012"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00030,true
AUD000031,2026-03-13T14:24:00,User,U0152,AI_WORKFLOW,workflow.execute,workflow_run,WFR00031,Completed,Medium,"{""workflow_definition_id"":""WFD002"",""security_decision"":""ALLOW"",""confidence"":0.922}",WFR00031,true
AUD000032,2026-03-26T16:31:00,User,U0082,AI_WORKFLOW,workflow.execute,workflow_run,WFR00032,Completed,High,"{""workflow_definition_id"":""WFD007"",""security_decision"":""ALLOW"",""confidence"":0.968}",WFR00032,true
AUD000033,2026-02-17T16:17:00,User,U0194,AI_WORKFLOW,workflow.execute,workflow_run,WFR00033,Awaiting Approval,High,"{""workflow_definition_id"":""WFD007"",""security_decision"":""ALLOW"",""confidence"":0.92}",WFR00033,true
AUD000034,2026-07-21T12:04:00,User,U0029,AI_WORKFLOW,workflow.execute,workflow_run,WFR00034,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00034,true
AUD000035,2026-02-26T14:17:00,User,U0056,AI_WORKFLOW,workflow.execute,workflow_run,WFR00035,Denied,High,"{""workflow_definition_id"":""WFD010"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00035,true
AUD000036,2026-01-01T14:37:00,User,U0055,AI_WORKFLOW,workflow.execute,workflow_run,WFR00036,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00036,true
AUD000037,2026-01-02T14:23:00,User,U0038,AI_WORKFLOW,workflow.execute,workflow_run,WFR00037,Denied,Medium,"{""workflow_definition_id"":""WFD011"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00037,true
AUD000038,2026-07-28T12:28:00,User,U0154,AI_WORKFLOW,workflow.execute,workflow_run,WFR00038,Completed,Medium,"{""workflow_definition_id"":""WFD003"",""security_decision"":""ALLOW"",""confidence"":0.794}",WFR00038,true
AUD000039,2026-06-11T18:32:00,User,U0124,AI_WORKFLOW,workflow.execute,workflow_run,WFR00039,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00039,true
AUD000040,2026-07-16T08:55:00,User,U0064,AI_WORKFLOW,workflow.execute,workflow_run,WFR00040,Denied,High,"{""workflow_definition_id"":""WFD012"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00040,true
AUD000041,2026-03-29T09:56:00,User,U0053,AI_WORKFLOW,workflow.execute,workflow_run,WFR00041,Needs Human Review,Medium,"{""workflow_definition_id"":""WFD006"",""security_decision"":""ALLOW"",""confidence"":0.913}",WFR00041,true
AUD000042,2026-07-02T18:37:00,User,U0040,AI_WORKFLOW,workflow.execute,workflow_run,WFR00042,Denied,High,"{""workflow_definition_id"":""WFD010"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00042,true
AUD000043,2026-05-27T09:56:00,User,U0098,AI_WORKFLOW,workflow.execute,workflow_run,WFR00043,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00043,true
AUD000044,2026-01-02T13:03:00,User,U0177,AI_WORKFLOW,workflow.execute,workflow_run,WFR00044,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00044,true
AUD000045,2026-01-02T10:56:00,User,U0005,AI_WORKFLOW,workflow.execute,workflow_run,WFR00045,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00045,true
AUD000046,2026-04-30T08:29:00,User,U0037,AI_WORKFLOW,workflow.execute,workflow_run,WFR00046,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00046,true
AUD000047,2026-03-10T18:13:00,User,U0058,AI_WORKFLOW,workflow.execute,workflow_run,WFR00047,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00047,true
AUD000048,2026-01-16T11:13:00,User,U0120,AI_WORKFLOW,workflow.execute,workflow_run,WFR00048,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00048,true
AUD000049,2026-01-09T15:44:00,User,U0007,AI_WORKFLOW,workflow.execute,workflow_run,WFR00049,Denied,High,"{""workflow_definition_id"":""WFD010"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00049,true
AUD000050,2026-01-09T09:05:00,User,U0072,AI_WORKFLOW,workflow.execute,workflow_run,WFR00050,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00050,true
AUD000051,2026-05-18T11:26:00,User,U0092,AI_WORKFLOW,workflow.execute,workflow_run,WFR00051,Completed,Medium,"{""workflow_definition_id"":""WFD003"",""security_decision"":""ALLOW"",""confidence"":0.88}",WFR00051,true
AUD000052,2026-01-23T17:05:00,User,U0189,AI_WORKFLOW,workflow.execute,workflow_run,WFR00052,Needs Human Review,Low,"{""workflow_definition_id"":""WFD001"",""security_decision"":""ALLOW"",""confidence"":0.963}",WFR00052,true
AUD000053,2026-02-11T13:45:00,User,U0014,AI_WORKFLOW,workflow.execute,workflow_run,WFR00053,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00053,true
AUD000054,2026-07-11T18:36:00,User,U0061,AI_WORKFLOW,workflow.execute,workflow_run,WFR00054,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00054,true
AUD000055,2026-01-10T13:00:00,User,U0173,AI_WORKFLOW,workflow.execute,workflow_run,WFR00055,Needs Human Review,Medium,"{""workflow_definition_id"":""WFD003"",""security_decision"":""ALLOW"",""confidence"":0.749}",WFR00055,true
AUD000056,2026-03-26T16:06:00,User,U0196,AI_WORKFLOW,workflow.execute,workflow_run,WFR00056,Denied,Medium,"{""workflow_definition_id"":""WFD011"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00056,true
AUD000057,2026-05-18T18:32:00,User,U0122,AI_WORKFLOW,workflow.execute,workflow_run,WFR00057,Needs Human Review,Medium,"{""workflow_definition_id"":""WFD002"",""security_decision"":""ALLOW"",""confidence"":0.76}",WFR00057,true
AUD000058,2026-01-08T11:04:00,User,U0147,AI_WORKFLOW,workflow.execute,workflow_run,WFR00058,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00058,true
AUD000059,2026-06-12T08:03:00,User,U0006,AI_WORKFLOW,workflow.execute,workflow_run,WFR00059,Completed,Low,"{""workflow_definition_id"":""WFD001"",""security_decision"":""ALLOW"",""confidence"":0.774}",WFR00059,true
AUD000060,2026-08-13T17:19:00,User,U0041,AI_WORKFLOW,workflow.execute,workflow_run,WFR00060,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00060,true
AUD000061,2026-08-24T09:28:00,User,U0118,AI_WORKFLOW,workflow.execute,workflow_run,WFR00061,Needs Human Review,Medium,"{""workflow_definition_id"":""WFD002"",""security_decision"":""ALLOW"",""confidence"":0.722}",WFR00061,true
AUD000062,2026-08-21T14:17:00,User,U0195,AI_WORKFLOW,workflow.execute,workflow_run,WFR00062,Completed,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""ALLOW"",""confidence"":0.956}",WFR00062,true
AUD000063,2026-06-08T09:38:00,User,U0200,AI_WORKFLOW,workflow.execute,workflow_run,WFR00063,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00063,true
AUD000064,2026-04-01T15:43:00,User,U0128,AI_WORKFLOW,workflow.execute,workflow_run,WFR00064,Denied,High,"{""workflow_definition_id"":""WFD012"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00064,true
AUD000065,2026-04-28T15:18:00,User,U0098,AI_WORKFLOW,workflow.execute,workflow_run,WFR00065,Completed,High,"{""workflow_definition_id"":""WFD007"",""security_decision"":""ALLOW"",""confidence"":0.824}",WFR00065,true
AUD000066,2026-05-03T08:53:00,User,U0117,AI_WORKFLOW,workflow.execute,workflow_run,WFR00066,Needs Human Review,Low,"{""workflow_definition_id"":""WFD001"",""security_decision"":""ALLOW"",""confidence"":0.708}",WFR00066,true
AUD000067,2026-04-28T09:43:00,User,U0108,AI_WORKFLOW,workflow.execute,workflow_run,WFR00067,Completed,Medium,"{""workflow_definition_id"":""WFD002"",""security_decision"":""ALLOW"",""confidence"":0.898}",WFR00067,true
AUD000068,2026-04-22T15:03:00,User,U0014,AI_WORKFLOW,workflow.execute,workflow_run,WFR00068,Needs Human Review,Medium,"{""workflow_definition_id"":""WFD011"",""security_decision"":""ALLOW"",""confidence"":0.849}",WFR00068,true
AUD000069,2026-05-02T08:49:00,User,U0158,AI_WORKFLOW,workflow.execute,workflow_run,WFR00069,Completed,Medium,"{""workflow_definition_id"":""WFD003"",""security_decision"":""ALLOW"",""confidence"":0.956}",WFR00069,true
AUD000070,2026-03-23T17:41:00,User,U0056,AI_WORKFLOW,workflow.execute,workflow_run,WFR00070,Completed,Medium,"{""workflow_definition_id"":""WFD006"",""security_decision"":""ALLOW"",""confidence"":0.962}",WFR00070,true
AUD000071,2026-06-26T13:09:00,User,U0035,AI_WORKFLOW,workflow.execute,workflow_run,WFR00071,Denied,High,"{""workflow_definition_id"":""WFD010"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00071,true
AUD000072,2026-06-12T08:17:00,User,U0096,AI_WORKFLOW,workflow.execute,workflow_run,WFR00072,Denied,High,"{""workflow_definition_id"":""WFD008"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00072,true
AUD000073,2026-03-07T13:55:00,User,U0141,AI_WORKFLOW,workflow.execute,workflow_run,WFR00073,Needs Human Review,Medium,"{""workflow_definition_id"":""WFD006"",""security_decision"":""ALLOW"",""confidence"":0.836}",WFR00073,true
AUD000074,2026-08-26T10:46:00,User,U0100,AI_WORKFLOW,workflow.execute,workflow_run,WFR00074,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00074,true
AUD000075,2026-03-19T18:06:00,User,U0155,AI_WORKFLOW,workflow.execute,workflow_run,WFR00075,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00075,true
AUD000076,2026-03-26T08:54:00,User,U0197,AI_WORKFLOW,workflow.execute,workflow_run,WFR00076,Completed,High,"{""workflow_definition_id"":""WFD007"",""security_decision"":""ALLOW"",""confidence"":0.897}",WFR00076,true
AUD000077,2026-08-12T13:17:00,User,U0021,AI_WORKFLOW,workflow.execute,workflow_run,WFR00077,Completed,Low,"{""workflow_definition_id"":""WFD001"",""security_decision"":""ALLOW"",""confidence"":0.762}",WFR00077,true
AUD000078,2026-08-26T09:49:00,User,U0021,AI_WORKFLOW,workflow.execute,workflow_run,WFR00078,Completed,Medium,"{""workflow_definition_id"":""WFD003"",""security_decision"":""ALLOW"",""confidence"":0.912}",WFR00078,true
AUD000079,2026-05-05T12:10:00,User,U0004,AI_WORKFLOW,workflow.execute,workflow_run,WFR00079,Completed,Low,"{""workflow_definition_id"":""WFD001"",""security_decision"":""ALLOW"",""confidence"":0.968}",WFR00079,true
AUD000080,2026-05-13T14:29:00,User,U0145,AI_WORKFLOW,workflow.execute,workflow_run,WFR00080,Completed,Low,"{""workflow_definition_id"":""WFD001"",""security_decision"":""ALLOW"",""confidence"":0.829}",WFR00080,true
AUD000081,2026-03-27T08:38:00,User,U0096,AI_WORKFLOW,workflow.execute,workflow_run,WFR00081,Denied,High,"{""workflow_definition_id"":""WFD010"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00081,true
AUD000082,2026-05-30T14:53:00,User,U0057,AI_WORKFLOW,workflow.execute,workflow_run,WFR00082,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00082,true
AUD000083,2026-08-11T10:50:00,User,U0135,AI_WORKFLOW,workflow.execute,workflow_run,WFR00083,Denied,High,"{""workflow_definition_id"":""WFD010"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00083,true
AUD000084,2026-01-04T09:55:00,User,U0100,AI_WORKFLOW,workflow.execute,workflow_run,WFR00084,Denied,High,"{""workflow_definition_id"":""WFD010"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00084,true
AUD000085,2026-07-20T10:18:00,User,U0040,AI_WORKFLOW,workflow.execute,workflow_run,WFR00085,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00085,true
AUD000086,2026-05-29T09:32:00,User,U0169,AI_WORKFLOW,workflow.execute,workflow_run,WFR00086,Completed,Medium,"{""workflow_definition_id"":""WFD002"",""security_decision"":""ALLOW"",""confidence"":0.897}",WFR00086,true
AUD000087,2026-07-28T11:50:00,User,U0137,AI_WORKFLOW,workflow.execute,workflow_run,WFR00087,Denied,Medium,"{""workflow_definition_id"":""WFD011"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00087,true
AUD000088,2026-01-29T17:17:00,User,U0063,AI_WORKFLOW,workflow.execute,workflow_run,WFR00088,Awaiting Approval,High,"{""workflow_definition_id"":""WFD005"",""security_decision"":""ALLOW"",""confidence"":0.893}",WFR00088,true
AUD000089,2026-01-25T08:08:00,User,U0039,AI_WORKFLOW,workflow.execute,workflow_run,WFR00089,Denied,High,"{""workflow_definition_id"":""WFD010"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00089,true
AUD000090,2026-03-22T14:14:00,User,U0105,AI_WORKFLOW,workflow.execute,workflow_run,WFR00090,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00090,true
AUD000091,2026-06-01T09:17:00,User,U0058,AI_WORKFLOW,workflow.execute,workflow_run,WFR00091,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00091,true
AUD000092,2026-06-14T10:59:00,User,U0165,AI_WORKFLOW,workflow.execute,workflow_run,WFR00092,Completed,Low,"{""workflow_definition_id"":""WFD001"",""security_decision"":""ALLOW"",""confidence"":0.854}",WFR00092,true
AUD000093,2026-03-16T17:23:00,User,U0133,AI_WORKFLOW,workflow.execute,workflow_run,WFR00093,Completed,Low,"{""workflow_definition_id"":""WFD001"",""security_decision"":""ALLOW"",""confidence"":0.974}",WFR00093,true
AUD000094,2026-04-11T12:35:00,User,U0049,AI_WORKFLOW,workflow.execute,workflow_run,WFR00094,Denied,High,"{""workflow_definition_id"":""WFD008"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00094,true
AUD000095,2026-06-14T10:00:00,User,U0142,AI_WORKFLOW,workflow.execute,workflow_run,WFR00095,Completed,Medium,"{""workflow_definition_id"":""WFD006"",""security_decision"":""ALLOW"",""confidence"":0.89}",WFR00095,true
AUD000096,2026-02-27T10:35:00,User,U0043,AI_WORKFLOW,workflow.execute,workflow_run,WFR00096,Denied,High,"{""workflow_definition_id"":""WFD010"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00096,true
AUD000097,2026-01-10T17:35:00,User,U0029,AI_WORKFLOW,workflow.execute,workflow_run,WFR00097,Completed,Medium,"{""workflow_definition_id"":""WFD002"",""security_decision"":""ALLOW"",""confidence"":0.827}",WFR00097,true
AUD000098,2026-03-21T17:31:00,User,U0012,AI_WORKFLOW,workflow.execute,workflow_run,WFR00098,Completed,High,"{""workflow_definition_id"":""WFD005"",""security_decision"":""ALLOW"",""confidence"":0.846}",WFR00098,true
AUD000099,2026-07-15T11:31:00,User,U0187,AI_WORKFLOW,workflow.execute,workflow_run,WFR00099,Completed,Low,"{""workflow_definition_id"":""WFD001"",""security_decision"":""ALLOW"",""confidence"":0.868}",WFR00099,true
AUD000100,2026-03-09T12:48:00,User,U0055,AI_WORKFLOW,workflow.execute,workflow_run,WFR00100,Denied,High,"{""workflow_definition_id"":""WFD012"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00100,true
AUD000101,2026-01-20T18:07:00,User,U0172,AI_WORKFLOW,workflow.execute,workflow_run,WFR00101,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00101,true
AUD000102,2026-08-21T13:48:00,User,U0078,AI_WORKFLOW,workflow.execute,workflow_run,WFR00102,Denied,Medium,"{""workflow_definition_id"":""WFD011"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00102,true
AUD000103,2026-02-16T13:09:00,User,U0113,AI_WORKFLOW,workflow.execute,workflow_run,WFR00103,Denied,High,"{""workflow_definition_id"":""WFD012"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00103,true
AUD000104,2026-03-29T18:26:00,User,U0188,AI_WORKFLOW,workflow.execute,workflow_run,WFR00104,Denied,High,"{""workflow_definition_id"":""WFD004"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00104,true
AUD000105,2026-06-05T10:05:00,User,U0095,AI_WORKFLOW,workflow.execute,workflow_run,WFR00105,Completed,Medium,"{""workflow_definition_id"":""WFD003"",""security_decision"":""ALLOW"",""confidence"":0.977}",WFR00105,true
AUD000106,2026-01-18T17:18:00,User,U0029,AI_WORKFLOW,workflow.execute,workflow_run,WFR00106,Denied,High,"{""workflow_definition_id"":""WFD012"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00106,true
AUD000107,2026-03-15T17:35:00,User,U0142,AI_WORKFLOW,workflow.execute,workflow_run,WFR00107,Needs Human Review,Low,"{""workflow_definition_id"":""WFD001"",""security_decision"":""ALLOW"",""confidence"":0.745}",WFR00107,true
AUD000108,2026-01-08T17:07:00,User,U0184,AI_WORKFLOW,workflow.execute,workflow_run,WFR00108,Needs Human Review,High,"{""workflow_definition_id"":""WFD005"",""security_decision"":""ALLOW"",""confidence"":0.722}",WFR00108,true
AUD000109,2026-02-15T08:56:00,User,U0014,AI_WORKFLOW,workflow.execute,workflow_run,WFR00109,Completed,Medium,"{""workflow_definition_id"":""WFD003"",""security_decision"":""ALLOW"",""confidence"":0.777}",WFR00109,true
AUD000110,2026-04-22T09:46:00,User,U0007,AI_WORKFLOW,workflow.execute,workflow_run,WFR00110,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00110,true
AUD000111,2026-02-14T09:21:00,User,U0033,AI_WORKFLOW,workflow.execute,workflow_run,WFR00111,Completed,Medium,"{""workflow_definition_id"":""WFD006"",""security_decision"":""ALLOW"",""confidence"":0.791}",WFR00111,true
AUD000112,2026-06-17T09:08:00,User,U0158,AI_WORKFLOW,workflow.execute,workflow_run,WFR00112,Needs Human Review,Medium,"{""workflow_definition_id"":""WFD003"",""security_decision"":""ALLOW"",""confidence"":0.7}",WFR00112,true
AUD000113,2026-06-18T17:11:00,User,U0200,AI_WORKFLOW,workflow.execute,workflow_run,WFR00113,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00113,true
AUD000114,2026-04-22T10:32:00,User,U0073,AI_WORKFLOW,workflow.execute,workflow_run,WFR00114,Completed,Medium,"{""workflow_definition_id"":""WFD006"",""security_decision"":""ALLOW"",""confidence"":0.76}",WFR00114,true
AUD000115,2026-03-06T08:35:00,User,U0068,AI_WORKFLOW,workflow.execute,workflow_run,WFR00115,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00115,true
AUD000116,2026-04-07T11:25:00,User,U0107,AI_WORKFLOW,workflow.execute,workflow_run,WFR00116,Completed,High,"{""workflow_definition_id"":""WFD007"",""security_decision"":""ALLOW"",""confidence"":0.826}",WFR00116,true
AUD000117,2026-03-16T14:03:00,User,U0076,AI_WORKFLOW,workflow.execute,workflow_run,WFR00117,Denied,High,"{""workflow_definition_id"":""WFD009"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00117,true
AUD000118,2026-05-03T14:04:00,User,U0188,AI_WORKFLOW,workflow.execute,workflow_run,WFR00118,Denied,High,"{""workflow_definition_id"":""WFD012"",""security_decision"":""DENY"",""confidence"":1.0}",WFR00118,true
AUD000119,2026-07-22T13:18:00,User,U0116,AI_WORKFLOW,workflow.execute,workflow_run,WFR00119,Needs Human Review,High,"{""workflow_definition_id"":""WFD007"",""security_decision"":""ALLOW"",""confidence"":0.964}",WFR00119,true
AUD000120,2026-01-03T08:13:00,User,U0010,AI_WORKFLOW,workflow.execute,workflow_run,WFR00120,Completed,Medium,"{""workflow_definition_id"":""WFD003"",""security_decision"":""ALLOW"",""confidence"":0.939}",WFR00120,true
