agent_execution_log_id,workflow_run_id,sequence_number,agent_id,tool_id,started_at,completed_at,duration_ms,input_summary,output_summary,status,confidence_score,input_tokens,output_tokens,estimated_cost_usd,error_type
AEL000020,WFR00005,2,A002,TOOL019,2026-08-11T09:11:00.314000,2026-08-11T09:11:00.783000,469,Reassign task after checking workload.,RBAC and resource-scope decision completed.,Success,0.831,735,385,0.01079,
AEL000021,WFR00005,3,A004,TOOL003,2026-08-11T09:11:00.802000,2026-08-11T09:11:01.004000,202,Reassign task after checking workload.,HR data query completed.,Success,0.946,581,273,0.00835,
AEL000022,WFR00005,4,A005,TOOL006,2026-08-11T09:11:01.061000,2026-08-11T09:11:01.578000,517,Reassign task after checking workload.,Project and task data query completed.,Success,0.798,392,214,0.00392,
AEL000023,WFR00005,5,A008,TOOL018,2026-08-11T09:11:01.647000,2026-08-11T09:11:02.670000,1023,Reassign task after checking workload.,"Correctness, grounding, and safety validated.",Success,0.985,397,350,0.00103,
AEL000024,WFR00005,6,A010,TOOL009,2026-08-11T09:11:02.691000,2026-08-11T09:11:03.196000,505,Reassign task after checking workload.,Human approval workflow created or resumed.,Success,0.898,937,411,0.00636,
AEL000025,WFR00005,7,A009,TOOL019,2026-08-11T09:11:03.223000,2026-08-11T09:11:03.910000,687,Reassign task after checking workload.,Evidence-based explanation generated.,Success,0.834,839,210,0.00951,
AEL000026,WFR00006,1,A001,TOOL019,2026-03-18T09:41:00,2026-03-18T09:41:00.668000,668,Compare sales channels in Q2 2026.,Request classified and task plan created.,Success,0.836,809,364,0.00161,
AEL000027,WFR00006,2,A002,TOOL016,2026-03-18T09:41:00.731000,2026-03-18T09:41:01.036000,305,Compare sales channels in Q2 2026.,RBAC and resource-scope decision completed.,Success,0.973,340,244,0.0041,
AEL000028,WFR00006,3,A006,TOOL019,2026-03-18T09:41:01.059000,2026-03-18T09:41:02.077000,1018,Compare sales channels in Q2 2026.,Sales aggregation completed.,Success,0.832,801,353,0.00368,
AEL000029,WFR00006,4,A008,TOOL019,2026-03-18T09:41:02.153000,2026-03-18T09:41:02.504000,351,Compare sales channels in Q2 2026.,"Correctness, grounding, and safety validated.",Success,0.865,125,81,0.01137,
AEL000030,WFR00006,5,A009,TOOL019,2026-03-18T09:41:02.576000,2026-03-18T09:41:03.116000,540,Compare sales channels in Q2 2026.,Evidence-based explanation generated.,Success,0.912,522,238,0.00555,
AEL000031,WFR00007,1,A001,TOOL019,2026-01-03T12:56:00,2026-01-03T12:56:00.820000,820,Approve a 15 percent discount for this order.,Request classified and task plan created.,Success,0.976,727,384,0.00951,
AEL000032,WFR00007,2,A002,TOOL016,2026-01-03T12:56:00.845000,2026-01-03T12:56:01.267000,422,Approve a 15 percent discount for this order.,RBAC and resource-scope decision completed.,Success,0.977,320,139,0.0073,
AEL000033,WFR00007,3,A006,TOOL019,2026-01-03T12:56:01.345000,2026-01-03T12:56:02.477000,1132,Approve a 15 percent discount for this order.,Sales aggregation completed.,Success,0.903,822,185,0.0105,
AEL000034,WFR00007,4,A007,TOOL019,2026-01-03T12:56:02.534000,2026-01-03T12:56:03.380000,846,Approve a 15 percent discount for this order.,Finance policy and request data evaluated.,Success,0.891,274,232,0.01111,
AEL000035,WFR00007,5,A010,TOOL009,2026-01-03T12:56:03.429000,2026-01-03T12:56:03.948000,519,Approve a 15 percent discount for this order.,Human approval workflow created or resumed.,Success,0.794,700,329,0.0063,
AEL000036,WFR00007,6,A009,TOOL019,2026-01-03T12:56:03.993000,2026-01-03T12:56:04.823000,830,Approve a 15 percent discount for this order.,Evidence-based explanation generated.,Success,0.813,397,302,0.00372,
AEL000037,WFR00008,1,A001,TOOL016,2026-02-09T13:15:00,2026-02-09T13:15:00.274000,274,Show pending purchase approvals.,Request classified and task plan created.,Success,0.892,501,375,0.00807,
AEL000038,WFR00008,2,A002,TOOL019,2026-02-09T13:15:00.338000,2026-02-09T13:15:01.127000,789,Show pending purchase approvals.,Access denied for permission finance.read.,Success,0.958,799,326,0.01184,
AEL000039,WFR00009,1,A001,TOOL016,2026-08-01T17:11:00,2026-08-01T17:11:00.251000,251,Approve a four-day leave request.,Request classified and task plan created.,Success,0.834,917,231,0.00045,
AEL000040,WFR00009,2,A002,TOOL016,2026-08-01T17:11:00.302000,2026-08-01T17:11:01.094000,792,Approve a four-day leave request.,Access denied for permission leave.read_all.,Success,0.798,730,70,0.01062,
AEL000041,WFR00010,1,A001,TOOL016,2026-06-26T18:37:00,2026-06-26T18:37:00.560000,560,Retrieve the restricted security policy.,Request classified and task plan created.,Success,0.921,541,288,0.00439,
AEL000042,WFR00010,2,A002,TOOL016,2026-06-26T18:37:00.625000,2026-06-26T18:37:01.468000,843,Retrieve the restricted security policy.,Access denied for permission document.read_security.,Success,0.811,400,182,0.00775,
AEL000043,WFR00011,1,A001,TOOL016,2026-03-29T08:18:00,2026-03-29T08:18:00.693000,693,Compare judge and human disagreement.,Request classified and task plan created.,Success,0.94,947,92,0.0107,
AEL000044,WFR00011,2,A002,TOOL019,2026-03-29T08:18:00.727000,2026-03-29T08:18:00.917000,190,Compare judge and human disagreement.,Access denied for permission evaluation.read.,Success,0.795,391,363,0.00262,
AEL000045,WFR00012,1,A001,TOOL019,2026-08-07T13:06:00,2026-08-07T13:06:00.698000,698,Create a cross-domain operational risk briefing.,Request classified and task plan created.,Success,0.972,494,111,0.00045,
AEL000046,WFR00012,2,A002,TOOL016,2026-08-07T13:06:00.771000,2026-08-07T13:06:01.400000,629,Create a cross-domain operational risk briefing.,Access denied for permission ai.query.,Success,0.971,468,343,0.00359,
AEL000047,WFR00013,1,A001,TOOL019,2026-07-07T17:28:00,2026-07-07T17:28:00.846000,846,Which evaluation program has the highest regression rate?,Request classified and task plan created.,Success,0.934,354,114,0.00848,
AEL000048,WFR00013,2,A002,TOOL019,2026-07-07T17:28:00.856000,2026-07-07T17:28:01.607000,751,Which evaluation program has the highest regression rate?,RBAC and resource-scope decision completed.,Success,0.948,758,387,0.00202,
AEL000049,WFR00013,3,A011,TOOL019,2026-07-07T17:28:01.659000,2026-07-07T17:28:02.366000,707,Which evaluation program has the highest regression rate?,Evaluation metrics aggregated.,Success,0.808,654,202,0.00946,
AEL000050,WFR00013,4,A008,TOOL018,2026-07-07T17:28:02.430000,2026-07-07T17:28:03.173000,743,Which evaluation program has the highest regression rate?,"Correctness, grounding, and safety validated.",Success,0.892,853,60,0.00943,
AEL000051,WFR00013,5,A009,TOOL019,2026-07-07T17:28:03.189000,2026-07-07T17:28:03.632000,443,Which evaluation program has the highest regression rate?,Evidence-based explanation generated.,Success,0.788,730,130,0.00733,
AEL000052,WFR00014,1,A001,TOOL019,2026-02-11T08:13:00,2026-02-11T08:13:00.763000,763,Which evaluation program has the highest regression rate?,Request classified and task plan created.,Success,0.981,831,152,0.00463,
AEL000053,WFR00014,2,A002,TOOL016,2026-02-11T08:13:00.816000,2026-02-11T08:13:01.443000,627,Which evaluation program has the highest regression rate?,Access denied for permission evaluation.read.,Success,0.844,195,213,0.0004,
AEL000054,WFR00015,1,A001,TOOL019,2026-01-16T16:53:00,2026-01-16T16:53:00.503000,503,Show current hallucination and pass rates.,Request classified and task plan created.,Success,0.814,896,198,0.00271,
AEL000055,WFR00015,2,A002,TOOL019,2026-01-16T16:53:00.516000,2026-01-16T16:53:01.025000,509,Show current hallucination and pass rates.,Access denied for permission evaluation.read.,Success,0.94,166,201,0.00431,
AEL000056,WFR00016,1,A001,TOOL016,2026-03-23T18:30:00,2026-03-23T18:30:00.443000,443,What is the average salary in Engineering?,Request classified and task plan created.,Success,0.964,883,52,0.00541,
AEL000057,WFR00016,2,A002,TOOL016,2026-03-23T18:30:00.520000,2026-03-23T18:30:01.013000,493,What is the average salary in Engineering?,Access denied for permission employee.salary.read.,Success,0.9,347,245,0.00333,
AEL000058,WFR00017,1,A001,TOOL016,2026-03-30T16:08:00,2026-03-30T16:08:00.322000,322,Summarize the risks for Titan Enterprise Data Warehouse.,Request classified and task plan created.,Success,0.921,304,121,0.01081,
AEL000059,WFR00017,2,A002,TOOL019,2026-03-30T16:08:00.336000,2026-03-30T16:08:01.018000,682,Summarize the risks for Titan Enterprise Data Warehouse.,RBAC and resource-scope decision completed.,Success,0.855,840,414,0.0095,
AEL000060,WFR00017,3,A005,TOOL006,2026-03-30T16:08:01.050000,2026-03-30T16:08:01.175000,125,Summarize the risks for Titan Enterprise Data Warehouse.,Project and task data query completed.,Success,0.85,715,157,0.00901,
AEL000061,WFR00017,4,A008,TOOL017,2026-03-30T16:08:01.246000,2026-03-30T16:08:01.517000,271,Summarize the risks for Titan Enterprise Data Warehouse.,"Correctness, grounding, and safety validated.",Success,0.947,641,252,0.00511,
AEL000062,WFR00017,5,A009,TOOL019,2026-03-30T16:08:01.588000,2026-03-30T16:08:01.949000,361,Summarize the risks for Titan Enterprise Data Warehouse.,Evidence-based explanation generated.,Success,0.953,326,69,0.00394,
AEL000063,WFR00018,1,A001,TOOL016,2026-01-17T11:50:00,2026-01-17T11:50:00.627000,627,Summarize sick leave by department.,Request classified and task plan created.,Success,0.944,131,68,0.00374,
AEL000064,WFR00018,2,A002,TOOL016,2026-01-17T11:50:00.703000,2026-01-17T11:50:01.479000,776,Summarize sick leave by department.,Access denied for permission leave.read_all.,Success,0.905,477,403,0.00598,
AEL000065,WFR00019,1,A001,TOOL016,2026-05-19T13:53:00,2026-05-19T13:53:00.847000,847,Can the sales manager grant a 22 percent discount?,Request classified and task plan created.,Recovered,0.9,949,408,0.00738,transient_tool_timeout
AEL000066,WFR00019,2,A002,TOOL019,2026-05-19T13:53:00.915000,2026-05-19T13:53:01.432000,517,Can the sales manager grant a 22 percent discount?,RBAC and resource-scope decision completed.,Success,0.98,691,113,0.00479,
AEL000067,WFR00019,3,A006,TOOL010,2026-05-19T13:53:01.479000,2026-05-19T13:53:02.315000,836,Can the sales manager grant a 22 percent discount?,Sales aggregation completed.,Success,0.789,608,277,0.0017,
AEL000068,WFR00019,4,A007,TOOL013,2026-05-19T13:53:02.327000,2026-05-19T13:53:02.718000,391,Can the sales manager grant a 22 percent discount?,Finance policy and request data evaluated.,Success,0.858,711,199,0.00163,
AEL000069,WFR00019,5,A010,TOOL019,2026-05-19T13:53:02.756000,2026-05-19T13:53:03.375000,619,Can the sales manager grant a 22 percent discount?,Human approval workflow created or resumed.,Success,0.922,561,112,0.00602,
AEL000070,WFR00019,6,A009,TOOL019,2026-05-19T13:53:03.453000,2026-05-19T13:53:04.196000,743,Can the sales manager grant a 22 percent discount?,Evidence-based explanation generated.,Success,0.923,457,215,0.00393,
AEL000071,WFR00020,1,A001,TOOL016,2026-07-18T18:12:00,2026-07-18T18:12:00.266000,266,"Prepare a management briefing for Atlas using project, workload, and policy evidence.",Request classified and task plan created.,Success,0.799,404,313,0.01115,
AEL000072,WFR00020,2,A002,TOOL019,2026-07-18T18:12:00.331000,2026-07-18T18:12:00.970000,639,"Prepare a management briefing for Atlas using project, workload, and policy evidence.",Access denied for permission ai.query.,Success,0.918,372,241,0.00351,
AEL000073,WFR00021,1,A001,TOOL016,2026-04-20T16:36:00,2026-04-20T16:36:00.169000,169,Can an employee read the compensation policy?,Request classified and task plan created.,Success,0.917,485,63,0.0075,
AEL000074,WFR00021,2,A002,TOOL016,2026-04-20T16:36:00.239000,2026-04-20T16:36:00.538000,299,Can an employee read the compensation policy?,Access denied for permission document.read_security.,Success,0.916,623,242,0.00858,
AEL000075,WFR00022,1,A001,TOOL016,2026-03-04T08:25:00,2026-03-04T08:25:00.389000,389,Analyze workforce capacity and sales performance for executives.,Request classified and task plan created.,Success,0.897,698,321,0.00786,
AEL000076,WFR00022,2,A002,TOOL016,2026-03-04T08:25:00.452000,2026-03-04T08:25:00.933000,481,Analyze workforce capacity and sales performance for executives.,Access denied for permission ai.query.,Success,0.821,227,70,0.00145,
AEL000077,WFR00023,1,A001,TOOL016,2026-02-07T11:31:00,2026-02-07T11:31:00.128000,128,List all employee compensation records.,Request classified and task plan created.,Success,0.887,700,80,0.00449,
AEL000078,WFR00023,2,A002,TOOL016,2026-02-07T11:31:00.164000,2026-02-07T11:31:00.644000,480,List all employee compensation records.,Access denied for permission employee.salary.read.,Success,0.784,740,252,0.00894,
AEL000079,WFR00024,1,A001,TOOL016,2026-02-04T17:42:00,2026-02-04T17:42:00.641000,641,What is the average salary in Engineering?,Request classified and task plan created.,Success,0.949,286,223,0.00493,
AEL000080,WFR00024,2,A002,TOOL019,2026-02-04T17:42:00.682000,2026-02-04T17:42:01.300000,618,What is the average salary in Engineering?,Access denied for permission employee.salary.read.,Success,0.961,206,274,0.00976,
AEL000081,WFR00025,1,A001,TOOL019,2026-08-19T10:25:00,2026-08-19T10:25:00.723000,723,Which approvers are required for a 30000 dollar purchase?,Request classified and task plan created.,Success,0.919,864,325,0.0034,
AEL000082,WFR00025,2,A002,TOOL019,2026-08-19T10:25:00.769000,2026-08-19T10:25:01.200000,431,Which approvers are required for a 30000 dollar purchase?,Access denied for permission finance.read.,Success,0.933,377,355,0.00402,
AEL000083,WFR00026,1,A001,TOOL016,2026-01-17T15:26:00,2026-01-17T15:26:00.612000,612,Compare sales channels in Q2 2026.,Request classified and task plan created.,Success,0.83,881,296,0.00884,
AEL000084,WFR00026,2,A002,TOOL016,2026-01-17T15:26:00.690000,2026-01-17T15:26:01.241000,551,Compare sales channels in Q2 2026.,RBAC and resource-scope decision completed.,Success,0.889,639,336,0.01144,
AEL000085,WFR00026,3,A006,TOOL011,2026-01-17T15:26:01.256000,2026-01-17T15:26:02.159000,903,Compare sales channels in Q2 2026.,Sales aggregation completed.,Success,0.797,550,363,0.0016,
AEL000086,WFR00026,4,A008,TOOL018,2026-01-17T15:26:02.234000,2026-01-17T15:26:02.514000,280,Compare sales channels in Q2 2026.,"Correctness, grounding, and safety validated.",Success,0.954,210,225,0.00711,
AEL000087,WFR00026,5,A009,TOOL019,2026-01-17T15:26:02.592000,2026-01-17T15:26:02.798000,206,Compare sales channels in Q2 2026.,Evidence-based explanation generated.,Success,0.909,210,86,0.0077,
AEL000088,WFR00027,1,A001,TOOL016,2026-02-11T10:35:00,2026-02-11T10:35:00.250000,250,Show my leave history.,Request classified and task plan created.,Success,0.939,410,391,0.00291,
AEL000089,WFR00027,2,A002,TOOL019,2026-02-11T10:35:00.295000,2026-02-11T10:35:01.113000,818,Show my leave history.,Access denied for permission leave.read_all.,Success,0.834,661,390,0.0024,
AEL000090,WFR00028,1,A001,TOOL019,2026-04-25T16:15:00,2026-04-25T16:15:00.446000,446,Which region has the highest sales and profit?,Request classified and task plan created.,Success,0.966,198,213,0.00181,
AEL000091,WFR00028,2,A002,TOOL019,2026-04-25T16:15:00.525000,2026-04-25T16:15:00.765000,240,Which region has the highest sales and profit?,RBAC and resource-scope decision completed.,Success,0.819,674,182,0.00408,
AEL000092,WFR00028,3,A006,TOOL011,2026-04-25T16:15:00.783000,2026-04-25T16:15:02.157000,1374,Which region has the highest sales and profit?,Sales aggregation completed.,Recovered,0.925,340,98,0.00897,transient_tool_timeout
AEL000093,WFR00028,4,A008,TOOL018,2026-04-25T16:15:02.222000,2026-04-25T16:15:02.938000,716,Which region has the highest sales and profit?,"Correctness, grounding, and safety validated.",Success,0.845,714,117,0.00619,
AEL000094,WFR00028,5,A009,TOOL019,2026-04-25T16:15:02.992000,2026-04-25T16:15:03.741000,749,Which region has the highest sales and profit?,Evidence-based explanation generated.,Success,0.879,185,177,0.00947,
AEL000095,WFR00029,1,A001,TOOL016,2026-01-24T08:26:00,2026-01-24T08:26:00.784000,784,Compare project risk with current team capacity.,Request classified and task plan created.,Success,0.927,532,336,0.01165,
AEL000096,WFR00029,2,A002,TOOL016,2026-01-24T08:26:00.845000,2026-01-24T08:26:01.650000,805,Compare project risk with current team capacity.,RBAC and resource-scope decision completed.,Success,0.863,534,57,0.00335,
AEL000097,WFR00029,3,A004,TOOL005,2026-01-24T08:26:01.693000,2026-01-24T08:26:02.440000,747,Compare project risk with current team capacity.,HR data query completed.,Success,0.967,357,215,0.01035,
AEL000098,WFR00029,4,A005,TOOL007,2026-01-24T08:26:02.459000,2026-01-24T08:26:02.737000,278,Compare project risk with current team capacity.,Project and task data query completed.,Success,0.975,933,219,0.00479,
AEL000099,WFR00029,5,A008,TOOL019,2026-01-24T08:26:02.766000,2026-01-24T08:26:03.558000,792,Compare project risk with current team capacity.,"Correctness, grounding, and safety validated.",Success,0.92,162,97,0.01122,
AEL000100,WFR00029,6,A009,TOOL019,2026-01-24T08:26:03.597000,2026-01-24T08:26:03.693000,96,Compare project risk with current team capacity.,Evidence-based explanation generated.,Success,0.959,662,374,0.00365,
AEL000101,WFR00030,1,A001,TOOL016,2026-05-11T18:46:00,2026-05-11T18:46:00.219000,219,Create a cross-domain operational risk briefing.,Request classified and task plan created.,Success,0.912,793,415,0.00867,
AEL000102,WFR00030,2,A002,TOOL016,2026-05-11T18:46:00.250000,2026-05-11T18:46:00.910000,660,Create a cross-domain operational risk briefing.,Access denied for permission ai.query.,Success,0.981,279,105,0.01084,
AEL000103,WFR00031,1,A001,TOOL019,2026-03-13T14:24:00,2026-03-13T14:24:00.388000,388,Analyze Project Atlas status.,Request classified and task plan created.,Success,0.893,667,272,0.01091,
AEL000104,WFR00031,2,A002,TOOL019,2026-03-13T14:24:00.429000,2026-03-13T14:24:00.892000,463,Analyze Project Atlas status.,RBAC and resource-scope decision completed.,Success,0.868,884,219,0.00081,
AEL000105,WFR00031,3,A005,TOOL006,2026-03-13T14:24:00.972000,2026-03-13T14:24:01.323000,351,Analyze Project Atlas status.,Project and task data query completed.,Success,0.901,733,309,0.00495,
AEL000106,WFR00031,4,A008,TOOL018,2026-03-13T14:24:01.341000,2026-03-13T14:24:01.877000,536,Analyze Project Atlas status.,"Correctness, grounding, and safety validated.",Success,0.877,412,112,0.00161,
AEL000107,WFR00031,5,A009,TOOL019,2026-03-13T14:24:01.952000,2026-03-13T14:24:02.744000,792,Analyze Project Atlas status.,Evidence-based explanation generated.,Success,0.822,321,413,0.00642,
AEL000108,WFR00032,1,A001,TOOL019,2026-03-26T16:31:00,2026-03-26T16:31:00.299000,299,Route this discount exception.,Request classified and task plan created.,Success,0.908,396,216,0.00421,
AEL000109,WFR00032,2,A002,TOOL016,2026-03-26T16:31:00.354000,2026-03-26T16:31:01.113000,759,Route this discount exception.,RBAC and resource-scope decision completed.,Success,0.9,611,93,0.00776,
AEL000110,WFR00032,3,A006,TOOL011,2026-03-26T16:31:01.169000,2026-03-26T16:31:02.549000,1380,Route this discount exception.,Sales aggregation completed.,Success,0.911,547,404,0.00934,
AEL000111,WFR00032,4,A007,TOOL019,2026-03-26T16:31:02.627000,2026-03-26T16:31:02.972000,345,Route this discount exception.,Finance policy and request data evaluated.,Recovered,0.843,534,268,0.00263,transient_tool_timeout
AEL000112,WFR00032,5,A010,TOOL013,2026-03-26T16:31:03.018000,2026-03-26T16:31:03.493000,475,Route this discount exception.,Human approval workflow created or resumed.,Success,0.916,417,271,0.00289,
AEL000113,WFR00032,6,A009,TOOL019,2026-03-26T16:31:03.523000,2026-03-26T16:31:04.273000,750,Route this discount exception.,Evidence-based explanation generated.,Success,0.929,497,103,0.00783,
AEL000114,WFR00033,1,A001,TOOL016,2026-02-17T16:17:00,2026-02-17T16:17:00.600000,600,Can the sales manager grant a 22 percent discount?,Request classified and task plan created.,Success,0.858,632,208,0.00659,
AEL000115,WFR00033,2,A002,TOOL016,2026-02-17T16:17:00.659000,2026-02-17T16:17:00.813000,154,Can the sales manager grant a 22 percent discount?,RBAC and resource-scope decision completed.,Success,0.919,732,184,0.00927,
AEL000116,WFR00033,3,A006,TOOL019,2026-02-17T16:17:00.857000,2026-02-17T16:17:01.167000,310,Can the sales manager grant a 22 percent discount?,Sales aggregation completed.,Success,0.934,506,263,0.00113,
AEL000117,WFR00033,4,A007,TOOL019,2026-02-17T16:17:01.197000,2026-02-17T16:17:01.373000,176,Can the sales manager grant a 22 percent discount?,Finance policy and request data evaluated.,Success,0.942,733,265,0.0016,
AEL000118,WFR00033,5,A010,TOOL008,2026-02-17T16:17:01.447000,2026-02-17T16:17:02.132000,685,Can the sales manager grant a 22 percent discount?,Human approval workflow created or resumed.,Success,0.925,609,233,0.00447,
AEL000119,WFR00033,6,A009,TOOL019,2026-02-17T16:17:02.194000,2026-02-17T16:17:03.031000,837,Can the sales manager grant a 22 percent discount?,Evidence-based explanation generated.,Success,0.941,722,362,0.01097,
AEL000120,WFR00034,1,A001,TOOL019,2026-07-21T12:04:00,2026-07-21T12:04:00.623000,623,What is the average salary in Engineering?,Request classified and task plan created.,Success,0.846,174,49,0.00775,
AEL000121,WFR00034,2,A002,TOOL016,2026-07-21T12:04:00.639000,2026-07-21T12:04:00.724000,85,What is the average salary in Engineering?,Access denied for permission employee.salary.read.,Success,0.784,328,333,0.00171,
AEL000122,WFR00035,1,A001,TOOL016,2026-02-26T14:17:00,2026-02-26T14:17:00.572000,572,Show the salary access policy.,Request classified and task plan created.,Success,0.833,343,230,0.00187,
AEL000123,WFR00035,2,A002,TOOL016,2026-02-26T14:17:00.604000,2026-02-26T14:17:01.250000,646,Show the salary access policy.,Access denied for permission document.read_finance.,Success,0.949,222,372,0.00549,
AEL000124,WFR00036,1,A001,TOOL016,2026-01-01T14:37:00,2026-01-01T14:37:00.421000,421,List all employee compensation records.,Request classified and task plan created.,Success,0.816,257,178,0.01187,
AEL000125,WFR00036,2,A002,TOOL019,2026-01-01T14:37:00.456000,2026-01-01T14:37:00.919000,463,List all employee compensation records.,Access denied for permission employee.salary.read.,Success,0.978,454,362,0.00664,
AEL000126,WFR00037,1,A001,TOOL019,2026-01-02T14:23:00,2026-01-02T14:23:00.846000,846,Show current hallucination and pass rates.,Request classified and task plan created.,Recovered,0.833,574,322,0.00836,transient_tool_timeout
AEL000127,WFR00037,2,A002,TOOL019,2026-01-02T14:23:00.911000,2026-01-02T14:23:01.371000,460,Show current hallucination and pass rates.,Access denied for permission evaluation.read.,Success,0.805,793,111,0.00957,
AEL000128,WFR00038,1,A001,TOOL016,2026-07-28T12:28:00,2026-07-28T12:28:00.463000,463,Which project teams have workload above 100 percent?,Request classified and task plan created.,Success,0.823,522,287,0.00315,
AEL000129,WFR00038,2,A002,TOOL016,2026-07-28T12:28:00.516000,2026-07-28T12:28:01.326000,810,Which project teams have workload above 100 percent?,RBAC and resource-scope decision completed.,Success,0.799,564,195,0.01126,
AEL000130,WFR00038,3,A004,TOOL001,2026-07-28T12:28:01.358000,2026-07-28T12:28:01.972000,614,Which project teams have workload above 100 percent?,HR data query completed.,Success,0.836,626,328,0.00174,
AEL000131,WFR00038,4,A005,TOOL006,2026-07-28T12:28:01.987000,2026-07-28T12:28:02.217000,230,Which project teams have workload above 100 percent?,Project and task data query completed.,Success,0.986,313,211,0.00297,
AEL000132,WFR00038,5,A008,TOOL017,2026-07-28T12:28:02.231000,2026-07-28T12:28:03.586000,1355,Which project teams have workload above 100 percent?,"Correctness, grounding, and safety validated.",Success,0.877,622,365,0.00766,
AEL000133,WFR00038,6,A009,TOOL019,2026-07-28T12:28:03.643000,2026-07-28T12:28:04.473000,830,Which project teams have workload above 100 percent?,Evidence-based explanation generated.,Success,0.781,364,172,0.00554,
AEL000134,WFR00039,1,A001,TOOL019,2026-06-11T18:32:00,2026-06-11T18:32:00.447000,447,What is the average salary in Engineering?,Request classified and task plan created.,Success,0.874,530,230,0.00542,
AEL000135,WFR00039,2,A002,TOOL016,2026-06-11T18:32:00.486000,2026-06-11T18:32:00.683000,197,What is the average salary in Engineering?,Access denied for permission employee.salary.read.,Success,0.985,278,334,0.00499,
