workflow_run_id,workflow_definition_id,user_id,user_roles,original_query,input_modality,started_at,completed_at,status,security_decision,required_permission,requires_human_approval,approval_request_id,agent_route,final_answer_summary,evidence_sources,confidence_score,grounding_score,execution_time_ms,estimated_cost_usd,explanation_summary,error_type
WFR00011,WFD011,U0011,Employee,Compare judge and human disagreement.,text,2026-03-29T08:18:00,2026-03-29T08:18:00.883000,Denied,DENY,evaluation.read,false,,A001|A002|A011|A008|A009,Access denied. Your assigned roles do not grant evaluation.read.,,1.0,1.0,883,0.01332,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00012,WFD012,U0157,Employee,Create a cross-domain operational risk briefing.,text+pdf,2026-08-07T13:06:00,2026-08-07T13:06:01.327000,Denied,DENY,ai.query,false,,A001|A002|A003|A004|A005|A006|A007|A008|A009,Access denied. Your assigned roles do not grant ai.query.,DOC012;projects.csv|tasks.csv|employee_workload_snapshots.csv;sales_orders.csv;purchase_requests.csv,1.0,1.0,1327,0.00404,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00013,WFD011,U0003,Employee|Project_Manager,Which evaluation program has the highest regression rate?,text,2026-07-07T17:28:00,2026-07-07T17:28:03.490000,Completed,ALLOW,evaluation.read,false,,A001|A002|A011|A008|A009,The workflow completed with grounded evidence and an explainable result.,,0.857,0.907,3490,0.03672,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00014,WFD011,U0120,Employee,Which evaluation program has the highest regression rate?,text,2026-02-11T08:13:00,2026-02-11T08:13:01.390000,Denied,DENY,evaluation.read,false,,A001|A002|A011|A008|A009,Access denied. Your assigned roles do not grant evaluation.read.,,1.0,1.0,1390,0.00503,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00015,WFD011,U0170,Employee,Show current hallucination and pass rates.,text,2026-01-16T16:53:00,2026-01-16T16:53:01.012000,Denied,DENY,evaluation.read,false,,A001|A002|A011|A008|A009,Access denied. Your assigned roles do not grant evaluation.read.,,1.0,1.0,1012,0.00702,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00016,WFD004,U0178,Employee,What is the average salary in Engineering?,text,2026-03-23T18:30:00,2026-03-23T18:30:00.936000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,936,0.00874,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00017,WFD002,U0054,Employee,Summarize the risks for Titan Enterprise Data Warehouse.,text,2026-03-30T16:08:00,2026-03-30T16:08:01.761000,Completed,ALLOW,project.read,false,,A001|A002|A005|A008|A009,The workflow completed with grounded evidence and an explainable result.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.927,0.884,1761,0.03837,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00018,WFD009,U0056,Employee,Summarize sick leave by department.,text,2026-01-17T11:50:00,2026-01-17T11:50:01.403000,Denied,DENY,leave.read_all,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant leave.read_all.,,1.0,1.0,1403,0.00972,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00019,WFD007,U0101,Employee,Can the sales manager grant a 22 percent discount?,text,2026-05-19T13:53:00,2026-05-19T13:53:03.953000,Completed,ALLOW,sales.read,true,APR00020,A001|A002|A006|A007|A010|A009,The requested action was analyzed and routed to the required human approver.,sales_orders.csv,0.875,0.976,3953,0.02545,"The workflow is high risk, so the system paused before changing enterprise data.",
WFR00020,WFD012,U0142,Employee,"Prepare a management briefing for Atlas using project, workload, and policy evidence.",text+docx,2026-07-18T18:12:00,2026-07-18T18:12:00.905000,Denied,DENY,ai.query,false,,A001|A002|A003|A004|A005|A006|A007|A008|A009,Access denied. Your assigned roles do not grant ai.query.,DOC006;projects.csv|tasks.csv|employee_workload_snapshots.csv;sales_orders.csv;purchase_requests.csv,1.0,1.0,905,0.01466,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00021,WFD010,U0056,Employee,Can an employee read the compensation policy?,text,2026-04-20T16:36:00,2026-04-20T16:36:00.468000,Denied,DENY,document.read_security,false,,A001|A002|A003|A008|A009,Access denied. Your assigned roles do not grant document.read_security.,DOC006,1.0,1.0,468,0.01608,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00022,WFD012,U0162,Employee,Analyze workforce capacity and sales performance for executives.,text+docx,2026-03-04T08:25:00,2026-03-04T08:25:00.870000,Denied,DENY,ai.query,false,,A001|A002|A003|A004|A005|A006|A007|A008|A009,Access denied. Your assigned roles do not grant ai.query.,DOC009;projects.csv|tasks.csv|employee_workload_snapshots.csv;sales_orders.csv;purchase_requests.csv,1.0,1.0,870,0.00931,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00023,WFD004,U0148,Employee,List all employee compensation records.,text,2026-02-07T11:31:00,2026-02-07T11:31:00.608000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,608,0.01343,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00024,WFD004,U0130,Employee,What is the average salary in Engineering?,text,2026-02-04T17:42:00,2026-02-04T17:42:01.259000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,1259,0.01469,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00025,WFD008,U0034,Employee,Which approvers are required for a 30000 dollar purchase?,text,2026-08-19T10:25:00,2026-08-19T10:25:01.154000,Denied,DENY,finance.read,false,,A001|A002|A007|A010|A009,Access denied. Your assigned roles do not grant finance.read.,purchase_requests.csv,1.0,1.0,1154,0.00742,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00026,WFD006,U0051,Employee,Compare sales channels in Q2 2026.,text+csv,2026-01-17T15:26:00,2026-01-17T15:26:02.552000,Completed,ALLOW,sales.read,false,,A001|A002|A006|A008|A009,The workflow completed with grounded evidence and an explainable result.,sales_orders.csv,0.944,0.845,2552,0.03669,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00027,WFD009,U0111,Employee,Show my leave history.,text,2026-02-11T10:35:00,2026-02-11T10:35:01.068000,Denied,DENY,leave.read_all,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant leave.read_all.,,1.0,1.0,1068,0.00531,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00028,WFD006,U0036,Employee,Which region has the highest sales and profit?,text+pdf,2026-04-25T16:15:00,2026-04-25T16:15:03.525000,Completed,ALLOW,sales.read,false,,A001|A002|A006|A008|A009,The workflow completed with grounded evidence and an explainable result.,sales_orders.csv,0.918,0.982,3525,0.03052,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00029,WFD003,U0134,Employee,Compare project risk with current team capacity.,text,2026-01-24T08:26:00,2026-01-24T08:26:03.502000,Completed,ALLOW,project.read,false,,A001|A002|A004|A005|A008|A009,The workflow completed with grounded evidence and an explainable result.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.78,0.821,3502,0.04501,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00030,WFD012,U0072,Employee,Create a cross-domain operational risk briefing.,text+docx,2026-05-11T18:46:00,2026-05-11T18:46:00.879000,Denied,DENY,ai.query,false,,A001|A002|A003|A004|A005|A006|A007|A008|A009,Access denied. Your assigned roles do not grant ai.query.,DOC006;projects.csv|tasks.csv|employee_workload_snapshots.csv;sales_orders.csv;purchase_requests.csv,1.0,1.0,879,0.01951,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00031,WFD002,U0152,Employee,Analyze Project Atlas status.,text,2026-03-13T14:24:00,2026-03-13T14:24:02.530000,Completed,ALLOW,project.read,false,,A001|A002|A005|A008|A009,The workflow completed with grounded evidence and an explainable result.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.922,0.913,2530,0.0247,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00032,WFD007,U0082,Employee,Route this discount exception.,text,2026-03-26T16:31:00,2026-03-26T16:31:04.008000,Completed,ALLOW,sales.read,true,APR00030,A001|A002|A006|A007|A010|A009,The requested action was analyzed and routed to the required human approver.,sales_orders.csv,0.968,0.939,4008,0.03466,"The workflow is high risk, so the system paused before changing enterprise data.",
WFR00033,WFD007,U0194,Employee,Can the sales manager grant a 22 percent discount?,text,2026-02-17T16:17:00,2026-02-17T16:17:02.762000,Awaiting Approval,ALLOW,sales.read,true,APR00065,A001|A002|A006|A007|A010|A009,The requested action was analyzed and routed to the required human approver.,sales_orders.csv,0.92,0.774,2762,0.03403,"The workflow is high risk, so the system paused before changing enterprise data.",
WFR00034,WFD004,U0029,Employee,What is the average salary in Engineering?,text,2026-07-21T12:04:00,2026-07-21T12:04:00.708000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,708,0.00946,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00035,WFD010,U0056,Employee,Show the salary access policy.,text+pdf,2026-02-26T14:17:00,2026-02-26T14:17:01.218000,Denied,DENY,document.read_finance,false,,A001|A002|A003|A008|A009,Access denied. Your assigned roles do not grant document.read_finance.,DOC002,1.0,1.0,1218,0.00736,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00036,WFD004,U0055,Employee,List all employee compensation records.,text,2026-01-01T14:37:00,2026-01-01T14:37:00.884000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,884,0.01851,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00037,WFD011,U0038,Employee,Show current hallucination and pass rates.,text,2026-01-02T14:23:00,2026-01-02T14:23:01.306000,Denied,DENY,evaluation.read,false,,A001|A002|A011|A008|A009,Access denied. Your assigned roles do not grant evaluation.read.,,1.0,1.0,1306,0.01793,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00038,WFD003,U0154,Employee,Which project teams have workload above 100 percent?,text,2026-07-28T12:28:00,2026-07-28T12:28:04.302000,Completed,ALLOW,project.read,false,,A001|A002|A004|A005|A008|A009,The workflow completed with grounded evidence and an explainable result.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.794,0.983,4302,0.03232,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00039,WFD004,U0124,Employee,What is the average salary in Engineering?,text,2026-06-11T18:32:00,2026-06-11T18:32:00.644000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,644,0.01041,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00040,WFD012,U0064,Employee,"Prepare a management briefing for Atlas using project, workload, and policy evidence.",text,2026-07-16T08:55:00,2026-07-16T08:55:00.661000,Denied,DENY,ai.query,false,,A001|A002|A003|A004|A005|A006|A007|A008|A009,Access denied. Your assigned roles do not grant ai.query.,DOC002;projects.csv|tasks.csv|employee_workload_snapshots.csv;sales_orders.csv;purchase_requests.csv,1.0,1.0,661,0.0082,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00041,WFD006,U0053,Employee,Which product category has the lowest margin?,text+csv,2026-03-29T09:56:00,2026-03-29T09:56:03.300000,Needs Human Review,ALLOW,sales.read,true,,A001|A002|A006|A008|A009,The workflow completed with grounded evidence and an explainable result.,sales_orders.csv,0.913,0.776,3300,0.02077,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",low_confidence_or_grounding
WFR00042,WFD010,U0040,Employee,Retrieve the restricted security policy.,text+docx,2026-07-02T18:37:00,2026-07-02T18:37:01.311000,Denied,DENY,document.read_finance,false,,A001|A002|A003|A008|A009,Access denied. Your assigned roles do not grant document.read_finance.,DOC005,1.0,1.0,1311,0.02071,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00043,WFD004,U0098,Employee,What is the average salary in Engineering?,text,2026-05-27T09:56:00,2026-05-27T09:56:01.138000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,1138,0.01555,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00044,WFD009,U0177,Employee,Show my leave history.,text,2026-01-02T13:03:00,2026-01-02T13:03:01.522000,Denied,DENY,leave.read_all,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant leave.read_all.,,1.0,1.0,1522,0.00769,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00045,WFD004,U0005,Employee|Sales_Manager,What is the average salary in Engineering?,text,2026-01-02T10:56:00,2026-01-02T10:56:01.060000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,1060,0.01307,"Deterministic RBAC checked roles Employee, Sales_Manager and denied the requested permission.",
WFR00046,WFD009,U0037,Employee,Approve a four-day leave request.,text,2026-04-30T08:29:00,2026-04-30T08:29:01.449000,Denied,DENY,leave.read_all,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant leave.read_all.,,1.0,1.0,1449,0.01757,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00047,WFD009,U0058,Employee,Summarize sick leave by department.,text,2026-03-10T18:13:00,2026-03-10T18:13:00.704000,Denied,DENY,leave.read_all,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant leave.read_all.,,1.0,1.0,704,0.00737,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00048,WFD004,U0120,Employee,Show the annual salary of employee E0013.,text,2026-01-16T11:13:00,2026-01-16T11:13:00.483000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,483,0.00576,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00049,WFD010,U0007,Employee|Project_Manager,Show the salary access policy.,text+csv,2026-01-09T15:44:00,2026-01-09T15:44:00.487000,Denied,DENY,document.read_finance,false,,A001|A002|A003|A008|A009,Access denied. Your assigned roles do not grant document.read_finance.,DOC005,1.0,1.0,487,0.0117,"Deterministic RBAC checked roles Employee, Project_Manager and denied the requested permission.",
WFR00050,WFD004,U0072,Employee,Show the annual salary of employee E0013.,text,2026-01-09T09:05:00,2026-01-09T09:05:00.716000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,716,0.00334,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00051,WFD003,U0092,Employee,Check Project Atlas and identify overloaded team members.,text,2026-05-18T11:26:00,2026-05-18T11:26:03.270000,Completed,ALLOW,project.read,false,,A001|A002|A004|A005|A008|A009,The workflow completed with grounded evidence and an explainable result.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.88,0.81,3270,0.03053,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00052,WFD001,U0189,Employee,What is the remote-work policy?,text+csv,2026-01-23T17:05:00,2026-01-23T17:05:02.993000,Needs Human Review,ALLOW,ai.query,true,,A001|A002|A003|A008|A009,The workflow completed with grounded evidence and an explainable result.,DOC012,0.963,0.771,2993,0.02854,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",low_confidence_or_grounding
WFR00053,WFD009,U0014,AI_Reviewer|Employee,Summarize sick leave by department.,text,2026-02-11T13:45:00,2026-02-11T13:45:01.157000,Denied,DENY,leave.read_all,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant leave.read_all.,,1.0,1.0,1157,0.0075,"Deterministic RBAC checked roles AI_Reviewer, Employee and denied the requested permission.",
WFR00054,WFD009,U0061,Employee,Summarize sick leave by department.,text,2026-07-11T18:36:00,2026-07-11T18:36:01.408000,Denied,DENY,leave.read_all,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant leave.read_all.,,1.0,1.0,1408,0.00865,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00055,WFD003,U0173,Employee,Check Project Atlas and identify overloaded team members.,text,2026-01-10T13:00:00,2026-01-10T13:00:03.164000,Needs Human Review,ALLOW,project.read,true,,A001|A002|A004|A005|A008|A009,The workflow completed with grounded evidence and an explainable result.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.749,0.849,3164,0.02729,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",low_confidence_or_grounding
WFR00056,WFD011,U0196,Employee,Show current hallucination and pass rates.,text,2026-03-26T16:06:00,2026-03-26T16:06:00.459000,Denied,DENY,evaluation.read,false,,A001|A002|A011|A008|A009,Access denied. Your assigned roles do not grant evaluation.read.,,1.0,1.0,459,0.01477,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00057,WFD002,U0122,Employee,Which tasks are overdue in Project Nova?,text,2026-05-18T18:32:00,2026-05-18T18:32:03.559000,Needs Human Review,ALLOW,project.read,true,,A001|A002|A005|A008|A009,The workflow completed with grounded evidence and an explainable result.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.76,0.797,3559,0.04572,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",low_confidence_or_grounding
WFR00058,WFD009,U0147,Employee,Approve a four-day leave request.,text,2026-01-08T11:04:00,2026-01-08T11:04:01.001000,Denied,DENY,leave.read_all,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant leave.read_all.,,1.0,1.0,1001,0.02257,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00059,WFD001,U0006,Employee|Finance_Manager,What is the remote-work policy?,text+csv,2026-06-12T08:03:00,2026-06-12T08:03:02.687000,Completed,ALLOW,ai.query,false,,A001|A002|A003|A008|A009,The workflow completed with grounded evidence and an explainable result.,DOC005,0.774,0.915,2687,0.03122,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00060,WFD009,U0041,Employee,Summarize sick leave by department.,text,2026-08-13T17:19:00,2026-08-13T17:19:00.789000,Denied,DENY,leave.read_all,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant leave.read_all.,,1.0,1.0,789,0.00331,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00061,WFD002,U0118,Employee,Summarize the risks for Titan Enterprise Data Warehouse.,text,2026-08-24T09:28:00,2026-08-24T09:28:02.990000,Needs Human Review,ALLOW,project.read,true,,A001|A002|A005|A008|A009,The workflow completed with grounded evidence and an explainable result.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.722,0.977,2990,0.02941,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",low_confidence_or_grounding
WFR00062,WFD004,U0195,Employee|Executive,What is the average salary in Engineering?,text,2026-08-21T14:17:00,2026-08-21T14:17:01.972000,Completed,ALLOW,employee.salary.read,false,,A001|A002|A004|A008|A009,The workflow completed with grounded evidence and an explainable result.,,0.956,0.933,1972,0.03358,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00063,WFD004,U0200,Employee,What is the average salary in Engineering?,text,2026-06-08T09:38:00,2026-06-08T09:38:01.278000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,1278,0.01763,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00064,WFD012,U0128,Employee,"Prepare a management briefing for Atlas using project, workload, and policy evidence.",text+pdf,2026-04-01T15:43:00,2026-04-01T15:43:01.305000,Denied,DENY,ai.query,false,,A001|A002|A003|A004|A005|A006|A007|A008|A009,Access denied. Your assigned roles do not grant ai.query.,DOC002;projects.csv|tasks.csv|employee_workload_snapshots.csv;sales_orders.csv;purchase_requests.csv,1.0,1.0,1305,0.00221,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00065,WFD007,U0098,Employee,Approve a 15 percent discount for this order.,text,2026-04-28T15:18:00,2026-04-28T15:18:03.027000,Completed,ALLOW,sales.read,true,APR00022,A001|A002|A006|A007|A010|A009,The requested action was analyzed and routed to the required human approver.,sales_orders.csv,0.824,0.987,3027,0.03005,"The workflow is high risk, so the system paused before changing enterprise data.",
WFR00066,WFD001,U0117,Employee,How many casual leave days are available?,text+pdf,2026-05-03T08:53:00,2026-05-03T08:53:02.996000,Needs Human Review,ALLOW,ai.query,true,,A001|A002|A003|A008|A009,The workflow completed with grounded evidence and an explainable result.,DOC012,0.708,0.904,2996,0.02589,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",low_confidence_or_grounding
WFR00067,WFD002,U0108,Employee,Summarize the risks for Titan Enterprise Data Warehouse.,text,2026-04-28T09:43:00,2026-04-28T09:43:01.685000,Completed,ALLOW,project.read,false,,A001|A002|A005|A008|A009,The workflow completed with grounded evidence and an explainable result.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.898,0.821,1685,0.03589,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00068,WFD011,U0014,AI_Reviewer|Employee,Which evaluation program has the highest regression rate?,text,2026-04-22T15:03:00,2026-04-22T15:03:02.774000,Needs Human Review,ALLOW,evaluation.read,true,,A001|A002|A011|A008|A009,The workflow completed with grounded evidence and an explainable result.,,0.849,0.78,2774,0.03272,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",low_confidence_or_grounding
WFR00069,WFD003,U0158,Employee,Compare project risk with current team capacity.,text,2026-05-02T08:49:00,2026-05-02T08:49:03.524000,Completed,ALLOW,project.read,false,,A001|A002|A004|A005|A008|A009,The workflow completed with grounded evidence and an explainable result.,projects.csv|tasks.csv|employee_workload_snapshots.csv,0.956,0.911,3524,0.03114,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00070,WFD006,U0056,Employee,Which product category has the lowest margin?,text+docx,2026-03-23T17:41:00,2026-03-23T17:41:03.432000,Completed,ALLOW,sales.read,false,,A001|A002|A006|A008|A009,The workflow completed with grounded evidence and an explainable result.,sales_orders.csv,0.962,0.99,3432,0.02826,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",
WFR00071,WFD010,U0035,Employee,Retrieve the restricted security policy.,text,2026-06-26T13:09:00,2026-06-26T13:09:01.479000,Denied,DENY,document.read_security,false,,A001|A002|A003|A008|A009,Access denied. Your assigned roles do not grant document.read_security.,DOC003,1.0,1.0,1479,0.00955,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00072,WFD008,U0096,Employee,Which approvers are required for a 30000 dollar purchase?,text,2026-06-12T08:17:00,2026-06-12T08:17:00.755000,Denied,DENY,finance.read,false,,A001|A002|A007|A010|A009,Access denied. Your assigned roles do not grant finance.read.,purchase_requests.csv,1.0,1.0,755,0.01226,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00073,WFD006,U0141,Employee,Compare sales channels in Q2 2026.,text+pdf,2026-03-07T13:55:00,2026-03-07T13:55:03.403000,Needs Human Review,ALLOW,sales.read,true,,A001|A002|A006|A008|A009,The workflow completed with grounded evidence and an explainable result.,sales_orders.csv,0.836,0.765,3403,0.03913,"The coordinator selected the required domain agents; validation checked support, safety, and completeness.",low_confidence_or_grounding
WFR00074,WFD009,U0100,Employee,Approve a four-day leave request.,text,2026-08-26T10:46:00,2026-08-26T10:46:01.286000,Denied,DENY,leave.read_all,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant leave.read_all.,,1.0,1.0,1286,0.00478,Deterministic RBAC checked roles Employee and denied the requested permission.,
WFR00075,WFD004,U0155,Employee,Show the annual salary of employee E0013.,text,2026-03-19T18:06:00,2026-03-19T18:06:00.815000,Denied,DENY,employee.salary.read,false,,A001|A002|A004|A008|A009,Access denied. Your assigned roles do not grant employee.salary.read.,,1.0,1.0,815,0.00772,Deterministic RBAC checked roles Employee and denied the requested permission.,
